,Word,Is loan?
2004,ennuyé,x
2006,Sagueneenne,
2016,gégène,x
2030,chevron,
2031,jougs,x
2037,Soyer,
2038,beignet,x
2043,azote,
2045,maillot,x
2050,achene,
2067,Belleau,x
2072,gutter rabbit,
2073,Robicheau,x
2075,phenol,
2085,preliminary,
2090,Desbiens,
2098,Dufaux,x
2108,truffière,
2110,pourboire,x
2111,nef,
2112,Thibeaux,x
2114,ferriprive,
2120,rouerie,
2131,Lamoureux,
2132,Petion,
2142,Peron,
2146,dirigiste,
2150,estragon,
2152,en brosse,x
2166,escargot,x
2171,sac,
2178,dénouement,
2179,veny,
2183,épée,x
2187,epilepsy,
2198,carousel,
2207,espaliere,
2214,Pichon,
2217,tableau,x
2224,sans-souci,
2225,poudrette,x
2228,Boucher,
2231,abat-voix,x
2241,Dardenne,
2249,merde,
2255,dolmen,
2257,Boulet,x
2266,clochard,
2271,vancourier,
2272,acquiescence,
2292,Marchessault,
2301,secret of Polichinelle,
2308,Yon,
2310,celibate,
2316,laissez-passer,x
2318,Raiche,
2323,alépine,x
2326,esparcet,x
2334,hydraulic,
2339,cedule,
2352,Lorge,
2361,ostensible,
2366,café noisette,x
2387,fromage blanc,
2388,draisienne,
2414,ampoule,
2427,Bongard,
2445,parados,
2446,hydrate,
2448,teleocracy,
2449,chant royal,
2451,gyroscope,
2455,Therrien,
2464,Bollé,x
2476,altruism,
2483,marmite,
2485,lapin,
2498,acte gratuit,
2499,morale,
2507,amende,
2511,isolated,
2526,flutist,
2531,contredanse,
2535,bonheur du jour,x
2542,gaspereau,x
2543,sabretasche,
2553,conservatoire,x
2558,granite,
2575,marigot,
2577,camaraderie,
2588,creton,
2599,abatsons,
2613,questionnaire,x
2616,aide-de-camp,
2638,Chouinard,
2642,hachereau,x
2654,Julliard,
2658,Mandchou,
2663,panne,
2677,bouts-rimés,
2685,assassin,
2694,coupe,x
2702,scelerat,
2710,saker,
2716,Bruges,
2719,parfait,x
2729,brassard,
2737,Blois,
2748,insectivore,
2752,bocasine,
2753,tennisman,
2757,soufflé,x
2764,engobe,
2788,magret,x
2792,entrepreneuse,x
2799,binocular,
2801,sciage,
2804,Veron,
2821,buron,
2834,fasciation,
2840,aspic,
2841,celerifere,x
2867,Exocet,x
2876,baroque,x
2877,culmination,
2890,rouleur,x
2897,sobriquet,x
2899,dramaturgy,
2904,bobo,
2908,cirque,x
2923,course landaise,
2924,melodeon,
2925,tarse,
2929,Mistral,
2933,statuesque,
2947,oxide,
2950,exigence,
2958,canapé,x
2972,Fanguy,
2973,diplomacy,
2980,Carpentier,
2981,prehensile,
2998,syndical,
3010,guipure,x
3017,Adelaide,
3020,boubou,x
3026,defrock,
3035,minauderie,x
3037,arbitrage,
3038,majuscule,
3040,tréflé,x
3045,brunion,
3046,espadrille,
3049,interventionist,
3057,jargoon,
3062,griot,
3063,Naquin,
3069,stagnant,
3076,revolt,
3091,destin,
3112,patchouli,
3113,marcassin,
3124,vitrail,
3131,foulard,
3133,Mazars,
3135,ouvert,x
3136,Dugal,
3138,complex,
3139,trumpery,
3154,cartilage,
3160,sorbet,x
3161,involucre,
3165,confit,
3169,Cayenne,
3172,gobemouche,
3183,Val-de-Marne,
3192,brisure,
3197,ballonnement,
3199,axunge,x
3207,nacelle,x
3211,peripatetic,
3217,troposphere,
3218,fricot,x
3220,Mayotte,
3223,Bézier,
3225,Fremont,
3226,lacert,
3235,conventionnel,x
3250,vansire,
3252,Philippot,x
3257,compere,
3259,vehicle,
3263,nuance,
3272,Cerf,
3279,Bruley,
3284,Orgeron,
3299,chadon beni,x
3302,acclimate,
3311,mistral,
3321,cantinière,x
3324,cinema,
3331,brume,
3337,par,
3339,façon de parler,x
3343,opiniatre,
3354,Bercier,
3362,Hogue,
3380,monture,
3396,mirabelle plum,
3407,disinfectant,
3411,cummer,
3419,illicit,
3435,sourdeline,
3447,doublure,
3452,singulative,
3458,Cabriole leg,
3466,sous-chef,x
3468,bombard,
3472,petit mal,
3480,abbé,
3481,mixity,
3489,lucerne,x
