,Word,Is loan?,,
1574,parquet,X,,
1590,saucisse,X,,
1634,Mâcon,X,,
1642,Dilly,,,
1658,Bois,X,,
1668,tutoyer,,,
1669,Verne,,,
1679,cineast,,,
1682,Bouchard,X,,
1685,attack,,,
1686,bijection,,,
1693,Sorel,X,,
1702,amende honorable,X,,
1705,virion,,,
1708,remontant,X,,
1712,bomb,,,
1718,Outaouais,X,,
1719,charade,X,,
1739,faute de mieux,X,,
1754,integrable,,,
1757,bonbon,X,,
1764,mal du siècle,X,,
1769,d'Amour,X,,
1777,lisse,,,
1779,dependant,,,
1782,barbet,X,,
1795,sagacity,,,
1806,beau geste,X,,
1807,dortoir,X,,
1813,telecabin,X,,
1825,lunule,X,,
1828,Monestime,X,,
1846,tinamou,X,,
1854,pourpointerie,X,,
1885,pyroxene,\,,
1889,acetylene,,,
1906,Harle,,,
1925,Sabat,,,
1929,grogram,,,
1930,pochette,X,,
1932,architecture,,,
1935,chalumeau,X,,
1941,trahison,,,
1946,Guion,X,,
1954,Callovian,,,
1963,Auger,,,
1966,chronique scandaleuse,X,,
1982,Freemantle,,,
1989,ammunition,,,
1994,papillon,X,,
1995,raconteuse,,,
1998,parmesan,,,
2002,enfilade,,,
2004,ennuyé,X,,
2006,Sagueneenne,X,,
2016,gégène,X,,
2030,chevron,X,,
2031,jougs,,,
2037,Soyer,,,
2038,beignet,X,,
2043,azote,,,
2045,maillot,X,,
2050,achene,X,,
2067,Belleau,X,,
2072,gutter rabbit,,,
2073,Robicheau,X,,
2075,phenol,,,
2085,preliminary,,,
2090,Desbiens,,,
2098,Dufaux,X,,
2108,truffière,,,
2110,pourboire,X,,
2111,nef,,,
2112,Thibeaux,X,,
2114,ferriprive,X,,
2120,rouerie,X,,
2131,Lamoureux,X,,
2132,Petion,,,
2142,Peron,,,
2146,dirigiste,,,
2150,estragon,X,,
2152,en brosse,X,,
2166,escargot,X,,
2171,sac,,,
2178,dénouement,X,,
2179,veny,,,
2183,épée,X,,
2187,epilepsy,,,
2198,carousel,,,
2207,espaliere,,,
2214,Pichon,X,,
2217,tableau,X,,
2224,sans-souci,X,,
2225,poudrette,X,,
2228,Boucher,X,,
2231,abat-voix,X,,
2241,Dardenne,X,,
2249,merde,,,
2255,dolmen,,,
2257,Boulet,X,,
2266,clochard,,,
2271,vancourier,,,
2272,acquiescence,X,,
2292,Marchessault,X,,
2301,secret of Polichinelle,X,,
2308,Yon,,,
2310,celibate,,,
2316,laissez-passer,X,,
2318,Raiche,,,
2323,alépine,X,,
2326,esparcet,X,,
2334,hydraulic,,,
2339,cedule,,,
2352,Lorge,,,
2361,ostensible,,,
2366,café noisette,X,,
2387,fromage blanc,X,,
2388,draisienne,X,,
2414,ampoule,X,,
2427,Bongard,X,,
2445,parados,,,
2446,hydrate,,,
2448,teleocracy,,,
2449,chant royal,X,,
2451,gyroscope,,,
2455,Therrien,,,
2464,Bollé,X,,
2476,altruism,,,
2483,marmite,,,
2485,lapin,X,,
2498,acte gratuit,X,,
2499,morale,,,
2507,amende,,,
2511,isolated,,,
2526,flutist,,,
2531,contredanse,X,,
2535,bonheur du jour,X,,
2542,gaspereau,X,,
2543,sabretasche,X,,
2553,conservatoire,X,,
2558,granite,,,
2575,marigot,X,,
2577,camaraderie,X,,
2588,creton,X,,
2599,abatsons,X,,
2613,questionnaire,X,,
2616,aide-de-camp,X,,
2638,Chouinard,X,,
2642,hachereau,X,,
2654,Julliard,,,
2658,Mandchou,X,,
2663,panne,X,,
2677,bouts-rimés,X,,
2685,assassin,,,
2694,coupe,X,,
2702,scelerat,,,
2710,saker,,,
2716,Bruges,X,,
2719,parfait,X,,
2729,brassard,X,,
2737,Blois,X,,
2748,insectivore,,,
2752,bocasine,,,
2753,tennisman,,,
2757,soufflé,X,,
2764,engobe,X,,
2788,magret,X,,
2792,entrepreneuse,X,,
2799,binocular,,,
2801,sciage,X,,
2804,Veron,,,
2821,buron,,,
2834,fasciation,,,
2840,aspic,,,
2841,celerifere,,,
2867,Exocet,X,,
2876,baroque,X,,
2877,culmination,,,
2890,rouleur,,,
2897,sobriquet,X,,
2899,dramaturgy,,,
2904,bobo,,,
2908,cirque,X,,
2923,course landaise,X,,
2924,melodeon,X,,
2925,tarse,,,
2929,Mistral,,,
2933,statuesque,X,,
2947,oxide,,,
2950,exigence,,,
2958,canapé,X,,
2972,Fanguy,,,
2973,diplomacy,,,
2980,Carpentier,X,,
2981,prehensile,,,
2998,syndical,,,
3010,guipure,,,
3017,Adelaide,,,
3020,boubou,X,,
3026,defrock,,,
3035,minauderie,X,,
3037,arbitrage,X,,
3038,majuscule,X,,
3040,tréflé,X,,
3045,brunion,X,,
3046,espadrille,X,,
3049,interventionist,,,
3057,jargoon,,,
3062,griot,X,,
3063,Naquin,X,,
3069,stagnant,,,
3076,revolt,,,
3091,destin,X,,
3112,patchouli,X,,
3113,marcassin,X,,
3124,vitrail,,,
3131,foulard,X,,
3133,Mazars,X,,
3135,ouvert,X,,
3136,Dugal,,,
3138,complex,,,
3139,trumpery,,,
3154,cartilage,,,
3160,sorbet,,,
3161,involucre,,,
3165,confit,,,
3169,Cayenne,,,
3172,gobemouche,,,
3183,Val-de-Marne,X,,
3192,brisure,X,,
3197,ballonnement,X,,
3199,axunge,,,
3207,nacelle,,,
3211,peripatetic,,,
3217,troposphere,,,
3218,fricot,X,,
3220,Mayotte,X,,
3223,Bézier,X,,
3225,Fremont,X,,
3226,lacert,X,,
3235,conventionnel,X,,
3250,vansire,X,,
3252,Philippot,X,,
3257,compere,,,
3259,vehicle,,,
3263,nuance,X,,
3272,Cerf,,,
3279,Bruley,X,,
3284,Orgeron,,,
3299,chadon beni,X,,
3302,acclimate,,,
3311,mistral,,,
3321,cantinière,,,
3324,cinema,,,
3331,brume,X,,
3337,par,X,,
3339,façon de parler,X,,
3343,opiniatre,X,,
3354,Bercier,X,,
3362,Hogue,X,,
3380,monture,X,,
3396,mirabelle plum,X,,
3407,disinfectant,,,
3411,cummer,,,
3419,illicit,,,
3435,sourdeline,X,,
3447,doublure,X,,
3452,singulative,,,
3458,Cabriole leg,X,,
3466,sous-chef,X,,
3468,bombard,X,,
3472,petit mal,X,,
3480,abbé,X,,
3481,mixity,,,
3489,lucerne,X,,
