,Word,Is loan?
1994,papillon,X
1995,raconteuse,
1998,parmesan,
2002,enfilade,
2004,ennuyé,X
2006,Sagueneenne,
2016,gégène,
2030,chevron,X
2031,jougs,
2037,Soyer,
2038,beignet,X
2043,azote,
2045,maillot,X
2050,achene,
2067,Belleau,X
2072,gutter rabbit,
2073,Robicheau,
2075,phenol,
2085,preliminary,
2090,Desbiens,
2098,Dufaux,X
2108,truffière,X
2110,pourboire,X
2111,nef,
2112,Thibeaux,X
2114,ferriprive,
2120,rouerie,
2131,Lamoureux,X
2132,Petion,
2142,Peron,
2146,dirigiste,
2150,estragon,
2152,en brosse,
2166,escargot,X
2171,sac,X
2178,dénouement,X
2179,veny,
2183,épée,
2187,epilepsy,
2198,carousel,X
2207,espaliere,
2214,Pichon,X
2217,tableau,X
2224,sans-souci,
2225,poudrette,
2228,Boucher,X
2231,abat-voix,X
2241,Dardenne,
2249,merde,
2255,dolmen,
2257,Boulet,X
2266,clochard,
2271,vancourier,
2272,acquiescence,
2292,Marchessault,
2301,secret of Polichinelle,
2308,Yon,
2310,celibate,
2316,laissez-passer,X
2318,Raiche,
2323,alépine,X
2326,esparcet,
2334,hydraulic,
2339,cedule,
2352,Lorge,
2361,ostensible,
2366,café noisette,X
2387,fromage blanc,X
2388,draisienne,X
2414,ampoule,
2427,Bongard,X
2445,parados,
2446,hydrate,
2448,teleocracy,
2449,chant royal,X
2451,gyroscope,
2455,Therrien,X
2464,Bollé,X
2476,altruism,
2483,marmite,
2485,lapin,
2498,acte gratuit,X
2499,morale,X
2507,amende,
2511,isolated,
2526,flutist,
2531,contredanse,
2535,bonheur du jour,X
2542,gaspereau,X
2543,sabretasche,
2553,conservatoire,X
2558,granite,X
2575,marigot,
2577,camaraderie,X
2588,creton,X
2599,abatsons,
2613,questionnaire,
2616,aide-de-camp,X
2638,Chouinard,X
2642,hachereau,
2654,Julliard,X
2658,Mandchou,
2663,panne,
2677,bouts-rimés,X
2685,assassin,X
2694,coupe,X
2702,scelerat,
2710,saker,
2716,Bruges,
2719,parfait,X
2729,brassard,
2737,Blois,X
2748,insectivore,
2752,bocasine,
2753,tennisman,
2757,soufflé,X
2764,engobe,
2788,magret,
2792,entrepreneuse,
2799,binocular,
2801,sciage,
2804,Veron,X
2821,buron,
2834,fasciation,
2840,aspic,
2841,celerifere,X
2867,Exocet,
2876,baroque,X
2877,culmination,
2890,rouleur,X
2897,sobriquet,
2899,dramaturgy,
2904,bobo,
2908,cirque,X
2923,course landaise,X
2924,melodeon,
2925,tarse,
2929,Mistral,
2933,statuesque,
2947,oxide,
2950,exigence,
2958,canapé,X
2972,Fanguy,
2973,diplomacy,
2980,Carpentier,X
2981,prehensile,
2998,syndical,
3010,guipure,
3017,Adelaide,
3020,boubou,
3026,defrock,
3035,minauderie,X
3037,arbitrage,X
3038,majuscule,
3040,tréflé,X
3045,brunion,
3046,espadrille,
3049,interventionist,
3057,jargoon,
3062,griot,X
3063,Naquin,
3069,stagnant,
3076,revolt,X
3091,destin,
3112,patchouli,X
3113,marcassin,
3124,vitrail,
3131,foulard,
3133,Mazars,
3135,ouvert,X
3136,Dugal,
3138,complex,
3139,trumpery,
3154,cartilage,
3160,sorbet,X
3161,involucre,
3165,confit,
3169,Cayenne,
3172,gobemouche,X
3183,Val-de-Marne,X
3192,brisure,
3197,ballonnement,
3199,axunge,X
3207,nacelle,
3211,peripatetic,
3217,troposphere,
3218,fricot,
3220,Mayotte,
3223,Bézier,X
3225,Fremont,
3226,lacert,
3235,conventionnel,
3250,vansire,
3252,Philippot,X
3257,compere,
3259,vehicle,
3263,nuance,
3272,Cerf,
3279,Bruley,
3284,Orgeron,
3299,chadon beni,X
3302,acclimate,
3311,mistral,
3321,cantinière,X
3324,cinema,
3331,brume,
3337,par,
3339,façon de parler,X
3343,opiniatre,
3354,Bercier,
3362,Hogue,X
3380,monture,
3396,mirabelle plum,
3407,disinfectant,
3411,cummer,
3419,illicit,
3435,sourdeline,X
3447,doublure,
3452,singulative,
3458,Cabriole leg,
3466,sous-chef,X
3468,bombard,
3472,petit mal,X
3480,abbé,X
3481,mixity,
3489,lucerne,
