,Word,Is loan?,,
1566,trahison des clercs,,,
1572,piloti,X,,
1574,parquet,X,,
1590,saucisse,,,
1634,Mâcon,X,,
1642,Dilly,X,,
1658,Bois,X,,
1668,tutoyer,X,,
1669,Verne,X,,
1679,cineast,X,,
1682,Bouchard,X,,
1685,attack,x,,
1686,bijection,X,,
1693,Sorel,X,,
1702,amende honorable,,,
1705,virion,,,
1708,remontant,X,,
1712,bomb,X,,
1718,Outaouais,X,,
1719,charade,X,,
1739,faute de mieux,X,,
1754,integrable,X,,
1757,bonbon,,,
1764,mal du siècle,X,,
1769,d'Amour,X,,
1777,lisse,X,,
1779,dependant,X,,
1782,barbet,X,,
1795,sagacity,,,
1806,beau geste,X,,
1807,dortoir,X,,
1813,telecabin,X,,
1825,lunule,X,,
1828,Monestime,X,,
1846,tinamou,X,,
1854,pourpointerie,X,,
1885,pyroxene,X,,
1889,acetylene,,,
1906,Harle,X,,
1925,Sabat,X,,
1929,grogram,X,,
1930,pochette,X,,
1932,architecture,X,,
1935,chalumeau,X,,
1941,trahison,X,,
1946,Guion,X,,
1954,Callovian,X,,
1963,Auger,X,,
1966,chronique scandaleuse,X,,
1982,Freemantle,X,,
1989,ammunition,X,,
1994,papillon,X,,
1995,raconteuse,X,,
1998,parmesan,X,,
2002,enfilade,X,,
2004,ennuyé,X,,
2006,Sagueneenne,X,,
2016,gégène,X,,
2030,chevron,X,,
2031,jougs,X,,
2037,Soyer,X,,
2038,beignet,X,,
2043,azote,X,,
2045,maillot,,,
2050,achene,X,,
2067,Belleau,X,,
2072,gutter rabbit,X,,
2073,Robicheau,X,,
2075,phenol,X,,
2085,preliminary,X,,
2090,Desbiens,X,,
2098,Dufaux,X,,
2108,truffière,X,,
2110,pourboire,X,,
2111,nef,,,
2112,Thibeaux,X,,
2114,ferriprive,X,,
2120,rouerie,X,,
2131,Lamoureux,X,,
2132,Petion,X,,
2142,Peron,X,,
2146,dirigiste,X,,
2150,estragon,X,,
2152,en brosse,X,,
2166,escargot,X,,
2171,sac,X,,
2178,dénouement,X,,
2179,veny,X,,
2183,épée,X,,
2187,epilepsy,X,,
2198,carousel,X,,
2207,espaliere,,,
2214,Pichon,X,,
2217,tableau,X,,
2224,sans-souci,X,,
2225,poudrette,X,,
2228,Boucher,X,,
2231,abat-voix,X,,
2241,Dardenne,X,,
2249,merde,X,,
2255,dolmen,,,
2257,Boulet,X,,
2266,clochard,X,,
2271,vancourier,X,,
2272,acquiescence,,,
2292,Marchessault,X,,
2301,secret of Polichinelle,X,,
2308,Yon,x,,
2310,celibate,X,,
2316,laissez-passer,X,,
2318,Raiche,,,
2323,alépine,X,,
2326,esparcet,X,,
2334,hydraulic,X,,
2339,cedule,X,,
2352,Lorge,X,,
2361,ostensible,X,,
2366,café noisette,x,,
2387,fromage blanc,,,
2388,draisienne,,,
2414,ampoule,x,,
2427,Bongard,,,
2445,parados,X,,
2446,hydrate,,,
2448,teleocracy,X,,
2449,chant royal,x,,
2451,gyroscope,X,,
2455,Therrien,,,
2464,Bollé,X,,
2476,altruism,X,,
2483,marmite,,,
2485,lapin,X,,
2498,acte gratuit,X,,
2499,morale,,,
2507,amende,X,,
2511,isolated,X,,
2526,flutist,X,,
2531,contredanse,X,,
2535,bonheur du jour,,,
2542,gaspereau,,,
2543,sabretasche,X,,
2553,conservatoire,X,,
2558,granite,X,,
2575,marigot,X,,
2577,camaraderie,X,,
2588,creton,,,
2599,abatsons,X,,
2613,questionnaire,X,,
2616,aide-de-camp,X,,
2638,Chouinard,,,
2642,hachereau,X,,
2654,Julliard,X,,
2658,Mandchou,X,,
2663,panne,,,
2677,bouts-rimés,X,,
2685,assassin,X,,
2694,coupe,X,,
2702,scelerat,,,
2710,saker,X,,
2716,Bruges,X,,
2719,parfait,,,
2729,brassard,X,,
2737,Blois,X,,
2748,insectivore,,,
2752,bocasine,,,
2753,tennisman,X,,
2757,soufflé,X,,
2764,engobe,,,
2788,magret,X,,
2792,entrepreneuse,X,,
2799,binocular,X,,
2801,sciage,,,
2804,Veron,,,
2821,buron,X,,
2834,fasciation,,,
2840,aspic,X,,
2841,celerifere,X,,
2867,Exocet,X,,
2876,baroque,,,
2877,culmination,X,,
2890,rouleur,X,,
2897,sobriquet,X,,
2899,dramaturgy,X,,
2904,bobo,,,
2908,cirque,X,,
2923,course landaise,X,,
2924,melodeon,,,
2925,tarse,X,,
2929,Mistral,X,,
2933,statuesque,X,,
2947,oxide,X,,
2950,exigence,X,,
2958,canapé,X,,
2972,Fanguy,,,
2973,diplomacy,X,,
2980,Carpentier,,,
2981,prehensile,X,,
2998,syndical,,,
3010,guipure,,,
3017,Adelaide,,,
3020,boubou,,,
3026,defrock,,,
3035,minauderie,X,,
3037,arbitrage,X,,
3038,majuscule,X,,
3040,tréflé,X,,
3045,brunion,,,
3046,espadrille,,,
3049,interventionist,X,,
3057,jargoon,X,,
3062,griot,,,
3063,Naquin,X,,
3069,stagnant,X,,
3076,revolt,,,
3091,destin,,,
3112,patchouli,X,,
3113,marcassin,X,,
3124,vitrail,,,
3131,foulard,,,
3133,Mazars,X,,
3135,ouvert,,,
3136,Dugal,,,
3138,complex,X,,
3139,trumpery,X,,
3154,cartilage,X,,
3160,sorbet,,,
3161,involucre,,,
3165,confit,X,,
3169,Cayenne,,,
3172,gobemouche,,,
3183,Val-de-Marne,X,,
3192,brisure,,,
3197,ballonnement,x,,
3199,axunge,X,,
3207,nacelle,,,
3211,peripatetic,X,,
3217,troposphere,X,,
3218,fricot,,,
3220,Mayotte,,,
3223,Bézier,X,,
3225,Fremont,X,,
3226,lacert,,,
3235,conventionnel,X,,
3250,vansire,,,
3252,Philippot,X,,
3257,compere,,,
3259,vehicle,,,
3263,nuance,,,
3272,Cerf,X,,
3279,Bruley,,,
3284,Orgeron,x,,
3299,chadon beni,X,,
3302,acclimate,X,,
3311,mistral,,,
3321,cantinière,X,,
3324,cinema,,,
3331,brume,,,
3337,par,,,
3339,façon de parler,X,,
3343,opiniatre,,,
3354,Bercier,,,
3362,Hogue,X,,
3380,monture,,,
3396,mirabelle plum,,,
3407,disinfectant,,,
3411,cummer,,,
3419,illicit,X,,
3435,sourdeline,X,,
3447,doublure,,,
3452,singulative,X,,
3458,Cabriole leg,,,
3466,sous-chef,X,,
3468,bombard,,,
3472,petit mal,X,,
3480,abbé,,,
3481,mixity,X,,
3489,lucerne,X,,
