,Word,Is loan?
1017,pièce d'occasion,X
1023,tarte Tatin,X
1029,solenoid,
1045,aileron,
1049,badaud,
1053,dolerite,
1070,pastis,
1072,nouveau riche,X
1081,Chantal,
1101,Abenaki,
1102,lapalissade,
1104,confidant,X
1130,demoiselle,X
1133,Nivôse,X
1141,melongene,
1142,Trudel,X
1148,Faneuil,
1150,elegante,X
1153,feminism,X
1163,Haury,
1165,compte rendu,
1169,Béjaïa,X
1175,horizontal,
1179,erudit,
1182,Marechal,C
1188,Germinal,
1194,homolog,
1196,beau sabreur,X
1214,decapitate,X
1218,avertissement,
1219,Cadillac,
1224,isolation,
1232,gourmandise,
1238,Vernet,
1241,grot,X
1242,mamelière,X
1250,emollient,
1252,glacé,
1253,département,
1254,prospectus,
1259,passéist,X
1263,limitrophe,
1264,exergue,
1280,espagnolette,X
1296,fauvette,X
1304,mouton enragé,
1305,Pelot,
1307,fadaise,
1308,lieu,
1315,Theberge,
1316,savoir-faire,X
1319,cambré,X
1323,amaranth,
1325,de Havilland,
1326,calembour,X
1330,greffier,
1336,Poincaré,
1337,talisman,
1339,corticine,
1351,Piccard,X
1352,yé-yé,X
1354,coquet,X
1356,flasque,X
1357,Levallois,
1360,Naples,
1361,talapoin,X
1371,bouleversement,X
1376,anatase,
1381,ballottement,
1384,en garde,X
1387,foulage,X
1391,macédoine,X
1395,bride,
1408,croisade,X
1429,jujube,X
1434,enmanché,X
1435,piedouche,X
1467,paillard,
1485,angelot,X
1489,baldaquin,X
1494,crème anglaise,X
1501,tourbillon,
1518,pourpointing,
1525,berdache,X
1535,bombe,X
1537,blet,
1538,Montlhéry,
1543,coulis,
1546,bras d'honneur,X
1549,saponule,X
1551,Simoneau,
1566,trahison des clercs,
1572,piloti,
1574,parquet,X
1590,saucisse,X
1634,Mâcon,X
1642,Dilly,
1658,Bois,X
1668,tutoyer,
1669,Verne,
1679,cineast,
1682,Bouchard,
1685,attack,
1686,bijection,X
1693,Sorel,
1702,amende honorable,X
1705,virion,
1708,remontant,X
1712,bomb,
1718,Outaouais,
1719,charade,X
1739,faute de mieux,X
1754,integrable,
1757,bonbon,X
1764,mal du siècle,X
1769,d'Amour,
1777,lisse,
1779,dependant,
1782,barbet,
1795,sagacity,
1806,beau geste,
1807,dortoir,X
1813,telecabin,
1825,lunule,
1828,Monestime,
1846,tinamou,X
1854,pourpointerie,X
1885,pyroxene,
1889,acetylene,
1906,Harle,
1925,Sabat,
1929,grogram,
1930,pochette,X
1932,architecture,
1935,chalumeau,X
1941,trahison,
1946,Guion,
1954,Callovian,
1963,Auger,
1966,chronique scandaleuse,
1982,Freemantle,
1989,ammunition,X
1994,papillon,X
1995,raconteuse,X
1998,parmesan,
2002,enfilade,X
2004,ennuyé,
2006,Sagueneenne,
2016,gégène,
2030,chevron,
2031,jougs,
2037,Soyer,
2038,beignet,
2043,azote,
2045,maillot,X
2050,achene,
2067,Belleau,X
2072,gutter rabbit,
2073,Robicheau,X
2075,phenol,
2085,preliminary,
2090,Desbiens,
2098,Dufaux,X
2108,truffière,X
2110,pourboire,
2111,nef,
2112,Thibeaux,X
2114,ferriprive,
2120,rouerie,
2131,Lamoureux,X
2132,Petion,
2142,Peron,X
2146,dirigiste,
2150,estragon,
2152,en brosse,
2166,escargot,X
2171,sac,
2178,dénouement,X
2179,veny,
2183,épée,
2187,epilepsy,X
2198,carousel,X
2207,espaliere,
2214,Pichon,
2217,tableau,X
2224,sans-souci,
2225,poudrette,
2228,Boucher,
2231,abat-voix,
2241,Dardenne,
2249,merde,
2255,dolmen,
2257,Boulet,
2266,clochard,
2271,vancourier,
2272,acquiescence,
2292,Marchessault,
2301,secret of Polichinelle,
2308,Yon,
2310,celibate,
2316,laissez-passer,X
2318,Raiche,X
2323,alépine,X
2326,esparcet,
2334,hydraulic,
2339,cedule,
2352,Lorge,
2361,ostensible,
2366,café noisette,
2387,fromage blanc,X
2388,draisienne,
2414,ampoule,
2427,Bongard,
2445,parados,
2446,hydrate,
2448,teleocracy,
2449,chant royal,
2451,gyroscope,
2455,Therrien,
2464,Bollé,X
2476,altruism,
2483,marmite,
2485,lapin,
2498,acte gratuit,
2499,morale,
2507,amende,
2511,isolated,
2526,flutist,
2531,contredanse,
2535,bonheur du jour,X
2542,gaspereau,X
2543,sabretasche,
2553,conservatoire,
2558,granite,
2575,marigot,
2577,camaraderie,X
2588,creton,
2599,abatsons,
2613,questionnaire,X
2616,aide-de-camp,X
2638,Chouinard,
2642,hachereau,
2654,Julliard,X
2658,Mandchou,
2663,panne,
2677,bouts-rimés,
2685,assassin,X
2694,coupe,
2702,scelerat,
2710,saker,
2716,Bruges,
2719,parfait,
2729,brassard,
2737,Blois,
2748,insectivore,
2752,bocasine,
2753,tennisman,
2757,soufflé,X
2764,engobe,
2788,magret,
2792,entrepreneuse,
2799,binocular,
2801,sciage,
2804,Veron,
2821,buron,
2834,fasciation,
2840,aspic,
2841,celerifere,X
2867,Exocet,
2876,baroque,x
2877,culmination,
2890,rouleur,
2897,sobriquet,x
2899,dramaturgy,
2904,bobo,x
2908,cirque,x
2923,course landaise,
2924,melodeon,
2925,tarse,
2929,Mistral,X
2933,statuesque,
2947,oxide,
2950,exigence,X
2958,canapé,X
2972,Fanguy,
2973,diplomacy,X
2980,Carpentier,X
2981,prehensile,
2998,syndical,
3010,guipure,
3017,Adelaide,
3020,boubou,
3026,defrock,
3035,minauderie,
3037,arbitrage,
3038,majuscule,
3040,tréflé,
3045,brunion,
3046,espadrille,X
3049,interventionist,
3057,jargoon,
3062,griot,
3063,Naquin,
3069,stagnant,
3076,revolt,X
3091,destin,
3112,patchouli,
3113,marcassin,
3124,vitrail,
3131,foulard,
3133,Mazars,
3135,ouvert,
3136,Dugal,
3138,complex,
3139,trumpery,
3154,cartilage,
3160,sorbet,X
3161,involucre,
3165,confit,
3169,Cayenne,
3172,gobemouche,
3183,Val-de-Marne,
3192,brisure,
3197,ballonnement,
3199,axunge,
3207,nacelle,
3211,peripatetic,
3217,troposphere,
3218,fricot,
3220,Mayotte,
3223,Bézier,X
3225,Fremont,X
3226,lacert,
3235,conventionnel,
3250,vansire,
3252,Philippot,
3257,compere,
3259,vehicle,
3263,nuance,
3272,Cerf,
3279,Bruley,
3284,Orgeron,
3299,chadon beni,X
3302,acclimate,
3311,mistral,X
3321,cantinière,X
3324,cinema,X
3331,brume,
3337,par,
3339,façon de parler,
3343,opiniatre,X
3354,Bercier,
3362,Hogue,
3380,monture,
3396,mirabelle plum,
3407,disinfectant,
3411,cummer,
3419,illicit,X
3435,sourdeline,
3447,doublure,
3452,singulative,
3458,Cabriole leg,
3466,sous-chef,X
3468,bombard,X
3472,petit mal,
3480,abbé,
3481,mixity,
3489,lucerne,
