,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
14,,বঙহ,বাঁশ,bɔŋɔɦɔ,bãʃɔ,বংহ,Bamboo,0.6666666666666666,0.6666666666666666,0.3576388888888889,0.3958333333333332,3.270833333333333,0.3923611111111111,3,5.1979675,0.7762606739997864,0.6661988496780396,0.9957422614097596,0.9944233894348145,0.8404385,0.7823403,0.9976649,0.9968748,loan
15,,চ’ত,চৈত,sɔ’tɔ,t͡ɕojt̪,Four,Chait,0.8571428571428571,0.75,0.2395833333333333,0.2604166666666666,4.4375,0.2395833333333333,1,-11.745882,0.8170848488807678,0.7070775628089905,0.9974842071533204,0.9972412586212158,0.87294304,0.776955,0.99898005,0.99830824,loan
16,,বিহ,বিষ,biɦ,biʃ,poison,Poison,0.3333333333333333,0.3333333333333333,0.0486111111111111,0.0555555555555555,0.9583333333333334,0.0486111111111111,1,3.9864078,0.5554104447364807,0.698030948638916,0.998436450958252,0.9983062744140624,0.6639762,0.82610804,0.999293,0.99938816,loan
17,,মাকৈ,মাহই,makɔɪ,maɦi,corn,Mahi,0.6,0.4,0.2291666666666666,0.25,2.35,0.25,2,-10.578133,0.9283744692802428,0.7995784282684326,0.9952290654182434,0.9989675283432008,0.9555882,0.89448905,0.9984567,0.9994397,loan
18,,পুলি,পোলা,puli,pola,Seedlings,Pola,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,2,-2.5442386000000003,0.8478764295578003,0.8341131210327148,0.9975156784057616,0.9993168115615844,0.8743069,0.88446563,0.99906325,0.99953616,loan
19,,মূলা,মূল,mula,mulɔ,Radish,Original,0.25,0.0,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,1,0.052645832,0.8856847882270813,0.7643348574638367,0.996026575565338,0.9989297389984132,0.92193055,0.85973257,0.9994047,0.99958014,loan
20,,সেকা,শিক্ষা,xɛka,ʃikkʰa,Seka,Education,0.6666666666666666,0.4,0.225,0.25,1.925,0.2458333333333333,4,3.9895968,0.7106099128723145,0.702793300151825,0.9992548823356628,0.9987678527832032,0.7443105,0.7841271,0.9994457,0.99915856,loan
21,,পানী,পানি,pani,pan̪i,water,Water,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,1,-2.9071984,0.874058187007904,0.5155227184295654,0.9997437000274658,0.999796450138092,0.9119921,0.835449,0.9997915,0.999622,loan
22,,মিঠা,মিষ্টি,mitʰa,miʃʈi,sweet,Sweet,0.6,0.2,0.2166666666666666,0.2333333333333333,1.8,0.2333333333333333,4,-0.5661447,0.9193034172058104,0.7564688920974731,0.9997416138648988,0.9998071789741516,0.9221356,0.7952334,0.99978715,0.9994774,loan
23,,টাকা,ঠেং,ʈaka,tʰɛŋ,Money,The tail,1.0,0.5,0.296875,0.3229166666666666,2.875,0.3229166666666666,4,-3.4757295,0.8406712412834167,0.7046963572502136,0.9998712539672852,0.99971342086792,0.97228813,0.9477304,0.9998745,0.999786,loan
24,,হৃদয়,হিয়া,ɦɽid̪e̯ɔ,ɦija,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,3,-5.677862999999999,0.906637728214264,0.7157903909683228,0.997828483581543,0.9984011650085448,0.98331344,0.96701616,0.99974036,0.99988174,loan
25,,শনিবার,শনিবাৰ,ʃɔn̪ibar,xɔnibaɹ,Saturday,Saturday,0.375,0.1428571428571428,0.0505952380952379,0.0654761904761904,0.7678571428571429,0.0505952380952379,1,-1.0335306999999998,0.9038005471229552,0.7697734236717224,0.9991546869277954,0.9988214373588562,0.9822785,0.93485034,0.99983144,0.99986035,loan
26,,ক্রিয়া,ক্ৰিয়া,krie̯a,kɹija,Verbs,Action,0.5,0.0,0.05,0.075,0.875,0.05,1,-3.0516949,0.8471569418907166,0.8596051931381226,0.9990290403366088,0.9997227191925048,0.9664011,0.95330065,0.9998602,0.99992776,loan
27,,ধোঁয়া,ধোঁৱা,d̪ʱõe̯a,dʰʊ̃wa,Smoke,smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,2,-0.71205425,0.9282607436180116,0.8177294135093689,0.9990584254264832,0.996139109134674,0.9444096,0.9416976,0.9998976,0.9996865,loan
28,,ঘামা,ঘমা,gʱama,gʱɔma,Sweat,Sweat,0.2,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,1,-5.0002937,0.956143081188202,0.7797563076019287,0.9953811764717102,0.9992560148239136,0.99029255,0.98027796,0.99983585,0.9999393,loan
29,,সকল,সকলো,ʃɔkɔlɔ,xɔkɔlʊ,All,everything,0.3333333333333333,0.1666666666666666,0.03125,0.0347222222222222,0.3541666666666667,0.03125,1,-3.3763843,0.8591930270195007,0.6129505038261414,0.9986029863357544,0.9997997879981996,0.97315043,0.92844653,0.9991051,0.99984646,loan
30,,আঁডু,আঁঠু,ãɖu,ãtʰu,Andu,knee,0.5,0.0,0.0416666666666666,0.0416666666666666,0.3333333333333333,0.0416666666666666,1,-8.687225999999999,0.9511480927467346,0.8969002366065979,0.9997328519821168,0.9992398023605348,0.9883479,0.9622775,0.9998642,0.9998798,loan
31,,ক্যা,কি,kæ,ki,Kya,What?,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,3,-2.2941628,0.9082298874855042,0.5702677965164185,0.9985992312431335,0.9986684918403624,0.97880834,0.9349066,0.9999476,0.9999566,loan
32,,বোন,ভনী,bon̪,bʰɔni,Sister,Sister,0.6,0.25,0.2552083333333333,0.28125,2.0,0.28125,3,-2.7458262,0.8794268369674683,0.6391738057136536,0.9987924098968506,0.998830497264862,0.97779924,0.962495,0.9998154,0.9999111,loan
33,,সাঁঝ,সন্ধিয়া,ʃãd͡ʑʱɔ,xɔndʰija,Evening,evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,7,-18.264954,0.8823370337486267,0.6917768120765686,0.9995204210281372,0.99788236618042,0.9728295,0.9317777,0.9998522,0.9998682,loan
34,,কর্ণ,কাণ,kɔrnɔ,kan,Ears,ear,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,2,-2.6550589,0.8981475830078125,0.6354708671569824,0.9983383417129515,0.9998177289962769,0.9821212,0.9616471,0.99984074,0.99991816,loan
35,,ঘড়ি,ঘড়ী,gʱɔɽi,gʱɔɹi,The clock,clock,0.2,0.0,0.0694444444444444,0.0972222222222222,1.3333333333333333,0.0694444444444444,1,-5.22599,0.8858524560928345,0.8825657963752747,0.9984705448150636,0.9981032609939576,0.9779983,0.9458313,0.9999424,0.9998817,loan
36,,শেখা,শিকা,ʃekʰa,xika,Learning,learn,0.6,0.25,0.0572916666666666,0.0624999999999999,0.59375,0.0572916666666666,2,3.5438566,0.91780424118042,0.7373245358467102,0.998980700969696,0.9981987476348876,0.9714662,0.9287746,0.99983495,0.9998998,loan
37,,ডাঁশ,ডাঁহ,ɖãʃɔ,dãɦɔ,Bite,Duck,0.5,0.3333333333333333,0.046875,0.0520833333333333,0.84375,0.046875,1,-0.22906697,0.9592530727386476,0.9282821416854858,0.995655119419098,0.9986197352409364,0.9702593,0.95070755,0.9999037,0.9998256,loan
38,,বাঁশ,বঙহ,bãʃɔ,bɔŋɔɦɔ,Bamboo,বংহ,0.6666666666666666,0.6666666666666666,0.3576388888888889,0.3958333333333332,3.270833333333333,0.3923611111111111,3,-4.1755276,0.7762205600738525,0.6661988496780396,0.9946889877319336,0.997875452041626,0.9765856,0.94040966,0.9997519,0.99990845,loan
39,,ব্যবহার,ব্যৱহাৰ,bd͡zɔbɔɦar,bzɔwɔɦaɹ,Use,use,0.4,0.25,0.0677083333333333,0.078125,1.5,0.0677083333333333,2,-17.870770999999994,0.7761343121528625,0.7378839254379272,0.999733567237854,0.9999045729637146,0.9628345,0.9326439,0.99976647,0.9997539,loan
40,,আষ্ট,আঠ,aʃʈɔ,atʰ,Eight,eight,0.75,0.5,0.4739583333333333,0.5208333333333333,3.8125,0.5208333333333333,3,-10.169884,0.9084500074386596,0.7435644865036011,0.9991809725761414,0.9986575841903688,0.9776908,0.9691881,0.99991906,0.9999109,loan
41,,সন্ধ্যা,সন্ধিয়া,ʃɔn̪d̪ʱæ,xɔndʰija,Evening,evening,0.75,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.4107142857142856,0.3244047619047618,2,-19.995968,0.9170891642570496,0.8175247311592102,0.9987610578536988,0.9997618198394777,0.9857687,0.95603776,0.9998528,0.9997602,loan
