,Bengali,Sanskrit,Assamese
146,দাম,द्रम्म,দাম
147,দিন,दिन,দিন
148,দুঃখ,दुःख,দুখ
149,দুখ,दुःख,দুখ
150,দুই,द्वि,দুই
151,দুগ্ধ,दुग्ध,দুগ্ধ
152,দুধ,दुग्ध,দুধ
153,দ্বার,द्वार,দুৱাৰ
154,দ্বীপ,द्वीप,দ্বীপ
155,ধনিয়া,धन‌्याक,ধনিয়া
156,ধন্যবাদ,धन्य,ধন্যবাদ
157,ধর্ম,धर्म,ধৰ্ম
158,ধুমা,धूम,ধোঁৱা
159,ধোঁয়া,धूम,ধোঁৱা
160,নখ,नख,নখ
161,নগর,नगर,নগৰ
162,নতুন,नूतन,নতুন
163,নদী,नदी,নদী
164,নাই,नहि,নাই
165,নাও,नावा,নাও
166,নাম,नामन्,নাম
167,নীল,नील,নীল
168,নীহারিকা,नीहार,নিয়ৰ
169,পদ্ম,पद्म,পদুম
170,পশু,पशु,পশু
171,পাঁচ,पञ्चन्,পাঁচ
172,পাখ,पक्ष,পখিলা
173,পাখা,पक्ष,পখিলা
174,পাখি,पक्ष,পাখি
175,পাণ,पर्ण,পাণ
176,পাতা,प्राप्त,পাতা
177,পানি,पानीय,পানী
178,পানীয়,पानीय,পানী
179,পায়স,पायस,পায়স
180,পিতা,पितृ,পিতা
181,পিন্ধা,पिनद्ध,পিন্ধ
182,পিন্ধা,पिनद्ध,পিন্ধা
183,পুত,पुत्र,পুত
184,পুরুষ,पुरुष,পুৰুষ
185,পুষ্প,पुष्प,পুষ্প
186,পুস্তক,पुस्तक,পুথি
187,পেঁচা,पेचक,ফেঁচা
188,পো,पोत,পো
189,পোলা,पोत,পুলি
190,পোলা,पोत,পোনা
191,পোলা,पोत,পোৱালী
192,পোষ,पौष,পুহ
193,প্রাচীন,प्राचीन,প্ৰাচীন
194,ফণী,फणिन्,ফণী
195,ফল,फल,ফল
196,ফুল,फुल्ल,ফুল
197,বঙ্গ,वङ्ग,বঙালী
198,বাংলা,वङ्ग,বঙালী
199,বাঙালি,वङ्ग,বঙালী
200,বাঙ্গালী,वङ्ग,বঙালী
201,বস্তু,वस्तु,বস্তু
202,বহুত,बहुत्व,বহুত
203,বা,वा,বা
204,বাঁশ,वंश,বঙহ
205,বাউল,वातुल,বলিয়া
206,বাউল,वातुल,বাউল
207,বাঘ,व्याघ्र,বাঘ
208,ব্যাঘ্র,व्याघ्र,বাঘ
209,বাজ,बाह्य,বাজ
210,বাজ,बाह्य,বাজে
211,বাট,वर्त्मन्,বাট
212,বান,वन्या,বান
213,বায়ু,वायु,বায়ু
214,বাল,वाल,বাল
215,বিছা,वृश्चिक,বিছা
216,বিছা,वृश्चिक,বৃশ্চিক
217,বিজ্ঞান,विज्ञान,বিজ্ঞান
218,বিলাই,विलाप,বিলাই
219,বিলাই,विलाप,বিলৈ
220,বিষ,विष,বিষ
221,বিষ,विष,বিহ
222,বুদ্ধি,बुद्धि,বুদ্ধি
223,বুধবার,बुधवार,বুধবাৰ
224,বেঁকা,वङ्क,বেঁকা
225,বেল,बैल्व,বেল
226,বোন,भगिनी,বৈনী
227,বোন,भगिनी,ভনী
228,ব্যবহার,व्यवहार,ব্যৱহাৰ
229,ব্যাকরণ,व्याकरण,ব্যাকৰণ
230,ভইষ,महिष,মৈহ
231,মহিষ,महिष,মৈহ
232,ভয়,भय,ভয়
233,ভাই,भ्रातृ,ভাই
234,ভাজা,भृज्जति,ভজা
235,ভাজা,भृज्जति,ভাজা
236,ভাত,भक्त,ভকত
237,ভাত,भक्त,ভাত
238,ভারত,भारत,ভাৰত
239,ভাল,भल्ल,ভাল
240,ভালুক,भल्लूक,ভালুক
241,ভাষা,भाषा,ভাষা
242,মই,मया,মই
243,মকাই,मर्कक,মাকৈ
244,মাহই,मर्कक,মাকৈ
245,মঙ্গলবার,मङ्गलवार,মঙলবাৰ
246,ময়ূর,मयूर,ময়ূৰ
247,ময়ূর,मयूर,মৈৰা
248,মাংস,मांस,মঙহ
249,মাংস,मांस,মাংস
250,মাক্‌খি,मक्षिका,মাখি
251,মাছ,मत्स्य,মাছ
252,মাঝ,मध्य,মাজ
253,মাত,मन्त्र,মাত
254,মাতা,मन्त्र,মাতা
255,মিছা,मिथ्या,মিছা
256,মিঠা,मिष्ट,মিঠা
257,মিডা,मिष्ट,মিঠা
258,মিষ্টি,मिष्ट,মিঠা
259,মু,मुख,মুহ
260,মুখ,मुख,মুখ
261,মুঠা,मुष्टि,মুঠ
262,মুঠা,मुष्टि,মুঠা
263,মুঠা,मुष्टि,মুঠি
264,মুঠি,मुष्टि,মুঠ
265,মুঠি,मुष्टि,মুঠা
266,মুঠি,मुष्टि,মুঠি
267,মুঠো,मुष्टि,মুঠ
268,মুঠো,मुष्टि,মুঠা
269,মুঠো,मुष्टि,মুঠি
270,মূত্র,मूत्र,মূত
271,মূল,मूल,মূলা
272,মৃত্যু,मृत्यु,মৃত্যু
273,মেঘ,मेघ,মেঘ
274,মেয়ে,मातृका,মাই
275,মৈ,मतिय,মৈ
276,যুদ্ধ,युद्ध,যুদ্ধ
277,যোনি,योनि,যোনি
278,রং,रङ्ग,ৰঙা
279,রং,रङ्ग,ৰাং
280,রঙ,रङ्ग,ৰঙা
281,রঙ,रङ्ग,ৰাং
282,রাং,रङ्ग,ৰঙা
283,রাং,रङ्ग,ৰাং
284,রউন,लशुन,লহুন
285,রসুন,लशुन,লহুন
286,রচনা,रचना,ৰচনা
287,রবিবার,रविवार,ৰবিবাৰ
288,রাষ্ট্র,राष्ट्र,ৰাষ্ট্ৰ
289,লবণ,लवण,লোণ
290,লাউ,अलाबु,লাউ
291,লাউ,अलाबु,লাও
292,লাখ,लक्ष,লাখ
293,লাজ,लज्जा,লাজ
294,লিপি,लिपि,লিপি
295,শনিবার,शनिवार,শনিবাৰ
296,শব্দ,शब्द,শব্দ
297,শাওন,श्रावण,শাওন
298,শিক্ষা,शिक्षा,শিকোৱা
299,শিক্ষা,शिक्षा,শিক্ষা
300,শিক্ষা,शिक्षा,সেকা
301,শিল,शिला,শিল
302,শুখা,शुष्क,শুকান
303,শূন্য,शून्य,শূন্য
304,শেখা,शिक्षति,শিকা
305,শৈবাল,शैवाल,শেলাই
306,শ্রী,श्री,শ্রী
307,শ্রীবৃক্ষ,श्री,শ্রী
308,সকল,सकल,সকলো
309,হক্কল,सकल,সকলো
310,হগল,सकल,সকলো
311,সন্ধ্যা,सन्ध्या,সন্ধিয়া
312,সাঁঝ,सन्ध्या,সন্ধিয়া
313,সময়,समय,সময়
314,সমান,समान,সমান
315,সমানে,समान,সমান
316,হমান,समान,সমান
317,সর্প,सर्प,সাপ
318,সাপ,सर्प,সাপ
319,সহা,सहते,সহা
320,সাঁকো,संक्रम,সাঁকো
321,সাঁচা,सञ्चयति,সাঁচ
322,সাঁচা,सञ्चयति,সাঁচা
323,সাগর,सागर,সাগৰ
324,হাওর,सागर,সাগৰ
325,সাত,सप्तन्,সাত
326,সিংহ,सिंह,সিংহ
327,সোমবার,सोमवार,সোমবাৰ
328,স্বাধীনতা,स्वाधीनता,স্বাধীনতা
329,হাচা,सत्य,সঁচা
330,হাট,हट्ट,হাট
331,হাট,हट्ट,হাটী
332,হাত,हस्त,হাত
333,হামি,हर्मन्,হামি
334,হাল,हल,হাল
335,হিংসা,हिंसा,হিংসা
336,হিম,हिम,হিম
337,হিয়া,हृदय,হিয়া
338,হৃদয়,हृदय,হিয়া
