,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,label
22,,সন্ধিয়া,সাঁঝ,xɔndʰija,ʃãd͡ʑʱɔ,evening,Evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,0.8823111057281494,0.6917768120765686,0.9991691112518308,0.997950315475464,loan
23,,পানী,পানীয়,pani,pan̪ie̯,water,Drinks,0.4285714285714285,0.2,0.1875,0.2083333333333333,1.5,0.2083333333333333,0.8847489953041077,0.7102280855178833,0.9993327856063844,0.999554455280304,loan
24,,চকৰ,চাকা,sɔkɔɹɔ,t͡ɕaka,Chakar,The wheel,1.0,0.5,0.3923611111111111,0.4236111111111111,3.458333333333333,0.4236111111111111,0.8250657320022583,0.5943693518638611,0.9993155598640442,0.9970171451568604,loan
25,,ঘড়ী,ঘড়ি,gʱɔɹi,gʱɔɽi,clock,The clock,0.2,0.0,0.0694444444444444,0.0972222222222222,1.3333333333333333,0.0694444444444444,0.8858433365821838,0.8825657963752747,0.9983189702033995,0.9985682964324952,loan
26,,আগুনি,আগুন,aguni,aɡun̪,Fire,Fire,0.4,0.5,0.2604166666666667,0.3020833333333333,3.6875,0.2604166666666667,0.9376559853553772,0.7323889732360841,0.9958029985427856,0.9977842569351196,loan
27,,বৈনী,বোন,bɔɪni,bon̪,Baini,Sister,0.6,0.4,0.375,0.4166666666666667,3.0,0.4166666666666667,0.8483569025993347,0.6940174102783203,0.9978376626968384,0.9983533620834352,loan
28,,চান,চাঁদ,san,t͡ɕãd̪ɔ,Want,The moon,1.0,0.6666666666666666,0.3177083333333333,0.34375,3.3125,0.34375,0.6761544942855835,0.6655839085578918,0.9991584420204164,0.9997708201408386,loan
29,,শ্রী,শ্রীবৃক্ষ,xɹi,ʃribɽikkʰɔ,Mr.,Srivriksha,0.9,0.7777777777777778,0.625,0.7129629629629629,5.402777777777778,0.7013888888888888,0.923131227493286,0.8254263401031494,0.999233067035675,0.996766984462738,loan
30,,লহুন,রসুন,lɔɦun,rɔʃun̪,Blood,Garlic,0.5,0.2,0.0625,0.0833333333333333,0.925,0.0625,0.9332149624824524,0.7399226427078247,0.996277928352356,0.995316207408905,loan
31,,ৰঙা,রাং,ɹɔŋa,raŋ,red,Rang,0.75,0.25,0.3072916666666667,0.3541666666666666,3.125,0.3333333333333333,0.8415406942367554,0.7465512156486511,0.9980382919311525,0.9992169141769408,loan
32,,চকা,চাকা,sɔka,t͡ɕaka,wheel,The wheel,0.6666666666666666,0.25,0.09375,0.09375,1.125,0.09375,0.9170917868614196,0.6538639664649963,0.9960665106773376,0.9975738525390624,loan
33,,গাঁউ,গাঁও,gãu,ɡão,Village,The village,0.6666666666666666,0.5,0.3263888888888889,0.3611111111111111,2.75,0.3611111111111111,0.9387259483337402,0.6215727925300598,0.9985837936401368,0.9946643114089966,loan
34,,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,0.9120674729347228,0.7410076856613159,0.9957842230796814,0.9984537363052368,loan
35,,টকা,টেহা,tɔka,ʈeɦa,Money,Teha,0.75,0.25,0.09375,0.09375,1.5,0.09375,0.9032002687454224,0.6383771896362305,0.9996742010116576,0.9978294968605042,loan
36,,চাকি,চাকা,saki,t͡ɕaka,Candles,The wheel,0.6666666666666666,0.25,0.0729166666666666,0.0729166666666666,0.9375,0.0729166666666666,0.9008076190948486,0.8774087429046631,0.9992447495460508,0.9980537295341492,loan
37,,মাকৈ,মকাই,makɔɪ,mɔkai,corn,Maize,0.6,0.0,0.075,0.075,0.75,0.075,0.9292162656784058,0.7862934470176697,0.9989088177680968,0.998522400856018,loan
38,,সাপ,সর্প,xap,ʃɔrpɔ,Snake,The snake,0.8,0.6,0.4083333333333334,0.4666666666666666,3.575,0.4625,0.8405910730361938,0.5983121991157532,0.9997738003730774,0.9983076453208924,loan
39,,আঁহ,অংশু,ãɦɔ,oŋʃu,Fiber,Anshu,1.0,0.75,0.3333333333333333,0.3645833333333333,3.25,0.359375,0.869806706905365,0.8259573578834534,0.9969292283058168,0.9987198710441588,loan
40,,কাছু,কাছ,kasu,kat͡ɕʰ,Something,Near,0.6666666666666666,0.5,0.2864583333333333,0.3125,2.5625,0.3125,0.8760320544242859,0.5198234915733337,0.9974092841148376,0.998073399066925,loan
41,,মঙহ,মাংস,mɔŋɔɦɔ,maŋʃɔ,Meat,Meat,0.5,0.3333333333333333,0.2013888888888888,0.2222222222222222,1.9791666666666667,0.21875,0.8671860098838806,0.6738026142120361,0.9959476590156556,0.9961711168289183,loan
42,,কলা,কালি,kɔla,kali,Banana,yesterday,0.5,0.0,0.0625,0.0625,0.6875,0.0625,0.9034579992294312,0.6169573664665222,0.998230755329132,0.999644696712494,loan
43,,কাণ,কর্ণ,kan,kɔrnɔ,ear,Ears,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,0.8980881571769714,0.6354708671569824,0.9984732270240784,0.9997608661651612,loan
44,,সঁচা,হাচা,xɔ̃sa,ɦat͡ɕa,true,Hacha,0.8333333333333334,0.5,0.1458333333333333,0.1458333333333333,2.0625,0.1458333333333333,0.9408519864082336,0.796481728553772,0.9989369511604308,0.9987921714782716,loan
45,,পুৰুষ,পুরুষ,puɹux,puruʃ,male,Men,0.4,0.2,0.0625,0.0833333333333333,1.025,0.0625,0.7637459635734558,0.6749327182769775,0.9999223947525024,0.9994620084762572,loan
46,,চান্দ,চান,sandɔ,t͡ɕan̪,Chand,Want,0.8333333333333334,0.6,0.4125,0.45,3.5,0.45,0.8914493918418884,0.6065380573272705,0.9996218681335448,0.9984611868858336,loan
47,,মৈহ,ভইষ,mɔɪɦ,bʱiʃ,Maih,Fear,1.0,0.75,0.2916666666666667,0.3229166666666667,3.21875,0.3177083333333333,0.9153059720993042,0.7369096279144287,0.9985241889953612,0.9955025315284728,loan
48,,ৰবিবাৰ,রবিবার,ɹɔbibaɹ,rɔbibar,Sunday,Sunday,0.2857142857142857,0.0,0.0476190476190476,0.0714285714285714,1.0,0.0476190476190476,0.9009596705436708,0.5882399082183838,0.99652361869812,0.9976667761802672,loan
49,,কল,কেলা,kɔlɔ,kela,Call,The banana,0.5,0.0,0.0729166666666666,0.0729166666666666,0.75,0.0729166666666666,0.8934103846549988,0.6917720437049866,0.9984055161476136,0.9989678263664246,loan
50,,দীঘ,ডাঙর,digʱ,ɖaŋɔrɔ,Long,Strong,1.0,0.6666666666666666,0.6076388888888891,0.6875,5.083333333333333,0.6875,0.866416335105896,0.58580082654953,0.9989457726478576,0.9981672167778016,loan
51,,ৰাষ্ট্ৰ,রাষ্ট্র,ɹaxtɹɔ,raʃʈrɔ,The State,State,0.6666666666666666,0.1666666666666666,0.0868055555555555,0.1180555555555555,1.5208333333333333,0.0868055555555555,0.6163332462310791,0.776870846748352,0.999420702457428,0.9995691776275636,loan
52,,অংক,অঙ্ক,ɔŋkɔ,oŋkɔ,Math,The numbers,0.25,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.9459365606307985,0.6664331555366516,0.999638557434082,0.9995921850204468,loan
53,,ডিমা,ডিম,dima,ɖim,Dima,Eggs,0.5,0.25,0.234375,0.2604166666666667,1.9375,0.2604166666666667,0.9411411285400392,0.7239173650741577,0.9992108345031738,0.9994498491287231,loan
54,,দুৱাৰ,দ্বার,duwaɹ,d̪ar,The door,The door,0.6,0.4,0.4,0.4583333333333333,3.65,0.4416666666666667,0.8241453766822815,0.6474062204360962,0.9945068955421448,0.9995301365852356,loan
55,,শিকোৱা,শিক্ষা,xikʊwa,ʃikkʰa,teaching,Education,0.5,0.5,0.2222222222222222,0.2430555555555555,2.5625,0.2395833333333333,0.62889564037323,0.8629765510559082,0.9993137121200562,0.9969102144241332,loan
56,,পোনা,পোলা,pʊna,pola,Pona,Pola,0.5,0.25,0.0520833333333333,0.0520833333333333,0.6875,0.0520833333333333,0.8651359677314758,0.8859043121337891,0.9993057250976562,0.9992123246192932,loan
57,,সকলো,হক্কল,xɔkɔlʊ,ɦɔkkɔlɔ,everything,Haqkal,0.4285714285714285,0.2857142857142857,0.1577380952380952,0.1726190476190476,1.5714285714285714,0.1726190476190476,0.8395036458969116,0.6777084469795227,0.997503101825714,0.9983549118041992,loan
58,,বঙালী,বাঙ্গালী,bɔŋali,baŋɡali,Bengali,Bengali,0.2857142857142857,0.1428571428571428,0.1517857142857142,0.1666666666666666,1.2857142857142858,0.1666666666666666,0.8913454413414001,0.7569032311439514,0.9986352920532228,0.9993842244148254,loan
59,,আমি,আঁই,ami,ãi,I,I am,0.6666666666666666,0.6666666666666666,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,0.6824624538421631,0.6302908062934875,0.9985576868057252,0.99941086769104,loan
60,,এক,একলা,ɛk,ekɔla,One,Alone,0.8,0.6,0.55,0.6083333333333334,4.4,0.6083333333333334,0.920578122138977,0.628900945186615,0.9965800642967224,0.9994990229606628,loan
61,,ভজা,ভাজা,bʰɔza,bʱad͡ʑa,Fried,Fried,0.7142857142857143,0.25,0.1041666666666666,0.1041666666666666,1.1875,0.1041666666666666,0.9257422685623168,0.8524996042251587,0.9997416138648988,0.99863463640213,loan
62,,লহুন,রউন,lɔɦun,run̪,Blood,Rune,0.8,0.4,0.3916666666666667,0.4499999999999999,3.25,0.4333333333333333,0.8782098889350891,0.6840513944625854,0.9991841912269592,0.9971636533737184,loan
63,,কাচ,কাঁচ,kas,kãt͡ɕɔ,Glass,Glass,0.8333333333333334,0.6666666666666666,0.2864583333333333,0.3125,2.625,0.3125,0.9645016193389891,0.7861839532852173,0.9996864795684814,0.9992234706878662,loan
64,,বঙালী,বাংলা,bɔŋali,baŋla,Bengali,Bengali,0.5,0.1666666666666666,0.1909722222222222,0.2083333333333333,1.6666666666666667,0.2083333333333333,0.7997565269470215,0.5693972706794739,0.9999189972877502,0.9995658993721008,loan
65,,টকা,টাকা,tɔka,ʈaka,Money,Money,0.5,0.0,0.0520833333333333,0.0520833333333333,0.5625,0.0520833333333333,0.9004997611045837,0.6420102715492249,0.9998741745948792,0.9997807145118712,loan
66,,শেলাই,শৈবাল,xɛlai,ʃojbalɔ,Seams,Algae,0.8571428571428571,0.4285714285714285,0.3541666666666666,0.3869047619047618,3.321428571428572,0.3809523809523809,0.8861422538757324,0.7273820638656616,0.9999330639839172,0.9984180927276612,loan
67,,বুধবাৰ,বুধবার,budʰbaɹ,bud̪ʱɔbar,Wednesday,Wednesday,0.4444444444444444,0.1428571428571428,0.1636904761904762,0.1904761904761904,1.6071428571428572,0.1785714285714285,0.9304407238960266,0.6562539339065552,0.998757541179657,0.9982630014419556,loan
68,,কচু,কচুয়া,kɔsu,kɔt͡ɕue̯a,Kachu,Kachua,0.6666666666666666,0.5,0.3333333333333333,0.3680555555555555,2.875,0.3680555555555555,0.945840060710907,0.6128230094909668,0.9994364380836488,0.9976901412010192,loan
69,,পোৱালী,পোলা,pʊwali,pola,The puppy,Pola,0.6666666666666666,0.3333333333333333,0.3263888888888889,0.3611111111111111,2.708333333333333,0.3611111111111111,0.8480932712554932,0.7823452949523926,0.9991909265518188,0.9988054037094116,loan
70,,বঙালী,বঙ্গ,bɔŋali,bɔŋɡɔ,Bengali,Bengal,0.5,0.3333333333333333,0.2291666666666667,0.25,2.4375,0.2465277777777778,0.8088847398757935,0.8030872941017151,0.9990188479423524,0.9994882345199584,loan
71,,ভনী,বোন,bʰɔni,bon̪,Sister,Sister,0.6,0.25,0.2552083333333333,0.28125,2.0,0.28125,0.8794052004814148,0.6391738057136536,0.9977146983146667,0.9982019066810608,loan
72,,প্ৰাচীন,প্রাচীন,pɹasin,prat͡ɕin̪,Ancient,Ancient,0.5555555555555556,0.1666666666666666,0.0694444444444444,0.0833333333333333,1.0833333333333333,0.0694444444444444,0.7734997272491455,0.8392791152000427,0.9994421005249025,0.999761164188385,loan
73,,বলিয়া,বাউল,bɔlija,baulɔ,Saying,Bowl,0.8333333333333334,0.1666666666666666,0.2673611111111111,0.2847222222222222,2.7291666666666665,0.28125,0.9129900932312012,0.66325843334198,0.9983215928077698,0.9989691376686096,loan
74,,বঙহ,বাঁশ,bɔŋɔɦɔ,bãʃɔ,বংহ,Bamboo,0.6666666666666666,0.6666666666666666,0.3576388888888889,0.3958333333333332,3.270833333333333,0.3923611111111111,0.7762606739997864,0.6661988496780396,0.9957422614097596,0.9944233894348145,loan
75,,অগ্নি,আগুন,ɔgni,aɡun̪,Fire,Fire,0.8,0.5,0.3697916666666666,0.3958333333333333,3.78125,0.390625,0.8255609273910522,0.5275846719741821,0.9998780488967896,0.9993711113929749,loan
76,,পুহ,পোষ,puɦ,poʃ,Puh,Pet,0.6666666666666666,0.3333333333333333,0.0763888888888889,0.0833333333333333,1.2916666666666667,0.0763888888888889,0.9452135562896729,0.83423912525177,0.9956170320510864,0.9978398084640504,loan
77,,ঠেং,টেহা,tʰɛŋ,ʈeɦa,The tail,Teha,1.0,0.5,0.296875,0.3229166666666666,2.6875,0.3229166666666666,0.8998979926109314,0.7721473574638367,0.9995874762535096,0.9979287385940552,loan
78,,চ’ত,চৈত,sɔ’tɔ,t͡ɕojt̪,Four,Chait,0.8571428571428571,0.75,0.2395833333333333,0.2604166666666666,4.4375,0.2395833333333333,0.8170848488807678,0.7070775628089905,0.9974842071533204,0.9972412586212158,loan
79,,বিহ,বিষ,biɦ,biʃ,poison,Poison,0.3333333333333333,0.3333333333333333,0.0486111111111111,0.0555555555555555,0.9583333333333334,0.0486111111111111,0.5554104447364807,0.698030948638916,0.998436450958252,0.9983062744140624,loan
80,,দীঘা,ডাঙর,digʱa,ɖaŋɔrɔ,Digha,Strong,1.0,0.5,0.4861111111111111,0.548611111111111,4.166666666666667,0.548611111111111,0.9060202240943908,0.710252583026886,0.9957666993141174,0.9974578619003296,loan
81,,হিয়া,হৃদয়,ɦija,ɦɽid̪e̯ɔ,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,0.9065501689910888,0.7157903909683228,0.9987114071846008,0.9988890290260316,loan
82,,দীঘল,ডাঙর,digʱɔlɔ,ɖaŋɔrɔ,long,Strong,0.7142857142857143,0.1666666666666666,0.1909722222222222,0.2222222222222222,1.7083333333333333,0.2083333333333333,0.8687167763710022,0.7789833545684814,0.9956858158111572,0.9989540576934814,loan
83,,পুলি,পোলা,puli,pola,Seedlings,Pola,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,0.8478764295578003,0.8341131210327148,0.9975156784057616,0.9993168115615844,loan
84,,টাকা,টাং,taka,ʈaŋ,Money,Tang,0.75,0.5,0.265625,0.2916666666666667,2.625,0.2916666666666667,0.8574819564819336,0.6593776941299438,0.9945701956748962,0.9988079667091372,loan
85,,সকলো,সকল,xɔkɔlʊ,ʃɔkɔlɔ,everything,All,0.3333333333333333,0.1666666666666666,0.03125,0.0347222222222222,0.3541666666666667,0.03125,0.8591890335083008,0.6129505038261414,0.998484194278717,0.9996591806411744,loan
86,,মূলা,মূল,mula,mulɔ,Radish,Original,0.25,0.0,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,0.8856847882270813,0.7643348574638367,0.996026575565338,0.9989297389984132,loan
87,,সেকা,শিক্ষা,xɛka,ʃikkʰa,Seka,Education,0.6666666666666666,0.4,0.225,0.25,1.925,0.2458333333333333,0.7106099128723145,0.702793300151825,0.9992548823356628,0.9987678527832032,loan
88,,বিলৈ,বিলাই,bilɔɪ,bilai,to the b,distribute,0.4,0.0,0.0416666666666666,0.0416666666666666,0.4,0.0416666666666666,0.9255531430244446,0.7917198538780212,0.9998945593833924,0.9990482330322266,loan
89,,পানী,পানি,pani,pan̪i,water,Water,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.874058187007904,0.5155227184295654,0.9997437000274658,0.999796450138092,loan
90,,মাখি,মাক্‌খি,makʰi,mak‌kʰi,Flies,Makkhi,0.2857142857142857,0.2,0.1791666666666666,0.2,1.45,0.2,0.9201051592826844,0.6954079270362854,0.995045840740204,0.9991146326065063,loan
91,,পিন্ধ,পিন্ধা,pindʰɔ,pin̪d̪ʱa,Wear,wear,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,0.9421589374542236,0.8553645014762878,0.9981739521026612,0.9985084533691406,loan
92,,গোল,গোলন্দাজ,gʊl,ɡolɔn̪d̪ad͡ʑ,Round,Gunner,0.9166666666666666,0.75,0.6901041666666666,0.7604166666666666,5.53125,0.7604166666666666,0.9011051058769226,0.5969241261482239,0.999165177345276,0.998820662498474,loan
93,,চন্দ্ৰ,চাঁদ,sɔndɹɔ,t͡ɕãd̪ɔ,moon,The moon,0.7142857142857143,0.6666666666666666,0.3819444444444444,0.4097222222222222,3.2916666666666665,0.4097222222222222,0.6422774195671082,0.6260114312171936,0.9995129108428956,0.999448537826538,loan
94,,আঁঠু,আঁডু,ãtʰu,ãɖu,knee,Andu,0.5,0.0,0.0416666666666666,0.0416666666666666,0.3333333333333333,0.0416666666666666,0.951184332370758,0.8969002366065979,0.9993069767951964,0.99659526348114,loan
95,,চন্দ্ৰ,চান,sɔndɹɔ,t͡ɕan̪,moon,Want,1.0,0.6666666666666666,0.5243055555555556,0.5694444444444445,4.416666666666667,0.5694444444444445,0.7921643257141113,0.5392808318138123,0.9997260570526124,0.9994622468948364,loan
96,,চান্দ,চাঁদ,sandɔ,t͡ɕãd̪ɔ,Chand,The moon,0.7142857142857143,0.6,0.2416666666666666,0.2583333333333333,2.15,0.2583333333333333,0.670285701751709,0.7093121409416199,0.9996283054351808,0.998173177242279,loan
97,,কটা,কাটা,kɔta,kaʈa,Brown,Cut,0.5,0.0,0.0520833333333333,0.0520833333333333,0.5625,0.0520833333333333,0.8894683718681335,0.7949224710464478,0.9991358518600464,0.9998701810836792,loan
98,,শিকা,শেখা,xika,ʃekʰa,learn,Learning,0.6,0.25,0.0572916666666666,0.0624999999999999,0.59375,0.0572916666666666,0.9178355932235718,0.7373245358467102,0.9989607930183412,0.997456669807434,loan
99,,ঠেং,টাং,tʰɛŋ,ʈaŋ,The tail,Tang,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5,0.0555555555555555,0.923363208770752,0.7595398426055908,0.9943366050720216,0.9986478090286256,loan
100,,পদুম,পদ্ম,pɔdum,pɔd̪mɔ,The lotus,Lotus,0.3333333333333333,0.4,0.1416666666666666,0.1583333333333333,2.95,0.1416666666666666,0.9171613454818726,0.7022776603698729,0.9960227012634276,0.999790608882904,loan
101,,মাই,মেয়ে,mai,mee̯e,My,Girl,0.8,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,0.8212466835975647,0.6836138963699341,0.9973406195640564,0.9996691346168518,loan
102,,মিঠা,মিডা,mitʰa,miɖa,sweet,Mida,0.4,0.0,0.03125,0.03125,0.25,0.03125,0.9182248711586,0.7377061247825623,0.9941669702529908,0.998831272125244,loan
103,,টাকা,ঠেং,taka,ʈʰeŋ,Money,The tail,1.0,0.5,0.2864583333333333,0.3125,2.8125,0.3125,0.8406547904014587,0.7046963572502136,0.999825358390808,0.9995654821395874,loan
104,,মিঠা,মিষ্টি,mitʰa,miʃʈi,sweet,Sweet,0.6,0.2,0.2166666666666666,0.2333333333333333,1.8,0.2333333333333333,0.9193034172058104,0.7564688920974731,0.9997416138648988,0.9998071789741516,loan
105,,পখিলা,পাখ,pɔkʰila,pakʰ,butterfly,Wings,0.5714285714285714,0.5,0.4791666666666667,0.5277777777777778,3.9166666666666665,0.5277777777777778,0.9007573127746582,0.73451167345047,0.9972369074821472,0.9982947707176208,loan
106,,দহ,দশ,dɔɦɔ,d̪ɔʃɔ,ten,Ten,0.4,0.25,0.046875,0.0520833333333333,0.78125,0.046875,0.7505300045013428,0.7146177291870117,0.9970834851264954,0.9997316598892212,loan
107,,গুলী,গোলন্দাজ,guli,ɡolɔn̪d̪ad͡ʑ,The bullet,Gunner,0.9166666666666666,0.625,0.5885416666666666,0.6458333333333333,4.78125,0.6458333333333333,0.8878576755523682,0.6805691719055176,0.9993898272514344,0.9987809062004088,loan
108,,ধোঁৱা,ধুমা,dʰʊ̃wa,d̪ʱuma,smoke,Smoke,0.6666666666666666,0.25,0.125,0.125,1.8125,0.125,0.8574726581573486,0.6209644079208374,0.9959573149681092,0.9967851042747498,loan
109,,সাগৰ,সাগর,xagɔɹɔ,ʃaɡɔrɔ,sea,The sea,0.5,0.3333333333333333,0.2013888888888889,0.2361111111111111,2.0625,0.21875,0.9098708629608154,0.6199463605880737,0.997622847557068,0.9996339678764344,loan
110,,আক,এক,ak,ek,Let's go,One,0.5,0.0,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,0.8890814781188965,0.5527715682983398,0.998489499092102,0.9987487196922302,loan
111,,মাজ,মাঝ,maz,mad͡ʑʱɔ,middle,The middle,0.7142857142857143,0.5,0.2760416666666667,0.3020833333333333,2.5,0.3020833333333333,0.8717432618141174,0.7725399136543274,0.9994203448295592,0.9990211129188538,loan
112,,ৰাং,রঙ,ɹaŋ,rɔŋɔ,Rang,Color,0.75,0.25,0.3072916666666667,0.3541666666666666,3.125,0.3333333333333333,0.8286209106445312,0.5637978911399841,0.9967175126075744,0.9988482594490052,loan
113,,ৰঙা,রঙ,ɹɔŋa,rɔŋɔ,red,Color,0.5,0.0,0.0833333333333333,0.1041666666666666,1.3125,0.0833333333333333,0.8864849805831909,0.5028936266899109,0.9999226927757264,0.9995223879814148,loan
114,,ঘমা,ঘামা,gʱɔma,gʱama,Sweat,Sweat,0.2,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,0.9560906887054444,0.7798190116882324,0.9955426454544068,0.9992213845252992,loan
115,,টাকা,ঠেং,ʈaka,tʰɛŋ,Money,The tail,1.0,0.5,0.296875,0.3229166666666666,2.875,0.3229166666666666,0.8406712412834167,0.7046963572502136,0.9998712539672852,0.99971342086792,loan
