CategoryTreeItem,CategoryTreeItem 2,CategoryTreeItem href,CategoryTreeItem 3
‎,Adi language,https://en.wiktionary.org/wiki/Category:Adi_language,"(2 c, 0 e)"
‎,Adioukrou language,https://en.wiktionary.org/wiki/Category:Adioukrou_language,"(1 c, 0 e)"
‎,Adja language,https://en.wiktionary.org/wiki/Category:Adja_language,"(4 c, 0 e)"
‎,Adnyamathanha language,https://en.wiktionary.org/wiki/Category:Adnyamathanha_language,"(2 c, 0 e)"
‎,Adyghe language,https://en.wiktionary.org/wiki/Category:Adyghe_language,"(16 c, 2 e)"
‎,Adzera language,https://en.wiktionary.org/wiki/Category:Adzera_language,"(5 c, 0 e)"
‎,Aeka language,https://en.wiktionary.org/wiki/Category:Aeka_language,"(1 c, 0 e)"
‎,Aekyom language,https://en.wiktionary.org/wiki/Category:Aekyom_language,(0 e)
‎,Aequian language,https://en.wiktionary.org/wiki/Category:Aequian_language,"(2 c, 0 e)"
‎,Afade language,https://en.wiktionary.org/wiki/Category:Afade_language,"(3 c, 0 e)"
‎,Afar language,https://en.wiktionary.org/wiki/Category:Afar_language,"(15 c, 1 e)"
‎,Afghan Sign Language,https://en.wiktionary.org/wiki/Category:Afghan_Sign_Language,(0 e)
‎,Afitti language,https://en.wiktionary.org/wiki/Category:Afitti_language,"(1 c, 0 e)"
‎,Afrihili language,https://en.wiktionary.org/wiki/Category:Afrihili_language,"(1 c, 0 e)"
‎,Afrikaans language,https://en.wiktionary.org/wiki/Category:Afrikaans_language,"(21 c, 0 e)"
‎,Agarabi language,https://en.wiktionary.org/wiki/Category:Agarabi_language,"(2 c, 0 e)"
‎,Agatu language,https://en.wiktionary.org/wiki/Category:Agatu_language,"(1 c, 0 e)"
‎,Agawam language,https://en.wiktionary.org/wiki/Category:Agawam_language,"(2 c, 0 e)"
‎,Aghem language,https://en.wiktionary.org/wiki/Category:Aghem_language,"(4 c, 0 e)"
‎,Aghu language,https://en.wiktionary.org/wiki/Category:Aghu_language,"(1 c, 0 e)"
‎,Aghu Tharrnggala language,https://en.wiktionary.org/wiki/Category:Aghu_Tharrnggala_language,"(3 c, 0 e)"
‎,Aghul language,https://en.wiktionary.org/wiki/Category:Aghul_language,"(8 c, 0 e)"
‎,Aghwan language,https://en.wiktionary.org/wiki/Category:Aghwan_language,"(14 c, 0 e)"
‎,Agi language,https://en.wiktionary.org/wiki/Category:Agi_language,"(1 c, 0 e)"
‎,Agoi language,https://en.wiktionary.org/wiki/Category:Agoi_language,"(1 c, 0 e)"
‎,Aguacateca language,https://en.wiktionary.org/wiki/Category:Aguacateca_language,"(2 c, 0 e)"
‎,Aguaruna language,https://en.wiktionary.org/wiki/Category:Aguaruna_language,"(1 c, 0 e)"
‎,Agusan Manobo language,https://en.wiktionary.org/wiki/Category:Agusan_Manobo_language,"(4 c, 0 e)"
‎,Agutaynen language,https://en.wiktionary.org/wiki/Category:Agutaynen_language,"(6 c, 0 e)"
‎,Ahanta language,https://en.wiktionary.org/wiki/Category:Ahanta_language,(0 e)
‎,Ahirani language,https://en.wiktionary.org/wiki/Category:Ahirani_language,"(8 c, 0 e)"
‎,Ahom language,https://en.wiktionary.org/wiki/Category:Ahom_language,"(8 c, 0 e)"
‎,Ahtna language,https://en.wiktionary.org/wiki/Category:Ahtna_language,"(4 c, 0 e)"
‎,Ahwai language,https://en.wiktionary.org/wiki/Category:Ahwai_language,"(1 c, 0 e)"
‎,Ai-Cham language,https://en.wiktionary.org/wiki/Category:Ai-Cham_language,"(6 c, 0 e)"
‎,Aikanã language,https://en.wiktionary.org/wiki/Category:Aikan%C3%A3_language,"(1 c, 1 e)"
‎,Aimele language,https://en.wiktionary.org/wiki/Category:Aimele_language,"(1 c, 0 e)"
‎,Ainbai language,https://en.wiktionary.org/wiki/Category:Ainbai_language,"(1 c, 0 e)"
‎,Ainu language,https://en.wiktionary.org/wiki/Category:Ainu_language,"(14 c, 3 e)"
‎,Airoran language,https://en.wiktionary.org/wiki/Category:Airoran_language,"(1 c, 0 e)"
‎,Aisi language,https://en.wiktionary.org/wiki/Category:Aisi_language,"(1 c, 0 e)"
‎,Aiton language,https://en.wiktionary.org/wiki/Category:Aiton_language,"(6 c, 0 e)"
‎,Aiwoo language,https://en.wiktionary.org/wiki/Category:Aiwoo_language,"(9 c, 0 e)"
‎,Aja language,https://en.wiktionary.org/wiki/Category:Aja_language,"(1 c, 0 e)"
‎,Ajawa language,https://en.wiktionary.org/wiki/Category:Ajawa_language,"(1 c, 0 e)"
‎,Ajië language,https://en.wiktionary.org/wiki/Category:Aji%C3%AB_language,"(5 c, 0 e)"
‎,Ajyíninka Apurucayali language,https://en.wiktionary.org/wiki/Category:Ajy%C3%ADninka_Apurucayali_language,"(1 c, 0 e)"
‎,Ak language,https://en.wiktionary.org/wiki/Category:Ak_language,"(1 c, 0 e)"
‎,Aka (Central Africa) language,https://en.wiktionary.org/wiki/Category:Aka_(Central_Africa)_language,"(1 c, 0 e)"
‎,Aka-Bea language,https://en.wiktionary.org/wiki/Category:Aka-Bea_language,"(2 c, 0 e)"
‎,Aka-Bo language,https://en.wiktionary.org/wiki/Category:Aka-Bo_language,"(4 c, 0 e)"
‎,Aka-Cari language,https://en.wiktionary.org/wiki/Category:Aka-Cari_language,"(1 c, 0 e)"
‎,Aka-Kede language,https://en.wiktionary.org/wiki/Category:Aka-Kede_language,"(1 c, 0 e)"
‎,Aka-Kora language,https://en.wiktionary.org/wiki/Category:Aka-Kora_language,"(1 c, 0 e)"
‎,Akan language,https://en.wiktionary.org/wiki/Category:Akan_language,"(15 c, 0 e)"
‎,Akar-Bale language,https://en.wiktionary.org/wiki/Category:Akar-Bale_language,"(1 c, 0 e)"
‎,Akaselem language,https://en.wiktionary.org/wiki/Category:Akaselem_language,"(1 c, 0 e)"
‎,Akatek language,https://en.wiktionary.org/wiki/Category:Akatek_language,"(3 c, 0 e)"
‎,Akawaio language,https://en.wiktionary.org/wiki/Category:Akawaio_language,"(4 c, 0 e)"
‎,Ake language,https://en.wiktionary.org/wiki/Category:Ake_language,"(1 c, 0 e)"
‎,Akebu language,https://en.wiktionary.org/wiki/Category:Akebu_language,"(1 c, 0 e)"
‎,Akei language,https://en.wiktionary.org/wiki/Category:Akei_language,"(1 c, 0 e)"
‎,Akha language,https://en.wiktionary.org/wiki/Category:Akha_language,"(2 c, 1 e)"
‎,Akhvakh language,https://en.wiktionary.org/wiki/Category:Akhvakh_language,"(3 c, 0 e)"
‎,Akkadian language,https://en.wiktionary.org/wiki/Category:Akkadian_language,"(19 c, 1 e)"
‎,Akkala Sami language,https://en.wiktionary.org/wiki/Category:Akkala_Sami_language,"(6 c, 0 e)"
‎,Aklanon language,https://en.wiktionary.org/wiki/Category:Aklanon_language,"(9 c, 0 e)"
‎,Akolet language,https://en.wiktionary.org/wiki/Category:Akolet_language,"(2 c, 0 e)"
‎,Akoose language,https://en.wiktionary.org/wiki/Category:Akoose_language,"(1 c, 0 e)"
‎,Akoye language,https://en.wiktionary.org/wiki/Category:Akoye_language,"(2 c, 0 e)"
‎,Akpa language,https://en.wiktionary.org/wiki/Category:Akpa_language,"(1 c, 0 e)"
‎,Akpes language,https://en.wiktionary.org/wiki/Category:Akpes_language,"(2 c, 1 e)"
‎,Akrukay language,https://en.wiktionary.org/wiki/Category:Akrukay_language,"(1 c, 0 e)"
‎,Akuku language,https://en.wiktionary.org/wiki/Category:Akuku_language,(0 e)
‎,Akum language,https://en.wiktionary.org/wiki/Category:Akum_language,"(2 c, 0 e)"
‎,Akuntsu language,https://en.wiktionary.org/wiki/Category:Akuntsu_language,"(3 c, 0 e)"
‎,Akurio language,https://en.wiktionary.org/wiki/Category:Akurio_language,(0 e)
‎,Akuwagel language,https://en.wiktionary.org/wiki/Category:Akuwagel_language,"(1 c, 0 e)"
‎,Al-Sayyid Bedouin Sign Language,https://en.wiktionary.org/wiki/Category:Al-Sayyid_Bedouin_Sign_Language,"(1 c, 0 e)"
‎,Alaba language,https://en.wiktionary.org/wiki/Category:Alaba_language,"(4 c, 0 e)"
‎,Alabama language,https://en.wiktionary.org/wiki/Category:Alabama_language,"(7 c, 0 e)"
‎,Alabat Island Agta language,https://en.wiktionary.org/wiki/Category:Alabat_Island_Agta_language,(0 e)
‎,Alago language,https://en.wiktionary.org/wiki/Category:Alago_language,"(1 c, 0 e)"
‎,Alagwa language,https://en.wiktionary.org/wiki/Category:Alagwa_language,"(2 c, 0 e)"
‎,Alak language,https://en.wiktionary.org/wiki/Category:Alak_language,"(1 c, 0 e)"
‎,Alamblak language,https://en.wiktionary.org/wiki/Category:Alamblak_language,"(2 c, 0 e)"
‎,Alangan language,https://en.wiktionary.org/wiki/Category:Alangan_language,"(5 c, 0 e)"
‎,Alas-Kluet Batak language,https://en.wiktionary.org/wiki/Category:Alas-Kluet_Batak_language,"(4 c, 0 e)"
‎,Alawa language,https://en.wiktionary.org/wiki/Category:Alawa_language,"(1 c, 0 e)"
‎,Alazapa language,https://en.wiktionary.org/wiki/Category:Alazapa_language,"(1 c, 0 e)"
‎,Albanian language,https://en.wiktionary.org/wiki/Category:Albanian_language,"(22 c, 2 e)"
‎,Albanian Sign Language,https://en.wiktionary.org/wiki/Category:Albanian_Sign_Language,(0 e)
‎,Alcozauca Mixtec language,https://en.wiktionary.org/wiki/Category:Alcozauca_Mixtec_language,"(6 c, 0 e)"
‎,Alege language,https://en.wiktionary.org/wiki/Category:Alege_language,(0 e)
‎,Alekano language,https://en.wiktionary.org/wiki/Category:Alekano_language,"(4 c, 0 e)"
‎,Alemannic German language,https://en.wiktionary.org/wiki/Category:Alemannic_German_language,"(18 c, 1 e)"
‎,Aleut language,https://en.wiktionary.org/wiki/Category:Aleut_language,"(12 c, 1 e)"
‎,Algerian Arabic language,https://en.wiktionary.org/wiki/Category:Algerian_Arabic_language,"(10 c, 0 e)"
‎,Algerian Sign Language,https://en.wiktionary.org/wiki/Category:Algerian_Sign_Language,(0 e)
‎,Algonquin language,https://en.wiktionary.org/wiki/Category:Algonquin_language,"(9 c, 0 e)"
‎,Ali language,https://en.wiktionary.org/wiki/Category:Ali_language,"(1 c, 0 e)"
‎,Alladian language,https://en.wiktionary.org/wiki/Category:Alladian_language,"(2 c, 0 e)"
‎,Allar language,https://en.wiktionary.org/wiki/Category:Allar_language,(0 e)
‎,Allentiac language,https://en.wiktionary.org/wiki/Category:Allentiac_language,"(1 c, 1 e)"
‎,Alngith language,https://en.wiktionary.org/wiki/Category:Alngith_language,"(1 c, 0 e)"
‎,Alor language,https://en.wiktionary.org/wiki/Category:Alor_language,(0 e)
‎,Aloápam Zapotec language,https://en.wiktionary.org/wiki/Category:Alo%C3%A1pam_Zapotec_language,"(3 c, 0 e)"
‎,Alsea language,https://en.wiktionary.org/wiki/Category:Alsea_language,"(1 c, 1 e)"
‎,Alu language,https://en.wiktionary.org/wiki/Category:Alu_language,"(4 c, 0 e)"
‎,Alu Kurumba language,https://en.wiktionary.org/wiki/Category:Alu_Kurumba_language,(0 e)
‎,Alumu-Tesu language,https://en.wiktionary.org/wiki/Category:Alumu-Tesu_language,"(1 c, 0 e)"
‎,Alune language,https://en.wiktionary.org/wiki/Category:Alune_language,"(6 c, 0 e)"
‎,Alungul language,https://en.wiktionary.org/wiki/Category:Alungul_language,"(1 c, 0 e)"
‎,Alutiiq language,https://en.wiktionary.org/wiki/Category:Alutiiq_language,"(6 c, 0 e)"
‎,Alutor language,https://en.wiktionary.org/wiki/Category:Alutor_language,"(11 c, 1 e)"
‎,Alviri-Vidari language,https://en.wiktionary.org/wiki/Category:Alviri-Vidari_language,"(7 c, 0 e)"
‎,Alyawarr language,https://en.wiktionary.org/wiki/Category:Alyawarr_language,"(1 c, 0 e)"
‎,Ama language,https://en.wiktionary.org/wiki/Category:Ama_language,"(5 c, 0 e)"
‎,Amahai language,https://en.wiktionary.org/wiki/Category:Amahai_language,"(2 c, 0 e)"
‎,Amahuaca language,https://en.wiktionary.org/wiki/Category:Amahuaca_language,"(4 c, 0 e)"
‎,Amaimon language,https://en.wiktionary.org/wiki/Category:Amaimon_language,"(3 c, 0 e)"
‎,Amal language,https://en.wiktionary.org/wiki/Category:Amal_language,"(1 c, 0 e)"
‎,Amanab language,https://en.wiktionary.org/wiki/Category:Amanab_language,"(5 c, 0 e)"
‎,Amara language,https://en.wiktionary.org/wiki/Category:Amara_language,"(1 c, 0 e)"
‎,Amarakaeri language,https://en.wiktionary.org/wiki/Category:Amarakaeri_language,"(2 c, 0 e)"
‎,Amarasi language,https://en.wiktionary.org/wiki/Category:Amarasi_language,"(3 c, 0 e)"
‎,Amarizana language,https://en.wiktionary.org/wiki/Category:Amarizana_language,"(1 c, 0 e)"
‎,Amasi language,https://en.wiktionary.org/wiki/Category:Amasi_language,"(1 c, 0 e)"
‎,Amatlán Zapotec language,https://en.wiktionary.org/wiki/Category:Amatl%C3%A1n_Zapotec_language,"(2 c, 0 e)"
‎,Amba language,https://en.wiktionary.org/wiki/Category:Amba_language,"(3 c, 0 e)"
‎,Ambai language,https://en.wiktionary.org/wiki/Category:Ambai_language,"(1 c, 0 e)"
‎,Ambakich language,https://en.wiktionary.org/wiki/Category:Ambakich_language,"(1 c, 0 e)"
‎,Ambala Ayta language,https://en.wiktionary.org/wiki/Category:Ambala_Ayta_language,"(4 c, 0 e)"
‎,Ambele language,https://en.wiktionary.org/wiki/Category:Ambele_language,"(1 c, 0 e)"
‎,Amblong language,https://en.wiktionary.org/wiki/Category:Amblong_language,"(1 c, 0 e)"
‎,Ambonese Malay language,https://en.wiktionary.org/wiki/Category:Ambonese_Malay_language,"(6 c, 0 e)"
‎,Ambrak language,https://en.wiktionary.org/wiki/Category:Ambrak_language,"(2 c, 0 e)"
‎,Ambulas language,https://en.wiktionary.org/wiki/Category:Ambulas_language,"(2 c, 0 e)"
‎,Amdang language,https://en.wiktionary.org/wiki/Category:Amdang_language,"(3 c, 1 e)"
‎,Amele language,https://en.wiktionary.org/wiki/Category:Amele_language,"(1 c, 0 e)"
‎,American Sign Language,https://en.wiktionary.org/wiki/Category:American_Sign_Language,"(12 c, 2 e)"
‎,Amganad Ifugao language,https://en.wiktionary.org/wiki/Category:Amganad_Ifugao_language,"(2 c, 0 e)"
‎,Amharic language,https://en.wiktionary.org/wiki/Category:Amharic_language,"(17 c, 3 e)"
‎,Ami language,https://en.wiktionary.org/wiki/Category:Ami_language,"(1 c, 0 e)"
‎,Amis language,https://en.wiktionary.org/wiki/Category:Amis_language,"(10 c, 0 e)"
‎,Ammonite language,https://en.wiktionary.org/wiki/Category:Ammonite_language,"(7 c, 0 e)"
‎,Amo language,https://en.wiktionary.org/wiki/Category:Amo_language,"(2 c, 0 e)"
‎,Amol language,https://en.wiktionary.org/wiki/Category:Amol_language,"(1 c, 0 e)"
‎,Amondawa language,https://en.wiktionary.org/wiki/Category:Amondawa_language,"(1 c, 0 e)"
‎,Amorite language,https://en.wiktionary.org/wiki/Category:Amorite_language,"(3 c, 0 e)"
‎,Ampanang language,https://en.wiktionary.org/wiki/Category:Ampanang_language,(0 e)
‎,Ampari Dogon language,https://en.wiktionary.org/wiki/Category:Ampari_Dogon_language,"(1 c, 0 e)"
‎,Amurdag language,https://en.wiktionary.org/wiki/Category:Amurdag_language,"(1 c, 0 e)"
‎,Ana Tinga Dogon language,https://en.wiktionary.org/wiki/Category:Ana_Tinga_Dogon_language,"(1 c, 0 e)"
‎,Anaang language,https://en.wiktionary.org/wiki/Category:Anaang_language,"(1 c, 1 e)"
‎,Anakalangu language,https://en.wiktionary.org/wiki/Category:Anakalangu_language,"(3 c, 0 e)"
‎,Anal language,https://en.wiktionary.org/wiki/Category:Anal_language,"(4 c, 0 e)"
‎,Anam language,https://en.wiktionary.org/wiki/Category:Anam_language,"(1 c, 0 e)"
‎,Anambé language,https://en.wiktionary.org/wiki/Category:Anamb%C3%A9_language,"(1 c, 0 e)"
‎,Anauyá language,https://en.wiktionary.org/wiki/Category:Anauy%C3%A1_language,"(1 c, 0 e)"
‎,Ancient Greek language,https://en.wiktionary.org/wiki/Category:Ancient_Greek_language,"(26 c, 2 e)"
‎,Ancient Ligurian language,https://en.wiktionary.org/wiki/Category:Ancient_Ligurian_language,"(1 c, 0 e)"
‎,Ancient Macedonian language,https://en.wiktionary.org/wiki/Category:Ancient_Macedonian_language,"(5 c, 0 e)"
‎,Ancient North Arabian language,https://en.wiktionary.org/wiki/Category:Ancient_North_Arabian_language,"(3 c, 0 e)"
‎,Andalusian Arabic language,https://en.wiktionary.org/wiki/Category:Andalusian_Arabic_language,"(7 c, 0 e)"
‎,Andaqui language,https://en.wiktionary.org/wiki/Category:Andaqui_language,"(1 c, 1 e)"
‎,Andegerebinha language,https://en.wiktionary.org/wiki/Category:Andegerebinha_language,"(1 c, 0 e)"
‎,Andh language,https://en.wiktionary.org/wiki/Category:Andh_language,(0 e)
‎,Andi language,https://en.wiktionary.org/wiki/Category:Andi_language,"(4 c, 0 e)"
‎,Andio language,https://en.wiktionary.org/wiki/Category:Andio_language,"(2 c, 0 e)"
‎,Andoa language,https://en.wiktionary.org/wiki/Category:Andoa_language,"(1 c, 0 e)"
‎,Andoque language,https://en.wiktionary.org/wiki/Category:Andoque_language,"(2 c, 1 e)"
‎,Andoquero language,https://en.wiktionary.org/wiki/Category:Andoquero_language,"(1 c, 0 e)"
‎,Aneityum language,https://en.wiktionary.org/wiki/Category:Aneityum_language,"(2 c, 0 e)"
‎,Aneme Wake language,https://en.wiktionary.org/wiki/Category:Aneme_Wake_language,"(3 c, 0 e)"
‎,Anfillo language,https://en.wiktionary.org/wiki/Category:Anfillo_language,"(1 c, 0 e)"
‎,Angaataha language,https://en.wiktionary.org/wiki/Category:Angaataha_language,"(2 c, 0 e)"
‎,Angaité language,https://en.wiktionary.org/wiki/Category:Angait%C3%A9_language,"(1 c, 0 e)"
‎,Angami language,https://en.wiktionary.org/wiki/Category:Angami_language,"(5 c, 0 e)"
‎,Angevin language,https://en.wiktionary.org/wiki/Category:Angevin_language,"(5 c, 0 e)"
‎,Angguruk Yali language,https://en.wiktionary.org/wiki/Category:Angguruk_Yali_language,"(2 c, 0 e)"
‎,Angika language,https://en.wiktionary.org/wiki/Category:Angika_language,"(6 c, 0 e)"
‎,Angkamuthi language,https://en.wiktionary.org/wiki/Category:Angkamuthi_language,"(1 c, 0 e)"
‎,Angkola Batak language,https://en.wiktionary.org/wiki/Category:Angkola_Batak_language,"(3 c, 0 e)"
‎,Angkula language,https://en.wiktionary.org/wiki/Category:Angkula_language,"(1 c, 0 e)"
‎,Angloromani language,https://en.wiktionary.org/wiki/Category:Angloromani_language,"(9 c, 0 e)"
‎,Angolar language,https://en.wiktionary.org/wiki/Category:Angolar_language,"(5 c, 0 e)"
‎,Angor language,https://en.wiktionary.org/wiki/Category:Angor_language,"(2 c, 0 e)"
‎,Angoram language,https://en.wiktionary.org/wiki/Category:Angoram_language,"(1 c, 0 e)"
‎,Anguthimri language,https://en.wiktionary.org/wiki/Category:Anguthimri_language,"(2 c, 0 e)"
‎,Anii language,https://en.wiktionary.org/wiki/Category:Anii_language,"(1 c, 0 e)"
‎,Animere language,https://en.wiktionary.org/wiki/Category:Animere_language,"(1 c, 0 e)"
‎,Anindilyakwa language,https://en.wiktionary.org/wiki/Category:Anindilyakwa_language,"(2 c, 0 e)"
‎,Anjam language,https://en.wiktionary.org/wiki/Category:Anjam_language,"(2 c, 0 e)"
‎,Ankave language,https://en.wiktionary.org/wiki/Category:Ankave_language,"(7 c, 0 e)"
‎,Anmatyerre language,https://en.wiktionary.org/wiki/Category:Anmatyerre_language,"(1 c, 0 e)"
‎,Annobonese language,https://en.wiktionary.org/wiki/Category:Annobonese_language,"(5 c, 0 e)"
‎,Anong language,https://en.wiktionary.org/wiki/Category:Anong_language,"(1 c, 0 e)"
‎,Anserma language,https://en.wiktionary.org/wiki/Category:Anserma_language,(0 e)
‎,Ansus language,https://en.wiktionary.org/wiki/Category:Ansus_language,"(2 c, 0 e)"
‎,Antigua and Barbuda Creole English language,https://en.wiktionary.org/wiki/Category:Antigua_and_Barbuda_Creole_English_language,"(2 c, 0 e)"
‎,Antillean Creole language,https://en.wiktionary.org/wiki/Category:Antillean_Creole_language,"(8 c, 0 e)"
‎,Anuak language,https://en.wiktionary.org/wiki/Category:Anuak_language,"(2 c, 0 e)"
‎,Anufo language,https://en.wiktionary.org/wiki/Category:Anufo_language,"(2 c, 0 e)"
‎,Anuki language,https://en.wiktionary.org/wiki/Category:Anuki_language,"(3 c, 0 e)"
‎,Anus language,https://en.wiktionary.org/wiki/Category:Anus_language,"(1 c, 0 e)"
‎,Anuta language,https://en.wiktionary.org/wiki/Category:Anuta_language,"(7 c, 0 e)"
‎,Anyi language,https://en.wiktionary.org/wiki/Category:Anyi_language,"(5 c, 0 e)"
‎,Ao language,https://en.wiktionary.org/wiki/Category:Ao_language,"(6 c, 0 e)"
‎,Aoheng language,https://en.wiktionary.org/wiki/Category:Aoheng_language,"(2 c, 0 e)"
‎,Aore language,https://en.wiktionary.org/wiki/Category:Aore_language,"(1 c, 0 e)"
‎,Apalaí language,https://en.wiktionary.org/wiki/Category:Apala%C3%AD_language,"(5 c, 0 e)"
‎,Apali language,https://en.wiktionary.org/wiki/Category:Apali_language,"(1 c, 0 e)"
‎,Apatani language,https://en.wiktionary.org/wiki/Category:Apatani_language,"(1 c, 0 e)"
‎,Apiaká language,https://en.wiktionary.org/wiki/Category:Apiak%C3%A1_language,"(3 c, 0 e)"
‎,Apinayé language,https://en.wiktionary.org/wiki/Category:Apinay%C3%A9_language,"(5 c, 0 e)"
‎,Apma language,https://en.wiktionary.org/wiki/Category:Apma_language,"(1 c, 0 e)"
‎,Apolista language,https://en.wiktionary.org/wiki/Category:Apolista_language,"(2 c, 0 e)"
‎,Aproumu Aizi language,https://en.wiktionary.org/wiki/Category:Aproumu_Aizi_language,(0 e)
‎,Apurinã language,https://en.wiktionary.org/wiki/Category:Apurin%C3%A3_language,"(2 c, 0 e)"
‎,Aputai language,https://en.wiktionary.org/wiki/Category:Aputai_language,"(1 c, 0 e)"
‎,Aquitanian language,https://en.wiktionary.org/wiki/Category:Aquitanian_language,"(4 c, 1 e)"
‎,Arabana language,https://en.wiktionary.org/wiki/Category:Arabana_language,"(1 c, 0 e)"
‎,Arabela language,https://en.wiktionary.org/wiki/Category:Arabela_language,"(3 c, 0 e)"
‎,Arabic language,https://en.wiktionary.org/wiki/Category:Arabic_language,"(37 c, 11 e)"
‎,Aragonese language,https://en.wiktionary.org/wiki/Category:Aragonese_language,"(16 c, 0 e)"
‎,Araki language,https://en.wiktionary.org/wiki/Category:Araki_language,"(7 c, 0 e)"
‎,Arakwal language,https://en.wiktionary.org/wiki/Category:Arakwal_language,(0 e)
‎,Aramaic language,https://en.wiktionary.org/wiki/Category:Aramaic_language,"(29 c, 0 e)"
‎,Arammba language,https://en.wiktionary.org/wiki/Category:Arammba_language,"(2 c, 0 e)"
‎,Aranadan language,https://en.wiktionary.org/wiki/Category:Aranadan_language,"(2 c, 0 e)"
‎,Arandai language,https://en.wiktionary.org/wiki/Category:Arandai_language,(0 e)
