,language,source_language,e
272,aragonese,Andalusian Arabic‎,1
272,aragonese,Celtic languages‎,1
272,aragonese,English‎,1
272,aragonese,French‎,3
272,aragonese,Late Latin‎,1
272,aragonese,Latin‎,14
272,aragonese,Medieval Latin‎,1
273,araki,Bislama‎,1
275,aramaic,Akkadian‎,12
275,aramaic,Ancient Greek‎,54
275,aramaic,Arabic‎,1
275,aramaic,Austronesian languages‎,1
275,aramaic,Biblical Hebrew‎,1
275,aramaic,Hebrew‎,4
275,aramaic,Iranian languages‎,3
275,aramaic,Koine Greek‎,1
275,aramaic,Latin‎,2
275,aramaic,Middle Iranian‎,2
275,aramaic,Middle Persian‎,15
275,aramaic,Old Persian‎,7
275,aramaic,Parthian‎,4
286,archi,Proto-Turkic‎,1
292,argobba,Amharic‎,1
292,argobba,Ge'ez‎,1
304,armenian,Afrikaans‎,1
304,armenian,Akkadian‎,1
304,armenian,Ancient Greek‎,21
304,armenian,Arabic‎,12
304,armenian,Azerbaijani‎,53
304,armenian,Bulgarian‎,1
304,armenian,Byzantine Greek‎,1
304,armenian,Classical Persian‎,3
304,armenian,Czech‎,1
304,armenian,Dutch‎,1
304,armenian,English‎,63
304,armenian,French‎,41
304,armenian,Georgian‎,40
304,armenian,German‎,18
304,armenian,Greek‎,1
304,armenian,Iranian languages‎,5
304,armenian,Italian‎,6
304,armenian,Kartvelian languages‎,1
304,armenian,Kipchak‎,1
304,armenian,Kipchak languages‎,1
304,armenian,Kurdish languages‎,1
304,armenian,Latin‎,10
304,armenian,Malay‎,2
304,armenian,Middle Armenian‎,29
304,armenian,New Latin‎,6
304,armenian,Northern Kurdish‎,9
304,armenian,Norwegian‎,1
304,armenian,Old Armenian‎,1022
304,armenian,Old Persian‎,1
304,armenian,Ottoman Turkish‎,206
304,armenian,Persian‎,48
304,armenian,Pontic Greek‎,1
304,armenian,Russian‎,829
304,armenian,Spanish‎,2
304,armenian,Translingual‎,0
304,armenian,Turkic languages‎,8
304,armenian,Turkish‎,13
304,armenian,Uralic languages‎,1
304,armenian,Urartian‎,3
304,armenian,Zan languages‎,2
306,aromanian,Albanian‎,65
306,aromanian,Ancient Greek‎,2
306,aromanian,Arabic‎,2
306,aromanian,Bulgarian‎,1
306,aromanian,Byzantine Greek‎,2
306,aromanian,French‎,2
306,aromanian,Greek‎,196
306,aromanian,Italian‎,8
306,aromanian,Late Latin‎,1
306,aromanian,Latin‎,2
306,aromanian,Macedonian‎,2
306,aromanian,Medieval Latin‎,2
306,aromanian,Ottoman Turkish‎,22
306,aromanian,Persian‎,2
306,aromanian,Proto-Albanian‎,2
306,aromanian,Proto-Slavic‎,1
306,aromanian,Romanian‎,3
306,aromanian,Serbo-Croatian‎,3
306,aromanian,Slavic languages‎,7
306,aromanian,Spanish‎,1
306,aromanian,substrate languages‎,1
306,aromanian,Thracian‎,1
306,aromanian,Turkish‎,10
310,arta,Tagalog‎,1
315,as,Indonesian‎,2
319,ashokan prakrit,Ancient Greek‎,4
319,ashokan prakrit,Middle Iranian‎,1
319,ashokan prakrit,Old Iranian‎,1
319,ashokan prakrit,Old Persian‎,3
319,ashokan prakrit,Old Tamil‎,2
319,ashokan prakrit,substrate languages‎,2
319,ashokan prakrit,Sumerian‎,1
324,asi,Hokkien‎,1
324,asi,Malay‎,2
324,asi,Spanish‎,14
325,asilulu,Indonesian‎,2
327,assamese,Ahom‎,2
327,assamese,Arabic‎,16
327,assamese,Avestan‎,1
327,assamese,Bengali‎,12
327,assamese,Bodo,1
327,assamese,Chinese‎,3
327,assamese,Classical Persian‎,3
327,assamese,Classical Sanskrit‎,2
327,assamese,Egyptian‎,1
327,assamese,English‎,173
327,assamese,Hindi‎,3
327,assamese,Malayalam‎,1
327,assamese,Manipuri‎,1
327,assamese,Maori‎,1
327,assamese,Middle Persian‎,1
327,assamese,Mvuba‎,1
327,assamese,Persian‎,114
327,assamese,Portuguese‎,12
327,assamese,Proto-Bodo-Garo‎,1
327,assamese,Proto-Dravidian‎,1
327,assamese,Punjabi‎,1
327,assamese,Sanskrit‎,203
327,assamese,Sinhalese‎,1
327,assamese,Spanish‎,1
327,assamese,Tamil‎,1
327,assamese,Urdu‎,2
331,assyrian neo-aramaic,Akkadian‎,1
331,assyrian neo-aramaic,Ancient Greek‎,11
331,assyrian neo-aramaic,Arabic‎,34
331,assyrian neo-aramaic,Aramaic‎,1
331,assyrian neo-aramaic,Azerbaijani‎,2
331,assyrian neo-aramaic,Biblical Hebrew‎,2
331,assyrian neo-aramaic,Byzantine Greek‎,1
331,assyrian neo-aramaic,Classical Syriac‎,0
331,assyrian neo-aramaic,Dutch‎,1
331,assyrian neo-aramaic,English‎,18
331,assyrian neo-aramaic,French‎,3
331,assyrian neo-aramaic,German‎,1
331,assyrian neo-aramaic,Greek‎,2
331,assyrian neo-aramaic,Hebrew‎,0
331,assyrian neo-aramaic,Iraqi Arabic‎,1
331,assyrian neo-aramaic,Italian‎,2
331,assyrian neo-aramaic,Japanese‎,1
331,assyrian neo-aramaic,Latin‎,9
331,assyrian neo-aramaic,Nepali‎,1
331,assyrian neo-aramaic,Northern Kurdish‎,2
331,assyrian neo-aramaic,Old Persian‎,1
331,assyrian neo-aramaic,Ottoman Turkish‎,5
331,assyrian neo-aramaic,Persian‎,20
331,assyrian neo-aramaic,Portuguese‎,3
331,assyrian neo-aramaic,Sanskrit‎,1
331,assyrian neo-aramaic,Spanish‎,2
332,asturian,Ancient Greek‎,4
332,asturian,Andalusian Arabic‎,1
332,asturian,Arabic‎,2
332,asturian,Basque‎,2
332,asturian,Catalan‎,1
332,asturian,Ecclesiastical Latin‎,4
332,asturian,English‎,5
332,asturian,Frankish‎,1
332,asturian,French‎,23
332,asturian,Gothic‎,1
332,asturian,Italian‎,2
332,asturian,Late Latin‎,21
332,asturian,Latin‎,181
332,asturian,Medieval Latin‎,9
332,asturian,New Latin‎,2
332,asturian,Old Catalan‎,1
332,asturian,Old English‎,1
332,asturian,Old French‎,2
332,asturian,Old Occitan‎,3
332,asturian,Portuguese‎,1
332,asturian,Sanskrit‎,1
332,asturian,Spanish‎,13
332,asturian,Telugu‎,1
339,atayal,Chinese‎,3
339,atayal,English‎,1
339,atayal,Japanese‎,5
347,atong (india),Arabic‎,1
347,atong (india),Assamese‎,7
347,atong (india),Bengali‎,30
347,atong (india),English‎,44
347,atong (india),Hindi‎,16
355,aukan,Dutch‎,3
355,aukan,Sranan Tongo‎,2
367,avar,Arabic‎,2
367,avar,Georgian‎,1
367,avar,Iranian languages‎,1
367,avar,Kartvelian languages‎,1
367,avar,Kumyk‎,1
367,avar,Old Armenian‎,0
367,avar,Turkic languages‎,3
378,awadhi,Persian‎,2
378,awadhi,Sanskrit‎,20
396,aymara,English‎,1
396,aymara,Spanish‎,2
397,aynu,Manchu‎,1
397,aynu,Persian‎,1
402,ayutla mixtec,Nahuan languages‎,1
402,ayutla mixtec,Spanish‎,5
403,azerbaijani,Arabic‎,1122
403,azerbaijani,Armenian‎,21
403,azerbaijani,Bulgarian‎,1
403,azerbaijani,Classical Persian‎,1
403,azerbaijani,English‎,7
403,azerbaijani,French‎,4
403,azerbaijani,Georgian‎,3
403,azerbaijani,German‎,2
403,azerbaijani,Greek‎,2
403,azerbaijani,Iranian languages‎,2
403,azerbaijani,Japanese‎,4
403,azerbaijani,Latin‎,3
403,azerbaijani,Middle Armenian‎,1
403,azerbaijani,New Latin‎,0
403,azerbaijani,Ottoman Turkish‎,38
403,azerbaijani,Persian‎,601
403,azerbaijani,Russian‎,145
403,azerbaijani,Tat‎,7
403,azerbaijani,Turkic languages‎,1
403,azerbaijani,Turkish‎,32
408,baba malay,Hokkien‎,1
417,bactrian,Old Turkic‎,1
434,baha,Chinese‎,5
434,baha,Mandarin‎,1
434,baha,Sino-Tibetan languages‎,2
436,baharna arabic,Kipchak‎,1
440,bahnar,Chamic languages‎,17
440,bahnar,Katuic languages‎,1
440,bahnar,Vietnamese‎,1
445,baiso,Amharic‎,1
450,bakhtiari,Arabic‎,1
450,bakhtiari,Persian‎,1
451,baki,Bierebo‎,1
461,balantak,North Moluccan Malay‎,1
464,balinese,Indonesian‎,2
464,balinese,Javanese‎,3
464,balinese,Malay‎,5
464,balinese,Old Javanese‎,41
464,balinese,Sanskrit‎,16
466,balkan romani,Macedonian‎,1
466,balkan romani,Romanian‎,1
466,balkan romani,Serbo-Croatian‎,4
470,baltic romani,Latin‎,1
472,baluchi,Arabic‎,7
472,baluchi,Classical Persian‎,1
472,baluchi,Dari‎,1
472,baluchi,English‎,1
472,baluchi,Hindi‎,1
472,baluchi,Persian‎,13
475,bambara,Arabic‎,10
475,bambara,French‎,7
488,banggai,Indonesian‎,1
492,banjarese,Arabic‎,7
492,banjarese,Javanese‎,2
492,banjarese,Malay‎,3
492,banjarese,Old Javanese‎,1
496,banoni,English‎,4
500,banyumasan,Javanese‎,1
533,basay,Amis‎,1
533,basay,Bunun‎,1
533,basay,Paiwan‎,1
535,bashkir,Arabic‎,221
535,bashkir,Chagatai‎,2
535,bashkir,Classical Persian‎,2
535,bashkir,French‎,1
535,bashkir,German‎,2
535,bashkir,Japanese‎,1
535,bashkir,Kazakh‎,1
535,bashkir,Latin‎,2
535,bashkir,Mongolic languages‎,2
535,bashkir,New Latin‎,1
535,bashkir,Oghur languages‎,5
535,bashkir,Ottoman Turkish‎,6
535,bashkir,Permic languages‎,1
535,bashkir,Persian‎,125
535,bashkir,Russian‎,110
535,bashkir,Sogdian‎,1
535,bashkir,Spanish‎,1
535,bashkir,Tatar‎,1
535,bashkir,Turkish‎,0
535,bashkir,Ugric languages‎,1
535,bashkir,Uralic languages‎,1
535,bashkir,Uzbek‎,1
537,basque,Ancient Greek‎,1
537,basque,Andalusian Arabic‎,1
537,basque,Arabic‎,1
537,basque,Celtic languages‎,2
537,basque,Ecclesiastical Latin‎,2
537,basque,English‎,2
537,basque,Esperanto‎,1
537,basque,French‎,3
537,basque,Gascon‎,2
537,basque,Georgian‎,1
537,basque,German‎,1
537,basque,Italian‎,1
537,basque,Japanese‎,2
537,basque,Late Latin‎,3
537,basque,Latin‎,24
537,basque,Occitan‎,6
537,basque,Old Occitan‎,1
537,basque,Old Spanish‎,8
537,basque,Romance languages‎,2
537,basque,Serbo-Croatian‎,2
537,basque,Spanish‎,100
537,basque,Vulgar Latin‎,4
544,bats,Alanic‎,1
544,bats,Armenian languages‎,1
544,bats,Georgian‎,18
544,bats,Old Georgian‎,2
547,batuley,Indonesian‎,2
549,bau bidayuh,Malay‎,3
549,bau bidayuh,Tamil‎,1
554,bavarian,French‎,1
554,bavarian,Hebrew‎,1
554,bavarian,Italian‎,2
554,bavarian,Late Latin‎,1
554,bavarian,Latin‎,1
554,bavarian,Slovene‎,1
554,bavarian,Yiddish‎,2
568,belait,Malay‎,2
569,belarusian,Ancient Greek‎,17
569,belarusian,Arabic‎,2
569,belarusian,Byzantine Greek‎,1
569,belarusian,Chinese‎,1
569,belarusian,Czech‎,4
569,belarusian,Dutch‎,1
569,belarusian,English‎,17
569,belarusian,French‎,20
569,belarusian,German‎,16
569,belarusian,Italian‎,4
569,belarusian,Latin‎,8
569,belarusian,Middle Low German‎,3
569,belarusian,Old Church Slavonic‎,11
569,belarusian,Old French‎,1
569,belarusian,Ottoman Turkish‎,5
569,belarusian,Polish‎,203
569,belarusian,Russian‎,15
569,belarusian,Tatar‎,1
569,belarusian,Turkic languages‎,4
569,belarusian,Ukrainian‎,2
569,belarusian,Urdu‎,1
580,bende,English‎,1
583,bengali,Arabic‎,263
583,bengali,Burmese‎,1
583,bengali,Chagatai‎,1
583,bengali,Chinese‎,1
583,bengali,Classical Persian‎,221
583,bengali,Classical Sanskrit‎,10
583,bengali,Dutch‎,4
583,bengali,English‎,162
583,bengali,French‎,4
583,bengali,Gujarati‎,1
583,bengali,Hindi‎,13
583,bengali,Hindustani languages‎,2
583,bengali,Japanese‎,4
583,bengali,Kannada‎,2
583,bengali,Kokborok‎,1
583,bengali,Malay‎,1
583,bengali,Malayalam‎,1
583,bengali,Marathi‎,1
583,bengali,Middle Bengali‎,1
583,bengali,New Sanskrit‎,1
583,bengali,Old Portuguese‎,2
583,bengali,Ottoman Turkish‎,1
583,bengali,Pali‎,4
583,bengali,Pashto‎,1
583,bengali,Persian‎,260
583,bengali,Portuguese‎,9
583,bengali,Prakrit‎,1
583,bengali,Russian‎,1
583,bengali,Sanskrit‎,279
583,bengali,Thai‎,1
583,bengali,Turkic languages‎,1
583,bengali,Urdu‎,5
590,berbice creole dutch,Guyanese Creole English‎,1
593,berom,Hausa‎,1
596,betawi,Dutch‎,1
596,betawi,Javanese‎,4
599,bezhta,Georgian‎,1
599,bezhta,Russian‎,4
607,bhojpuri,Arabic‎,2
607,bhojpuri,Hindi‎,1
607,bhojpuri,Hindustani languages‎,1
607,bhojpuri,Persian‎,11
607,bhojpuri,Sanskrit‎,14
609,biak,English‎,1
611,biao,Cantonese‎,25
611,biao,Chinese‎,14
623,bihari,Sanskrit‎,1
624,bikol central,Arabic‎,2
624,bikol central,Cebuano‎,3
624,bikol central,English‎,2
624,bikol central,Hiligaynon‎,1
624,bikol central,Hokkien‎,7
624,bikol central,Malay‎,18
624,bikol central,Sanskrit‎,2
624,bikol central,Spanish‎,295
624,bikol central,Tagalog‎,36
624,bikol central,Tamil‎,3
628,bilba,Malay‎,2
635,bima,Malay‎,1
643,bintulu,Malay‎,2
644,binukid,Spanish‎,3
653,bishnupriya manipuri,Sanskrit‎,2
654,bislama,English‎,2
654,bislama,Fijian‎,0
654,bislama,French‎,2
654,bislama,German‎,1
654,bislama,Raga‎,1
660,black speech,Albanian‎,9
660,black speech,Dutch‎,2
660,black speech,German‎,1
670,bodo (india),Assamese‎,7
670,bodo (india),Bengali‎,4
670,bodo (india),Early Assamese‎,1
670,bodo (india),Portuguese‎,1
687,bolinao,Spanish‎,2
694,bondei,Swahili‎,1
697,bonggi,Malay‎,1
710,bourguignon,Ancient Greek‎,1
710,bourguignon,Dutch‎,4
710,bourguignon,Ecclesiastical Latin‎,1
710,bourguignon,Frankish‎,3
710,bourguignon,German‎,1
710,bourguignon,Late Latin‎,2
710,bourguignon,Latin‎,68
710,bourguignon,Occitan‎,2
711,bouyei,Chinese‎,6
711,bouyei,Mandarin‎,12
711,bouyei,Middle Chinese‎,1
711,bouyei,Old Chinese‎,2
713,brahui,Arabic‎,1
713,brahui,Persian‎,1
714,braj,Sanskrit‎,14
717,breton,Ancient Greek‎,3
717,breton,Ecclesiastical Latin‎,3
717,breton,English‎,2
717,breton,French‎,15
717,breton,Irish‎,1
717,breton,Latin‎,35
