,Unnamed: 0,language,source_language,e
213,207,ancient greek,Gaulish,2
214,207,ancient greek,GeorgianZan languages,1
215,207,ancient greek,Gothic,1
216,207,ancient greek,Hebrew,71
217,207,ancient greek,Hittite,5
218,207,ancient greek,Illyrian,2
219,207,ancient greek,IndoAryan languages,2
220,207,ancient greek,IndoIranian languages,1
221,207,ancient greek,Iranian languages,11
222,207,ancient greek,Late Egyptian,1
223,207,ancient greek,Late Latin,2
224,207,ancient greek,Latin,403
225,207,ancient greek,Luwian,3
226,207,ancient greek,Lydian,5
227,207,ancient greek,Manichaean Middle Persian,1
228,207,ancient greek,Meroitic,2
229,207,ancient greek,Messapic,3
230,207,ancient greek,Middle Iranian,2
231,207,ancient greek,Middle Persian,1
232,207,ancient greek,Northwest Semitic languages,1
233,207,ancient greek,Old Armenian,1
234,207,ancient greek,Old Church Slavonic,1
235,207,ancient greek,Old Iranian,1
236,207,ancient greek,Old Median,43
237,207,ancient greek,Old Persian,180
238,207,ancient greek,Oscan,2
239,207,ancient greek,Paeonian,1
240,207,ancient greek,Pali,1
241,207,ancient greek,Parthian,5
242,207,ancient greek,Phoenician,36
243,207,ancient greek,Phrygian,3
244,207,ancient greek,Prakrit languages,1
245,207,ancient greek,PreGreek,138
246,207,ancient greek,ProtoAlbanian,13
247,207,ancient greek,ProtoAnatolian,1
248,207,ancient greek,ProtoBerber,1
249,207,ancient greek,ProtoGermanic,2
250,207,ancient greek,ProtoIranian,1
251,207,ancient greek,ProtoOssetic,1
252,207,ancient greek,ProtoSaka,1
253,207,ancient greek,ProtoScythian,1
254,207,ancient greek,Punic,2
255,207,ancient greek,Sanskrit,2
256,207,ancient greek,Scythian languages,43
257,207,ancient greek,Semitic languages,35
258,207,ancient greek,Sogdian,2
259,207,ancient greek,substrate languages,2
260,207,ancient greek,Thracian,23
261,207,ancient greek,Urartian,1
262,210,ancient north arabian,Hebrew,1
263,211,andalusian arabic,Classical Persian,1
264,211,andalusian arabic,Old Norse,1
265,211,andalusian arabic,Old Portuguese,1
266,211,andalusian arabic,Persian,1
267,211,andalusian arabic,Romance languages,3
268,211,andalusian arabic,Spanish,2
269,216,andio,Dutch,1
270,216,andio,Indonesian,1
271,216,andio,Malay,1
272,220,aneityum,Bislama,1
273,228,angika,Classical Persian,1
274,230,angkola batak,Indonesian,1
275,241,ankave,Tok Pisin,4
276,246,ansus,Indonesian,1
277,253,anuta,Tikopia,2
278,258,apalaí,Portuguese,2
279,271,arabic,Aeolic Greek,2
280,271,arabic,Afar,1
281,271,arabic,Akkadian,4
282,271,arabic,Ammonite,1
283,271,arabic,Ancient Greek,142
284,271,arabic,Aramaic,486
285,271,arabic,Bambara,1
286,271,arabic,Beja,4
287,271,arabic,Berber languages,17
288,271,arabic,Biblical Hebrew,5
289,271,arabic,Byzantine Greek,20
290,271,arabic,Central Atlas Tamazight,2
291,271,arabic,Chinese,2
292,271,arabic,Classical Persian,8
293,271,arabic,Classical Syriac,206
294,271,arabic,Coptic,38
295,271,arabic,Cushitic languages,1
296,271,arabic,Dravidian languages,2
297,271,arabic,Dutch,1
298,271,arabic,Eastern Sudanic languages,1
299,271,arabic,Ecclesiastical Latin,1
300,271,arabic,Egyptian,8
301,271,arabic,Egyptian Arabic,16
302,271,arabic,English,98
303,271,arabic,French,98
304,271,arabic,Geez,36
305,271,arabic,Georgian,1
306,271,arabic,German,4
307,271,arabic,Greek,6
308,271,arabic,Hadrami,1
309,271,arabic,Hassaniya,1
310,271,arabic,Hausa,3
311,271,arabic,Hebrew,60
312,271,arabic,Hindi,7
313,271,arabic,Hindustani languages,3
314,271,arabic,Iranian languages,16
315,271,arabic,Italian,38
316,271,arabic,Japanese,8
317,271,arabic,Karakhanid,1
318,271,arabic,Kazakh,1
319,271,arabic,Khorezmian Turkic,2
320,271,arabic,Kipchak,1
321,271,arabic,Koine Greek,1
322,271,arabic,Korean,3
323,271,arabic,Latin,46
324,271,arabic,Malay,10
325,271,arabic,Malayalam,2
326,271,arabic,Mandinka,1
327,271,arabic,Medieval Latin,2
328,271,arabic,Middle Armenian,1
329,271,arabic,Middle English,1
330,271,arabic,Middle French,1
331,271,arabic,Middle Iranian,18
332,271,arabic,Middle Persian,173
333,271,arabic,Modern South Arabian languages,4
334,271,arabic,NeoAssyrian,1
335,271,arabic,New Latin,1
336,271,arabic,North Levantine Arabic,2
337,271,arabic,Northern Kurdish,1
338,271,arabic,Northwest Semitic languages,1
339,271,arabic,Old Aramaic,1
340,271,arabic,Old Armenian,11
341,271,arabic,Old French,1
342,271,arabic,Old Javanese,0
343,271,arabic,Old Persian,2
344,271,arabic,Old South Arabian,39
345,271,arabic,Old South Arabian languages,2
346,271,arabic,Old Spanish,5
347,271,arabic,Omani Arabic,1
348,271,arabic,Ottoman Turkish,117
349,271,arabic,Parthian,4
350,271,arabic,Pashto,1
351,271,arabic,Persian,252
352,271,arabic,Phoenician,1
353,271,arabic,Portuguese,6
354,271,arabic,ProtoKurdish,1
355,271,arabic,Punic,0
356,271,arabic,Punjabi,1
357,271,arabic,Romance languages,5
358,271,arabic,Romanian,1
359,271,arabic,Russian,6
360,271,arabic,Sahidic Coptic,1
361,271,arabic,Sanskrit,8
362,271,arabic,Sauraseni Apabhramsa,1
363,271,arabic,Sauraseni Prakrit,1
364,271,arabic,Semitic languages,3
365,271,arabic,Sicilian,1
366,271,arabic,Sogdian,1
367,271,arabic,South Levantine Arabic,1
368,271,arabic,Spanish,13
369,271,arabic,substrate languages,5
370,271,arabic,Tachawit,1
371,271,arabic,Tamil,2
372,271,arabic,Tarifit,2
373,271,arabic,Tashelhit,2
374,271,arabic,Taymanitic,1
375,271,arabic,Thai,1
376,271,arabic,Tigre,1
377,271,arabic,Tigrinya,2
378,271,arabic,Translingual,1
379,271,arabic,Tulu,1
380,271,arabic,Turkic languages,6
381,271,arabic,Urdu,5
382,271,arabic,Vracada Apabhramsa,1
383,271,arabic,Vulgar Latin,2
384,271,arabic,Yemeni Arabic,2
385,272,aragonese,Andalusian Arabic,1
386,272,aragonese,Celtic languages,1
387,272,aragonese,English,1
388,272,aragonese,French,3
389,272,aragonese,Late Latin,1
390,272,aragonese,Latin,14
391,272,aragonese,Medieval Latin,1
392,273,araki,Bislama,1
393,275,aramaic,Akkadian,12
394,275,aramaic,Ancient Greek,54
395,275,aramaic,Arabic,1
396,275,aramaic,Austronesian languages,1
397,275,aramaic,Biblical Hebrew,1
398,275,aramaic,Hebrew,4
399,275,aramaic,Iranian languages,3
400,275,aramaic,Koine Greek,1
401,275,aramaic,Latin,2
402,275,aramaic,Middle Iranian,2
403,275,aramaic,Middle Persian,15
404,275,aramaic,Old Persian,7
405,275,aramaic,Parthian,4
406,286,archi,ProtoTurkic,1
407,292,argobba,Amharic,1
408,292,argobba,Geez,1
409,304,armenian,Afrikaans,1
410,304,armenian,Akkadian,1
411,304,armenian,Ancient Greek,21
412,304,armenian,Arabic,12
413,304,armenian,Azerbaijani,53
414,304,armenian,Bulgarian,1
415,304,armenian,Byzantine Greek,1
416,304,armenian,Classical Persian,3
417,304,armenian,Czech,1
418,304,armenian,Dutch,1
419,304,armenian,English,63
420,304,armenian,French,41
421,304,armenian,Georgian,40
422,304,armenian,German,18
423,304,armenian,Greek,1
424,304,armenian,Iranian languages,5
425,304,armenian,Italian,6
426,304,armenian,Kartvelian languages,1
427,304,armenian,Kipchak,1
428,304,armenian,Kipchak languages,1
429,304,armenian,Kurdish languages,1
430,304,armenian,Latin,10
431,304,armenian,Malay,2
432,304,armenian,Middle Armenian,29
433,304,armenian,New Latin,6
434,304,armenian,Northern Kurdish,9
435,304,armenian,Norwegian,1
436,304,armenian,Old Armenian,1022
437,304,armenian,Old Persian,1
438,304,armenian,Ottoman Turkish,206
439,304,armenian,Persian,48
440,304,armenian,Pontic Greek,1
441,304,armenian,Russian,829
442,304,armenian,Spanish,2
443,304,armenian,Translingual,0
444,304,armenian,Turkic languages,8
445,304,armenian,Turkish,13
446,304,armenian,Uralic languages,1
447,304,armenian,Urartian,3
448,304,armenian,Zan languages,2
449,306,aromanian,Albanian,65
450,306,aromanian,Ancient Greek,2
451,306,aromanian,Arabic,2
452,306,aromanian,Bulgarian,1
453,306,aromanian,Byzantine Greek,2
454,306,aromanian,French,2
455,306,aromanian,Greek,196
456,306,aromanian,Italian,8
457,306,aromanian,Late Latin,1
458,306,aromanian,Latin,2
459,306,aromanian,Macedonian,2
460,306,aromanian,Medieval Latin,2
461,306,aromanian,Ottoman Turkish,22
462,306,aromanian,Persian,2
463,306,aromanian,ProtoAlbanian,2
464,306,aromanian,ProtoSlavic,1
465,306,aromanian,Romanian,3
466,306,aromanian,SerboCroatian,3
467,306,aromanian,Slavic languages,7
468,306,aromanian,Spanish,1
469,306,aromanian,substrate languages,1
470,306,aromanian,Thracian,1
471,306,aromanian,Turkish,10
472,310,arta,Tagalog,1
473,315,as,Indonesian,2
474,319,ashokan prakrit,Ancient Greek,4
475,319,ashokan prakrit,Middle Iranian,1
476,319,ashokan prakrit,Old Iranian,1
477,319,ashokan prakrit,Old Persian,3
478,319,ashokan prakrit,Old Tamil,2
479,319,ashokan prakrit,substrate languages,2
480,319,ashokan prakrit,Sumerian,1
481,324,asi,Hokkien,1
482,324,asi,Malay,2
483,324,asi,Spanish,14
484,325,asilulu,Indonesian,2
485,327,assamese,Ahom,2
486,327,assamese,Arabic,16
487,327,assamese,Avestan,1
488,327,assamese,Bengali,12
489,327,assamese,Bodo,1
490,327,assamese,Chinese,3
491,327,assamese,Classical Persian,3
492,327,assamese,Classical Sanskrit,2
493,327,assamese,Egyptian,1
494,327,assamese,English,173
495,327,assamese,Hindi,3
496,327,assamese,Malayalam,1
497,327,assamese,Manipuri,1
498,327,assamese,Maori,1
499,327,assamese,Middle Persian,1
500,327,assamese,Mvuba,1
501,327,assamese,Persian,114
502,327,assamese,Portuguese,12
503,327,assamese,ProtoBodoGaro,1
504,327,assamese,ProtoDravidian,1
505,327,assamese,Punjabi,1
506,327,assamese,Sanskrit,203
507,327,assamese,Sinhalese,1
508,327,assamese,Spanish,1
509,327,assamese,Tamil,1
510,327,assamese,Urdu,2
511,331,assyrian neo-aramaic,Akkadian,1
512,331,assyrian neo-aramaic,Ancient Greek,11
513,331,assyrian neo-aramaic,Arabic,34
514,331,assyrian neo-aramaic,Aramaic,1
515,331,assyrian neo-aramaic,Azerbaijani,2
516,331,assyrian neo-aramaic,Biblical Hebrew,2
517,331,assyrian neo-aramaic,Byzantine Greek,1
518,331,assyrian neo-aramaic,Classical Syriac,0
519,331,assyrian neo-aramaic,Dutch,1
520,331,assyrian neo-aramaic,English,18
521,331,assyrian neo-aramaic,French,3
522,331,assyrian neo-aramaic,German,1
523,331,assyrian neo-aramaic,Greek,2
524,331,assyrian neo-aramaic,Hebrew,0
525,331,assyrian neo-aramaic,Iraqi Arabic,1
526,331,assyrian neo-aramaic,Italian,2
527,331,assyrian neo-aramaic,Japanese,1
528,331,assyrian neo-aramaic,Latin,9
529,331,assyrian neo-aramaic,Nepali,1
530,331,assyrian neo-aramaic,Northern Kurdish,2
531,331,assyrian neo-aramaic,Old Persian,1
532,331,assyrian neo-aramaic,Ottoman Turkish,5
533,331,assyrian neo-aramaic,Persian,20
534,331,assyrian neo-aramaic,Portuguese,3
535,331,assyrian neo-aramaic,Sanskrit,1
536,331,assyrian neo-aramaic,Spanish,2
537,332,asturian,Ancient Greek,4
538,332,asturian,Andalusian Arabic,1
539,332,asturian,Arabic,2
540,332,asturian,Basque,2
541,332,asturian,Catalan,1
542,332,asturian,Ecclesiastical Latin,4
543,332,asturian,English,5
544,332,asturian,Frankish,1
545,332,asturian,French,23
546,332,asturian,Gothic,1
547,332,asturian,Italian,2
548,332,asturian,Late Latin,21
549,332,asturian,Latin,181
550,332,asturian,Medieval Latin,9
551,332,asturian,New Latin,2
552,332,asturian,Old Catalan,1
553,332,asturian,Old English,1
554,332,asturian,Old French,2
555,332,asturian,Old Occitan,3
556,332,asturian,Portuguese,1
557,332,asturian,Sanskrit,1
558,332,asturian,Spanish,13
559,332,asturian,Telugu,1
560,339,atayal,Chinese,3
561,339,atayal,English,1
562,339,atayal,Japanese,5
563,347,atong (india),Arabic,1
564,347,atong (india),Assamese,7
565,347,atong (india),Bengali,30
566,347,atong (india),English,44
567,347,atong (india),Hindi,16
568,355,aukan,Dutch,3
569,355,aukan,Sranan Tongo,2
570,367,avar,Arabic,2
571,367,avar,Georgian,1
572,367,avar,Iranian languages,1
573,367,avar,Kartvelian languages,1
574,367,avar,Kumyk,1
575,367,avar,Old Armenian,0
576,367,avar,Turkic languages,3
577,378,awadhi,Persian,2
578,378,awadhi,Sanskrit,20
579,396,aymara,English,1
580,396,aymara,Spanish,2
581,397,aynu,Manchu,1
582,397,aynu,Persian,1
583,402,ayutla mixtec,Nahuan languages,1
584,402,ayutla mixtec,Spanish,5
585,403,azerbaijani,Arabic,1122
586,403,azerbaijani,Armenian,21
587,403,azerbaijani,Bulgarian,1
588,403,azerbaijani,Classical Persian,1
589,403,azerbaijani,English,7
590,403,azerbaijani,French,4
591,403,azerbaijani,Georgian,3
592,403,azerbaijani,German,2
593,403,azerbaijani,Greek,2
594,403,azerbaijani,Iranian languages,2
595,403,azerbaijani,Japanese,4
596,403,azerbaijani,Latin,3
597,403,azerbaijani,Middle Armenian,1
598,403,azerbaijani,New Latin,0
599,403,azerbaijani,Ottoman Turkish,38
600,403,azerbaijani,Persian,601
601,403,azerbaijani,Russian,145
602,403,azerbaijani,Tat,7
603,403,azerbaijani,Turkic languages,1
604,403,azerbaijani,Turkish,32
605,408,baba malay,Hokkien,1
606,417,bactrian,Old Turkic,1
607,434,baha,Chinese,5
608,434,baha,Mandarin,1
609,434,baha,SinoTibetan languages,2
610,436,baharna arabic,Kipchak,1
611,440,bahnar,Chamic languages,17
612,440,bahnar,Katuic languages,1
613,440,bahnar,Vietnamese,1
614,445,baiso,Amharic,1
615,450,bakhtiari,Arabic,1
616,450,bakhtiari,Persian,1
617,451,baki,Bierebo,1
618,461,balantak,North Moluccan Malay,1
619,464,balinese,Indonesian,2
620,464,balinese,Javanese,3
621,464,balinese,Malay,5
622,464,balinese,Old Javanese,41
623,464,balinese,Sanskrit,16
624,466,balkan romani,Macedonian,1
625,466,balkan romani,Romanian,1
626,466,balkan romani,SerboCroatian,4
627,470,baltic romani,Latin,1
628,472,baluchi,Arabic,7
629,472,baluchi,Classical Persian,1
630,472,baluchi,Dari,1
631,472,baluchi,English,1
632,472,baluchi,Hindi,1
633,472,baluchi,Persian,13
634,475,bambara,Arabic,10
635,475,bambara,French,7
636,488,banggai,Indonesian,1
637,492,banjarese,Arabic,7
638,492,banjarese,Javanese,2
639,492,banjarese,Malay,3
640,492,banjarese,Old Javanese,1
641,496,banoni,English,4
642,500,banyumasan,Javanese,1
643,533,basay,Amis,1
644,533,basay,Bunun,1
645,533,basay,Paiwan,1
646,535,bashkir,Arabic,221
647,535,bashkir,Chagatai,2
648,535,bashkir,Classical Persian,2
649,535,bashkir,French,1
650,535,bashkir,German,2
651,535,bashkir,Japanese,1
652,535,bashkir,Kazakh,1
653,535,bashkir,Latin,2
654,535,bashkir,Mongolic languages,2
655,535,bashkir,New Latin,1
656,535,bashkir,Oghur languages,5
657,535,bashkir,Ottoman Turkish,6
658,535,bashkir,Permic languages,1
659,535,bashkir,Persian,125
660,535,bashkir,Russian,110
661,535,bashkir,Sogdian,1
662,535,bashkir,Spanish,1
663,535,bashkir,Tatar,1
664,535,bashkir,Turkish,0
665,535,bashkir,Ugric languages,1
666,535,bashkir,Uralic languages,1
667,535,bashkir,Uzbek,1
668,537,basque,Ancient Greek,1
669,537,basque,Andalusian Arabic,1
670,537,basque,Arabic,1
671,537,basque,Celtic languages,2
672,537,basque,Ecclesiastical Latin,2
673,537,basque,English,2
674,537,basque,Esperanto,1
675,537,basque,French,3
676,537,basque,Gascon,2
677,537,basque,Georgian,1
678,537,basque,German,1
679,537,basque,Italian,1
680,537,basque,Japanese,2
681,537,basque,Late Latin,3
682,537,basque,Latin,24
683,537,basque,Occitan,6
684,537,basque,Old Occitan,1
685,537,basque,Old Spanish,8
686,537,basque,Romance languages,2
687,537,basque,SerboCroatian,2
688,537,basque,Spanish,100
689,537,basque,Vulgar Latin,4
690,544,bats,Alanic,1
691,544,bats,Armenian languages,1
692,544,bats,Georgian,18
693,544,bats,Old Georgian,2
694,547,batuley,Indonesian,2
695,549,bau bidayuh,Malay,3
696,549,bau bidayuh,Tamil,1
697,554,bavarian,French,1
698,554,bavarian,Hebrew,1
699,554,bavarian,Italian,2
700,554,bavarian,Late Latin,1
701,554,bavarian,Latin,1
702,554,bavarian,Slovene,1
703,554,bavarian,Yiddish,2
704,568,belait,Malay,2
705,569,belarusian,Ancient Greek,17
706,569,belarusian,Arabic,2
707,569,belarusian,Byzantine Greek,1
708,569,belarusian,Chinese,1
709,569,belarusian,Czech,4
710,569,belarusian,Dutch,1
711,569,belarusian,English,17
712,569,belarusian,French,20
713,569,belarusian,German,16
714,569,belarusian,Italian,4
715,569,belarusian,Latin,8
716,569,belarusian,Middle Low German,3
717,569,belarusian,Old Church Slavonic,11
718,569,belarusian,Old French,1
719,569,belarusian,Ottoman Turkish,5
720,569,belarusian,Polish,203
721,569,belarusian,Russian,15
722,569,belarusian,Tatar,1
723,569,belarusian,Turkic languages,4
724,569,belarusian,Ukrainian,2
725,569,belarusian,Urdu,1
726,580,bende,English,1
727,583,bengali,Arabic,263
728,583,bengali,Burmese,1
729,583,bengali,Chagatai,1
730,583,bengali,Chinese,1
731,583,bengali,Classical Persian,221
732,583,bengali,Classical Sanskrit,10
733,583,bengali,Dutch,4
734,583,bengali,English,162
735,583,bengali,French,4
736,583,bengali,Gujarati,1
737,583,bengali,Hindi,13
738,583,bengali,Hindustani languages,2
739,583,bengali,Japanese,4
740,583,bengali,Kannada,2
741,583,bengali,Kokborok,1
742,583,bengali,Malay,1
743,583,bengali,Malayalam,1
744,583,bengali,Marathi,1
745,583,bengali,Middle Bengali,1
746,583,bengali,New Sanskrit,1
747,583,bengali,Old Portuguese,2
748,583,bengali,Ottoman Turkish,1
749,583,bengali,Pali,4
750,583,bengali,Pashto,1
751,583,bengali,Persian,260
752,583,bengali,Portuguese,9
753,583,bengali,Prakrit,1
754,583,bengali,Russian,1
755,583,bengali,Sanskrit,279
756,583,bengali,Thai,1
757,583,bengali,Turkic languages,1
758,583,bengali,Urdu,5
759,590,berbice creole dutch,Guyanese Creole English,1
760,593,berom,Hausa,1
761,596,betawi,Dutch,1
762,596,betawi,Javanese,4
763,599,bezhta,Georgian,1
764,599,bezhta,Russian,4
765,607,bhojpuri,Arabic,2
766,607,bhojpuri,Hindi,1
767,607,bhojpuri,Hindustani languages,1
768,607,bhojpuri,Persian,11
769,607,bhojpuri,Sanskrit,14
770,609,biak,English,1
771,611,biao,Cantonese,25
772,611,biao,Chinese,14
773,623,bihari,Sanskrit,1
774,624,bikol central,Arabic,2
775,624,bikol central,Cebuano,3
776,624,bikol central,English,2
777,624,bikol central,Hiligaynon,1
778,624,bikol central,Hokkien,7
779,624,bikol central,Malay,18
780,624,bikol central,Sanskrit,2
781,624,bikol central,Spanish,295
782,624,bikol central,Tagalog,36
783,624,bikol central,Tamil,3
784,628,bilba,Malay,2
785,635,bima,Malay,1
786,643,bintulu,Malay,2
787,644,binukid,Spanish,3
788,653,bishnupriya manipuri,Sanskrit,2
789,654,bislama,English,2
790,654,bislama,Fijian,0
791,654,bislama,French,2
792,654,bislama,German,1
793,654,bislama,Raga,1
794,660,black speech,Albanian,9
795,660,black speech,Dutch,2
796,660,black speech,German,1
797,670,bodo (india),Assamese,7
798,670,bodo (india),Bengali,4
799,670,bodo (india),Early Assamese,1
800,670,bodo (india),Portuguese,1
801,687,bolinao,Spanish,2
802,694,bondei,Swahili,1
803,697,bonggi,Malay,1
804,710,bourguignon,Ancient Greek,1
805,710,bourguignon,Dutch,4
806,710,bourguignon,Ecclesiastical Latin,1
807,710,bourguignon,Frankish,3
808,710,bourguignon,German,1
809,710,bourguignon,Late Latin,2
810,710,bourguignon,Latin,68
811,710,bourguignon,Occitan,2
812,711,bouyei,Chinese,6
813,711,bouyei,Mandarin,12
814,711,bouyei,Middle Chinese,1
815,711,bouyei,Old Chinese,2
816,713,brahui,Arabic,1
817,713,brahui,Persian,1
818,714,braj,Sanskrit,14
819,717,breton,Ancient Greek,3
820,717,breton,Ecclesiastical Latin,3
821,717,breton,English,2
822,717,breton,French,15
823,717,breton,Irish,1
824,717,breton,Latin,35
