,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label,label_bin,DNN_logits,mbert_cos,xlm_cos,ass_bert_mbert_cos,indic_bert_cos,muril_cos,mbertxlm,mbertass_bert,mbertindic_bert,mbertmuril,xlmmbert,xlmass_bert,xlmindic_bert,xlmmuril,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,indic_bertmbert,indic_bertxlm,indic_bertass_bert,indic_bertmuril,murilmbert,murilxlm,murilass_bert,murilindic_bert,mbert_src_assbert_trg
19,19,19,19,274,274,মেঘ,বাদল,mɛgʱ,bad̪ɔlɔ,Clouds,Badal,1,0.833333333333333,0.631944444444444,0.694444444444444,5.375,0.694444444444444,4,Bengali,Bengali,synonym,0,-10.423985,0.878843009471893,0.720524251461029,0.450801700353622,0.999679327011108,0.999764621257782,0.79247063,-0.039010584,0.9997619,0.9997926,0.8800342,-0.040458743,0.99968165,0.99976766,0.92185974,0.80615956,0.9998614,0.999666,0.99889284,0.9976915,-0.037750833,0.99996185,0.998816,0.99847627,-0.03756755,0.9999205,0.06871678
20,20,20,20,242,242,মই,মই,mi,mi,I,I,0,0,0,0,0,0,0,Bengali,Bengali,loan,1,1.6465688,0.99999988079071,1,0.372212111949921,0.999390065670013,0.999946534633636,0.9680375,-0.038567133,0.9995179,0.99990577,0.99999535,-0.038924146,0.99938786,0.9999464,0.9814781,0.96747255,0.99974966,0.9998814,0.9986425,0.99448174,-0.0374897,0.9999539,0.99886054,0.99841475,-0.037494615,0.99992275,0.005561728
21,21,21,21,250,250,মাখি,মাক্‌খি,makʰi,mak‌kʰi,Flies,Makkhi,0.285714285714286,0.2,0.179166666666667,0.2,1.45,0.2,3,Bengali,Bengali,loan,1,-4.5059013,0.920105159282684,0.695407927036285,0.482560724020004,0.995045840740204,0.999114632606506,0.72574496,-0.02330461,0.9954373,0.99928045,0.9204072,-0.023648366,0.9950739,0.9991196,0.938725,0.8440539,0.9986891,0.9989594,0.9921905,0.9644092,-0.036629006,0.99984974,0.9982351,0.99782526,-0.03659128,0.9999207,0.07214378
23,23,23,23,202,202,বহুত,বহুত,bɔɦut,bɔɦut̪,lot,lot,0.166666666666667,0,0.008333333333333,0.008333333333333,0.05,0.008333333333333,0,Bengali,Bengali,loan,1,5.8073387,1,1,0.450689256191254,0.999750792980194,0.999925136566162,0.9667467,-0.03005534,0.9997076,0.9997974,0.9999855,-0.0299746,0.99975085,0.99992526,0.98059976,0.9514575,0.9998379,0.99980086,0.998967,0.9972417,-0.037860163,0.9999554,0.9989109,0.99849415,-0.037547518,0.9999229,0.020617075
25,25,25,25,78,78,গাঁও,রঙ,gãʊ,rɔŋɔ,The village,Color,1,0.75,0.494791666666667,0.5625,4.3125,0.5625,4,Bengali,Bengali,random,0,-5.6575937,0.699941039085388,0.566549003124237,0.332231342792511,0.998370230197906,0.999324321746826,0.6585496,-0.034397677,0.9985101,0.99945503,0.7003671,-0.033158325,0.99838257,0.99932826,0.72985005,0.72236645,0.9993116,0.9994818,0.99687266,0.9891196,-0.037191615,0.99993724,0.99880457,0.99822986,-0.03731418,0.99993706,0.0553212
26,26,26,26,256,256,মিঠা,মিঠা,mitʰa,miʈʰa,sweet,sweet,0.2,0,0.010416666666667,0.010416666666667,0.125,0.010416666666667,0,Bengali,Bengali,loan,1,2.5196662,0.999999761581421,1,0.501993656158447,0.999762892723084,0.999931871891022,0.9503314,-0.031940155,0.99974686,0.99971515,0.99998116,-0.038757764,0.99976414,0.9999331,0.99142176,0.9800249,0.99981225,0.9998521,0.99896395,0.9958042,-0.036667563,0.9999653,0.99893403,0.9985126,-0.037665784,0.99992263,0.0464146
27,27,27,27,156,156,ঠেং,ধন,tʰɛŋ,d̪ʱɔn̪ɔ,The tail,money,1,0.25,0.322916666666667,0.354166666666667,2.78125,0.348958333333333,3,Bengali,Bengali,synonym,0,-6.161143,0.886718451976776,0.62787938117981,0.512745916843414,0.998770475387573,0.999720215797424,0.73970175,-0.02620881,0.99901766,0.9997121,0.8868407,-0.022289697,0.99877435,0.9997198,0.8896536,0.7326051,0.9991415,0.99972826,0.99618816,0.99266255,-0.037133686,0.99994516,0.9988277,0.9985147,-0.037561793,0.9999238,0.035966165
28,28,28,28,41,41,উপন্যাস,নভেল,upniax,n̪ɔbʱelɔ,Novel,Novel,1,0.666666666666667,0.267361111111111,0.305555555555555,5.02083333333333,0.267361111111111,6,Bengali,Bengali,synonym,0,-14.389074,0.658505022525787,0.706328570842743,0.564459323883057,0.998912692070007,0.999064922332764,0.7796211,-0.038064253,0.99893403,0.99919415,0.6599036,-0.034729533,0.9989371,0.999081,0.76386404,0.82766014,0.99953914,0.9994938,0.9966451,0.993489,-0.036571708,0.9999391,0.99872905,0.99816036,-0.0372082,0.99993384,-0.02480225
29,29,29,29,125,125,ঠেং,মুখ,tʰɛŋ,mukʰ,The tail,Face,1,0.666666666666667,0.215277777777778,0.222222222222222,3.125,0.215277777777778,3,Bengali,Bengali,random,0,-10.551853,0.895339906215668,0.689033269882202,0.412575215101242,0.9986132979393,0.999713242053986,0.81772643,-0.03626003,0.9982439,0.99964064,0.89551795,-0.032062203,0.99862033,0.9997131,0.90107816,0.8289594,0.9989127,0.99978906,0.9956206,0.9916671,-0.038144454,0.9999174,0.9988243,0.99852103,-0.037552506,0.99992263,0.039765354
31,31,31,31,223,223,বুধবাৰ,কোদাল,budʰbaɹ,kod̪alɔ,Wednesday,Spade,0.857142857142857,0.5,0.1875,0.215277777777778,3.60416666666667,0.1875,5,Bengali,Bengali,random,0,-13.35189,0.907798528671265,0.680972456932068,0.421589493751526,0.99880588054657,0.998287975788116,0.71438164,-0.029638115,0.9989117,0.9984757,0.9085046,-0.031500503,0.99878407,0.99829,0.93289125,0.7278542,0.99964905,0.99893844,0.9972777,0.99532217,-0.036700115,0.99993324,0.9981872,0.9977567,-0.03703358,0.99989456,0.014904504
35,35,35,35,142,142,টকা,ধন,tɔka,d̪ʱɔn̪ɔ,Money,money,0.857142857142857,0.25,0.140625,0.145833333333333,1.78125,0.140625,3,Bengali,Bengali,synonym,0,-7.1782684,0.923399567604065,0.57840096950531,0.523399949073792,0.998806357383728,0.999762713909149,0.6824616,-0.035754293,0.99905384,0.9997587,0.92356145,-0.03204466,0.9988097,0.9997626,0.92351866,0.8476598,0.9992267,0.99983495,0.9967663,0.99406874,-0.037389252,0.9999432,0.9988916,0.99847615,-0.037584394,0.9999281,-0.027754609
37,37,37,37,329,329,সঁচা,হাচা,xɔ̃sa,ɦat͡ɕa,true,Hacha,0.833333333333333,0.5,0.145833333333333,0.145833333333333,2.0625,0.145833333333333,2,Bengali,Bengali,loan,1,3.229926,0.940851986408233,0.796481728553772,0.4258092045784,0.998936951160431,0.998792171478272,0.8677512,-0.024578886,0.9995377,0.9991814,0.9411184,-0.029091217,0.9989424,0.99879783,0.96347255,0.9075457,0.9995581,0.9995387,0.9980237,0.9955907,-0.03971443,0.99994767,0.99853224,0.998332,-0.037173495,0.99991935,0.08638282
41,41,41,41,198,198,পুষ্প,পুষ্পক,puxpɔ,puʃpɔkɔ,Flowers,Flower,0.428571428571429,0.428571428571429,0.276785714285714,0.30952380952381,2.30357142857143,0.306547619047619,1,Bengali,Bengali,synonym,0,-6.479954,0.97080796957016,0.874161541461945,0.333865731954575,0.995927572250366,0.998664796352386,0.93836915,-0.015830627,0.9988567,0.99934673,0.97144663,-0.013937982,0.99600494,0.9986715,0.97621137,0.9314201,0.999226,0.9995353,0.9948305,0.9874048,-0.03716052,0.99976337,0.9986627,0.997873,-0.037190065,0.99994385,-0.007878693
42,42,42,42,162,162,নতুন,রাং,nɔtun,raŋ,New,Rang,1,0.6,0.466666666666667,0.525,4.175,0.504166666666667,4,Bengali,Bengali,random,0,-9.515091,0.821410238742828,0.555769503116608,0.475439608097076,0.997770547866821,0.99933934211731,0.604617,-0.053757466,0.9983275,0.99945074,0.8222033,-0.05474516,0.99777794,0.999342,0.88887984,0.77180344,0.99927443,0.9996123,0.99648273,0.99336475,-0.038895532,0.99994546,0.99876857,0.99827445,-0.037299477,0.9999303,-0.04543378
44,44,44,44,355,355,সঁচা,সত্য,xɔ̃sa,ʃɔt̪d͡zɔ,true,True,0.875,0.4,0.270833333333333,0.291666666666667,2.475,0.2875,3,Bengali,Bengali,synonym,0,-6.597707,0.880784571170807,0.793870091438293,0.540879786014557,0.999070465564728,0.998745322227478,0.8288918,-0.030255143,0.9994626,0.9990897,0.8806753,-0.035717018,0.99907315,0.9987492,0.9098586,0.7760393,0.9996873,0.9993123,0.9972571,0.9909169,-0.03672649,0.9999565,0.9984139,0.9982827,-0.037173174,0.9999116,0.08738456
50,50,50,50,137,137,তাম,ঘামা,tam,gʱama,copper,Sweat,0.6,0.666666666666667,0.3125,0.361111111111111,4.83333333333333,0.3125,2,Bengali,Bengali,random,0,-14.62389,0.900121569633484,0.59417450428009,0.439163863658905,0.994779944419861,0.999159932136535,0.71148354,-0.028171498,0.997486,0.9993929,0.9002528,-0.022903334,0.99479127,0.9991601,0.8725864,0.8736532,0.99888223,0.99964184,0.99453056,0.98736864,-0.036255088,0.99973077,0.9983448,0.9979629,-0.0368495,0.9999137,0.037150253
51,51,51,51,70,70,গেলা,ঘাড়,gɛla,gʱaɽ,Swallow,Neck,0.75,0.333333333333333,0.381944444444444,0.444444444444444,3.33333333333333,0.416666666666667,4,Bengali,Bengali,synonym,0,-10.004452,0.83004754781723,0.571013689041138,0.49236062169075,0.996378660202026,0.997835338115692,0.7006202,-0.038773604,0.99673045,0.9978688,0.8304016,-0.036458798,0.9964103,0.9978442,0.89664865,0.7483784,0.9995152,0.99931955,0.99126935,0.98319954,-0.037121583,0.99970776,0.9981061,0.99789065,-0.037634656,0.99985695,0.07800822
53,53,53,53,349,349,স্বাধীনতা,আজাদি,xadʰinta,ad͡ʑad̪i,Freedom,Freedom,0.875,0.428571428571429,0.324404761904762,0.351190476190476,2.71428571428571,0.351190476190476,8,Bengali,Bengali,synonym,0,-15.688855,0.705989420413971,0.752826273441315,0.52326101064682,0.99849009513855,0.998980402946472,0.75317806,-0.045642383,0.9995663,0.9993272,0.70591766,-0.042104833,0.99857044,0.99900526,0.82790995,0.82649183,0.9994845,0.9995511,0.9971839,0.9943072,-0.03741713,0.99991596,0.9986893,0.99806046,-0.037144914,0.99993926,0.006558857
54,54,54,54,283,283,ৰচনা,গঠন,ɹɔsɔna,ɡɔʈʰɔn̪ɔ,essay,Structure,0.625,0.166666666666667,0.100694444444444,0.104166666666667,1.72916666666667,0.100694444444444,3,Bengali,Bengali,synonym,0,-14.892788,0.74657928943634,0.542420566082001,0.376940339803696,0.998698830604553,0.999663531780243,0.6203976,-0.017364211,0.99873817,0.9996396,0.74749345,-0.017190827,0.9986969,0.99966735,0.80439854,0.7231806,0.99910057,0.99969316,0.99398595,0.9890113,-0.037191622,0.9999051,0.99892515,0.99840283,-0.037547156,0.99993026,0.09061975
55,55,55,55,200,200,পুথি,বই,putʰi,bi,The book,Books,0.8,0.5,0.463541666666667,0.510416666666667,3.6875,0.510416666666667,4,Bengali,Bengali,synonym,0,-8.948151,0.750441431999206,0.68317723274231,0.248836889863014,0.999910354614258,0.999120593070984,0.6965216,-0.01681716,0.9999219,0.99919426,0.75120246,-0.014522645,0.9999097,0.999117,0.80991733,0.77908593,0.99958533,0.9991224,0.9965304,0.9945835,-0.03724479,0.99994576,0.9987348,0.9982284,-0.03730709,0.99993587,-0.008067293
56,56,56,56,299,299,শব্দ,লফজ,xɔbdɔ,lɔɸɔd͡ʑɔ,Words,Luffz,0.625,0.5,0.246527777777778,0.270833333333333,2.54166666666667,0.263888888888889,4,Bengali,Bengali,synonym,0,-18.846382,0.375001132488251,0.66477245092392,0.547551691532135,0.996041238307953,0.998358070850372,0.75286096,-0.041861206,0.99888396,0.999246,0.37500158,-0.038908273,0.9961028,0.99838746,0.51061976,0.7574508,0.9991518,0.99946594,0.9902061,0.98032796,-0.037232928,0.99971294,0.9984848,0.99774015,-0.036781434,0.99994296,0.21262759
57,57,57,57,221,221,বিলাই,বিল্লি,bilai,billi,distribute,Cat,0.2,0.2,0.054166666666667,0.066666666666667,1.2,0.054166666666667,3,Bengali,Bengali,synonym,0,-5.5803313,0.920180082321167,0.750612854957581,0.45380961894989,0.999618947505951,0.998901963233948,0.80050796,-0.03837703,0.999741,0.99918664,0.9217744,-0.039528765,0.9996222,0.9989075,0.92699945,0.8322811,0.99958766,0.99941355,0.99697334,0.99567515,-0.036150098,0.9999526,0.99842507,0.998109,-0.0371795,0.99990594,0.0553226
62,62,62,62,182,182,পিন্ধা,পিন্ধা,pindʰa,pin̪d̪ʱa,wear,wear,0.375,0,0.025,0.025,0.15,0.025,0,Bengali,Bengali,loan,1,5.1857023,1,0.999999582767487,0.437379539012909,0.998319327831268,0.999408185482025,0.9891243,-0.03098059,0.9992465,0.9996632,0.9999974,-0.030033167,0.99833095,0.9994128,0.97978413,0.9747838,0.9995887,0.9996442,0.9957246,0.9926444,-0.036479134,0.9999177,0.9985236,0.99808407,-0.03689564,0.99991655,0.06305689
67,67,67,67,155,155,টাকা,ধন,taka,d̪ʱɔn̪ɔ,Money,money,1,0.25,0.182291666666667,0.1875,2.21875,0.182291666666667,4,Bengali,Bengali,synonym,0,-10.607416,0.86716103553772,0.827293455600739,0.523396253585815,0.998785614967346,0.999765396118164,0.86179596,-0.035593536,0.9990041,0.9997464,0.8674424,-0.03204363,0.99878955,0.99976474,0.92351866,0.8476599,0.9992268,0.99983495,0.9965056,0.9921194,-0.037280343,0.99994427,0.998858,0.99848783,-0.03756038,0.9999227,-0.01561119
68,68,68,68,306,306,শ্রী,শ্রী,xɹi,ʃri,Mr.,Mr.,0.666666666666667,0.333333333333333,0.104166666666667,0.138888888888889,1.70833333333333,0.104166666666667,0,Bengali,Bengali,loan,1,6.264426,0.999999821186066,1,0.551666259765625,0.999723255634308,0.999766886234283,0.9734483,-0.02957524,0.99976027,0.999727,0.9999809,-0.03171037,0.99972737,0.9997689,0.9911876,0.96973544,0.99970436,0.9997776,0.9983041,0.9969518,-0.03646417,0.9999601,0.99880284,0.99833596,-0.037273705,0.99992216,0.06369786
71,71,71,71,230,230,বেল,ঘণ্টা,bɛl,gʱɔnʈa,,The bell,1,1,0.416666666666667,0.479166666666667,6.09375,0.442708333333333,5,Bengali,Bengali,synonym,0,-11.7533,0.864880383014679,0.494726628065109,0.440025836229324,0.99890923500061,0.999780714511871,0.690064,-0.017644731,0.9991461,0.99975896,0.8649552,-0.01090436,0.99890554,0.9997802,0.9331602,0.7143035,0.99973613,0.9997923,0.99784297,0.99337864,-0.03686137,0.99995404,0.99892914,0.9984782,-0.03755275,0.99992514,0.06721215
72,72,72,72,278,278,ৰঙা,রং,ɹɔŋa,rɔŋ,red,Color,0.5,0.25,0.265625,0.3125,2.6875,0.291666666666667,3,Bengali,Bengali,loan,1,5.9918323,0.891804695129395,0.617423236370087,0.446506351232529,0.999877691268921,0.999615550041199,0.6524329,-0.0528767,0.9998648,0.99962574,0.8920401,-0.0537994,0.9998778,0.99961567,0.91938704,0.7619106,0.99988306,0.99972934,0.99689484,0.9958206,-0.037127234,0.99995077,0.9988784,0.99851096,-0.0376118,0.9999171,0.06152699
73,73,73,73,268,268,মিঠা,মিষ্টি,mitʰa,miʃʈi,sweet,Sweet,0.6,0.2,0.216666666666667,0.233333333333333,1.8,0.233333333333333,4,Bengali,Bengali,synonym,0,-0.56614465,0.91930341720581,0.756468892097473,0.511329650878906,0.999741613864899,0.999807178974152,0.81399965,-0.036941238,0.9998034,0.9997926,0.91973644,-0.035939887,0.9997438,0.9998081,0.9222101,0.7944212,0.9997886,0.9994744,0.99872744,0.9944259,-0.03684847,0.9999634,0.9989277,0.9985554,-0.037731722,0.99991834,0.040715575
80,80,80,80,189,189,পুলি,তেল,puli,t̪elɔ,Seedlings,Oil,0.8,0.25,0.109375,0.114583333333333,1.21875,0.109375,3,Bengali,Bengali,random,0,-5.13645,0.81586879491806,0.703608095645904,0.509825468063355,0.997715592384338,0.998560309410095,0.71194595,-0.042908825,0.99742895,0.99867016,0.8165481,-0.044129506,0.997736,0.99856335,0.9039566,0.7877136,0.99843246,0.99886686,0.997483,0.9926444,-0.037164655,0.99994594,0.99814105,0.99795413,-0.03745605,0.9998713,-0.021616101
81,81,81,81,263,263,মিছা,মিথ্যা,misa,mit̪ʰæ,lie,False,0.666666666666667,0,0.03125,0.03125,0.375,0.03125,3,Bengali,Bengali,synonym,0,-3.3694608,0.883482694625855,0.619137823581696,0.495610922574997,0.997084379196167,0.999800086021423,0.77380466,-0.04472016,0.9976916,0.99957544,0.8848809,-0.04951112,0.9972029,0.9998013,0.88617396,0.77139306,0.99834895,0.99944997,0.9935868,0.98586655,-0.037251186,0.9998278,0.99888843,0.9985031,-0.037694734,0.9999232,0.028905023
83,83,83,83,191,191,পোৱালী,মৈ,pʊwali,moj,The puppy,May,1,0.666666666666667,0.5,0.555555555555555,4.45833333333333,0.548611111111111,6,Bengali,Bengali,random,0,-5.0480337,0.810671865940094,0.758502006530762,0.516672313213348,0.998473107814789,0.998242199420929,0.7787101,-0.056776077,0.9989409,0.99846363,0.8111036,-0.048883077,0.9984662,0.9982524,0.8530091,0.8210539,0.9985454,0.9989522,0.99626434,0.9817259,-0.039022792,0.9999441,0.99819183,0.9978633,-0.037242804,0.99989396,0.023771388
85,85,85,85,162,162,দ্বীপ,জিঞ্জিরা,dip,d͡ʑind͡ʑira,Island,Chains,0.818181818181818,0.857142857142857,0.5625,0.630952380952381,4.80357142857143,0.62797619047619,7,Bengali,Bengali,synonym,0,-12.44976,0.913902878761292,0.803955256938934,0.411967009305954,0.999705731868744,0.998171448707581,0.85217625,-0.016038423,0.99944127,0.99829876,0.91528153,-0.012703995,0.9997421,0.9982022,0.9255743,0.8421074,0.9992187,0.99820286,0.9976106,0.9968089,-0.036889896,0.9999548,0.9982926,0.99715716,-0.036526322,0.99995124,0.079569526
89,89,89,89,187,187,ফেঁচা,গাঁও,pʰɛ̃sa,ɡão,owl,The village,1,0.75,0.34375,0.364583333333333,3,0.364583333333333,4,Bengali,Bengali,random,0,-12.21093,0.853441834449768,0.54066401720047,0.46452260017395,0.998259425163269,0.99550050497055,0.7033612,-0.033511356,0.9982221,0.9963374,0.85365295,-0.034106575,0.9982666,0.99549437,0.89330107,0.8033079,0.9991374,0.9984734,0.9965192,0.9889683,-0.038218603,0.99992347,0.9972493,0.99636006,-0.0374098,0.9998249,0.032903235
90,90,90,90,89,89,ঘামা,স্বাধীনতা,gʱama,ʃad̪ʱin̪t̪a,Sweat,Freedom,0.818181818181818,0.714285714285714,0.535714285714286,0.589285714285714,4.30357142857143,0.586309523809524,7,Bengali,Bengali,random,0,-14.685088,0.649722456932068,0.614564478397369,0.537096560001373,0.996960341930389,0.997640311717987,0.6732448,-0.04781303,0.9985562,0.99860775,0.6518047,-0.047980875,0.9969631,0.99763584,0.74642646,0.75720143,0.9994852,0.99919254,0.99187434,0.9873947,-0.03825425,0.9996597,0.9979346,0.9977081,-0.037361648,0.99986523,0.026150879
92,92,92,92,241,241,ভাষা,লাখ,bʰaxa,lakʰ,Language,Millions,0.8,0.5,0.3125,0.34375,3.34375,0.338541666666667,3,Bengali,Bengali,random,0,-5.8243456,0.789014518260956,0.610632717609406,0.439914971590042,0.99889874458313,0.999663949012756,0.76459956,-0.033256374,0.99900854,0.99973655,0.78945065,-0.03029102,0.9989189,0.99966466,0.84596455,0.8113915,0.9989877,0.9997325,0.99812955,0.9961268,-0.037269663,0.99993885,0.99885947,0.99846905,-0.037610047,0.9999161,0.078861475
94,94,94,94,270,270,মৃত্যু,ওফাত,mɽitzu,oɸat̪,Death,Ofat,0.833333333333333,0.666666666666667,0.434027777777778,0.493055555555555,4.6875,0.465277777777778,6,Bengali,Bengali,synonym,0,-15.514633,0.831262052059174,0.59229302406311,0.556338369846344,0.998639643192291,0.998939871788025,0.73310864,-0.05427111,0.9989345,0.9993468,0.83212644,-0.060826145,0.9986671,0.9989511,0.87059736,0.76258564,0.9996097,0.999291,0.9971124,0.99241525,-0.038082726,0.99993443,0.998616,0.998127,-0.03719058,0.9999323,-0.044755455
95,95,95,95,288,288,ৰাষ্ট্ৰ,মহামারী,ɹaxtɹɔ,mɔɦamari,The State,The epidemic,0.875,0.5,0.375,0.421875,4.34375,0.401041666666667,7,Bengali,Bengali,synonym,0,-14.155943,0.737901031970978,0.4323990046978,0.41944694519043,0.999345600605011,0.999454140663147,0.58218396,-0.03895719,0.9993933,0.9995571,0.7382985,-0.03353989,0.999339,0.9994586,0.7868744,0.6509181,0.9995359,0.9996622,0.9970269,0.9919964,-0.036898308,0.99996,0.9987286,0.99845445,-0.03769429,0.9999021,-0.0018309851
