,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label,label_bin,DNN_logits,mbert_cos,xlm_cos,ass_bert_mbert_cos,indic_bert_cos,muril_cos,mbertxlm,mbertass_bert,mbertindic_bert,mbertmuril,xlmmbert,xlmass_bert,xlmindic_bert,xlmmuril,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,indic_bertmbert,indic_bertxlm,indic_bertass_bert,indic_bertmuril,murilmbert,murilxlm,murilass_bert,murilindic_bert,mbert_src_assbert_trg
16,16,16,16,16,78,78,গুহা,নিয়ৰ,ɡuɦa,nijɔɹɔ,Cave,Snow,1,0.5,0.409722222222222,0.444444444444444,4.14583333333333,0.440972222222222,5,Bengali,Bengali,random,0,-5.9715166,0.83884334564209,0.436898201704025,0.404630690813065,0.995762407779694,0.998240232467651,0.64121026,-0.032551043,0.9976199,0.9992747,0.8391967,-0.028679432,0.9957742,0.9982469,0.9767255,0.95370424,0.9998207,0.99975854,0.9900817,0.9762933,-0.035794664,0.9998496,0.9975948,0.99812883,-0.037023153,0.99990654,0.030858703
18,18,18,18,18,8,8,অনুবাদ,অনুবাদ,on̪ubad̪,ɔnubad,Translation,Translation,0.375,0,0.020833333333333,0.020833333333333,0.125,0.020833333333333,0,Bengali,Bengali,loan,1,7.064442,0.99999988079071,1,0.344972521066666,0.999616801738739,1,0.9987451,-0.03341057,0.99963176,0.99999404,0.9999996,-0.032960758,0.99961776,1.0000002,0.9752486,0.9531166,0.99985236,0.9997266,0.9980266,0.9953567,-0.037307538,0.9999915,0.9980552,0.99808705,-0.037009023,0.9999439,0.027335629
20,20,20,20,20,42,42,কলা,আক,kɔla,ak,Banana,Let's go,1,0.75,0.578125,0.635416666666667,5.53125,0.630208333333333,3,Bengali,Bengali,random,0,-10.482976,0.8712477684021,0.748324453830719,0.494420677423477,0.997262060642242,0.999426066875458,0.7865464,-0.03899999,0.9973151,0.9995424,0.8714454,-0.03963531,0.9972701,0.99942803,0.98930955,0.9698186,0.9997637,0.99994195,0.99532235,0.9898454,-0.037152924,0.9999405,0.997738,0.99808824,-0.037068933,0.99991876,0.04918657
25,25,25,25,25,64,64,কোটি,খানা,koʈi,kʰana,Crores,Food,0.8,0.25,0.104166666666667,0.104166666666667,1.5,0.104166666666667,4,Bengali,Bengali,random,0,-6.977444,0.880414068698883,0.736914753913879,0.415846645832062,0.99971741437912,0.999862253665924,0.82427704,-0.04008348,0.9997335,0.9998854,0.8808404,-0.037654474,0.99971837,0.9998625,0.9820759,0.93560016,0.99949604,0.99984443,0.9987502,0.9982117,-0.036760017,0.9999868,0.9984049,0.99833167,-0.037080504,0.99995035,0.006182527
28,28,28,28,28,267,267,বাদল,মেঘ,bad̪ɔlɔ,mɛgʱ,Badal,Clouds,1,0.833333333333333,0.631944444444444,0.694444444444444,5.375,0.694444444444444,4,Bengali,Bengali,synonym,0,-8.003636,0.878776907920837,0.720524251461029,0.450794368982315,0.999791204929352,0.999816536903381,0.79522896,-0.042335123,0.99982417,0.99983555,0.8790375,-0.04308199,0.99979174,0.9998171,0.98418033,0.9676511,0.9999162,0.9999064,0.9981651,0.99779916,-0.037192818,0.9999949,0.99820614,0.9982754,-0.03706254,0.9999449,-0.008181233
32,32,32,32,32,271,271,সৃষ্টি,ৰচনা,ʃɽiʃʈi,ɹɔsɔna,Creation,essay,1,0.5,0.260416666666667,0.305555555555555,4.20833333333333,0.260416666666667,6,Bengali,Bengali,synonym,0,-14.892781,0.837776243686676,0.622882604598999,0.424513041973114,0.998115360736847,0.999354779720306,0.65407133,-0.030892838,0.9980154,0.9994958,0.83847094,-0.030824412,0.99811834,0.99935853,0.9077838,0.80169415,0.99891245,0.9999081,0.99088514,0.9854371,-0.036328003,0.99992734,0.99826926,0.99795914,-0.037052326,0.9999572,0.15416133
35,35,35,35,35,29,29,উপন্যাস,ঠেং,upn̪æʃ,tʰɛŋ,Novel,The tail,1,0.8,0.470833333333333,0.516666666666667,4.4,0.508333333333333,7,Bengali,Bengali,random,0,-14.175125,0.619401037693024,0.689163386821747,0.351688981056213,0.998729407787323,0.999107241630554,0.7066828,-0.032116193,0.9987358,0.99918664,0.6198703,-0.031073064,0.99873126,0.9991078,0.97766006,0.9464757,0.999874,0.9998239,0.99532104,0.9951111,-0.03704665,0.999983,0.9981266,0.9978447,-0.037058648,0.99995637,-0.02878979
38,38,38,38,38,242,242,মাহই,শূন্য,maɦi,xunzɔ,Mahi,Zero,1,0.6,0.354166666666667,0.375,3.975,0.370833333333333,5,Bengali,Bengali,random,0,-15.073554,0.891929268836975,0.723244369029999,0.437117755413055,0.995380640029907,0.998899519443512,0.7912602,-0.03015937,0.9980924,0.9989752,0.8920831,-0.03489359,0.9953903,0.9989029,0.98559433,0.95975626,0.99988073,0.9999164,0.9958731,0.98556805,-0.03694769,0.9998824,0.9984662,0.99768174,-0.03696387,0.9999665,0.03282025
40,40,40,40,40,244,244,ময়ূর,দাড়ি,me̯ur,daɹi,Peacock,Beard,1,0.75,0.182291666666667,0.239583333333333,3.90625,0.182291666666667,5,Bengali,Bengali,random,0,-9.340974,0.83885383605957,0.879274427890778,0.412969589233398,0.998887121677399,0.99882435798645,0.8893933,-0.027444987,0.9990729,0.9991139,0.8392689,-0.02677231,0.99888986,0.99882245,0.9815806,0.9609787,0.9995105,0.99981546,0.9968739,0.99277717,-0.036996014,0.9999142,0.99824816,0.9974338,-0.036926538,0.99995196,0.00981775
47,47,47,47,47,196,196,ফুল,ফুল,ɸulɔ,pʰul,Flowers,Flowers,0.75,0.25,0.25,0.28125,2.15625,0.276041666666667,0,Bengali,Bengali,loan,1,5.11422,0.99999988079071,1,0.441100001335144,0.999524593353272,1,0.9848091,-0.033238284,0.999683,0.99995553,0.9999991,-0.032526173,0.9995247,0.9999999,0.98879296,0.9704243,0.9998722,0.9999557,0.9983865,0.9955835,-0.037508607,0.9999946,0.9982146,0.99834865,-0.037083227,0.9999468,0.05330158
48,48,48,48,48,52,52,কানু,কৃষ্ণ,kan̪u,kɽixnɔ,Kanu,Krishna,0.833333333333333,0.333333333333333,0.329861111111111,0.375,2.83333333333333,0.375,4,Bengali,Bengali,synonym,0,-5.934252,0.87977135181427,0.728399157524109,0.436444282531738,0.999451994895935,0.999012172222137,0.74662155,-0.04080639,0.99954295,0.9995823,0.87992823,-0.039991003,0.9994563,0.9990185,0.9871569,0.9711491,0.99995613,0.99993485,0.99831903,0.9966314,-0.037209213,0.9999872,0.998633,0.99766415,-0.037002537,0.9999702,0.051869284
49,49,49,49,49,7,7,আগুন,দাউদাউ,aɡun̪,daudau,Fire,Daudau,0.833333333333333,0.666666666666667,0.427083333333333,0.479166666666667,4.60416666666667,0.461805555555555,6,Bengali,Bengali,random,0,-15.390183,0.778123021125793,0.748158812522888,0.525773465633392,0.999500036239624,0.998414099216461,0.7763747,-0.027577773,0.99956524,0.99893165,0.778603,-0.022459894,0.9995004,0.99842596,0.9833984,0.9327624,0.99953294,0.9998969,0.99517363,0.9945462,-0.037042387,0.9999906,0.997438,0.9980782,-0.03698585,0.99990106,0.067569375
50,50,50,50,50,162,162,নাই,ভকত,n̪ai,bʰɔkɔtɔ,"No, it's not",The devotee,1,0.666666666666667,0.545138888888889,0.597222222222222,4.85416666666667,0.59375,3,Bengali,Bengali,random,0,-5.7321324,0.904846549034119,0.522677719593048,0.46913081407547,0.995156943798065,0.999072730541229,0.6106595,-0.038333286,0.99771297,0.9992018,0.9049346,-0.040547594,0.9951683,0.99907374,0.97431993,0.9249622,0.99965715,0.99995095,0.9951186,0.985271,-0.03696702,0.99984515,0.9974962,0.9979877,-0.037011065,0.9999094,0.056530133
56,56,56,56,56,5,5,মেরুরেখা,অক্ষ,merurekʰa,ɔkʰjɔ,Polar line,Axis,0.888888888888889,0.625,0.53125,0.609375,5.0625,0.596354166666667,8,Bengali,Bengali,synonym,0,-18.925081,0.826243698596954,0.668960571289063,0.418476343154907,0.99918794631958,0.997445344924927,0.804551,-0.033538096,0.9988683,0.99772185,0.8267065,-0.034465697,0.99919164,0.99745303,0.96635807,0.9569214,0.9997957,0.99971384,0.9973641,0.9958589,-0.03634937,0.9999937,0.9983153,0.9970131,-0.03702991,0.9999743,-0.00259211
57,57,57,57,57,60,60,গলদেশ,গেলা,ɡɔlɔd̪eʃ,gɛla,Neck,Swallow,0.875,0.571428571428571,0.535714285714286,0.589285714285714,4.35714285714286,0.589285714285714,4,Bengali,Bengali,synonym,0,-10.020412,0.895940482616425,0.586265981197357,0.437238544225693,0.997129917144775,0.998870611190796,0.68413335,-0.037205696,0.9976263,0.99912727,0.8960748,-0.038400136,0.99713194,0.9988721,0.96940935,0.94577634,0.9993818,0.9998943,0.99371445,0.9907918,-0.03665264,0.99994737,0.99778897,0.99763143,-0.036915265,0.99993366,0.0037428946
58,58,58,58,58,318,318,সাপ,সাপ,ʃap,xap,Snake,Snake,0.333333333333333,0.333333333333333,0.048611111111111,0.055555555555556,0.541666666666667,0.048611111111111,0,Bengali,Bengali,loan,1,3.6335309,0.999999403953552,1,0.445339173078537,0.999627649784088,1,0.9978435,-0.034597088,0.99960333,0.9999932,0.9999992,-0.03395299,0.9996294,0.99999994,0.95049256,0.9232863,0.99950355,0.9999392,0.9985558,0.9978195,-0.037590913,0.99999297,0.99826825,0.99831975,-0.037076827,0.99994725,0.0018306491
60,60,60,60,60,136,136,তিতা,শনিবাৰ,t̪it̪a,xɔnibaɹ,bitter,Saturday,0.857142857142857,0.714285714285714,0.431547619047619,0.476190476190476,3.73214285714286,0.473214285714286,4,Bengali,Bengali,random,0,-4.0515957,0.889487147331238,0.584445476531982,0.494347929954529,0.999255180358887,0.998799979686737,0.6919285,-0.03565365,0.99915075,0.99916834,0.88964045,-0.039380874,0.99925715,0.9988039,0.9801558,0.95297456,0.99984336,0.9999088,0.9950569,0.9938003,-0.03777036,0.99996924,0.99796253,0.99788874,-0.036890186,0.9999356,0.060742833
64,64,64,64,64,153,153,আণ্ডা,ডিম,anɖa,dim,Eggs,Eggs,1,0.75,0.395833333333333,0.447916666666667,5.8125,0.421875,5,Bengali,Bengali,synonym,0,-12.968269,0.911649286746979,0.637696743011475,0.511008977890015,0.998930394649506,0.998735010623932,0.7137252,-0.041516393,0.99942887,0.99919796,0.9119122,-0.044485062,0.9989284,0.9987389,0.9795431,0.95712155,0.99984694,0.9999097,0.9979842,0.9923627,-0.037030153,0.9999459,0.9986442,0.997736,-0.037032448,0.99996924,0.02366224
66,66,66,66,66,112,112,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.166666666666667,0.076388888888889,0.090277777777778,1.125,0.076388888888889,1,Bengali,Bengali,synonym,0,-7.2943335,0.918072879314423,0.95912504196167,0.559721231460571,0.999357044696808,0.999849617481232,0.9575641,-0.029293496,0.9994005,0.9998594,0.9181137,-0.028243287,0.9993593,0.9998501,0.95057845,0.94668376,0.9999567,0.9998667,0.9970217,0.99697316,-0.036370486,0.9999939,0.9982024,0.9983725,-0.03705942,0.99994326,-0.02759313
69,69,69,69,69,75,75,কণ্ঠ,গেলা,kɔnʈʰɔ,gɛla,Voice,Swallow,1,0.6,0.4375,0.475,3.85,0.475,4,Bengali,Bengali,synonym,0,-12.638848,0.817775189876556,0.698125183582306,0.374048471450806,0.99633264541626,0.998329401016235,0.7238157,-0.038100228,0.99644977,0.9985991,0.81802624,-0.03839827,0.9963356,0.9983321,0.9677081,0.93790776,0.99924564,0.99984473,0.99100673,0.98731923,-0.036457732,0.9998613,0.99740213,0.9980221,-0.03699967,0.9998951,0.028855244
70,70,70,70,70,336,336,হায়দর,সিংহ,ɦae̯ɔd̪ɔrɔ,xiŋɦɔ,Haider,The lion,0.9,0.625,0.4140625,0.46875,4.09375,0.4609375,6,Bengali,Bengali,synonym,0,-18.935913,0.903266847133636,0.545513272285461,0.491937696933746,0.994229972362518,0.997798383235931,0.7864076,-0.041834585,0.9980351,0.9990411,0.9034175,-0.04076707,0.9942553,0.99780405,0.9822199,0.9666425,0.99980783,0.9999586,0.9928931,0.97998494,-0.03710424,0.99968606,0.9985299,0.9967426,-0.036981307,0.99997723,-0.01683884
72,72,72,72,72,235,235,জবান,ভাষা,d͡ʑɔban̪,bʰaxa,Jawan,Language,0.875,0.6,0.320833333333333,0.341666666666667,3.025,0.3375,4,Bengali,Bengali,synonym,0,-16.95838,0.762001276016235,0.679556131362915,0.454462170600891,0.995437681674957,0.998901784420013,0.7660866,-0.044768006,0.99776673,0.9989324,0.76231194,-0.043176465,0.9954684,0.9989064,0.9596856,0.920416,0.99971795,0.9998759,0.9895539,0.98034644,-0.038501464,0.9997515,0.9985214,0.99779195,-0.036974493,0.99996376,0.021721322
73,73,73,73,73,61,61,কৃষ্ণ,হিয়া,kɽiʃnɔ,ɦija,Krishna,Heart,0.833333333333333,0.5,0.392361111111111,0.4375,3.83333333333333,0.423611111111111,5,Bengali,Bengali,random,0,-7.7399273,0.850368618965149,0.700043916702271,0.501652896404266,0.998026490211487,0.998463809490204,0.73258257,-0.041075975,0.99886084,0.9989686,0.8504696,-0.04032857,0.99803245,0.9984672,0.9844072,0.9720665,0.9998897,0.9999018,0.99359226,0.9883499,-0.037874274,0.99990755,0.99746245,0.99809915,-0.037080176,0.9999063,0.04094614
74,74,74,74,74,204,204,বাউল,লাও,baulɔ,laʊ,Bowl,Lao,0.8,0.6,0.416666666666667,0.458333333333333,3.925,0.454166666666667,3,Bengali,Bengali,random,0,-7.337812,0.81843900680542,0.667432725429535,0.430174767971039,0.995656788349152,0.999873578548431,0.7295268,-0.041822232,0.99747354,0.9998523,0.8188791,-0.040171765,0.9956783,0.99987394,0.97630996,0.9577524,0.9996562,0.9999479,0.9909879,0.97297525,-0.037785336,0.9998724,0.9983564,0.9983078,-0.037097048,0.9999478,0.02722843
75,75,75,75,75,73,73,গলা,মুহ,ɡɔla,muɦ,Throat,Muh,1,0.5,0.354166666666667,0.385416666666667,3.65625,0.380208333333333,3,Bengali,Bengali,random,0,-3.4104939,0.909345030784607,0.75145822763443,0.49373733997345,0.999269425868988,0.998638212680817,0.82332695,-0.04019223,0.9988313,0.9991181,0.90980023,-0.044402663,0.9992732,0.9986438,0.98236483,0.97108144,0.9998602,0.99990517,0.99852395,0.9972776,-0.03705149,0.9999933,0.9974418,0.9980489,-0.037028406,0.9999001,0.08827016
77,77,77,77,77,274,274,দেশ,ৰাষ্ট্ৰ,d̪eʃ,ɹaxtɹɔ,Country,The State,1,0.666666666666667,0.527777777777778,0.576388888888889,5.10416666666667,0.576388888888889,7,Bengali,Bengali,synonym,0,-6.3340497,0.591852009296417,0.4835484623909,0.47527813911438,0.998783588409424,0.999597251415253,0.48417503,-0.032995153,0.998909,0.99963856,0.59265804,-0.033009864,0.9987892,0.99959767,0.9312167,0.9213898,0.99981344,0.99989593,0.9967563,0.99008775,-0.036351673,0.99998254,0.99813664,0.99793506,-0.037019536,0.99995244,-0.040795926
79,79,79,79,79,102,102,চাকা,তুমি,t͡ɕaka,tumi,The wheel,You,0.833333333333333,0.5,0.1875,0.1875,2.5,0.1875,4,Bengali,Bengali,random,0,-5.5992026,0.701232492923737,0.764661908149719,0.523352980613709,0.99847400188446,0.999125063419342,0.7979806,-0.054379016,0.9984239,0.9989898,0.7023258,-0.05505866,0.99848133,0.99912804,0.9855012,0.97315335,0.9999341,0.9999358,0.99677026,0.9960792,-0.037613448,0.99997795,0.99813604,0.99852204,-0.037113577,0.9999262,0.090632096
80,80,80,80,80,278,278,রং,ৰঙা,rɔŋ,ɹɔŋa,Color,red,0.5,0.25,0.265625,0.3125,2.6875,0.291666666666667,3,Bengali,Bengali,loan,1,5.302639,0.891765534877777,0.617423236370087,0.446519762277603,0.999808132648468,0.999735355377197,0.6498052,-0.04459265,0.9998573,0.9997475,0.89182276,-0.045100104,0.99980783,0.9997358,0.98135465,0.9410831,0.9998682,0.9998871,0.99446607,0.99292076,-0.037012488,0.9999854,0.99819875,0.9983368,-0.037102617,0.9999435,-0.02851845
82,82,82,82,82,111,111,স্নান,চান্দ,ʃn̪an̪,sandɔ,Bath,Chand,0.833333333333333,0.6,0.3375,0.383333333333333,4.55,0.358333333333333,4,Bengali,Bengali,synonym,0,-15.231514,0.895851969718933,0.861319720745087,0.463701337575913,0.998733818531036,0.997905433177948,0.88808,-0.03148815,0.99906015,0.9982546,0.8960066,-0.029809916,0.9987361,0.9979083,0.97695804,0.9596263,0.9999462,0.9999049,0.9974382,0.99101925,-0.037095156,0.99996597,0.9968828,0.99773747,-0.03692606,0.9998894,0.026795402
83,83,83,83,83,220,220,বুদ্ধি,কাতি,bud̪d̪ʱi,kati,Wisdom,Kati,0.875,0.4,0.283333333333333,0.3,2.5,0.3,5,Bengali,Bengali,random,0,-12.9895935,0.887074053287506,0.537208378314972,0.45886504650116,0.99635922908783,0.999845862388611,0.6848638,-0.041648135,0.99850065,0.9998502,0.88763285,-0.042011388,0.9963722,0.99984634,0.9797653,0.960796,0.9998442,0.99987555,0.9933969,0.9868915,-0.03693104,0.9999237,0.99830586,0.9983219,-0.03710386,0.9999478,-0.010594197
85,85,85,85,85,157,157,ধর্ম,ধৰ্ম,d̪ʱɔrmɔ,dʰɔɹmɔ,Religion,religion,0.428571428571429,0,0.05,0.066666666666667,0.8,0.05,1,Bengali,Bengali,loan,1,5.135291,0.794960379600525,0.787234008312225,0.552702486515045,0.999817073345184,0.999873518943787,0.8483987,-0.035614677,0.999821,0.99983203,0.79538465,-0.030897722,0.999818,0.9998738,0.9758709,0.9559914,0.99975073,0.99971706,0.99740183,0.996374,-0.036813516,0.9999957,0.997985,0.99793965,-0.036978144,0.9999427,0.028604906
86,86,86,86,86,55,55,কাটা,কাট,kaʈa,kat,Cut,Cut,0.5,0.25,0.234375,0.260416666666667,1.9375,0.260416666666667,1,Bengali,Bengali,loan,1,6.7239575,0.957075536251068,0.821587324142456,0.4122154712677,0.999949216842651,0.999704420566559,0.8820648,-0.03614316,0.9997308,0.99982095,0.95739126,-0.030660708,0.99994946,0.9997063,0.990504,0.9741684,0.99992764,0.9999619,0.9979044,0.99750257,-0.036507953,0.99999726,0.9984025,0.9983511,-0.03710813,0.99994946,0.0037873322
88,88,88,88,88,195,195,বঙ্গ,পশু,bɔŋɡɔ,pɔxu,Bengal,Animals,0.8,0.2,0.229166666666667,0.25,2,0.25,4,Bengali,Bengali,random,0,-7.933469,0.781209588050842,0.684608161449432,0.410115420818329,0.999710023403168,0.999797999858856,0.7585261,-0.03298606,0.999474,0.99977744,0.7817925,-0.034324035,0.99971235,0.99979824,0.97672224,0.9575492,0.9994358,0.9999343,0.9973157,0.99582154,-0.03700458,0.9999959,0.9982964,0.9981544,-0.037061572,0.9999536,0.06576769
91,91,91,91,91,71,71,কণ্ঠ,গিলা,kɔnʈʰɔ,gila,Voice,Swallow,1,0.6,0.454166666666667,0.491666666666667,4,0.491666666666667,4,Bengali,Bengali,synonym,0,-12.257486,0.781630635261535,0.747103631496429,0.374036759138107,0.995134115219116,0.999068617820739,0.75473106,-0.04109054,0.99464667,0.9991728,0.7819177,-0.04045067,0.995144,0.99907035,0.9677081,0.93790776,0.99924564,0.9998448,0.991219,0.98424155,-0.036686428,0.99980867,0.9975716,0.99808705,-0.03703385,0.9999051,0.028855257
92,92,92,92,92,237,237,মাসি,মই,maʃi,mi,Aunt,I,0.5,0.5,0.453125,0.5,3.625,0.5,3,Bengali,Bengali,synonym,0,-5.016532,0.941552758216858,0.691965878009796,0.40596479177475,0.997056484222412,0.999400198459625,0.78047097,-0.03548266,0.99890584,0.9997416,0.941743,-0.03493355,0.99706674,0.9993985,0.986297,0.97170603,0.999924,0.9999315,0.996261,0.99040365,-0.037074137,0.9998757,0.99857956,0.99796534,-0.037037153,0.99996233,-0.007784035
93,93,93,93,93,117,117,টাং,টকা,ʈaŋ,tɔka,Tang,Money,1,0.5,0.307291666666667,0.333333333333333,3.0625,0.333333333333333,2,Bengali,Bengali,loan,1,5.9140444,0.922393560409546,0.752451539039612,0.51491916179657,0.994429528713226,0.998595416545868,0.7767025,-0.037104197,0.99619967,0.9989363,0.9224243,-0.037248783,0.99443394,0.9985962,0.9828768,0.9585657,0.99989986,0.99993163,0.99581075,0.98276997,-0.03712982,0.9999086,0.9986741,0.9977359,-0.03704792,0.9999697,-0.012528924
94,94,94,94,94,159,159,ধনে,ধনিয়া,d̪ʱɔn̪e,dʰɔnija,Coriander,Coriander,0.714285714285714,0.333333333333333,0.326388888888889,0.361111111111111,2.625,0.361111111111111,4,Bengali,Bengali,synonym,0,-6.269231,0.906996428966522,0.593623876571655,0.509297072887421,0.998185157775879,0.999151408672333,0.6828058,-0.039978683,0.9991743,0.99935615,0.9072583,-0.039109714,0.9981933,0.9991565,0.97606397,0.9293403,0.9998791,0.99986565,0.99541414,0.99371314,-0.037052646,0.99997205,0.9978844,0.99785113,-0.03689631,0.9999293,0.0007782262
