loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,loan_unicode,original_unicode
आसमान,آسمان,aːsmaːn,ɒsmɒn,Sky,the sky,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,loan,Devanagari,Arabic
आसान,آسان,aːsaːn,ɒsɒn,easy,Easy,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,4,loan,Devanagari,Arabic
आस्तीन,آستین,aːstiːn,ɒstjn,sleeve,Sleeve,0.5714285714285714,0.2,0.05,0.0583333333333333,0.875,0.05,6,loan,Devanagari,Arabic
आहिस्ता,آهسته,aːɦistaː,ɒhsth,slowly,Slow,0.75,0.3333333333333333,0.21875,0.2430555555555555,2.4375,0.2361111111111111,7,loan,Devanagari,Arabic
इंतक़ाल,انتقال,intqaːl,ɒntɣɒl,timeout,the transfer,0.5714285714285714,0.0,0.0694444444444444,0.0694444444444444,0.875,0.0694444444444444,7,loan,Devanagari,Arabic
इंतख़ाब,‫انتخاب‬,intxaːb,‫ɒntxɒb‬,waiting,Selection,0.625,0.0,0.0486111111111111,0.0486111111111111,0.5833333333333334,0.0486111111111111,8,loan,Devanagari,Arabic
इंसान,انسان,insaːn,ɒnsɒn,Human,Man,0.5,0.0,0.0583333333333333,0.0583333333333333,0.7,0.0583333333333333,5,loan,Devanagari,Arabic
इंसानी,انسانی,insaːniː,ɒnsɒnj,human,human,0.625,0.1666666666666666,0.0694444444444444,0.0763888888888888,1.0625,0.0694444444444444,6,loan,Devanagari,Arabic
इक़रार,اقرار,iqraːr,ɒɣrɒr,Pledge,Endorsement,0.6666666666666666,0.0,0.0833333333333333,0.0833333333333333,1.05,0.0833333333333333,6,loan,Devanagari,Arabic
इख़्तियार,اختیار,ixtijaːr,ɒxtjɒr,Warrant,Authority,0.5,0.1428571428571428,0.1696428571428571,0.1845238095238095,1.5357142857142858,0.1845238095238095,9,loan,Devanagari,Arabic
इजमाली,اجمالی,id͡ʒmaːliː,ɒd͡ʒmɒlj,ijmali,Briefly,0.5,0.1666666666666666,0.0694444444444444,0.0763888888888888,1.0625,0.0694444444444444,6,loan,Devanagari,Arabic
इज़ाफ़ा,اضافه,izaːfaː,ɒzɒfh,enlargement,Added,0.7142857142857143,0.2,0.1083333333333333,0.1166666666666666,1.825,0.1083333333333333,7,loan,Devanagari,Arabic
इज़्ज़त,عزت,izzət,ʔzt,respect,Honor,0.6,0.6,0.4125,0.4583333333333333,3.775,0.45,7,loan,Devanagari,Arabic
इत्तिफ़ाक़,اتفاق,ittifaːq,ɒtfɒɣ,coincidence,Happening,0.75,0.2857142857142857,0.3184523809523809,0.3452380952380953,2.821428571428572,0.3452380952380953,10,loan,Devanagari,Arabic
इत्तिहाद,اتحاد,ittiɦaːd,ɒthɒd,etihad,union,0.75,0.2857142857142857,0.306547619047619,0.3333333333333333,2.607142857142857,0.3333333333333333,8,loan,Devanagari,Arabic
इत्तेला,اطلاع,ittelaː,ɒtlɒʔ,Ittela,Information,0.7142857142857143,0.3333333333333333,0.2777777777777777,0.2986111111111111,3.2291666666666665,0.2916666666666667,7,loan,Devanagari,Arabic
इत्मीनान,اطمینان,itmiːnaːn,ɒtmjnɒn,leisurely,Assurance,0.5555555555555556,0.1428571428571428,0.0595238095238095,0.0654761904761904,0.9107142857142856,0.0595238095238095,8,loan,Devanagari,Arabic
इनकार,انکار,inkaːr,ɒnkɒr,Refuse,Denial,0.5,0.0,0.0583333333333333,0.0583333333333333,0.7,0.0583333333333333,5,loan,Devanagari,Arabic
इफ़्तिताह,افتتاح,iftitaːɦ,ɒfttɒh,iftitah,Opening,0.625,0.1428571428571428,0.1755952380952381,0.1904761904761905,1.5714285714285714,0.1904761904761905,9,loan,Devanagari,Arabic
इब्तिदाई,إِبْتِدَائِيّ,ibtidaːiː,ɒeٕbْtedæɒjeʔjّ,utterance,ّبْتِدَائِيّ,0.8,0.4166666666666667,0.390625,0.4340277777777778,3.2291666666666665,0.4340277777777778,13,loan,Devanagari,Arabic
इब्री,عبری,ibriː,ʔbrj,Hebrew,Hebrew,0.6,0.5,0.09375,0.1145833333333333,1.8125,0.09375,5,loan,Devanagari,Arabic
इब्रीक़,ابریق,ibriːq,ɒbrjɣ,ibrik,Cup,0.6666666666666666,0.2,0.0833333333333333,0.0916666666666666,1.325,0.0833333333333333,7,loan,Devanagari,Arabic
इमला,املا,imlaː,ɒmlɒ,Spelling,dictation,0.6,0.0,0.0729166666666666,0.0729166666666666,0.875,0.0729166666666666,4,loan,Devanagari,Arabic
इमारत,عمارت,imaːrət,ʔmɒrt,building,Building,0.5714285714285714,0.3333333333333333,0.2118055555555555,0.2361111111111111,2.1875,0.2291666666666666,5,loan,Devanagari,Arabic
इम्तहान,امتحان,imtəɦaːn,ɒmthɒn,Examination,Exam,0.625,0.1428571428571428,0.1755952380952381,0.1904761904761905,1.5714285714285714,0.1904761904761905,7,loan,Devanagari,Arabic
-इयत,ـیت,-ijət,ـjt,-yat,ـیت,0.6,0.5,0.4479166666666667,0.5,3.625,0.5,4,loan,Devanagari,Arabic
इरादतन,ارادتاً,iraːdtən,ɒrɒdtɒً,intentional,Intentionally,0.625,0.1428571428571428,0.1904761904761904,0.2023809523809523,1.7142857142857142,0.2023809523809523,7,loan,Devanagari,Arabic
इरादा,اراده,iraːdaː,ɒrɒdh,Intention,Will,0.7142857142857143,0.2,0.1083333333333333,0.1166666666666666,1.825,0.1083333333333333,5,loan,Devanagari,Arabic
इर्द-गिर्द,گرد,irdə-ɡirdə,ɡrd,around,Round,0.7,0.6666666666666666,0.5925925925925926,0.6666666666666666,4.833333333333333,0.6666666666666666,10,loan,Devanagari,Arabic
इलज़ाम,الزام,ilzaːm,ɒlzɒm,allegation,Requirement,0.5,0.0,0.0583333333333333,0.0583333333333333,0.7,0.0583333333333333,6,loan,Devanagari,Arabic
इलाहाबाद,الله‌آباد,ilaːɦaːbaːd,ɒllh‌ɒbɒd,Allahabad,Allahabad,0.7272727272727273,0.125,0.0963541666666666,0.1041666666666666,1.46875,0.0963541666666666,9,loan,Devanagari,Arabic
इसरार,اصرار,israːr,ɒsrɒr,israr,Insistence,0.5,0.0,0.0583333333333333,0.0583333333333333,0.7,0.0583333333333333,5,loan,Devanagari,Arabic
इस्लाम,اسلام,islaːm,ɒslɒm,Islam,Islam,0.5,0.0,0.0583333333333333,0.0583333333333333,0.7,0.0583333333333333,6,loan,Devanagari,Arabic
-ई,ـی,-iː,ـj,-e,ـی,1.0,1.0,0.125,0.1666666666666666,2.875,0.125,2,loan,Devanagari,Arabic
-ईन,ـین,-iːn,ـjn,-een,ـین,0.75,0.5,0.0625,0.0833333333333333,1.4375,0.0625,3,loan,Devanagari,Arabic
ईमानदार,ایمان دار,iːmaːndaːr,ɒjmɒn dɒr,Honest,Believer,0.7,0.125,0.1588541666666666,0.1770833333333333,1.59375,0.171875,9,loan,Devanagari,Arabic
ईरान,ایران,iːraːn,ɒjrɒn,Iran,ایران,0.6666666666666666,0.2,0.2291666666666666,0.2583333333333333,2.25,0.25,5,loan,Devanagari,Arabic
ईरानी,ایرانی,iːraːniː,ɒjrɒnj,Iranian,ایرانی,0.75,0.3333333333333333,0.2118055555555555,0.2430555555555555,2.3541666666666665,0.2291666666666666,6,loan,Devanagari,Arabic
उम्दा,عمده,umdaː,ʔmdh,fine,Major,0.6,0.5,0.15625,0.1770833333333333,2.875,0.15625,5,loan,Devanagari,Arabic
उम्मीद,امید,ummiːd,ɒmjd,Hope,Hope,0.6666666666666666,0.4,0.2291666666666666,0.2583333333333333,2.325,0.25,6,loan,Devanagari,Arabic
उर्दू,اردو,urduː,ɒrdv,Urdu,Urdu,0.6,0.25,0.1197916666666666,0.1354166666666666,2.5,0.1197916666666666,5,loan,Devanagari,Arabic
उलफ़त,الفت,ulfət,ɒlft,Ulfat,الفت,0.4,0.2,0.2041666666666667,0.225,1.75,0.225,5,loan,Devanagari,Arabic
उलमा,علماء,ulmaː,ʔlmɒʔ,Ulama,Scholars,0.6,0.4,0.2791666666666667,0.3083333333333333,2.925,0.3,5,loan,Devanagari,Arabic
उसमान,عثمان,usmaːn,ʔsmɒn,Usman,Othman,0.5,0.2,0.1,0.1083333333333333,1.475,0.1,5,loan,Devanagari,Arabic
उस्तरा,استره,ustəraː,ɒstrh,Razor,استره,0.5714285714285714,0.3333333333333333,0.2118055555555555,0.2361111111111111,2.395833333333333,0.2291666666666666,6,loan,Devanagari,Arabic
उस्ताद,استاد,ustaːd,ɒstɒd,maestro,Professor,0.5,0.0,0.05,0.05,0.6,0.05,6,loan,Devanagari,Arabic
उस्मानी,عثمانی,usmaːniː,ʔsmɒnj,Usmani,Ottoman,0.625,0.3333333333333333,0.1041666666666666,0.1180555555555555,1.7083333333333333,0.1041666666666666,7,loan,Devanagari,Arabic
एकाएक,یکایک,ekaːek,jkɒjk,all of a sudden,یکایک,0.6666666666666666,0.4,0.075,0.0916666666666666,1.45,0.075,5,loan,Devanagari,Arabic
एतबार,اعتبار,etbaːr,ɒʔtbɒr,once again,Credit,0.6666666666666666,0.1666666666666666,0.1909722222222222,0.2083333333333333,1.7083333333333333,0.2083333333333333,6,loan,Devanagari,Arabic
एवज़,عوض,evəz,ʔvz,Substitute,Instead,0.5,0.5,0.2760416666666667,0.3125,2.78125,0.3020833333333333,4,loan,Devanagari,Arabic
एहतियात,احتیاط,eɦtijaːt,ɒhtjɒt,precaution,Caution,0.625,0.1428571428571428,0.1696428571428571,0.1845238095238095,1.5,0.1845238095238095,7,loan,Devanagari,Arabic
एहसान,احسان,eɦsaːn,ɒhsɒn,Favour,Kindness,0.6666666666666666,0.0,0.0583333333333333,0.0583333333333333,0.65,0.0583333333333333,5,loan,Devanagari,Arabic
ऐतराज़,اعتراض,æːtraːz,ɒʔtrɒz,objection,Protest,0.5714285714285714,0.1666666666666666,0.1909722222222222,0.2083333333333333,1.7083333333333333,0.2083333333333333,6,loan,Devanagari,Arabic
ऐनक,عینک,æːnək,ʔjnk,Glasses,Glasses,0.6,0.75,0.21875,0.25,4.25,0.21875,4,loan,Devanagari,Arabic
ऐयाशी,عیاشی,æːjaːʃiː,ʔjɒʃj,debauchery,عیاشی,0.75,0.4,0.1083333333333333,0.125,1.85,0.1083333333333333,5,loan,Devanagari,Arabic
ओ,او,o,ɒv,O,She,1.0,0.5,0.4791666666666666,0.5208333333333334,3.875,0.5208333333333334,2,loan,Devanagari,Arabic
ओहदा,عهده,oɦdaː,ʔhdh,position,Responsible,0.8,0.5,0.1458333333333333,0.1666666666666666,2.6875,0.1458333333333333,4,loan,Devanagari,Arabic
कद्दू,کدو,kədduː,kdv,Pumpkin,Squash,0.6666666666666666,0.6,0.3916666666666667,0.4416666666666666,3.35,0.4333333333333334,5,loan,Devanagari,Arabic
कनीज़,کنیز,kəniːz,knjz,kinese,Slave,0.5,0.4,0.2041666666666667,0.2333333333333333,2.025,0.225,5,loan,Devanagari,Arabic
कबाब,کباب,kəbaːb,kbɒb,Kebab,Kebab,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,4,loan,Devanagari,Arabic
कबाबचीनी,کبابه چینی,kəbaːbt͡ʃiːniː,kbɒbh t͡ʃjnj,Kebabchini,Chinese kebab,0.6428571428571429,0.4444444444444444,0.162037037037037,0.1851851851851852,2.4166666666666665,0.162037037037037,10,loan,Devanagari,Arabic
कबूतर,کبوتر,kəbuːtər,kbvtr,Pigeon,Pigeons,0.5,0.4285714285714285,0.306547619047619,0.3452380952380952,3.2857142857142856,0.3363095238095238,5,loan,Devanagari,Arabic
कम-,کم,kəmə-,km,Less-,Low,0.6,0.5,0.4479166666666667,0.5,3.625,0.5,3,loan,Devanagari,Arabic
कमर,کمر,kəmər,kmr,Waistline,Waist,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,3,loan,Devanagari,Arabic
कमान,کمان,kəmaːn,kmɒn,command,Bow,0.5,0.2,0.2041666666666667,0.225,1.75,0.225,4,loan,Devanagari,Arabic
कमी,کمی,kəmiː,kmj,Shortage,A little,0.6,0.5,0.2552083333333333,0.2916666666666667,2.53125,0.28125,3,loan,Devanagari,Arabic
कमीना,کمینه,kəmiːnaː,kmjnh,slavish,Minimum,0.625,0.5,0.2118055555555555,0.2430555555555555,2.625,0.2291666666666666,5,loan,Devanagari,Arabic
कमोबेश,کم و بیش,kəmobeʃ,km v bjʃ,more or less,More or less,0.625,0.4285714285714285,0.1904761904761905,0.2202380952380952,2.5892857142857144,0.2053571428571428,8,loan,Devanagari,Arabic
करघा,کارگاه,kərɡ̤aː,kɒrɡɒh,loom,Workshop,0.5714285714285714,0.1666666666666666,0.1979166666666666,0.2152777777777777,1.7083333333333333,0.2152777777777777,6,loan,Devanagari,Arabic
