loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,loan_unicode,original_unicode
अतलस,آسمان,atləs,ɒsmɒn,atlas,the sky,1.0,0.4,0.1291666666666666,0.1333333333333333,2.025,0.1291666666666666,5,random,Devanagari,Arabic
अदा,درنده,adaː,drndh,paid,Predator,1.0,0.8,0.4625,0.5333333333333333,5.225,0.5041666666666667,5,random,Devanagari,Arabic
अदालत,زنجیر,adaːlət,znd͡ʒjr,Court,Chain,1.0,0.8333333333333334,0.3125,0.3611111111111111,4.6875,0.3298611111111111,5,random,Devanagari,Arabic
अनार,یا,anaːr,jɒ,Pomegranate,Or,1.0,0.75,0.5104166666666666,0.5833333333333333,4.84375,0.5729166666666667,4,random,Devanagari,Arabic
अन्‍ताकिया,هرگز,an‍taːkijaː,hrɡz,Antioch,Never,1.0,0.875,0.53125,0.5989583333333333,5.25,0.5807291666666666,10,random,Devanagari,Arabic
अफ़साना,محبت,afsaːnaː,mhbt,Afsana,Kindness,1.0,0.8333333333333334,0.4236111111111111,0.4722222222222222,4.9375,0.4583333333333333,7,random,Devanagari,Arabic
अफ़सोस,لاش,afsos,lɒʃ,regret,Corpse,1.0,0.6,0.4125,0.45,3.7,0.45,6,random,Devanagari,Arabic
अफ़ीम,هندوستانی,afiːm,hndvstɒnj,opium,Indian,1.0,0.7777777777777778,0.5694444444444443,0.6249999999999999,5.027777777777778,0.6180555555555556,9,random,Devanagari,Arabic
अफ़्ग़ानिस्तान,خُوشنَوِیسی,afɣaːnistaːn,xُvʃnowejsj,Afghanistan,خُوشنَوِیسی,0.9166666666666666,0.7,0.26875,0.3083333333333333,4.4625,0.26875,14,random,Devanagari,Arabic
अफ़्सोस,گلهری,afsos,ɡlhrj,sorry,گلهری,1.0,1.0,0.2624999999999999,0.3166666666666667,5.675,0.2624999999999999,7,random,Devanagari,Arabic
अबाबील,گم‌نام,abaːbiːl,ɡm‌nɒm,Ababil,گم‌نام,1.0,0.8333333333333334,0.3229166666666667,0.3541666666666667,4.3125,0.3402777777777777,6,random,Devanagari,Arabic
अब्र,سیاست,abrə,sjɒst,abr,Politics,1.0,0.8,0.3958333333333333,0.4583333333333333,5.875,0.4125,5,random,Devanagari,Arabic
अब्रू,پیاز,abruː,pjɒz,Reputation,an onion,1.0,0.5,0.3333333333333333,0.3958333333333333,5.21875,0.3333333333333333,5,random,Devanagari,Arabic
अमरूद,پهره,amruːd,phrh,Guava,پهره,0.8333333333333334,0.8,0.3333333333333333,0.3666666666666667,4.6,0.3541666666666666,5,random,Devanagari,Arabic
अमीर,شده,amiːr,ʃdh,Rich,شده,1.0,0.75,0.3958333333333333,0.46875,5.25,0.4322916666666667,4,random,Devanagari,Arabic
अरमान,مشغول,armaːn,mʃɣvl,desires,Busy,1.0,1.0,0.2541666666666667,0.2916666666666666,5.275,0.2541666666666667,5,random,Devanagari,Arabic
अरस्तू,مأیوس,arstuː,mɒʔjvs,Aristotle,dissapointed,1.0,0.6666666666666666,0.3819444444444444,0.4374999999999999,4.895833333333333,0.3993055555555555,6,random,Devanagari,Arabic
अर्क़,بیان,arqə,bjɒn,extract,Expression,1.0,0.75,0.2916666666666667,0.3541666666666666,6.78125,0.2916666666666667,5,random,Devanagari,Arabic
अर्ज़,یخ,arzə,jx,application,Ice,1.0,0.75,0.53125,0.6145833333333333,5.0625,0.5989583333333334,5,random,Devanagari,Arabic
अर्ज़ी,حلقه,arziː,hlɣh,application,Ring,1.0,0.75,0.1927083333333333,0.2395833333333333,3.59375,0.1927083333333333,6,random,Devanagari,Arabic
अलादीन,ضرورت,alaːdiːn,zrvrt,aladdin,Necessity,1.0,0.8333333333333334,0.3159722222222222,0.3819444444444444,4.625,0.3333333333333333,6,random,Devanagari,Arabic
अलिफ़,اطلاع,alif,ɒtlɒʔ,Alif,Information,0.8,0.4,0.2875,0.3083333333333333,3.325,0.3041666666666666,5,random,Devanagari,Arabic
अव्वल,مرحوم,avvəl,mrhvm,first,deceased,1.0,1.0,0.2458333333333333,0.3,5.025,0.2458333333333333,5,random,Devanagari,Arabic
अशरफ़ी,بلوچستان,aʃrəfiː,blvt͡ʃstɒn,ashrafi,Balochistan,1.0,0.875,0.4088541666666666,0.4635416666666667,5.0,0.4296875,8,random,Devanagari,Arabic
अश्क,جدا,aʃkə,d͡ʒdɒ,tear,is very,1.0,0.5,0.34375,0.375,3.15625,0.3697916666666667,4,random,Devanagari,Arabic
असर,تشدد,asər,tʃdd,effect,Violence,1.0,0.75,0.2291666666666666,0.28125,5.5,0.2291666666666666,4,random,Devanagari,Arabic
असली,آب چشم,asliː,ɒb t͡ʃʃm,Real,Eye water,1.0,0.8,0.3375,0.3666666666666666,4.275,0.3583333333333333,6,random,Devanagari,Arabic
अहल ईमान,سیرت,aɦlə iːmaːn,sjrt,ahl iman,سیرت,1.0,0.75,0.5286458333333334,0.5989583333333333,5.125,0.5807291666666666,8,random,Devanagari,Arabic
आइंदा,پلیته,aːindaː,pljth,in the future,Plate,1.0,0.8,0.2416666666666666,0.275,5.225,0.2416666666666666,5,random,Devanagari,Arabic
आईना,سایبان,aːiːnaː,sɒjbɒn,Mirror,Canopy,1.0,0.6666666666666666,0.3993055555555555,0.4375,4.0,0.4270833333333333,6,random,Devanagari,Arabic
आक़ा,نوبت,aːqaː,nvbt,mentor,Turn,1.0,1.0,0.4479166666666666,0.5,6.4375,0.46875,4,random,Devanagari,Arabic
आख़िरी,آمدنی,aːxiriː,ɒmdnj,last,Income,1.0,0.8,0.2125,0.25,4.225,0.2125,6,random,Devanagari,Arabic
आग़ाज़,مثال,aːɣaːz,msɒl,start,Example,1.0,0.75,0.1927083333333333,0.2083333333333333,3.4375,0.1927083333333333,6,random,Devanagari,Arabic
आग़ोश,زرد,aːɣoʃ,zrd,lap,زرد,1.0,0.75,0.390625,0.4583333333333333,4.46875,0.4166666666666667,5,random,Devanagari,Arabic
आगाह,پرواز,aːɡaːɦ,prvɒz,warning,Flight,1.0,0.8,0.3416666666666667,0.3916666666666667,4.3,0.3625,5,random,Devanagari,Arabic
आगाही,شیر,aːɡaːɦiː,ʃjr,Warning,Lion,1.0,0.8,0.4833333333333333,0.5583333333333333,4.675,0.525,5,random,Devanagari,Arabic
आचार,دریا,aːt͡ʃaːr,drjɒ,Behaviour,Sea,1.0,1.0,0.2916666666666667,0.375,6.09375,0.2916666666666667,4,random,Devanagari,Arabic
आज़ाद,گنده,aːzaːd,ɡndh,free,گنده,1.0,1.0,0.2708333333333333,0.3020833333333333,6.28125,0.2708333333333333,5,random,Devanagari,Arabic
आज़ादी,حیران,aːzaːdiː,hjrɒn,freedom,حیران,1.0,1.0,0.3083333333333333,0.375,5.075,0.3083333333333333,6,random,Devanagari,Arabic
आतिश,رومال,aːtiʃ,rvmɒl,Aatish,Handkerchief,1.0,0.8,0.35,0.4,4.35,0.3791666666666667,5,random,Devanagari,Arabic
आतिशबाज़ी,بخشش,aːtiʃbaːziː,bxʃʃ,fireworks,Forgiveness,0.9090909090909092,0.75,0.5130208333333334,0.5729166666666667,4.484375,0.5651041666666666,9,random,Devanagari,Arabic
आदत,طبیب,aːdət,tbjb,Habit,Medical,1.0,1.0,0.203125,0.2395833333333333,3.78125,0.203125,4,random,Devanagari,Arabic
आदमी,گذشته,aːdmiː,ɡzʃth,man,the past,1.0,0.8,0.3625,0.4,5.35,0.3791666666666667,5,random,Devanagari,Arabic
-आना,میزان,-aːnaː,mjzɒn,-To come,Level,1.0,0.8,0.4541666666666667,0.5,4.675,0.4916666666666666,5,random,Devanagari,Arabic
आफ़त,بلکه,aːfət,blkh,disaster,But,1.0,1.0,0.265625,0.3020833333333333,6.0,0.265625,4,random,Devanagari,Arabic
आफ़ताब,لطف,aːftaːb,ltf,Aftab,favor,0.8571428571428571,0.6,0.4291666666666667,0.4833333333333334,3.975,0.4708333333333333,6,random,Devanagari,Arabic
आफ़रीन,غیر,aːfriːn,ɣjr,afreen,Other,0.8571428571428571,0.8,0.45,0.5333333333333333,4.45,0.5041666666666667,6,random,Devanagari,Arabic
आब,بخت,aːb,bxt,now,Luck,1.0,1.0,0.4583333333333333,0.513888888888889,5.75,0.4930555555555555,3,random,Devanagari,Arabic
आब-ए-चश्म,سنگ مرمر,aːbə-e-t͡ʃəʃmə,sŋ mrmr,aab-e-chashm,Marble,0.9285714285714286,0.8888888888888888,0.4351851851851852,0.5046296296296297,5.041666666666667,0.4675925925925925,9,random,Devanagari,Arabic
आबकार,گنجایش,aːbkaːr,ɡnd͡ʒɒjʃ,size,Capacity,1.0,0.5,0.34375,0.3888888888888888,4.6875,0.3576388888888888,6,random,Devanagari,Arabic
आबदस्त,خاندانی,aːbdəstə,xɒndɒnj,settled,Family,0.875,0.7142857142857143,0.2619047619047619,0.2976190476190476,3.857142857142857,0.2619047619047619,7,random,Devanagari,Arabic
आबरू,با,aːbruː,bɒ,abrau,With,0.8333333333333334,0.5,0.4739583333333333,0.5416666666666666,4.125,0.5416666666666666,4,random,Devanagari,Arabic
आबला,هند,aːblaː,hnd,Abla,India,1.0,1.0,0.3645833333333333,0.40625,5.0,0.390625,4,random,Devanagari,Arabic
आबाद,آشنا,aːbaːd,ɒʃnɒ,inhabited,Familiar,1.0,0.75,0.2760416666666666,0.3125,5.09375,0.2760416666666666,4,random,Devanagari,Arabic
आमदनी,بعد,aːmdəniː,bʔd,income,after,0.875,0.8333333333333334,0.5208333333333334,0.5763888888888888,4.958333333333333,0.5694444444444444,5,random,Devanagari,Arabic
आरज़ू,مانده,aːrzuː,mɒndh,arzoo,Remaining,1.0,0.6,0.3208333333333334,0.3666666666666667,3.875,0.3416666666666667,5,random,Devanagari,Arabic
आराम,تعلیم,aːraːm,tʔljm,Rest,Education,0.8333333333333334,0.6,0.3083333333333333,0.3583333333333333,3.5,0.325,5,random,Devanagari,Arabic
आलू,وارث,aːluː,vɒrs,Potato,Heir,1.0,0.5,0.4114583333333333,0.46875,5.0,0.4322916666666667,4,random,Devanagari,Arabic
आवाज़,تر و تازه,aːvaːz,tr v tɒzh,sound,Fresh,0.7777777777777778,0.5714285714285714,0.4523809523809524,0.5119047619047619,4.25,0.4910714285714285,9,random,Devanagari,Arabic
आशना,پنیر,aːʃnaː,pnjr,Aashna,Cheese,0.8333333333333334,1.0,0.3020833333333333,0.3541666666666667,5.25,0.3020833333333333,4,random,Devanagari,Arabic
आशिक़ी,فتح,aːʃiqiː,fth,Aashiqui,to open,1.0,0.8,0.4708333333333334,0.5333333333333332,4.7,0.5125000000000001,6,random,Devanagari,Arabic
आशियाना,شادی,aːʃijaːnaː,ʃɒdj,home,Happiness,0.9,0.7142857142857143,0.443452380952381,0.494047619047619,4.232142857142857,0.4880952380952381,7,random,Devanagari,Arabic
आसमान,بی‌وفا,aːsmaːn,bj‌vfɒ,Sky,disloyal,1.0,1.0,0.3,0.3416666666666667,5.05,0.3,6,random,Devanagari,Arabic
आसान,تَوَجُّه,aːsaːn,towæd͡ʒُّh,easy,ت .وَجُّه,1.0,0.6666666666666666,0.4375,0.4722222222222222,4.541666666666667,0.46875,8,random,Devanagari,Arabic
आस्तीन,بازیچه,aːstiːn,bɒzjt͡ʃh,sleeve,Toys,0.875,0.6666666666666666,0.3402777777777778,0.375,4.604166666666667,0.3576388888888889,6,random,Devanagari,Arabic
आहिस्ता,تازه,aːɦistaː,tɒzh,slowly,new,1.0,0.6666666666666666,0.4027777777777778,0.4444444444444445,4.208333333333333,0.4375,7,random,Devanagari,Arabic
इंतक़ाल,تمام,intqaːl,tmɒm,timeout,the whole,0.8571428571428571,0.6666666666666666,0.4027777777777777,0.4375,3.8958333333333335,0.4340277777777777,7,random,Devanagari,Arabic
इंतख़ाब,سردی,intxaːb,srdj,waiting,Cold,1.0,0.8333333333333334,0.4131944444444444,0.4722222222222221,4.8125,0.4479166666666667,7,random,Devanagari,Arabic
इंसान,خسره,insaːn,xsrh,Human,lost it,0.8333333333333334,0.8,0.3416666666666667,0.3916666666666667,4.5,0.3583333333333333,5,random,Devanagari,Arabic
इंसानी,چراگاه,insaːniː,t͡ʃrɒɡɒh,human,Pasture,1.0,0.8333333333333334,0.3298611111111111,0.3888888888888888,5.0625,0.3298611111111111,6,random,Devanagari,Arabic
इक़रार,جزا,iqraːr,d͡ʒzɒ,Pledge,Penalty,1.0,0.6,0.4333333333333334,0.5083333333333333,4.175,0.4875,6,random,Devanagari,Arabic
इख़्तियार,استاد,ixtijaːr,ɒstɒd,Warrant,Professor,0.875,0.5714285714285714,0.3482142857142857,0.3928571428571428,3.446428571428572,0.3779761904761904,9,random,Devanagari,Arabic
इजमाली,واپسی,id͡ʒmaːliː,vɒpsj,ijmali,Returns,1.0,0.8333333333333334,0.3298611111111111,0.3749999999999999,5.291666666666667,0.3472222222222221,6,random,Devanagari,Arabic
इज़ाफ़ा,قرار,izaːfaː,ɣrɒr,enlargement,Appointment,1.0,0.8,0.3291666666666667,0.4,4.625,0.35,7,random,Devanagari,Arabic
इज़्ज़त,جاداد,izzət,d͡ʒɒdɒd,respect,جاداد,1.0,0.4,0.1833333333333333,0.2083333333333333,3.8,0.1833333333333333,7,random,Devanagari,Arabic
इत्तिफ़ाक़,شهر,ittifaːq,ʃhr,coincidence,City,1.0,0.8571428571428571,0.5982142857142857,0.6726190476190476,5.607142857142857,0.6547619047619048,10,random,Devanagari,Arabic
इत्तिहाद,حلوا,ittiɦaːd,hlvɒ,etihad,حلوا,1.0,0.8571428571428571,0.4761904761904762,0.5238095238095238,4.892857142857143,0.5178571428571429,8,random,Devanagari,Arabic
इत्तेला,همت,ittelaː,hmt,Ittela,Effort,0.8571428571428571,0.8333333333333334,0.5243055555555556,0.5833333333333334,5.125,0.5729166666666666,7,random,Devanagari,Arabic
इत्मीनान,علاءالدین,itmiːnaːn,ʔlɒʔɒldjn,leisurely,Alaeddin,0.8888888888888888,0.7777777777777778,0.3310185185185185,0.3611111111111111,3.888888888888889,0.3518518518518518,9,random,Devanagari,Arabic
इनकार,سلام,inkaːr,slɒm,Refuse,Hello,1.0,0.8,0.3458333333333333,0.4,4.4,0.3666666666666666,5,random,Devanagari,Arabic
इफ़्तिताह,تسمه,iftitaːɦ,tsmh,iftitah,Straps,0.875,0.5714285714285714,0.4464285714285714,0.494047619047619,4.160714285714286,0.4880952380952381,9,random,Devanagari,Arabic
इब्तिदाई,شاه,ibtidaːiː,ʃɒh,utterance,شاه,1.0,0.7142857142857143,0.5863095238095237,0.6488095238095237,5.303571428571429,0.6428571428571429,8,random,Devanagari,Arabic
इब्री,مُوسَی,ibriː,mُvsɒ,Hebrew,Moses,1.0,0.5,0.1822916666666666,0.21875,3.4375,0.1822916666666666,6,random,Devanagari,Arabic
इब्रीक़,بند,ibriːq,bnd,ibrik,Paragraph,0.8333333333333334,0.8,0.4291666666666667,0.4916666666666667,3.775,0.4708333333333334,7,random,Devanagari,Arabic
इमला,غیر,imlaː,ɣjr,Spelling,Other,1.0,0.75,0.3697916666666667,0.4270833333333333,5.15625,0.3958333333333333,4,random,Devanagari,Arabic
इमारत,بهادر,imaːrət,bhɒdr,building,بهادر,0.8571428571428571,0.6666666666666666,0.3159722222222222,0.3680555555555555,4.6875,0.3333333333333333,5,random,Devanagari,Arabic
इम्तहान,فوراً,imtəɦaːn,fvrɒً,Examination,immediately,1.0,0.7142857142857143,0.4880952380952381,0.5535714285714285,4.535714285714286,0.5297619047619048,7,random,Devanagari,Arabic
-इयत,یاری,-ijət,jɒrj,-yat,یاری,1.0,0.75,0.2291666666666666,0.2916666666666667,4.90625,0.2291666666666666,4,random,Devanagari,Arabic
इरादतन,گرفتاری,iraːdtən,ɡrftɒrj,intentional,Caught,0.875,0.7142857142857143,0.2321428571428571,0.2797619047619047,4.089285714285714,0.2321428571428571,7,random,Devanagari,Arabic
इरादा,حق,iraːdaː,hɣ,Intention,Right,1.0,0.8,0.6125,0.7,5.45,0.6874999999999999,5,random,Devanagari,Arabic
इर्द-गिर्द,شهید,irdə-ɡirdə,ʃhjd,around,شهید,0.9,0.6666666666666666,0.5347222222222223,0.6111111111111112,4.986111111111111,0.6064814814814815,10,random,Devanagari,Arabic
इलज़ाम,داستان,ilzaːm,dɒstɒn,allegation,Story,1.0,0.5,0.2534722222222222,0.2708333333333333,2.645833333333333,0.2673611111111111,6,random,Devanagari,Arabic
इलाहाबाद,سهمناک,ilaːɦaːbaːd,shmnɒk,Allahabad,Terrible,1.0,0.75,0.3541666666666667,0.390625,4.046875,0.3802083333333333,8,random,Devanagari,Arabic
इसरार,بدولت,israːr,bdvlt,israr,through,1.0,0.8,0.2291666666666666,0.2916666666666666,4.925,0.2291666666666666,5,random,Devanagari,Arabic
इस्लाम,نیست و نابود,islaːm,njst v nɒbvd,Islam,Not and destroyed,0.9166666666666666,0.8,0.5,0.5458333333333334,4.4625,0.5416666666666666,12,random,Devanagari,Arabic
-ई,دیوانگی,-iː,djvɒŋj,-e,Madness,1.0,0.8333333333333334,0.7743055555555555,0.8611111111111112,6.458333333333333,0.8541666666666666,7,random,Devanagari,Arabic
-ईन,جدید,-iːn,d͡ʒdjd,-een,New,1.0,1.0,0.5104166666666666,0.5625,4.96875,0.5520833333333334,4,random,Devanagari,Arabic
ईमानदार,زنده,iːmaːndaːr,zndh,Honest,Live,0.8,0.5714285714285714,0.443452380952381,0.5059523809523809,4.107142857142857,0.494047619047619,7,random,Devanagari,Arabic
ईरान,ملکه,iːraːn,mlkh,Iran,Queen,1.0,0.75,0.2760416666666667,0.3229166666666667,5.34375,0.2760416666666667,4,random,Devanagari,Arabic
ईरानी,آچار,iːraːniː,ɒt͡ʃɒr,Iranian,Wrench,1.0,0.6,0.3375,0.3916666666666667,3.75,0.3583333333333333,5,random,Devanagari,Arabic
उम्दा,پرده,umdaː,prdh,fine,Curtain,0.8,0.75,0.2239583333333333,0.2708333333333333,4.59375,0.2239583333333333,5,random,Devanagari,Arabic
उम्मीद,شاباش,ummiːd,ʃɒbɒʃ,Hope,شاباش,1.0,0.6,0.2541666666666667,0.275,4.6,0.2541666666666667,6,random,Devanagari,Arabic
उर्दू,ناز,urduː,nɒz,Urdu,ناز,1.0,0.75,0.421875,0.5,5.8125,0.4479166666666666,5,random,Devanagari,Arabic
उलफ़त,صندوقچه,ulfət,sndvɣt͡ʃh,Ulfat,Ark,0.8888888888888888,0.8571428571428571,0.3928571428571428,0.4345238095238096,4.875,0.4196428571428571,7,random,Devanagari,Arabic
उलमा,معمولی,ulmaː,mʔmvlj,Ulama,Normal,0.8333333333333334,0.6666666666666666,0.4479166666666667,0.4930555555555555,5.083333333333333,0.4756944444444444,6,random,Devanagari,Arabic
उसमान,تیرانداز,usmaːn,tjrɒndɒz,Usman,Shooter,1.0,0.75,0.421875,0.46875,4.375,0.4661458333333333,8,random,Devanagari,Arabic
उस्तरा,پری,ustəraː,prj,Razor,Fairy,0.8571428571428571,0.8333333333333334,0.5034722222222222,0.5625,4.458333333333333,0.5520833333333334,6,random,Devanagari,Arabic
उस्ताद,گردی,ustaːd,ɡrdj,maestro,Round,1.0,0.8,0.325,0.375,4.6,0.3416666666666667,6,random,Devanagari,Arabic
उस्मानी,عذاب,usmaːniː,ʔzɒb,Usmani,torment,1.0,0.6666666666666666,0.4201388888888889,0.4652777777777778,4.291666666666667,0.4548611111111111,7,random,Devanagari,Arabic
एकाएक,رسید,ekaːek,rsjd,all of a sudden,Receipt,1.0,1.0,0.35,0.4166666666666667,4.325,0.3708333333333333,5,random,Devanagari,Arabic
एतबार,شکنجه,etbaːr,ʃknd͡ʒh,once again,Torture,1.0,0.8,0.2541666666666666,0.3083333333333333,4.975,0.2541666666666666,5,random,Devanagari,Arabic
एवज़,قسم,evəz,ɣsm,Substitute,to divide,1.0,1.0,0.3854166666666667,0.4375,5.1875,0.4114583333333333,4,random,Devanagari,Arabic
एहतियात,در,eɦtijaːt,dr,precaution,At,1.0,0.7142857142857143,0.6755952380952381,0.7619047619047619,5.803571428571429,0.7499999999999999,7,random,Devanagari,Arabic
एहसान,منتظر,eɦsaːn,mntzr,Favour,Wait,1.0,0.8,0.1916666666666666,0.2333333333333333,4.1,0.1916666666666666,5,random,Devanagari,Arabic
ऐतराज़,جادو,æːtraːz,d͡ʒɒdv,objection,Magic,1.0,0.8,0.3708333333333333,0.4416666666666666,4.95,0.3916666666666667,6,random,Devanagari,Arabic
ऐनक,تعلق,æːnək,tʔlɣ,Glasses,Belong,1.0,0.75,0.2552083333333333,0.2916666666666666,5.15625,0.2552083333333333,4,random,Devanagari,Arabic
ऐयाशी,گوشت,æːjaːʃiː,ɡvʃt,debauchery,Meat,0.875,0.8,0.3541666666666666,0.4,6.0,0.375,5,random,Devanagari,Arabic
ओ,ویران,o,vjrɒn,O,Destroyed,1.0,0.8,0.7208333333333333,0.8083333333333332,5.9,0.8083333333333332,5,random,Devanagari,Arabic
ओहदा,جلد,oɦdaː,d͡ʒld,position,Cover,1.0,0.5,0.359375,0.40625,4.59375,0.3854166666666666,4,random,Devanagari,Arabic
कद्दू,لذیذ,kədduː,lzjz,Pumpkin,Delicious,1.0,0.8,0.3666666666666666,0.4083333333333334,5.65,0.3875,5,random,Devanagari,Arabic
कनीज़,رویه,kəniːz,rvjh,kinese,procedure,1.0,1.0,0.3458333333333333,0.4166666666666667,4.725,0.3666666666666666,5,random,Devanagari,Arabic
कबाब,سؤال,kəbaːb,svʔɒl,Kebab,a question,1.0,0.8,0.2208333333333333,0.2416666666666666,4.45,0.2208333333333333,4,random,Devanagari,Arabic
कबाबचीनी,کش,kəbaːbt͡ʃiːniː,kʃ,Kebabchini,Cash,0.8571428571428571,0.8888888888888888,0.7083333333333334,0.787037037037037,5.805555555555555,0.787037037037037,8,random,Devanagari,Arabic
कबूतर,پیچ کش,kəbuːtər,pjt͡ʃ kʃ,Pigeon,Screwdriver,1.0,0.8571428571428571,0.3928571428571428,0.4464285714285714,4.053571428571429,0.4226190476190475,6,random,Devanagari,Arabic
कम-,شکریه,kəmə-,ʃkrjh,Less-,Thank you,1.0,0.8,0.3291666666666666,0.3833333333333333,4.675,0.3458333333333333,5,random,Devanagari,Arabic
कमर,نوکر,kəmər,nvkr,Waistline,نوکر,0.8,0.8,0.3291666666666667,0.3666666666666666,4.775,0.35,4,random,Devanagari,Arabic
कमान,اگر,kəmaːn,ɒɡr,command,If,1.0,0.8,0.4666666666666667,0.525,4.55,0.5083333333333333,4,random,Devanagari,Arabic
कमी,مجنون,kəmiː,md͡ʒnvn,Shortage,مجنون,1.0,0.8,0.3875,0.4416666666666667,5.55,0.4083333333333333,5,random,Devanagari,Arabic
कमीना,صحیح,kəmiːnaː,shjh,slavish,True,1.0,1.0,0.4305555555555556,0.4791666666666667,4.354166666666667,0.4652777777777778,5,random,Devanagari,Arabic
कमोबेश,باورچی,kəmobeʃ,bɒvrt͡ʃj,more or less,the Cook,0.875,0.8571428571428571,0.2946428571428571,0.3392857142857143,3.732142857142857,0.306547619047619,6,random,Devanagari,Arabic
करघा,بغداد,kərɡ̤aː,bɣdɒd,loom,Baghdad,1.0,1.0,0.2625,0.3083333333333333,4.95,0.2625,5,random,Devanagari,Arabic
कलफ़,خاقان,kələf,xɒɣɒn,Kalaf,خاقان,1.0,0.4,0.1708333333333333,0.1833333333333333,2.625,0.1708333333333333,5,random,Devanagari,Arabic
कलमकारी,ترتیب,kəlməkaːriː,trtjb,Kalamkari,Order,1.0,0.7777777777777778,0.4930555555555556,0.5648148148148148,4.680555555555555,0.5462962962962963,7,random,Devanagari,Arabic
कश,جامه,kəʃ,d͡ʒɒmh,puff,جامه,1.0,0.5,0.3385416666666667,0.375,3.375,0.3645833333333333,4,random,Devanagari,Arabic
कश्ती,افسانه,kəʃtiː,ɒfsɒnh,kayak,Fiction,1.0,0.6666666666666666,0.3402777777777778,0.3819444444444444,4.708333333333333,0.3576388888888889,6,random,Devanagari,Arabic
