,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,xlm_cos,indic_bert_cos,muril_cos,label
12,,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,2,0.12549978,0.8177294135093689,0.9988019466400146,0.9959301948547364,synonym
13,,মৈহ,ভয়,mɔɪɦ,bʱe̯ɔ,Maih,Fear,1.0,0.75,0.3177083333333333,0.34375,3.625,0.34375,3,3.4723425000000003,0.727642297744751,0.995166838169098,0.9940900206565856,random
14,,সন্ধিয়া,সন্ধ্যা,xɔndʰija,ʃɔn̪d̪ʱæ,evening,Evening,0.75,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.4107142857142856,0.3244047619047618,2,-0.16559216,0.8175927400588989,0.998341143131256,0.9996277093887328,synonym
15,,যুদ্ধ,বুদ্ধ,zuddʰɔ,bud̪d̪ʱɔ,War,Buddha,0.5,0.2,0.0541666666666666,0.0583333333333333,0.575,0.0541666666666666,1,-0.3840704,0.9200270771980286,0.9987014532089232,0.9992561340332032,hard_negative
16,,ৰবিবাৰ,শনিবার,ɹɔbibaɹ,ʃɔn̪ibar,Sunday,Saturday,0.5,0.2857142857142857,0.0982142857142857,0.1130952380952381,1.946428571428572,0.0982142857142857,3,2.7539577,0.6398525834083557,0.99695086479187,0.9979344606399536,hard_negative
17,,রসুন,নতুন,rɔʃun̪,nɔtun,Garlic,New,0.5,0.2,0.0666666666666666,0.0833333333333333,0.9,0.0666666666666666,2,2.2873476000000004,0.5162463784217834,0.9997869729995728,0.9993383288383484,hard_negative
18,,মাসি,মৈ,maʃi,mɔɪ,Aunt,May,0.75,0.25,0.28125,0.3020833333333333,2.3125,0.3020833333333333,3,1.006977,0.7884142994880676,0.997448980808258,0.9992604851722716,synonym
19,,শৈবাল,কিয়বা,ʃojbalɔ,kijba,Algae,Kyaba,0.5714285714285714,0.4285714285714285,0.3035714285714285,0.3333333333333333,2.6607142857142856,0.3303571428571428,5,2.1455467,0.5783311128616333,0.9974050521850586,0.9976091980934144,hard_negative
20,,বালক,বাল,balɔkɔ,bal,Boy,Baal,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,-1.0672582,0.6674975752830505,0.999826967716217,0.9997400045394896,synonym
21,,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,-7.2943335,0.95912504196167,0.999357044696808,0.9998496174812316,synonym
22,,গোলন্দাজ,উপন্যাস,ɡolɔn̪d̪ad͡ʑ,upniax,Gunner,Novel,0.8333333333333334,0.5,0.3411458333333333,0.3802083333333333,4.0,0.3671874999999999,5,6.156552,0.7999736070632935,0.9990184307098388,0.9985660910606384,random
23,,পোলা,ব্যাকৰণ,pola,biakɔɹɔnɔ,Pola,Grammar,1.0,0.5555555555555556,0.5416666666666666,0.5972222222222223,4.5,0.5972222222222223,6,9.209542,0.6860128045082092,0.9968940615653992,0.9987374544143676,random
24,,ঝিঙা,ছিঙা,d͡ʑʱiŋa,siŋa,Shrimp,The tear,0.5714285714285714,0.25,0.0625,0.0625,0.75,0.0625,1,1.5026506000000002,0.7407177686691284,0.9993388652801514,0.9983934760093688,hard_negative
25,,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,-7.2943335,0.95912504196167,0.999357044696808,0.9998496174812316,synonym
26,,অক্ষি,অক্ষ,okkʰi,ɔkʰjɔ,Eye,Axis,0.8,0.25,0.125,0.125,2.0625,0.125,1,1.4679308,0.9301985502243042,0.9973250031471252,0.9988718628883362,synonym
27,,টেহা,দেহা,ʈeɦa,dɛɦa,Teha,The body,0.5,0.0,0.03125,0.03125,0.25,0.03125,1,4.0258207000000015,0.8608955144882202,0.9949309229850768,0.9991090893745422,hard_negative
28,,নাই,নাও,n̪ai,naʊ,"No, it's not",Take it,0.5,0.0,0.0555555555555555,0.0555555555555555,0.5,0.0555555555555555,1,3.0184517000000004,0.6430798768997192,0.9995318055152892,0.9998016953468324,hard_negative
29,,লাউ,গাউ,lau,gau,Lau,Cow,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.63409066,0.85772705078125,0.9979680180549622,0.9991794228553772,hard_negative
30,,কালি,খালী,kali,kʰali,yesterday,empty,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,2,4.6350994000000005,0.6504243612289429,0.9969136118888856,0.9990589022636414,hard_negative
