,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,ass_bertxlm,label
27,,শ্রী,শ্রীবৃক্ষ,xɹi,ʃribɽikkʰɔ,Mr.,Srivriksha,0.9,0.7777777777777778,0.625,0.7129629629629629,5.402777777777778,0.7013888888888888,5,0.84166485,loan
28,,লহুন,রসুন,lɔɦun,rɔʃun̪,Blood,Garlic,0.5,0.2,0.0625,0.0833333333333333,0.925,0.0625,2,0.87619746,loan
29,,ৰঙা,রাং,ɹɔŋa,raŋ,red,Rang,0.75,0.25,0.3072916666666667,0.3541666666666666,3.125,0.3333333333333333,3,0.8281311,loan
30,,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,0.8051347,loan
31,,আঠ,আষ্ট,atʰ,aʃʈɔ,eight,Eight,0.75,0.5,0.4739583333333333,0.5208333333333333,3.8125,0.5208333333333333,3,0.87341493,loan
32,,টকা,টেহা,tɔka,ʈeɦa,Money,Teha,0.75,0.25,0.09375,0.09375,1.5,0.09375,2,0.8372875,loan
33,,পুথি,পুস্তক,putʰi,puʃt̪ɔkɔ,The book,Books,0.625,0.4285714285714285,0.4226190476190476,0.4642857142857142,3.4285714285714284,0.4642857142857142,4,0.827914,loan
34,,মাকৈ,মকাই,makɔɪ,mɔkai,corn,Maize,0.6,0.0,0.075,0.075,0.75,0.075,3,0.87430537,loan
35,,আঁহ,অংশু,ãɦɔ,oŋʃu,Fiber,Anshu,1.0,0.75,0.3333333333333333,0.3645833333333333,3.25,0.359375,4,0.8946289,loan
36,,মঙহ,মাংস,mɔŋɔɦɔ,maŋʃɔ,Meat,Meat,0.5,0.3333333333333333,0.2013888888888888,0.2222222222222222,1.9791666666666667,0.21875,3,0.8248816,loan
37,,কলা,কালি,kɔla,kali,Banana,yesterday,0.5,0.0,0.0625,0.0625,0.6875,0.0625,2,0.9433569,loan
38,,কাণ,কর্ণ,kan,kɔrnɔ,ear,Ears,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,2,0.80045986,loan
39,,মৈহ,ভইষ,mɔɪɦ,bʱiʃ,Maih,Fear,1.0,0.75,0.2916666666666667,0.3229166666666667,3.21875,0.3177083333333333,3,0.88362515,loan
40,,কল,কেলা,kɔlɔ,kela,Call,The banana,0.5,0.0,0.0729166666666666,0.0729166666666666,0.75,0.0729166666666666,2,0.89000547,loan
41,,দীঘ,ডাঙর,digʱ,ɖaŋɔrɔ,Long,Strong,1.0,0.6666666666666666,0.6076388888888891,0.6875,5.083333333333333,0.6875,4,0.78045076,loan
42,,ৰাষ্ট্ৰ,রাষ্ট্র,ɹaxtɹɔ,raʃʈrɔ,The State,State,0.6666666666666666,0.1666666666666666,0.0868055555555555,0.1180555555555555,1.5208333333333333,0.0868055555555555,2,0.74853814,loan
43,,উত্তৰ,উত্তর,uttɔɹɔ,ut̪t̪ɔrɔ,answer,The answer,0.375,0.0,0.0416666666666666,0.0555555555555555,0.6666666666666666,0.0416666666666666,1,0.8328084,loan
44,,মুঠা,মুঠো,mutʰa,muʈʰo,A handful,Fist,0.4,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,1,0.9545795,loan
45,,অংক,অঙ্ক,ɔŋkɔ,oŋkɔ,Math,The numbers,0.25,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,2,0.78174025,loan
46,,মঙলবাৰ,মঙ্গলবার,mɔŋɔlɔbaɹ,mɔŋɡɔlɔbar,It's Tuesday,Tuesday,0.2,0.1,0.10625,0.125,1.075,0.1166666666666666,3,0.7908156,loan
47,,দুৱাৰ,দ্বার,duwaɹ,d̪ar,The door,The door,0.6,0.4,0.4,0.4583333333333333,3.65,0.4416666666666667,3,0.82245815,loan
48,,শিকোৱা,শিক্ষা,xikʊwa,ʃikkʰa,teaching,Education,0.5,0.5,0.2222222222222222,0.2430555555555555,2.5625,0.2395833333333333,2,0.88446623,loan
49,,পোনা,পোলা,pʊna,pola,Pona,Pola,0.5,0.25,0.0520833333333333,0.0520833333333333,0.6875,0.0520833333333333,1,0.879773,loan
50,,সকলো,হক্কল,xɔkɔlʊ,ɦɔkkɔlɔ,everything,Haqkal,0.4285714285714285,0.2857142857142857,0.1577380952380952,0.1726190476190476,1.5714285714285714,0.1726190476190476,4,0.73578286,loan
51,,বঙালী,বাঙ্গালী,bɔŋali,baŋɡali,Bengali,Bengali,0.2857142857142857,0.1428571428571428,0.1517857142857142,0.1666666666666666,1.2857142857142858,0.1666666666666666,3,0.84822464,loan
52,,আমি,আঁই,ami,ãi,I,I am,0.6666666666666666,0.6666666666666666,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,2,0.8486177,loan
53,,মুঠি,মুঠা,mutʰi,muʈʰa,Fist,A handful,0.4,0.0,0.03125,0.03125,0.375,0.03125,1,0.98265254,loan
54,,বঙালী,বাঙালি,bɔŋali,baŋali,Bengali,Bengali,0.1666666666666666,0.0,0.0277777777777777,0.0277777777777777,0.2916666666666667,0.0277777777777777,2,0.73857415,loan
55,,লহুন,রউন,lɔɦun,run̪,Blood,Rune,0.8,0.4,0.3916666666666667,0.4499999999999999,3.25,0.4333333333333333,3,0.81624055,loan
56,,বঙালী,বাংলা,bɔŋali,baŋla,Bengali,Bengali,0.5,0.1666666666666666,0.1909722222222222,0.2083333333333333,1.6666666666666667,0.2083333333333333,3,0.71766996,loan
57,,টকা,টাকা,tɔka,ʈaka,Money,Money,0.5,0.0,0.0520833333333333,0.0520833333333333,0.5625,0.0520833333333333,1,0.92176235,loan
58,,শেলাই,শৈবাল,xɛlai,ʃojbalɔ,Seams,Algae,0.8571428571428571,0.4285714285714285,0.3541666666666666,0.3869047619047618,3.321428571428572,0.3809523809523809,3,0.90666616,loan
59,,কচু,কচুয়া,kɔsu,kɔt͡ɕue̯a,Kachu,Kachua,0.6666666666666666,0.5,0.3333333333333333,0.3680555555555555,2.875,0.3680555555555555,3,0.75373393,loan
60,,ধৰ্ম,ধর্ম,dʰɔɹmɔ,d̪ʱɔrmɔ,religion,Religion,0.4285714285714285,0.0,0.05,0.0666666666666666,0.8,0.05,1,0.8270196,loan
61,,পোৱালী,পোলা,pʊwali,pola,The puppy,Pola,0.6666666666666666,0.3333333333333333,0.3263888888888889,0.3611111111111111,2.708333333333333,0.3611111111111111,3,0.837844,loan
62,,বঙালী,বঙ্গ,bɔŋali,bɔŋɡɔ,Bengali,Bengal,0.5,0.3333333333333333,0.2291666666666667,0.25,2.4375,0.2465277777777778,3,0.870909,loan
63,,ভনী,বোন,bʰɔni,bon̪,Sister,Sister,0.6,0.25,0.2552083333333333,0.28125,2.0,0.28125,3,0.77613044,loan
64,,প্ৰাচীন,প্রাচীন,pɹasin,prat͡ɕin̪,Ancient,Ancient,0.5555555555555556,0.1666666666666666,0.0694444444444444,0.0833333333333333,1.0833333333333333,0.0694444444444444,1,0.85564226,loan
65,,বলিয়া,বাউল,bɔlija,baulɔ,Saying,Bowl,0.8333333333333334,0.1666666666666666,0.2673611111111111,0.2847222222222222,2.7291666666666665,0.28125,5,0.7935483,loan
66,,বঙহ,বাঁশ,bɔŋɔɦɔ,bãʃɔ,বংহ,Bamboo,0.6666666666666666,0.6666666666666666,0.3576388888888889,0.3958333333333332,3.270833333333333,0.3923611111111111,3,0.7823403,loan
67,,অগ্নি,আগুন,ɔgni,aɡun̪,Fire,Fire,0.8,0.5,0.3697916666666666,0.3958333333333333,3.78125,0.390625,3,0.63428575,loan
68,,পুহ,পোষ,puɦ,poʃ,Puh,Pet,0.6666666666666666,0.3333333333333333,0.0763888888888889,0.0833333333333333,1.2916666666666667,0.0763888888888889,2,0.9189247,loan
69,,ঠেং,টেহা,tʰɛŋ,ʈeɦa,The tail,Teha,1.0,0.5,0.296875,0.3229166666666666,2.6875,0.3229166666666666,3,0.83867115,loan
70,,ব্যৱহাৰ,ব্যবহার,bzɔwɔɦaɹ,bd͡zɔbɔɦar,use,Use,0.4,0.25,0.0677083333333333,0.078125,1.5,0.0677083333333333,2,0.79406404,loan
71,,বিহ,বিষ,biɦ,biʃ,poison,Poison,0.3333333333333333,0.3333333333333333,0.0486111111111111,0.0555555555555555,0.9583333333333334,0.0486111111111111,1,0.82610804,loan
72,,মাকৈ,মাহই,makɔɪ,maɦi,corn,Mahi,0.6,0.4,0.2291666666666666,0.25,2.35,0.25,2,0.89448905,loan
73,,দীঘা,ডাঙর,digʱa,ɖaŋɔrɔ,Digha,Strong,1.0,0.5,0.4861111111111111,0.548611111111111,4.166666666666667,0.548611111111111,4,0.78045064,loan
74,,হিয়া,হৃদয়,ɦija,ɦɽid̪e̯ɔ,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,3,0.80457175,loan
75,,দীঘল,ডাঙর,digʱɔlɔ,ɖaŋɔrɔ,long,Strong,0.7142857142857143,0.1666666666666666,0.1909722222222222,0.2222222222222222,1.7083333333333333,0.2083333333333333,4,0.85531265,loan
76,,পুলি,পোলা,puli,pola,Seedlings,Pola,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,2,0.88446563,loan
77,,সকলো,সকল,xɔkɔlʊ,ʃɔkɔlɔ,everything,All,0.3333333333333333,0.1666666666666666,0.03125,0.0347222222222222,0.3541666666666667,0.03125,1,0.7268547,loan
78,,মূলা,মূল,mula,mulɔ,Radish,Original,0.25,0.0,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,1,0.85973257,loan
79,,মুঠি,মুঠো,mutʰi,muʈʰo,Fist,Fist,0.4,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,1,0.95457935,loan
80,,সেকা,শিক্ষা,xɛka,ʃikkʰa,Seka,Education,0.6666666666666666,0.4,0.225,0.25,1.925,0.2458333333333333,4,0.7841271,loan
81,,বিলৈ,বিলাই,bilɔɪ,bilai,to the b,distribute,0.4,0.0,0.0416666666666666,0.0416666666666666,0.4,0.0416666666666666,2,0.8683622,loan
82,,পানী,পানি,pani,pan̪i,water,Water,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,1,0.835449,loan
83,,মাখি,মাক্‌খি,makʰi,mak‌kʰi,Flies,Makkhi,0.2857142857142857,0.2,0.1791666666666666,0.2,1.45,0.2,3,0.8433295,loan
84,,পিন্ধ,পিন্ধা,pindʰɔ,pin̪d̪ʱa,Wear,wear,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,1,0.9747882,loan
85,,গোল,গোলন্দাজ,gʊl,ɡolɔn̪d̪ad͡ʑ,Round,Gunner,0.9166666666666666,0.75,0.6901041666666666,0.7604166666666666,5.53125,0.7604166666666666,5,0.7618289,loan
86,,চন্দ্ৰ,চাঁদ,sɔndɹɔ,t͡ɕãd̪ɔ,moon,The moon,0.7142857142857143,0.6666666666666666,0.3819444444444444,0.4097222222222222,3.2916666666666665,0.4097222222222222,4,0.7095737,loan
87,,আঁঠু,আঁডু,ãtʰu,ãɖu,knee,Andu,0.5,0.0,0.0416666666666666,0.0416666666666666,0.3333333333333333,0.0416666666666666,1,0.8939059,loan
88,,চন্দ্ৰ,চান,sɔndɹɔ,t͡ɕan̪,moon,Want,1.0,0.6666666666666666,0.5243055555555556,0.5694444444444445,4.416666666666667,0.5694444444444445,5,0.62164736,loan
89,,চান্দ,চাঁদ,sandɔ,t͡ɕãd̪ɔ,Chand,The moon,0.7142857142857143,0.6,0.2416666666666666,0.2583333333333333,2.15,0.2583333333333333,2,0.8243797,loan
90,,কটা,কাটা,kɔta,kaʈa,Brown,Cut,0.5,0.0,0.0520833333333333,0.0520833333333333,0.5625,0.0520833333333333,1,0.9614216,loan
91,,শিকা,শেখা,xika,ʃekʰa,learn,Learning,0.6,0.25,0.0572916666666666,0.0624999999999999,0.59375,0.0572916666666666,2,0.87676215,loan
92,,ঠেং,টাং,tʰɛŋ,ʈaŋ,The tail,Tang,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5,0.0555555555555555,2,0.84380275,loan
93,,মাই,মেয়ে,mai,mee̯e,My,Girl,0.8,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,4,0.83246917,loan
94,,মিঠা,মিডা,mitʰa,miɖa,sweet,Mida,0.4,0.0,0.03125,0.03125,0.25,0.03125,1,0.8497271,loan
95,,টাকা,ঠেং,taka,ʈʰeŋ,Money,The tail,1.0,0.5,0.2864583333333333,0.3125,2.8125,0.3125,4,0.78531396,loan
96,,মিঠা,মিষ্টি,mitʰa,miʃʈi,sweet,Sweet,0.6,0.2,0.2166666666666666,0.2333333333333333,1.8,0.2333333333333333,4,0.7952334,loan
97,,পখিলা,পাখ,pɔkʰila,pakʰ,butterfly,Wings,0.5714285714285714,0.5,0.4791666666666667,0.5277777777777778,3.9166666666666665,0.5277777777777778,4,0.8222861,loan
98,,দহ,দশ,dɔɦɔ,d̪ɔʃɔ,ten,Ten,0.4,0.25,0.046875,0.0520833333333333,0.78125,0.046875,1,0.8420783,loan
99,,গুলী,গোলন্দাজ,guli,ɡolɔn̪d̪ad͡ʑ,The bullet,Gunner,0.9166666666666666,0.625,0.5885416666666666,0.6458333333333333,4.78125,0.6458333333333333,6,0.76182884,loan
100,,দুখ,দুঃখ,dukʰ,d̪uhkʰɔ,pain,Sorry,0.4285714285714285,0.4,0.3666666666666667,0.4083333333333334,2.95,0.4083333333333334,1,0.91734755,loan
101,,ধোঁৱা,ধুমা,dʰʊ̃wa,d̪ʱuma,smoke,Smoke,0.6666666666666666,0.25,0.125,0.125,1.8125,0.125,3,0.76364946,loan
102,,আক,এক,ak,ek,Let's go,One,0.5,0.0,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,1,0.78547454,loan
103,,ৰাং,রঙ,ɹaŋ,rɔŋɔ,Rang,Color,0.75,0.25,0.3072916666666667,0.3541666666666666,3.125,0.3333333333333333,3,0.7656177,loan
104,,ৰঙা,রঙ,ɹɔŋa,rɔŋɔ,red,Color,0.5,0.0,0.0833333333333333,0.1041666666666666,1.3125,0.0833333333333333,2,0.732854,loan
105,,টাকা,ঠেং,ʈaka,tʰɛŋ,Money,The tail,1.0,0.5,0.296875,0.3229166666666666,2.875,0.3229166666666666,4,0.9477304,loan
106,,পাখা,পখিলা,pakʰa,pɔkʰila,Fan,butterfly,0.4285714285714285,0.3333333333333333,0.3298611111111111,0.3611111111111111,2.708333333333333,0.3611111111111111,3,0.9540982,loan
107,,পুস্তক,পুথি,puʃt̪ɔkɔ,putʰi,Books,The book,0.625,0.4285714285714285,0.4226190476190476,0.4642857142857142,3.4285714285714284,0.4642857142857142,4,0.9588763,loan
108,,ধুমা,ধোঁৱা,d̪ʱuma,dʰʊ̃wa,Smoke,smoke,0.6666666666666666,0.25,0.125,0.125,1.8125,0.125,3,0.95785916,loan
109,,রাং,ৰঙা,raŋ,ɹɔŋa,Rang,red,0.75,0.25,0.3072916666666667,0.3541666666666666,3.125,0.3333333333333333,3,0.94600034,loan
110,,রং,ৰঙা,rɔŋ,ɹɔŋa,Color,red,0.5,0.25,0.265625,0.3125,2.6875,0.2916666666666667,3,0.9430929,loan
111,,হৃদয়,হিয়া,ɦɽid̪e̯ɔ,ɦija,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,3,0.96701616,loan
112,,আঁই,আমি,ãi,ami,I am,I,0.6666666666666666,0.6666666666666666,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,2,0.9530316,loan
113,,বিছা,বৃশ্চিক,bit͡ɕʰa,bɽixsik,Scorpion,Scorpio,0.8571428571428571,0.4285714285714285,0.4226190476190476,0.4761904761904762,3.6607142857142856,0.4732142857142857,6,0.94164354,loan
114,,রঙ,ৰঙা,rɔŋɔ,ɹɔŋa,Color,red,0.5,0.0,0.0833333333333333,0.1041666666666666,1.3125,0.0833333333333333,2,0.9379039,loan
115,,বাঙালি,বঙালী,baŋali,bɔŋali,Bengali,Bengali,0.1666666666666666,0.0,0.0277777777777777,0.0277777777777777,0.2916666666666667,0.0277777777777777,2,0.9432467,loan
116,,পানীয়,পানী,pan̪ie̯,pani,Drinks,water,0.4285714285714285,0.2,0.1875,0.2083333333333333,1.5,0.2083333333333333,2,0.96646917,loan
117,,রসুন,লহুন,rɔʃun̪,lɔɦun,Garlic,Blood,0.5,0.2,0.0625,0.0833333333333333,0.925,0.0625,2,0.92708886,loan
118,,ক্রিয়া,ক্ৰিয়া,krie̯a,kɹija,Verbs,Action,0.5,0.0,0.05,0.075,0.875,0.05,1,0.95330065,loan
119,,শ্রীবৃক্ষ,শ্রী,ʃribɽikkʰɔ,xɹi,Srivriksha,Mr.,0.9,0.7777777777777778,0.625,0.7129629629629629,5.402777777777778,0.7013888888888888,5,0.9455856,loan
120,,রাষ্ট্র,ৰাষ্ট্ৰ,raʃʈrɔ,ɹaxtɹɔ,State,The State,0.6666666666666666,0.1666666666666666,0.0868055555555555,0.1180555555555555,1.5208333333333333,0.0868055555555555,2,0.9506793,loan
121,,মূত্র,মূত,mut̪rɔ,mut,Urine,Urine,0.5,0.4,0.3541666666666667,0.4083333333333334,2.95,0.4083333333333334,2,0.95660925,loan
122,,ধোঁয়া,ধোঁৱা,d̪ʱõe̯a,dʰʊ̃wa,Smoke,smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,2,0.9416976,loan
123,,বিলাই,বিলৈ,bilai,bilɔɪ,distribute,to the b,0.4,0.0,0.0416666666666666,0.0416666666666666,0.4,0.0416666666666666,2,0.95123625,loan
124,,বাঙ্গালী,বঙালী,baŋɡali,bɔŋali,Bengali,Bengali,0.2857142857142857,0.1428571428571428,0.1517857142857142,0.1666666666666666,1.2857142857142858,0.1666666666666666,3,0.9301989,loan
125,,সকল,সকলো,ʃɔkɔlɔ,xɔkɔlʊ,All,everything,0.3333333333333333,0.1666666666666666,0.03125,0.0347222222222222,0.3541666666666667,0.03125,1,0.92844653,loan
126,,পোলা,পোনা,pola,pʊna,Pola,Pona,0.5,0.25,0.0520833333333333,0.0520833333333333,0.6875,0.0520833333333333,1,0.9531969,loan
127,,আঁডু,আঁঠু,ãɖu,ãtʰu,Andu,knee,0.5,0.0,0.0416666666666666,0.0416666666666666,0.3333333333333333,0.0416666666666666,1,0.9622775,loan
128,,ক্যা,কি,kæ,ki,Kya,What?,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,3,0.9349066,loan
129,,একলা,আক,ekɔla,ak,Alone,Let's go,0.8,0.6,0.55,0.6083333333333334,4.45,0.6083333333333334,3,0.969677,loan
130,,আগুন,আগুনি,aɡun̪,aguni,Fire,Fire,0.4,0.5,0.2604166666666667,0.3020833333333333,3.6875,0.2604166666666667,1,0.9588841,loan
131,,বোন,ভনী,bon̪,bʰɔni,Sister,Sister,0.6,0.25,0.2552083333333333,0.28125,2.0,0.28125,3,0.962495,loan
132,,কালি,কলা,kali,kɔla,yesterday,Banana,0.5,0.0,0.0625,0.0625,0.6875,0.0625,2,0.9762616,loan
133,,মিষ্টি,মিঠা,miʃʈi,mitʰa,Sweet,sweet,0.6,0.2,0.2166666666666666,0.2333333333333333,1.8,0.2333333333333333,4,0.9790056,loan
134,,কেলা,কল,kela,kɔlɔ,The banana,Call,0.5,0.0,0.0729166666666666,0.0729166666666666,0.75,0.0729166666666666,2,0.9631938,loan
135,,সাঁঝ,সন্ধিয়া,ʃãd͡ʑʱɔ,xɔndʰija,Evening,evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,7,0.9317777,loan
136,,দশ,দহ,d̪ɔʃɔ,dɔɦɔ,Ten,ten,0.4,0.25,0.046875,0.0520833333333333,0.78125,0.046875,1,0.96560466,loan
137,,দ্বার,দুৱাৰ,d̪ar,duwaɹ,The door,The door,0.6,0.4,0.4,0.4583333333333333,3.65,0.4416666666666667,3,0.91951084,loan
138,,কর্ণ,কাণ,kɔrnɔ,kan,Ears,ear,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,2,0.9616471,loan
139,,মাংস,মঙহ,maŋʃɔ,mɔŋɔɦɔ,Meat,Meat,0.5,0.3333333333333333,0.2013888888888888,0.2222222222222222,1.9791666666666667,0.21875,3,0.95169157,loan
140,,মঙ্গলবার,মঙলবাৰ,mɔŋɡɔlɔbar,mɔŋɔlɔbaɹ,Tuesday,It's Tuesday,0.2,0.1,0.10625,0.125,1.075,0.1166666666666666,3,0.89028466,loan
141,,গোলন্দাজ,গুলী,ɡolɔn̪d̪ad͡ʑ,guli,Gunner,The bullet,0.9166666666666666,0.625,0.5885416666666666,0.6458333333333333,4.78125,0.6458333333333333,6,0.9758332,loan
142,,চাঁদ,চন্দ্ৰ,t͡ɕãd̪ɔ,sɔndɹɔ,The moon,moon,0.7142857142857143,0.6666666666666666,0.3819444444444444,0.4097222222222222,3.2916666666666665,0.4097222222222222,4,0.96112055,loan
143,,গোলন্দাজ,গোল,ɡolɔn̪d̪ad͡ʑ,gʊl,Gunner,Round,0.9166666666666666,0.75,0.6901041666666666,0.7604166666666666,5.53125,0.7604166666666666,5,0.9758332,loan
144,,ঠেং,টকা,ʈʰeŋ,tɔka,The tail,Money,1.0,0.5,0.3072916666666667,0.3333333333333333,3.0,0.3333333333333333,3,0.9719317,loan
145,,বিষ,বিহ,biʃ,biɦ,Poison,poison,0.3333333333333333,0.3333333333333333,0.0486111111111111,0.0555555555555555,0.9583333333333334,0.0486111111111111,1,0.946327,loan
146,,আগুন,অগ্নি,aɡun̪,ɔgni,Fire,Fire,0.8,0.5,0.3697916666666666,0.3958333333333333,3.78125,0.390625,3,0.9553058,loan
147,,টাং,ঠেং,ʈaŋ,tʰɛŋ,Tang,The tail,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5,0.0555555555555555,2,0.9612434,loan
148,,কলা,কালি,kɔla,kali,Banana,yesterday,0.5,0.0,0.0625,0.0625,0.6875,0.0625,2,0.9841851,loan
149,,রউন,লহুন,run̪,lɔɦun,Rune,Blood,0.8,0.4,0.3916666666666667,0.4499999999999999,3.25,0.4333333333333333,3,0.93348455,loan
150,,শিক্ষা,শিকোৱা,ʃikkʰa,xikʊwa,Education,teaching,0.5,0.5,0.2222222222222222,0.2430555555555555,2.5625,0.2395833333333333,2,0.9499319,loan
