,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
17,All languages,চান্দ,শান্ত,sandɔ,ʃan̪t̪ɔ,Chand,Cool down,0.5714285714285714,0.0,0.0416666666666666,0.0416666666666666,0.3,0.0416666666666666,2,1.6164041999999998,0.8639771938323975,0.916276514530182,0.9993495941162108,0.9979535937309264,0.9140049,0.9367286,0.99958074,0.999102,hard_negative
18,All languages,কাটা,কাঁটা,kata,kãʈa,Cut,Thorns,0.5,0.25,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,1,1.8549147,0.8830488920211792,0.8055440783500671,0.9997262358665466,0.9998821020126344,0.93382907,0.9128724,0.9998847,0.99986136,hard_negative
19,All languages,বঙহ,বাঁহ,bɔŋɔɦɔ,bãɦɔ,বংহ,Bamboo,0.5,0.5,0.3333333333333333,0.3680555555555555,2.7916666666666665,0.3680555555555555,2,3.057291,0.8368343710899353,0.6670283675193787,0.9946663379669192,0.9945711493492126,0.823648,0.7901453,0.9976411,0.9979511,synonym
20,All languages,বায়ু,পায়ু,baju,pae̯u,The wind,Anus,0.6,0.0,0.03125,0.0416666666666666,0.28125,0.03125,1,1.1859487,0.8817099332809448,0.9189260601997375,0.996720254421234,0.9980828166007996,0.9306596,0.85654926,0.999069,0.99957573,hard_negative
21,All languages,মৈহ,ভয়,mɔɪɦ,bʱe̯ɔ,Maih,Fear,1.0,0.75,0.3177083333333333,0.34375,3.625,0.34375,3,3.4723425000000003,0.9024929404258728,0.727642297744751,0.995166838169098,0.9940900206565856,0.937099,0.8171737,0.99817055,0.9978598,random
22,All languages,সন্ধিয়া,সন্ধ্যা,xɔndʰija,ʃɔn̪d̪ʱæ,evening,Evening,0.75,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.4107142857142856,0.3244047619047618,2,-0.16559216,0.9171110987663268,0.8175927400588989,0.998341143131256,0.9996277093887328,0.93400526,0.90107167,0.9991588,0.99970406,synonym
23,All languages,যুদ্ধ,বুদ্ধ,zuddʰɔ,bud̪d̪ʱɔ,War,Buddha,0.5,0.2,0.0541666666666666,0.0583333333333333,0.575,0.0541666666666666,1,-0.3840704,0.8103408813476562,0.9200270771980286,0.9987014532089232,0.9992561340332032,0.87256014,0.93141824,0.9991785,0.9996006,hard_negative
24,All languages,গু,মু,gu,mu,Gu,Mu,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,-7.4810295,0.8666781783103943,0.8673340678215027,0.9997078180313108,0.9990814924240112,0.89571667,0.890297,0.99977374,0.99935275,hard_negative
25,All languages,চিন্তা,শান্ত,sinta,ʃan̪t̪ɔ,Thoughts,Cool down,0.7142857142857143,0.0,0.0833333333333333,0.0833333333333333,0.8,0.0833333333333333,3,1.1485301,0.8912904858589172,0.846305251121521,0.9985027313232422,0.9991775155067444,0.9271467,0.8983005,0.9990687,0.9996173,hard_negative
26,All languages,আম,আমি,am,ami,Mango,I,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.18453932,0.7229614853858948,0.5815802216529846,0.9996087551116944,0.9995644688606262,0.9165313,0.9214723,0.9996978,0.99986446,hard_negative
27,All languages,যোনি,ধনী,d͡zon̪i,dʰɔni,Vagina,Rich,0.5714285714285714,0.25,0.0416666666666666,0.0416666666666666,0.3125,0.0416666666666666,3,4.376419,0.9013030529022216,0.7489091157913208,0.9993982315063475,0.9999074935913086,0.98070365,0.96519035,0.99990964,0.999924,hard_negative
28,All languages,মাসি,মৈ,maʃi,mɔɪ,Aunt,May,0.75,0.25,0.28125,0.3020833333333333,2.3125,0.3020833333333333,3,1.006977,0.86695796251297,0.7884142994880676,0.997448980808258,0.9992604851722716,0.98799163,0.97462225,0.9998919,0.9999309,synonym
29,All languages,বালক,বাল,balɔkɔ,bal,Boy,Baal,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,-1.0672582,0.8894115686416626,0.6674975752830505,0.999826967716217,0.9997400045394896,0.9659384,0.9478608,0.9999215,0.99987376,synonym
30,All languages,ঝিঙা,টেঙা,d͡ʑʱiŋa,tɛŋa,Shrimp,sour,0.7142857142857143,0.25,0.0729166666666666,0.0729166666666666,0.6875,0.0729166666666666,2,1.7327807000000002,0.9054219126701356,0.9188100695610046,0.999883472919464,0.9981483221054076,0.97873116,0.94248533,0.9999173,0.99991006,hard_negative
31,All languages,গোলন্দাজ,উপন্যাস,ɡolɔn̪d̪ad͡ʑ,upniax,Gunner,Novel,0.8333333333333334,0.5,0.3411458333333333,0.3802083333333333,4.0,0.3671874999999999,5,6.156552,0.6377229690551758,0.7999736070632935,0.9990184307098388,0.9985660910606384,0.9780497,0.954527,0.9997201,0.9998342,random
32,All languages,পোলা,ব্যাকৰণ,pola,biakɔɹɔnɔ,Pola,Grammar,1.0,0.5555555555555556,0.5416666666666666,0.5972222222222223,4.5,0.5972222222222223,6,9.209542,0.8281235098838806,0.6860128045082092,0.9968940615653992,0.9987374544143676,0.9765022,0.96025753,0.9998349,0.99990815,random
33,All languages,ঝিঙা,ছিঙা,d͡ʑʱiŋa,siŋa,Shrimp,The tear,0.5714285714285714,0.25,0.0625,0.0625,0.75,0.0625,1,1.5026506000000002,0.9421021938323976,0.7407177686691284,0.9993388652801514,0.9983934760093688,0.9807781,0.95554817,0.999856,0.99983513,hard_negative
34,All languages,ফণী,ফণি,ɸɔni,pʰɔni,comb,Fani,0.4,0.0,0.0260416666666666,0.03125,0.34375,0.0260416666666666,1,3.3115482000000003,0.935258686542511,0.7595092654228209,0.99876868724823,0.9972262382507324,0.984131,0.9378759,0.9998715,0.9999109,hard_negative
35,All languages,অক্ষি,অক্ষ,okkʰi,ɔkʰjɔ,Eye,Axis,0.8,0.25,0.125,0.125,2.0625,0.125,1,1.4679308,0.8837002515792847,0.9301985502243042,0.9973250031471252,0.9988718628883362,0.9843889,0.9618484,0.99986124,0.999787,synonym
36,All languages,টেহা,দেহা,ʈeɦa,dɛɦa,Teha,The body,0.5,0.0,0.03125,0.03125,0.25,0.03125,1,4.0258207000000015,0.9633740782737732,0.8608955144882202,0.9949309229850768,0.9991090893745422,0.9840347,0.9588803,0.9997765,0.9998486,hard_negative
37,All languages,টাকা,চাকা,ʈaka,saka,Money,The wheel,0.25,0.0,0.0208333333333333,0.0208333333333333,0.375,0.0208333333333333,1,0.5410093,0.9000618457794191,0.7300836443901062,0.9986689686775208,0.9996636509895324,0.98129994,0.9528458,0.99988014,0.9998421,hard_negative
38,All languages,নাই,নাও,n̪ai,naʊ,"No, it's not",Take it,0.5,0.0,0.0555555555555555,0.0555555555555555,0.5,0.0555555555555555,1,3.0184517000000004,0.9530373811721802,0.6430798768997192,0.9995318055152892,0.9998016953468324,0.9857695,0.94423485,0.9998189,0.9998917,hard_negative
39,All languages,লাউ,গাউ,lau,gau,Lau,Cow,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.63409066,0.8118494153022766,0.85772705078125,0.9979680180549622,0.9991794228553772,0.9728701,0.9568714,0.9997206,0.9999499,hard_negative
40,All languages,কালি,খালী,kali,kʰali,yesterday,empty,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,2,4.6350994000000005,0.9028730392456056,0.6504243612289429,0.9969136118888856,0.9990589022636414,0.9771611,0.96347964,0.99927086,0.9998372,hard_negative
41,All languages,উট,উদং,uʈɔ,udɔŋ,The camel,Naked,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0,0.2708333333333333,2,3.0422516,0.8879413604736328,0.7059077620506287,0.9920010566711426,0.9990389347076416,0.9870552,0.97003984,0.9993768,0.9998232,hard_negative
42,All languages,পিন্ধা,বিন্ধা,pin̪d̪ʱa,bindʰa,wear,Bindha,0.5,0.0,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,1,-2.0897665,0.9567216038703918,0.9229412078857422,0.9976688623428344,0.9990233182907104,0.98813605,0.97402585,0.99991316,0.99992466,hard_negative
