,loan_word,original_word,loan_word_epitran,original_word_epitran,Fast Levenshtein,Dolgo Prime Distance,Feature Edit Distance,Hamming Feature Distance,Weighted Feature Distance,Fast Levenshtein Distance Div Maxlen,xlm_cos_similarity,mbert_cos_similarity
3604,सभ्य,نفیس,səb̤jə,nfjs,0.8333333333333334,0.5,0.2534722222222222,0.2847222222222223,3.395833333333333,0.8333333333333334,0.8201597332954407,0.6574650406837463
3658,उदाहरण,مثال,udaːɦrəɳ,msɒl,1.0,0.5,0.4140625000000001,0.46875,3.921875,1.0,0.7570127248764038,0.7998427748680115
3730,स्पष्ट,واضح,spəʂʈə,vɒzh,1.0,0.5,0.37847222222222215,0.4166666666666667,3.583333333333333,1.0,0.7267916202545166,0.6407291293144226
3752,शानदार,عجیب,ʃaːndaːr,ʔd͡ʒjb,1.0,0.75,0.3307291666666667,0.375,3.609375,1.0,0.8357855677604675,0.6070595383644104
3772,आश्चर्यजनक,استثنایی,aːʃt͡ʃərjəd͡ʒnək,ɒstsnɒjj,0.875,0.5,0.25,0.27604166666666663,2.7109375,0.875,0.7252817153930664,0.606323778629303
3790,निर्माण,ساختن,nirmaːɳ,sɒxtn,1.0,0.5714285714285714,0.2559523809523809,0.29166666666666663,3.125,1.0,0.7152257561683655,0.6168311834335327
3852,धोखे,دروغ,d̤okʰe,drvɣ,0.8333333333333334,0.5,0.1527777777777778,0.1875,2.958333333333333,0.8333333333333334,0.6913321018218994,0.6131739020347595
3972,नश्वर,مخرب,nəʃvər,mxrb,1.0,0.8333333333333334,0.3993055555555556,0.4722222222222223,4.4375,1.0,0.7263457179069519,0.6041670441627502
3998,नपुंसक,نحیف,nəpunsək,nhjf,0.875,0.875,0.5130208333333334,0.5729166666666667,4.765625,0.875,0.7240175604820251,0.6626244783401489
4223,मना,مانع,mənaː,mɒnʔ,0.6,0.2,0.08333333333333334,0.09166666666666666,1.225,0.6,0.7000054717063904,0.6706807017326355
4243,धैर्य,عزم,d̤æːrjə,ʔzm,1.0,0.5714285714285714,0.35416666666666663,0.3988095238095238,3.9107142857142856,1.0,0.6882824897766113,0.617843747138977
4251,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
4255,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
4260,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
4264,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
4297,वीरता,عزم,viːrtaː,ʔzm,1.0,0.42857142857142855,0.3511904761904762,0.3988095238095238,3.75,1.0,0.7763028144836426,0.6008622050285339
4357,भाग,قسمت,b̤aːɡ,ɣsmt,1.0,0.8,0.3375,0.375,3.925,1.0,0.8326050043106079,0.6772481799125671
4404,नकली,نادرست,nəkliː,nɒdrst,0.8333333333333334,0.5,0.2847222222222222,0.3263888888888889,3.4375,0.8333333333333334,0.7707468271255493,0.601751446723938
4423,कुटिल,کج,kuʈil,kd͡ʒ,0.8,0.8,0.5666666666666667,0.625,4.55,0.8,0.7078129649162292,0.6265926361083984
4431,कपटी,کج,kəpʈiː,kd͡ʒ,0.8333333333333334,0.6666666666666666,0.46875,0.5208333333333334,3.7916666666666665,0.8333333333333334,0.7457591891288757,0.6362823843955994
4446,अर्थव्यवस्था,اقتصاد,artʰəvjəvstʰaː,ɒɣtsɒd,0.8571428571428571,0.5,0.375,0.4196428571428571,3.2053571428571432,0.8571428571428571,0.7405281662940979,0.6834470629692078
4478,व्यर्थ,عقیم,vjərtʰə,ʔɣjm,1.0,0.5714285714285714,0.3720238095238095,0.4226190476190476,4.517857142857143,1.0,0.7656217217445374,0.6285263895988464
4496,अप्रभावी,عقیم,aprəb̤aːviː,ʔɣjm,1.0,0.6363636363636364,0.3901515151515152,0.4431818181818182,3.886363636363636,1.0,0.765770673751831,0.620902419090271
4708,लापरवाह,راش,laːprəvaːɦ,rɒʃ,0.9,0.6,0.4791666666666666,0.5291666666666667,3.95,0.9,0.698090672492981,0.6097472906112671
4720,लापरवाह,راش,laːprəvaːɦ,rɒʃ,0.9,0.6,0.4791666666666666,0.5291666666666667,3.95,0.9,0.698090672492981,0.6097472906112671
4732,लापरवाह,راش,laːprəvaːɦ,rɒʃ,0.9,0.6,0.4791666666666666,0.5291666666666667,3.95,0.9,0.698090672492981,0.6097472906112671
4743,नास्तिक,ناسازگار,naːstik,nɒsɒzɡɒr,0.875,0.375,0.3098958333333333,0.3489583333333333,3.078125,0.875,0.6988542079925537,0.6656211614608765
5038,लापरवाह,راش,laːprəvaːɦ,rɒʃ,0.9,0.6,0.4791666666666666,0.5291666666666667,3.95,0.9,0.698090672492981,0.6097472906112671
5050,लापरवाह,راش,laːprəvaːɦ,rɒʃ,0.9,0.6,0.4791666666666666,0.5291666666666667,3.95,0.9,0.698090672492981,0.6097472906112671
5086,तूफ़ानी,طوفانی,tuːfaːniː,tvfɒnj,0.6666666666666666,0.2222222222222222,0.06712962962962964,0.0787037037037037,1.4305555555555556,0.6666666666666666,0.7557780146598816,0.6574851870536804
5213,योजना,طرح,jod͡ʒnaː,trh,1.0,0.625,0.296875,0.33854166666666663,3.015625,1.0,0.7476387023925781,0.6098077297210693
5285,सावधान,متفکر,saːvd̤aːn,mtfkr,1.0,0.5555555555555556,0.22685185185185186,0.25925925925925924,2.9722222222222223,1.0,0.7561483979225159,0.6469479203224182
5297,युवा,جوان,juvaː,d͡ʒvɒn,0.8333333333333334,0.5,0.2152777777777778,0.2500000000000001,3.7708333333333335,0.8333333333333334,0.7723645567893982,0.6099414825439453
5301,युवा,جوان,juvaː,d͡ʒvɒn,0.8333333333333334,0.5,0.2152777777777778,0.2500000000000001,3.7708333333333335,0.8333333333333334,0.7723645567893982,0.6099414825439453
5329,युवा,جوان,juvaː,d͡ʒvɒn,0.8333333333333334,0.5,0.2152777777777778,0.2500000000000001,3.7708333333333335,0.8333333333333334,0.7723645567893982,0.6099414825439453
5354,संबंध,رابطه,səmbənd̤ə,rɒbth,0.8888888888888888,0.5555555555555556,0.3657407407407408,0.4120370370370369,3.5416666666666665,0.8888888888888888,0.8728033304214478,0.6326456665992737
5464,सार्थक,سودآور,saːrtʰək,svdɒvr,0.875,0.5,0.1927083333333333,0.2395833333333333,2.984375,0.875,0.7093724608421326,0.6219042539596558
5539,मनोरंजन,شوخی,mənorəɲd͡ʒən,ʃvxj,1.0,0.75,0.5208333333333334,0.5833333333333333,4.916666666666667,1.0,0.7053688764572144,0.6426941752433777
5574,हंसी,خنده,ɦənsiː,xndh,0.8333333333333334,0.5,0.2326388888888889,0.2569444444444445,2.895833333333333,0.8333333333333334,0.7398569583892822,0.6066110730171204
5627,निराशाजनक,ناراضی,niraːʃaːd͡ʒnək,nɒrɒzj,0.8571428571428571,0.35714285714285715,0.3005952380952381,0.3303571428571428,2.633928571428572,0.8571428571428571,0.6849589943885803,0.6375437378883362
5927,तेज,تند,ted͡ʒ,tnd,0.6,0.4,0.07916666666666666,0.09166666666666666,1.55,0.6,0.7494756579399109,0.6666311621665955
5948,कोई नहीं,هیچ یک,koiː nəɦiːn,hjt͡ʃ jk,1.0,0.6363636363636364,0.3295454545454545,0.3636363636363637,3.636363636363636,1.0,0.8420332074165344,0.6362020373344421
6241,विकृत,عبوس,vikr̩t,ʔbvs,1.0,0.6666666666666666,0.2847222222222222,0.3263888888888889,3.520833333333333,1.0,0.7986886501312256,0.6096404790878296
6411,बेदाग,باکره,bedaːɡ,bɒkrh,0.8333333333333334,0.5,0.14583333333333334,0.17361111111111108,2.4375,0.8333333333333334,0.7612714171409607,0.6744285225868225
6417,पुरे,باکره,pure,bɒkrh,0.8,0.4,0.2458333333333333,0.275,2.725,0.8,0.7899543642997742,0.614902675151825
6544,विशाल,وسیع,viʃaːl,vsjʔ,0.8333333333333334,0.3333333333333333,0.25,0.2777777777777777,2.833333333333333,0.8333333333333334,0.8165179491043091,0.6024655699729919
6743,सावधान,عاقل,saːvd̤aːn,ʔɒɣl,1.0,0.5555555555555556,0.2800925925925926,0.3055555555555556,2.9444444444444446,1.0,0.7755957841873169,0.6035221219062805
6911,चमकदार,خوشحال,t͡ʃəmkədaːr,xvʃhɒl,0.9090909090909092,0.4545454545454545,0.2575757575757576,0.2916666666666667,2.8409090909090913,0.9090909090909092,0.7462166547775269,0.6472818851470947
6951,शानदार,خوشحال,ʃaːndaːr,xvʃhɒl,1.0,0.5,0.1484375,0.17187499999999994,2.6875,1.0,0.7017911672592163,0.6034043431282043
7107,आदर,احترام,aːdər,ɒhtrɒm,1.0,0.5,0.3819444444444445,0.4444444444444445,3.520833333333333,1.0,0.8556472659111023,0.6407262086868286
7545,शुष्क,عقیم,ʃuʂkə,ʔɣjm,1.0,1.0,0.3625,0.4,5.525,1.0,0.8424515724182129,0.6183450818061829
7554,व्यर्थ,عقیم,vjərtʰə,ʔɣjm,1.0,0.5714285714285714,0.3720238095238095,0.4226190476190476,4.517857142857143,1.0,0.7656217217445374,0.6285263895988464
7692,अतिरेक,اضافی,atirek,ɒzɒfj,1.0,0.5,0.2743055555555555,0.31249999999999994,3.145833333333333,1.0,0.8594890236854553,0.6576057076454163
7694,अतिरेक,اضافی,atirek,ɒzɒfj,1.0,0.5,0.2743055555555555,0.31249999999999994,3.145833333333333,1.0,0.8594890236854553,0.6576057076454163
7813,अस्थायी,مختصر,astʰaːjiː,mxtsr,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.25925925925925924,3.208333333333333,0.8888888888888888,0.6982884407043457,0.6141049861907959
7859,स्पष्ट,واضح,spəʂʈə,vɒzh,1.0,0.5,0.37847222222222215,0.4166666666666667,3.583333333333333,1.0,0.7267916202545166,0.6407291293144226
7873,स्पष्ट,واضح,spəʂʈə,vɒzh,1.0,0.5,0.37847222222222215,0.4166666666666667,3.583333333333333,1.0,0.7267916202545166,0.6407291293144226
7919,कोई नहीं,هیچ یک,koiː nəɦiːn,hjt͡ʃ jk,1.0,0.6363636363636364,0.3295454545454545,0.3636363636363637,3.636363636363636,1.0,0.8420332074165344,0.6362020373344421
8149,सफलता,تحقق,səpʰlətaː,thɣɣ,1.0,0.5555555555555556,0.3773148148148149,0.4212962962962963,3.861111111111111,1.0,0.7568632960319519,0.6612547636032104
8150,सफलता,موفقیت,səpʰlətaː,mvfɣjt,0.8888888888888888,0.5555555555555556,0.21990740740740736,0.25,3.2222222222222223,0.8888888888888888,0.8317462801933289,0.7580353021621704
8152,सफलता,دستاورد,səpʰlətaː,dstɒvrd,1.0,0.4444444444444444,0.1921296296296296,0.2314814814814815,3.5694444444444446,1.0,0.7163934707641602,0.6393937468528748
8157,प्राप्ति,تحقق,praːpti,thɣɣ,1.0,0.7142857142857143,0.3541666666666667,0.4047619047619047,3.5178571428571432,1.0,0.7246077060699463,0.6956849098205566
8293,बुरा,بدخواه,buraː,bdxvɒh,0.8333333333333334,0.6666666666666666,0.4131944444444444,0.4722222222222222,4.645833333333333,0.8333333333333334,0.6823218464851379,0.6199267506599426
8412,नाराज़गी,ناراحتی,naːraːzɡiː,nɒrɒhtj,0.8,0.3,0.07916666666666666,0.0875,1.1625,0.8,0.7558473348617554,0.626990795135498
