,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
11,,নাম,ইনাম,nam,in̪am,Name,Reward,0.4,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.92015845,0.7406213,0.9987374,0.9996663,hard_negative
12,,বেল,বলা,bɛl,bɔla,Bell,To say,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,2,0.8863878,0.73958045,0.99982816,0.99978,hard_negative
13,,পুষ্প,পুষ্পক,puxpɔ,puʃpɔkɔ,Flowers,Flower,0.4285714285714285,0.4285714285714285,0.2767857142857143,0.3095238095238096,2.3035714285714284,0.3065476190476189,1,0.97640026,0.9314927,0.999249,0.999535,synonym
14,,হিয়া,শিয়া,ɦija,ʃie̯a,Heart,Shia,0.6,0.25,0.0572916666666666,0.0729166666666666,0.9375,0.0572916666666666,1,0.965063,0.9024211,0.99945545,0.99944067,hard_negative
15,,দুই,মুই,dui,mui,Two,Mui,0.3333333333333333,0.3333333333333333,0.0625,0.0694444444444444,1.2083333333333333,0.0625,1,0.8140259,0.69976556,0.9990851,0.9993943,hard_negative
16,,অক্ষ,অক্ষি,ɔkʰjɔ,okkʰi,Axis,Eye,0.8,0.25,0.125,0.125,2.0625,0.125,1,0.9245309,0.92120135,0.9995475,0.9994565,synonym
17,,বহুত,বহঁত,bɔɦut̪,bɔɦɔ̃tɔ,lot,A lot,0.4285714285714285,0.1666666666666666,0.1840277777777778,0.2013888888888888,1.5416666666666667,0.2013888888888888,1,0.9707744,0.95200086,0.9997115,0.9998582,hard_negative
18,,কে,কল,ke,kɔlɔ,Who,Call,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.9581642,0.90627706,0.999642,0.9999161,synonym
19,,গু,চু,ɡu,su,Gu,Chu,0.5,0.5,0.1354166666666666,0.1458333333333333,1.6875,0.1354166666666666,1,0.9841943,0.9649469,0.9999012,0.9999295,hard_negative
20,,অনুবাদ,অনুবাদক,on̪ubad̪,ɔnubadɔkɔ,Translation,Translator,0.5555555555555556,0.3333333333333333,0.3125,0.3472222222222222,2.5,0.3472222222222222,1,0.9764626,0.94095355,0.99981177,0.99969435,hard_negative
21,,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.95252794,0.9472436,0.999952,0.99985385,synonym
22,,আম,উম,am,um,Mango,Um,0.5,0.0,0.1041666666666666,0.1041666666666666,1.25,0.1041666666666666,1,0.98473483,0.9647791,0.99983025,0.9999428,hard_negative
23,,বোন,বন,bon̪,bɔnɔ,Sister,Forest,0.5,0.25,0.2447916666666666,0.2708333333333333,1.9375,0.2708333333333333,1,0.9876695,0.9637522,0.9998195,0.9999267,hard_negative
24,,ঝিঙা,ছিঙা,d͡ʑʱiŋa,siŋa,Shrimp,The tear,0.5714285714285714,0.25,0.0625,0.0625,0.75,0.0625,1,0.9807781,0.95554817,0.999856,0.99983513,hard_negative
25,,গুফা,গুহা,ɡuɸa,guɦa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.9772036,0.9543132,0.99983275,0.999863,synonym
26,,মুখ,মাখ,mukʰ,makʰ,Face,Makh,0.25,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,1,0.98512197,0.96221584,0.9998528,0.9999526,hard_negative
27,,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.95252794,0.9472437,0.99995196,0.99985385,synonym
28,,অক্ষি,অক্ষ,okkʰi,ɔkʰjɔ,Eye,Axis,0.8,0.25,0.125,0.125,2.0625,0.125,1,0.9843889,0.9618484,0.99986124,0.999787,synonym
29,,বাজ,বাট,bad͡ʑ,bat,Lightning,The road,0.6,0.3333333333333333,0.0694444444444444,0.0694444444444444,0.6666666666666666,0.0694444444444444,1,0.9927141,0.9780152,0.99991256,0.99993104,hard_negative
30,,বান,বাঘ,ban̪,bagʱ,The flood,Tiger,0.5,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.9836955,0.9646554,0.9999074,0.99976724,random
31,,ঘাম,পাণ,gʱam,pan,Sweat,Pan,0.75,0.6666666666666666,0.3333333333333333,0.375,2.7916666666666665,0.3680555555555556,2,0.97488886,0.9385047,0.99993235,0.99973553,random
32,,গুফা,গুহা,ɡuɸa,guɦa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.9772036,0.9543133,0.99983275,0.99986315,synonym
33,,তামা,ঘামা,t̪ama,gʱama,Copper,Sweat,0.4,0.25,0.2291666666666666,0.25,1.8125,0.25,1,0.98660654,0.97511697,0.9999344,0.999921,hard_negative
34,,পাণ,পাং,pan,paŋ,Pan,Pang,0.3333333333333333,0.0,0.0625,0.0694444444444444,0.7083333333333334,0.0625,1,0.9873819,0.96599156,0.99994105,0.99994385,hard_negative
35,,টাং,জাং,ʈaŋ,zaŋ,Tang,Thigh,0.3333333333333333,0.0,0.0416666666666666,0.0416666666666666,0.5833333333333334,0.0416666666666666,1,0.9917325,0.97676086,0.99981594,0.99992627,hard_negative
36,,ঠেং,ৰাং,ʈʰeŋ,ɹaŋ,The tail,Rang,0.75,0.3333333333333333,0.1388888888888889,0.1388888888888889,2.6666666666666665,0.1388888888888889,2,0.9889993,0.97923565,0.9999082,0.9999503,random
