,Unnamed: 0,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0.1.1,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
10,10,730,campagnol,campagnol,campagnol*,kɑ̃paɲɔl,vole,vole,0.7,0.25,0.1536458333333333,0.171875,1.359375,0.1666666666666666,0,loan,1,,1.0751745000000001,0.9999997615814209,1.0
11,11,6453,aspirant,historiette,ˈæspərənt,istɔʀjɛt,aspirant,historiette,0.7777777777777778,0.375,0.1041666666666666,0.1302083333333333,1.796875,0.1041666666666666,8,hard_negative,0,,-7.4917603,0.36389923095703125,0.7724592685699463
12,12,2711,neuroleptic,neuroleptique,neuroleptic*,nœʀɔlɛptik,neuroleptic,neuroleptic,0.5833333333333334,0.1818181818181818,0.11553030303030301,0.1325757575757576,0.9886363636363636,0.125,3,loan,1,,4.9486713,0.8226378560066223,0.9130807518959045
13,13,2807,oxygen,oxygène,ˈɑksɪʤən,ɔɡziʒə̀n,oxygen,oxygen,0.875,0.1428571428571428,0.1696428571428571,0.1845238095238095,1.3571428571428572,0.18154761904761899,2,loan,1,,-1.7332397000000002,0.5754056572914124,0.7792040705680847
14,14,2602,pourboire,acerbité,pourboire*,azɛʀbite,tip,acerbity,0.7,0.4444444444444444,0.2361111111111111,0.2777777777777778,3.5,0.2476851851851851,6,hard_negative,0,,-14.3106365,0.3220148980617523,0.7566680312156677
15,15,9637,amatrice,kamagraphie,amatrice*,kamaɡʀafi,amateur,kamography,0.7777777777777778,0.3333333333333333,0.1782407407407407,0.2037037037037037,1.7361111111111112,0.1898148148148148,6,hard_negative,0,,-5.353134,0.4618980586528778,0.49894630908966064
16,16,1666,enguiché,enguiché,enguiché*é,ɑ̃ɡɥiʃe,hooked,hooked,0.9,0.6666666666666666,0.3046875,0.34375,3.25,0.3307291666666666,0,loan,1,,6.940383,0.9999997019767761,1.0
17,17,8852,shako,tricot,shako*,tʀiko,Garage,knitting,0.6666666666666666,0.0,0.0458333333333333,0.05,0.6,0.0458333333333333,5,hard_negative,0,,-3.6917733999999998,0.46230775117874146,0.7066499590873718
18,18,2076,gorgière,gorgière,gorgière*,ɡɔʀʒjə̀ʀ,gorget,gorget,1.0,0.4285714285714285,0.2797619047619047,0.3511904761904762,4.125,0.2946428571428571,0,loan,1,,5.406312000000001,0.9999997019767761,1.0
19,19,482,brunette,arbitragiste,bruˈnɛt,aʀbitʀaʒist,brunette,arbitrageurs,0.8181818181818182,0.5454545454545454,0.4696969696969697,0.5227272727272726,4.1477272727272725,0.5151515151515151,8,random,0,853.0,-19.872707000000002,0.37550967931747437,0.6518546938896179
20,20,380,bliaut,feminine,bliaut*,fəminin,blues,feminine,1.0,0.5714285714285714,0.255952380952381,0.2857142857142857,3.2857142857142856,0.2708333333333333,7,random,0,663.0,-12.193634,0.3188563585281372,0.6728370189666748
21,21,260,abnormal,anormal,æbˈnɔrməl,anɔʀmal,abnormal,abnormal,0.5555555555555556,0.125,0.1484375,0.171875,1.296875,0.1614583333333333,1,synonym,0,,-4.464582,0.700094997882843,0.6240947246551514
22,22,1821,fasciation,fasciation,fasciation*,fasjasjɔ̃,fasciation,fasciation,0.6363636363636364,0.4,0.2104166666666666,0.2375,2.1,0.2291666666666666,0,loan,1,,3.8535742999999996,0.9999997615814209,1.0
23,23,1713,equipollent,équipollent,equipollent*,ekipɔlɑ̃,equipollent,equipollent,0.6666666666666666,0.3636363636363636,0.3522727272727272,0.3863636363636363,2.8636363636363638,0.384469696969697,1,loan,1,,7.572092,0.4450742304325104,0.7743682861328125
24,24,2798,outremer,outremer,outremer*,utʀəməʀ,outremer,outremer,0.6666666666666666,0.125,0.1744791666666666,0.2083333333333333,1.5625,0.1875,0,loan,1,,5.197322,0.9999997615814209,1.0
25,25,2834,pantaloons,pantalon,ˈpæntəˌlunz,pɑ̃talɔ̃,pantaloons,trousers,0.7272727272727273,0.3333333333333333,0.34953703703703703,0.3796296296296296,2.888888888888889,0.3773148148148148,2,loan,1,,6.9466715,0.849845290184021,0.7208390235900879
26,26,10845,pulsion,voulgier,pulsion*,vulʒjəʀ,drive,voulgier,0.75,0.2857142857142857,0.0922619047619047,0.1071428571428571,1.2678571428571428,0.0922619047619047,5,hard_negative,0,,-3.9110794,0.4334239661693573,0.6236202120780945
27,27,2139,gypse,gypse,gypse*,ʒips,gypsum,gypsum,0.6666666666666666,0.5,0.2760416666666667,0.3229166666666667,3.875,0.2760416666666667,0,loan,1,,0.90916026,0.9999996423721313,1.0
28,28,1732,espadrille,espadrille,espadrille*,ɛspadʀij,espadrille,espadrille,0.5454545454545454,0.2,0.2166666666666666,0.2458333333333333,1.95,0.2333333333333333,0,loan,1,,2.4132211,0.9999997019767761,1.0
29,29,2790,orvietan,orviétan,orvietan*,ɔʀvjetɑ̃,orvietan,orvieto,0.6666666666666666,0.25,0.1640625,0.1927083333333333,1.625,0.1744791666666666,1,loan,1,,3.7365339,0.7095067501068115,0.7686145901679993
30,30,1433,detour,détour,ˈditʊr,detuʀ,detour,detour,0.6666666666666666,0.0,0.0583333333333333,0.075,0.625,0.0583333333333333,1,loan,1,,-1.1799896,0.6197324395179749,0.781680166721344
31,31,851,chadon beni,chardon béni,chadon* ˈbɛni,ʃaʀdɔn beni,chadon me,blessed thistle,0.5384615384615384,0.3,0.0666666666666666,0.0791666666666666,1.3375,0.0666666666666666,2,loan,1,,-8.128281,0.6715267300605774,0.48184260725975037
32,32,1276,cuisse,cuisse,cuisse*,kɥis,thigh,thigh,0.7142857142857143,0.6666666666666666,0.3298611111111111,0.3680555555555555,3.0,0.3611111111111111,0,loan,1,,6.894249,0.9999995231628418,1.0
33,33,2485,maquis,maquis,maquis*,maki,maquis,maquis,0.5714285714285714,0.3333333333333333,0.3090277777777777,0.3402777777777778,2.5,0.3402777777777778,0,loan,1,,4.269493,0.9999996423721313,1.0
34,34,945,chevrotain,chevrotain,chevrotain*,ʃɛvʀɔtɛ̃,chevrotain,chevrotain,0.8181818181818182,0.4,0.31875,0.3583333333333333,2.75,0.3479166666666667,0,loan,1,,3.60397,0.9999997019767761,1.0
35,35,84,agami,plural,agami*,plyʀal,Next,plural,1.0,0.6666666666666666,0.4270833333333333,0.4722222222222221,4.458333333333333,0.4583333333333333,6,loan,1,,2.9711607000000004,0.43135565519332886,0.27607619762420654
36,36,2608,mixte,mixte,mɪkst,mikst,mixed,mixed,0.2,0.0,0.0083333333333333,0.0083333333333333,0.05,0.0083333333333333,0,loan,1,,3.9452455,0.9999996423721313,1.0
37,37,2958,succès de scandale,corps de garde,succès* də scandale*,kɔʀps də ɡaʀd,scandal success,guard house,0.65,0.6,0.34765625,0.3828125,3.171875,0.3776041666666666,10,hard_negative,0,,-13.702032,0.47178757190704346,0.5509935617446899
38,38,3549,tasset,tassette,tasset*,tasɛt,tasset,τάσσεττε,0.4285714285714285,0.1666666666666666,0.1597222222222222,0.1736111111111111,1.25,0.1736111111111111,2,loan,1,,2.2722838,0.7639978528022766,0.5588634610176086
39,39,770,caricaturesque,caricaturesque,caricaturesque*,kaʀikatyʀɛsk,caricaturesque,caricaturesque,0.6666666666666666,0.2857142857142857,0.1666666666666666,0.1934523809523809,1.4642857142857142,0.18154761904761899,0,loan,1,,7.978546000000001,0.9999995827674866,1.0
40,40,3174,raillery,raillerie,raillery*,ʀeləʀi,raillery,mockery,0.8888888888888888,0.25,0.2942708333333333,0.3385416666666667,2.5625,0.3177083333333333,2,loan,1,,7.6563444,0.8018273115158081,0.650757908821106
41,41,366,violent,violent,ˈvaɪələnt,vjɔlɑ̃,violent,violent,0.7777777777777778,0.5,0.375,0.4166666666666667,3.265625,0.4088541666666666,0,synonym,0,,-3.361247,0.9999996423721313,1.0
42,42,1600,embouchement,embouchement,embouchement*,ɑ̃buʃəmɑ̃,mouthing,mouthing,0.7692307692307693,0.5,0.4166666666666667,0.4618055555555556,3.552083333333333,0.4565972222222221,0,loan,1,,4.558311499999999,0.9999997019767761,1.0
43,43,2615,moi,moi,mwɑ,mwa,me,me,0.3333333333333333,0.0,0.0208333333333333,0.0277777777777777,0.25,0.0208333333333333,0,loan,1,,1.4047823,0.9999994039535522,1.0
44,44,4578,embouchement,arbitragiste,embouchement*,aʀbitʀaʒist,mouthing,arbitrageurs,0.8461538461538461,0.4166666666666667,0.171875,0.1875,2.083333333333333,0.1805555555555555,11,hard_negative,0,,-11.739246000000001,0.49619367718696594,0.7353562712669373
45,45,3037,pool,poule,pul,pul,pool,chicken,0.0,0.0,0.0,0.0,0.0,0.0,2,loan,1,,1.3175833000000001,0.36955809593200684,0.5605370998382568
46,46,111,amidin,angioténique,amidin*,ɑ̃ʒjɔtenik,amidin,angioténique,0.9,0.4444444444444444,0.3587962962962963,0.4027777777777778,3.388888888888889,0.3935185185185185,9,random,0,172.0,-5.9798665,0.39618152379989624,0.6877862811088562
47,47,642,brunoise,brunoise,brunoise*,bʀynwaz,brunoise,brunoise,0.7777777777777778,0.25,0.1744791666666666,0.203125,1.78125,0.1875,0,loan,1,,4.5353346,0.9999997019767761,1.0
48,48,1361,deglutition,déglutition,deglutition*,deɡlytisjɔ̃,deglutition,swallowing,0.5833333333333334,0.3,0.20625,0.2291666666666666,1.9125,0.225,1,loan,1,,4.366318700000001,0.8228718042373657,0.8704961538314819
49,49,3555,technique,technique,tɛkˈnik,tɛʃnik,technique,technique,0.2857142857142857,0.1666666666666666,0.03125,0.0347222222222222,0.4375,0.03125,0,loan,1,,2.3252072,0.9999995827674866,1.0
50,50,2334,lambel,lambel,lambel*,lɑ̃bəl,label,label,0.5714285714285714,0.1666666666666666,0.1805555555555555,0.2013888888888888,1.5416666666666667,0.1979166666666666,0,loan,1,,5.4528989999999995,0.9999997019767761,1.0
51,51,136,amourette,accoutrer,amourette*,akkutʀəʀ,amourette,accoutrement,0.7,0.6666666666666666,0.2754629629629629,0.3194444444444444,4.416666666666667,0.2847222222222222,6,hard_negative,0,,-7.05001,0.47678256034851074,0.8369752764701843
52,52,436,submerge,submerge,səbˈmərʤ,sybmɛʀʒ,submerge,submerge,0.625,0.1428571428571428,0.1904761904761904,0.2142857142857142,1.6964285714285714,0.2023809523809523,0,synonym,0,,-4.3840885,0.9999996423721313,1.0
53,53,1127,convivial,convivial,kənˈvɪviəl,kɔ̃vivjal,convivial,convivial,0.6,0.2222222222222222,0.1388888888888889,0.1527777777777778,1.3472222222222223,0.1481481481481481,0,loan,1,,7.271344999999999,0.9999996423721313,1.0
54,54,340,bahut,bahut,bahut*,bay,very,very,0.6666666666666666,0.4,0.3708333333333333,0.4083333333333334,3.0,0.4083333333333334,0,loan,1,,3.3716397000000002,0.999999463558197,1.0
55,55,3791,voyeur,voyeur,ˌvɔɪˈjur,vwajœʀ,voyeur,voyeur,0.75,0.1666666666666666,0.1041666666666666,0.125,1.375,0.1041666666666666,0,loan,1,,2.535154,0.9999994039535522,1.0
56,56,878,insufficient,rare,ˌɪnsəˈfɪʃənt,ʀaʀ,insufficient,rare,1.0,0.9,0.68125,0.7541666666666667,5.875,0.7416666666666667,11,synonym,0,,-11.911846,0.5199984908103943,0.7407209873199463
57,57,9825,bric-a-brac,plantigrade,bric-a-brac*,plɑ̃tiɡʀad,bric-a-brac,plantigrade,0.9166666666666666,0.3333333333333333,0.1226851851851851,0.1481481481481481,1.375,0.1226851851851851,10,hard_negative,0,,-11.035649000000001,0.45349815487861633,0.7145054340362549
58,58,175,arcature,baccalauréat,arcature*,bakkaloʀea,arcature,baccalaureate,0.7,0.5,0.25625,0.2958333333333333,2.7,0.2770833333333333,7,random,0,264.0,-4.91247,0.3440389335155487,0.7343522310256958
59,59,1387,demitasse,demi-tasse,demitasse*,dəmi-tas,demitasse,half cup,0.5,0.2222222222222222,0.2106481481481481,0.2314814814814814,1.6944444444444444,0.2314814814814814,1,loan,1,,4.378194000000001,0.5761793255805969,0.6770891547203064
60,60,525,irresistible,ouvert,ˌɪrɪˈzɪstəbəl,uvɛʀ,irresistible,open,1.0,0.6363636363636364,0.6136363636363635,0.6856060606060606,5.136363636363637,0.6799242424242423,10,synonym,0,,-7.103560400000001,0.39457640051841736,0.47445058822631836
61,61,1025,faded,pâle,ˈfeɪdɪd,pal,faded,pale,1.0,0.6666666666666666,0.4895833333333333,0.5416666666666666,4.479166666666667,0.5381944444444445,4,synonym,0,,-1.76777,0.4674230217933655,0.6092243194580078
62,62,3681,tumescence,tumescence,tumescence*,tyməsɑ̃s,tumescence,tumescence,0.7272727272727273,0.4,0.3125,0.3458333333333333,2.7375,0.34375,0,loan,1,,5.996702,0.9999997615814209,1.0
63,63,173,anecdote,anecdote,ˈænɪkˌdoʊt,anɛkdɔt,anecdote,anecdote,0.6,0.125,0.1223958333333333,0.1354166666666666,1.0,0.1354166666666666,0,loan,1,,3.2522717,0.9999995231628418,1.0
64,64,2142,habitué,habitué,habitué*é,abitɥe,used to,used to,0.5555555555555556,0.3333333333333333,0.2395833333333333,0.2708333333333333,2.1875,0.265625,0,loan,1,,3.1331656000000003,0.999999463558197,1.0
65,65,339,baguette,baguette,ˌbæˈgɛt,baɡɥɛt,baguette,baguette,0.5714285714285714,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,0,loan,1,,2.7157636000000003,0.9999996423721313,1.0
66,66,5208,macedoine,mégalomanie,macedoine*,meɡalɔmani,Macedonia,megalomania,0.9,0.3,0.1354166666666666,0.1458333333333333,1.425,0.1458333333333333,7,hard_negative,0,,-10.822649,0.5530343055725098,0.6716962456703186
67,67,1547,durant,durant,ˈdʊrənt,dyʀɑ̃,during,during,0.8571428571428571,0.3333333333333333,0.3784722222222221,0.4236111111111111,3.1875,0.40625,0,loan,1,,5.2682910000000005,0.9999986290931702,1.0
68,68,595,brassiere,brassière,brassiere*,bʀasjə̀ʀ,brassiere,brassiere,0.7,0.3333333333333333,0.2523148148148147,0.3009259259259259,2.375,0.2777777777777778,1,loan,1,,6.1096783,0.8010990023612976,0.889135479927063
69,69,282,bandage,annaliste,ˈbændɪʤ,ɑnalist,bandage,annalists,1.0,0.7142857142857143,0.3601190476190476,0.4047619047619047,4.303571428571429,0.3928571428571428,6,random,0,437.0,-20.121433,0.4454417824745178,0.7619174718856812
70,70,149,amende,amende,amende*,amɑ̃d,fine,fine,0.5714285714285714,0.3333333333333333,0.3263888888888889,0.3611111111111111,2.708333333333333,0.3576388888888888,0,loan,1,,0.6312848000000001,0.9999995827674866,1.0
71,71,1501,domestique,domestique,domestique*,dɔmɛstik,domestic,domestic,0.5454545454545454,0.2,0.1916666666666667,0.2125,1.55,0.2125,0,loan,1,,5.1770177,0.9999995827674866,1.0
72,72,509,blouson,blouson,blouson*,bluzɔ̃,jacket,jacket,0.625,0.2857142857142857,0.2767857142857143,0.3035714285714285,2.2142857142857144,0.3035714285714285,0,loan,1,,4.5997443,0.9999995827674866,1.0
73,73,828,celeste,céleste,səˈlɛst,selɛst,celeste,celestial,0.2857142857142857,0.0,0.0138888888888888,0.0138888888888888,0.125,0.0138888888888888,1,loan,1,,2.1618805,0.39652082324028015,0.6478074789047241
74,74,12,vain,seul,veɪn,sœl,vain,only,1.0,0.75,0.3177083333333333,0.3541666666666666,2.875,0.34375,4,synonym,0,,-1.3541205,0.5898317694664001,0.8666183352470398
75,75,2475,manicure,manucure,ˈmænɪkjər,manykyʀ,manicure,manicure,0.6666666666666666,0.125,0.1588541666666666,0.1927083333333333,1.578125,0.1796875,1,loan,1,,-5.493288,0.5937711596488953,0.8700597882270813
76,76,2290,jeune premier,jeune premier,jeune* prɛˈmɪr,ʒœnə pʀɑ̃jəʀ,young first,young first,0.7857142857142857,0.2727272727272727,0.1912878787878787,0.2196969696969697,2.3295454545454546,0.2007575757575757,0,loan,1,,4.7682114,0.9999995231628418,1.0
77,77,2338,lames,lame,lames*,lam,blades,lame,0.5,0.4,0.3625,0.4,2.9,0.4,1,loan,1,,1.7260631000000002,0.8982555270195007,0.8172772526741028
78,78,7510,emery,obolus,ˈɛməri,ɔbɔly,emery,obolus,1.0,0.2,0.0833333333333333,0.0999999999999999,1.3,0.0833333333333333,6,hard_negative,0,,-3.1520796000000004,0.428353875875473,0.663119912147522
79,79,639,tedious,fastidieux,ˈtidiəs,fastidjœ,tedious,tedious,0.75,0.5,0.3255208333333333,0.3645833333333333,3.640625,0.3463541666666667,6,synonym,0,,-12.612277,0.5760244131088257,0.6804260611534119
80,80,7579,entrepreneuse,maîtresse en titre,entrepreneuse*,maitʀɛsə ən titʀ,entrepreneur,titular mistress,0.875,0.4285714285714285,0.1874999999999999,0.2261904761904762,2.9732142857142856,0.1949404761904762,12,hard_negative,0,,-26.978046000000003,0.42079776525497437,0.4921218454837799
81,81,38,counsel,réprouver,ˈkaʊnsəl,ʀepʀuvəʀ,counsel,reprove,0.875,0.625,0.2708333333333333,0.3072916666666667,3.578125,0.2838541666666667,7,synonym,0,,-9.538644999999999,0.4788355529308319,0.6598839163780212
82,82,6993,cinephile,pâte brisée,cinephile*,patə bʀize,cinephile,pastry,0.9,0.3333333333333333,0.0717592592592592,0.074074074074074,1.0833333333333333,0.0717592592592592,8,hard_negative,0,,-9.641663000000001,0.4294223487377167,0.7878014445304871
83,83,197,apartment,appartement,əˈpɑrtmənt,apaʀtəmɑ̃,apartment,apartment,0.8,0.3333333333333333,0.2013888888888889,0.2361111111111111,2.4722222222222223,0.2129629629629629,2,loan,1,,4.1184688,0.6645568609237671,0.7310382127761841
84,84,230,arc-boutant,arc-boutant,arc-boutant*,aʀk-butɑ̃,arc-butan,arc-butan,0.5833333333333334,0.4,0.3041666666666666,0.3416666666666667,2.5375,0.33125,0,loan,1,,0.7977423,0.9999997019767761,1.0
85,85,2383,lineic,linéique,lineic*,lineik,lineic,linear,0.2857142857142857,0.1666666666666666,0.0069444444444444,0.0069444444444444,0.0833333333333333,0.0069444444444444,4,loan,1,,-4.9017669999999995,0.5417680144309998,0.625869631767273
86,86,2278,jasmine,jasmin,ˈʤæzmɪn,ʒasmɛ̃,jasmine,jasmin,0.8571428571428571,0.4,0.2666666666666667,0.3166666666666666,3.15,0.2666666666666667,1,loan,1,,4.152865,0.8491067886352539,0.800318717956543
87,87,9764,begonia,beau + lieu,bɪˈgoʊnjə,bəo + ljø,begonia,beautiful + place,0.7777777777777778,0.2857142857142857,0.1755952380952381,0.1904761904761904,1.6428571428571428,0.1904761904761904,8,hard_negative,0,,-7.3457713,0.3162321448326111,0.630741536617279
88,88,2271,jalousie,jalousie,jalousie*,ʒaluzi,jealousy,jealousy,0.5555555555555556,0.375,0.2526041666666667,0.28125,2.484375,0.2786458333333333,0,loan,1,,5.7284440000000005,0.9999995827674866,1.0
89,89,291,auteur,auteur,auteur*,otœʀ,author,author,0.8571428571428571,0.3333333333333333,0.3541666666666667,0.4027777777777777,3.020833333333333,0.3888888888888888,0,loan,1,,3.661179,0.9999985694885254,1.0
90,90,436,béguin,béguin,béguin*,beɡɥɛ̃,béguin,béguin,0.8571428571428571,0.6,0.1375,0.1666666666666666,3.575,0.1375,0,loan,1,,3.1877785,0.9999996423721313,1.0
91,91,3643,traumatize,traumatiser,ˈtrɔməˌtaɪz,tʀomatizəʀ,traumatize,traumatize,0.8181818181818182,0.2,0.1624999999999999,0.1833333333333333,1.65,0.1708333333333333,2,loan,1,,4.18215,0.8041696548461914,0.7139447331428528
92,92,7871,gourmandise,chardon béni,gourmandise*,ʃaʀdɔn beni,gluttony,blessed thistle,0.9166666666666666,0.4,0.14375,0.1625,2.3875,0.14375,10,hard_negative,0,,-8.732852000000001,0.36164021492004395,0.5488943457603455
93,93,725,cambré,cambré,cambré*é,kɑ̃bʀe,camber,camber,0.875,0.6,0.2946428571428571,0.3452380952380953,2.5892857142857144,0.3303571428571428,0,loan,1,,2.2309484,0.9999995827674866,1.0
94,94,359,billet-doux,bahut,billet-doux*,bay,soft ticket,very,0.9166666666666666,0.7,0.6437499999999999,0.7083333333333333,5.175,0.7083333333333333,9,random,0,623.0,-5.400034400000001,0.5727136135101318,0.6994420886039734
95,95,40,misfortune,malheur,mɪsˈfɔrʧən,malœʀ,misfortune,misfortune,0.9,0.5,0.3880208333333333,0.4375,3.515625,0.4296875,8,synonym,0,,-10.537841,0.657736599445343,0.6213533878326416
96,96,3392,sell,selle,sɛl,sɛl,sell,of this,0.0,0.0,0.0,0.0,0.0,0.0,1,loan,1,,1.1282046000000001,0.5331740975379944,0.4520632028579712
97,97,250,worthless,éhonté,ˈwərθləs,eɔ̃te,worthless,shameless,1.0,0.5714285714285714,0.4523809523809524,0.5059523809523809,4.160714285714286,0.5,8,synonym,0,,-6.419191400000001,0.481897234916687,0.5563927888870239
98,98,236,tasteful,acceptable,ˈteɪstfəl,aksɛptabl,tasteful,acceptable,0.7777777777777778,0.5555555555555556,0.2384259259259259,0.2731481481481481,3.888888888888889,0.25,8,synonym,0,,-12.692668,0.588770866394043,0.7207958698272705
99,99,2377,limaille,limaille,limaille*,limel,filings,filings,0.5555555555555556,0.375,0.34375,0.3802083333333333,2.78125,0.3802083333333333,0,loan,1,,2.9969194,0.9999995231628418,1.0
100,100,589,bound,redevable,baʊnd,ʀədəvabl,bound,indebted,1.0,0.75,0.4296875,0.4739583333333333,4.1875,0.46875,9,synonym,0,,-14.436589999999999,0.4683709740638733,0.6306140422821045
101,101,1317,debacle,débâcle,dəˈbɑkəl,debakl,debacle,debacle,0.5,0.1428571428571428,0.1488095238095238,0.1666666666666666,1.25,0.1636904761904762,2,loan,1,,3.2016125,0.5330803394317627,0.6689180731773376
102,102,310,elude,éviter de,ɪˈlud,evitəʀ d,elude,avoid,0.875,0.5714285714285714,0.4375,0.4821428571428571,3.928571428571429,0.4821428571428571,6,synonym,0,,-6.7581043,0.3038577735424042,0.4207366704940796
103,103,383,baroque,baroque,bəroʊk,baʀɔk,baroque,baroque,0.6666666666666666,0.1666666666666666,0.1979166666666667,0.2361111111111111,1.7708333333333333,0.2222222222222222,0,loan,1,,2.7344844,0.9999996423721313,1.0
104,104,1925,fourchette,fourchette,fourchette*,fuʀʃɛt,fork,fork,0.7272727272727273,0.5,0.3916666666666666,0.4416666666666666,3.325,0.43125,0,loan,1,,9.0133915,0.9999995827674866,1.0
105,105,5025,haute couture,raconteur,hət kuˈtʊr,ʀakɔ̃tœʀ,high fashion,raconteur,0.8,0.125,0.1953125,0.21875,1.765625,0.2057291666666666,8,hard_negative,0,,-6.5077357000000005,0.459835410118103,0.2410743534564972
106,106,687,latent,ambiguë,ˈleɪtənt,ɑ̃biɡ̈,latent,ambiguous,1.0,0.7142857142857143,0.4821428571428571,0.5297619047619048,4.071428571428571,0.5208333333333333,7,synonym,0,,-6.352624400000001,0.46326759457588196,0.6670322418212891
107,107,2630,profile,plural,ˈproʊˌfaɪl,plyʀal,profile,plural,0.7,0.375,0.2864583333333333,0.328125,2.671875,0.3098958333333333,5,hard_negative,0,,-3.0094764,0.3756372928619385,0.6942585706710815
108,108,229,aven,banneret,ɑˈveɪn,bɑnəʀɛ,aven,the banner,1.0,0.6666666666666666,0.2881944444444445,0.3333333333333333,4.145833333333333,0.3055555555555555,6,random,0,366.0,-14.502197,0.5998925566673279,0.38539692759513855
109,109,8680,ratafia,salariat,ratafia*,salaʀja,ratafia,employee,0.625,0.5714285714285714,0.0952380952380952,0.11904761904761901,1.9285714285714288,0.0952380952380952,4,hard_negative,0,,-6.952225,0.5907348990440369,0.7019156813621521
110,110,1336,decapod,décapode,decapod*,dekapɔd,decapod,decapod,0.375,0.1428571428571428,0.0119047619047619,0.0119047619047619,0.1071428571428571,0.0119047619047619,2,loan,1,,2.6055167,0.7312822341918945,0.8364757299423218
111,111,1616,emollient,émollient,emollient*,emɔljɛ̃,emollient,emollient,0.7,0.3333333333333333,0.3287037037037036,0.3611111111111111,2.7916666666666665,0.3564814814814814,1,loan,1,,3.6208296000000004,0.5844103693962097,0.785028874874115
112,112,2461,peau d'orange,bois d'arc,peau* d'orange*,bwas d'aʀk,Orange peel,wooden bow,0.6666666666666666,0.5,0.2916666666666666,0.3333333333333333,3.6375,0.3125,9,hard_negative,0,,-4.710561,0.5301249027252197,0.4702993929386139
113,113,662,busk,busc,bəsk,bysk,busk,busc,0.25,0.0,0.0520833333333333,0.0520833333333333,0.5625,0.0520833333333333,1,loan,1,,2.238963,0.9216475486755371,0.8143201470375061
114,114,1030,dwindle,diminuer,dˈwɪndəl,diminyʀ,dwindle,decrease,0.75,0.4285714285714285,0.1875,0.2142857142857142,3.2857142857142856,0.1875,5,synonym,0,,-9.739294000000001,0.47656673192977905,0.6863241791725159
115,115,80,boldness,audace,ˈboʊldnəs,odaz,boldness,audacity,0.7777777777777778,0.5,0.4739583333333333,0.5208333333333334,3.8125,0.5208333333333334,7,synonym,0,,-13.616879999999998,0.459476113319397,0.7461004853248596
