,loan_word,original_word,loan_word_epitran,original_word_epitran,Fast Levenshtein,Dolgo Prime Distance,Feature Edit Distance,Hamming Feature Distance,Weighted Feature Distance,Fast Levenshtein Distance Div Maxlen,label
99,ख़िदमतगार,صلح,xidmətɡaːr,slh,10,7,5.770833333333333,6.458333333333334,50.25,1.0,0
100,नदारद,نه دارد,nədaːrəd,nh dɒrd,5,2,1.2291666666666667,1.375,13.875,0.625,1
101,रिश्ता,رسید,riʃtaː,rsjd,5,3,1.4791666666666665,1.6666666666666665,20.625,0.8333333333333334,0
102,क़ानूनी,قانونی,qaːnuːniː,ɣɒnvnj,7,2,0.7291666666666667,0.8333333333333334,14.625,0.7777777777777778,1
103,दिलेरी,دلیری,dileriː,dljrj,4,3,1.1458333333333335,1.3333333333333335,13.0,0.5714285714285714,1
104,गुलदान,گلدان,ɡuldaːn,ɡldɒn,3,1,1.0208333333333335,1.125,8.75,0.42857142857142855,1
105,ज़ात,صدری,zaːt,sdrj,4,3,1.5,1.75,20.75,1.0,0
106,गोर,گور,ɡor,ɡvr,1,1,0.3125,0.375,8.0,0.3333333333333333,1
107,मर्दानगी,روشن,mərdaːnɡiː,rvʃn,8,6,4.104166666666667,4.625,38.875,0.8,0
108,परवरिश,پرورش,pərvəriʃ,پrvrʃ,4,4,3.5833333333333335,4.0,29.0,0.5,1
109,बस,آستین,bəs,ɒstjn,5,4,2.2916666666666665,2.5416666666666665,23.0,1.0,0
110,बाग़,باغ,baːɣ,bɒɣ,2,0,0.125,0.125,1.5,0.5,1
111,हज़्म,حذم,ɦəzmə,hzm,3,2,1.8333333333333335,2.041666666666667,14.75,0.6,1
112,मज़मून,زنجیر,məzmuːn,znd͡ʒjr,7,6,1.9375,2.2083333333333335,26.875,1.0,0
113,सुन्नी,سنی,sunniː,snj,4,3,1.9375,2.1666666666666665,17.375,0.6666666666666666,1
114,मदद,محض,mədəd,mhz,4,3,2.0625,2.2916666666666665,19.875,0.8,0
115,क़िरमिज़,قرمز,qirmiz,ɣrmz,3,2,1.916666666666667,2.125,16.25,0.5,1
116,चारदीवारी,چهار دیواری,t͡ʃaːrdiːvaːriː,t͡ʃhɒr djvɒrj,9,3,1.3958333333333335,1.5833333333333335,16.0,0.6,1
117,अज़ाब,بازار,azaːb,bɒzɒr,5,2,1.375,1.5833333333333333,14.875,1.0,0
118,रवा,سفارش,rəvaː,sfɒrʃ,5,4,1.8125,2.1666666666666665,24.25,1.0,0
119,सकता,لشکر,səktaː,lʃkr,5,4,1.5416666666666667,1.7916666666666667,21.25,0.8333333333333334,0
120,गर्म,گرم,ɡərmə,ɡrm,2,2,1.7916666666666667,2.0,14.5,0.4,1
121,पैदाइश,تنها,pæːdaːiʃ,tnhɒ,8,5,2.4166666666666665,2.666666666666667,25.75,1.0,0
122,ख़ाली,رخسار,xaːliː,rxsɒr,6,3,1.8125,2.125,24.75,1.0,0
123,गुलाब,گلاب,ɡulaːb,ɡlɒb,3,1,1.0208333333333335,1.125,8.75,0.5,1
124,जिगर,انسانی,d͡ʒiɡər,ɒnsɒnj,7,4,2.2083333333333335,2.541666666666667,30.875,1.0,0
125,ज़र्रा,بی‌روحی,zərraː,bj‌rvhj,6,4,1.6666666666666665,1.9583333333333333,19.0,0.8571428571428571,0
126,दर्ज,درج,dərd͡ʒə,drd͡ʒ,2,2,1.7916666666666667,2.0,14.5,0.2857142857142857,1
127,दर,بعد,dər,bʔd,3,3,0.5208333333333334,0.6666666666666667,9.5,1.0,0
128,जवानी,جوانی,d͡ʒəvaːniː,d͡ʒvɒnj,5,2,1.1458333333333335,1.2916666666666667,11.625,0.5,1
129,पर्दा,پرده,pərdaː,پrdh,4,3,2.041666666666667,2.2916666666666665,20.125,0.6666666666666666,1
130,शिकस्त,صلاح کار,ʃikstə,slɒh kɒr,8,5,2.0208333333333335,2.333333333333333,29.625,1.0,0
131,तंदूर,رفتار,tənduːr,rftɒr,6,3,1.604166666666667,1.8333333333333335,18.75,0.8571428571428571,0
132,रईस,رئیس,rəis,rيʔjs,3,2,0.3333333333333333,0.4166666666666667,6.75,0.6,1
133,सलीक़ा,تشدد,səliːqaː,tʃdd,8,5,2.4583333333333335,2.75,28.625,1.0,0
134,बाग़,رنجش,baːɣ,rnd͡ʒʃ,6,3,1.6041666666666667,1.8749999999999998,21.75,1.0,0
135,ख़्वाजा,خواجه,xvaːd͡ʒaː,xvɒd͡ʒh,4,1,0.375,0.4166666666666667,7.125,0.4444444444444444,1
136,अरमान,ارمان,armaːn,ɒrmɒn,3,0,0.20833333333333331,0.20833333333333331,2.5,0.5,1
137,इनकार,انکار,inkaːr,ɒnkɒr,3,0,0.29166666666666663,0.29166666666666663,3.5,0.5,1
138,बाशिंदा,باشنده,baːʃindaː,bɒʃndh,5,2,1.2708333333333335,1.4166666666666667,14.375,0.5555555555555556,1
139,बहार,بهار,bəɦaːr,bhɒr,4,1,1.0625,1.1666666666666667,9.0,0.6666666666666666,1
140,इरादतन,ارادتاً,iraːdtən,ɒrɒdtɒً,5,1,1.3333333333333333,1.4166666666666665,12.0,0.625,1
141,ज़ाहिर,ظاهر,zaːɦir,zɒhr,4,1,1.0625,1.1666666666666667,9.0,0.6666666666666666,1
142,परवरदिगार,پروردگار,pərvərdiɡaːr,پrvrdɡɒr,6,4,3.7083333333333335,4.125,30.5,0.5,1
143,महल,صلیب,məɦəl,sljb,5,4,1.7083333333333335,1.9166666666666667,21.75,1.0,0
144,ग़म,عوض,ɣəm,ʔvz,3,3,0.7916666666666666,0.875,18.625,1.0,0
145,नादिरशाही,آمدنی,naːdirʃaːɦiː,ɒmdnj,11,6,4.333333333333333,4.875,41.625,0.9166666666666666,0
146,ख़ूबानी,کیمیا,xuːbaːniː,kjmjɒ,9,4,1.7083333333333333,1.875,21.5,1.0,0
147,आबकार,آبکار,aːbkaːr,ɒbkɒr,4,0,0.25,0.25,3.0,0.5714285714285714,1
148,बहाई,Urdu spelling,bəɦaːiː,urdu spelling,12,7,5.958333333333335,6.625000000000001,51.25,0.9230769230769231,0
149,हैरत,تربز,ɦæːrət,trbz,5,3,1.5,1.6666666666666665,21.25,0.8333333333333334,0
150,सदी,آشیانه,sədiː,ɒʃjɒnh,6,4,2.3333333333333335,2.583333333333333,24.625,1.0,0
151,बदसूरत,ابر,bədsuːrət,ɒbr,8,6,4.750000000000001,5.25,38.625,0.8888888888888888,0
152,बख़्त,باغ,bəxtə,bɒɣ,4,2,1.9791666666666665,2.166666666666667,16.0,0.8,0
153,दिलेरी,نا,dileriː,nɒ,7,5,3.7500000000000004,4.208333333333333,32.5,1.0,0
154,कामयाब,کامیاب,kaːmjaːb,kɒmjɒb,4,0,0.25,0.25,3.0,0.5,1
155,ख़म,خم,xəm,xm,1,1,0.8958333333333334,1.0,7.25,0.3333333333333333,1
156,मीज़ान,میزان,miːzaːn,mjzɒn,4,1,0.25,0.29166666666666663,4.375,0.5714285714285714,1
157,फ़ुर्सत,ذائقه,fursət,zɒيʔɣh,6,4,1.7916666666666665,2.0833333333333335,22.375,1.0,0
158,क़ाबिल,قابل,qaːbil,ɣɒbl,4,1,1.1458333333333335,1.25,10.5,0.6666666666666666,1
159,दुश्मन,kumukus,duʃmən,kumukus,6,5,2.0625,2.208333333333333,25.25,0.8571428571428571,0
160,नग़मा,ذهن,nəɣmaː,zhn,6,5,2.1875000000000004,2.416666666666667,22.375,1.0,0
161,पारचा,پارچه,paːrt͡ʃaː,پɒrt͡ʃh,5,2,1.2708333333333335,1.4166666666666667,14.375,0.5555555555555556,1
162,सनसनीख़ेज़,عجیب,sənsəniːxez,ʔd͡ʒjb,11,9,6.166666666666665,6.833333333333333,55.125,1.0,0
163,मअनी,معنی,maniː,mʔnj,3,2,0.375,0.45833333333333337,7.25,0.6,1
164,बर्ख़ास्त,مهتاب,bərxaːstə,mhtɒb,9,6,3.4375000000000004,3.8749999999999996,32.625,1.0,0
165,तहसील,لهجه,təɦsiːl,lhd͡ʒh,7,4,2.3958333333333335,2.6250000000000004,22.875,1.0,0
166,तंदुरुस्त,سرخاب,təndurustə,srxɒb,9,8,5.1875,5.875000000000001,46.0,0.9,0
167,सादा,شب,saːdaː,ʃb,6,3,1.979166666666667,2.208333333333333,16.375,1.0,0
168,अनार,رحم,anaːr,rhm,5,4,1.5833333333333333,1.9166666666666667,19.0,1.0,0
169,ख़ुशी,خوشی,xuʃiː,xvʃj,3,2,0.4375,0.5416666666666666,10.875,0.6,1
170,तस्दीक़,زار,təsdiːq,zɒr,7,4,3.0833333333333335,3.458333333333333,27.5,1.0,0
171,हालाँकि,دل‌آسا,ɦaːlãːki,dl‌ɒsɒ,7,3,1.6458333333333337,1.7916666666666667,18.5,0.875,0
172,क़ैंची,قیچی,qæːɲt͡ʃiː,ɣjt͡ʃj,6,3,1.2708333333333335,1.4166666666666667,15.375,0.6666666666666666,1
173,व,پرواز,və,پrvɒz,4,2,1.875,2.125,15.75,0.8,0
174,शिनाख़्त,نماز,ʃinaːxtə,nmɒz,7,5,3.2500000000000004,3.5833333333333335,30.125,0.875,0
175,महारत,قلم,məɦaːrət,ɣlm,8,6,4.0625,4.583333333333334,37.375,1.0,0
176,अंजाम,انجام,ɲd͡ʒaːm,ɒnd͡ʒɒm,4,1,1.1666666666666667,1.2916666666666667,10.375,0.5714285714285714,1
177,मंशा,منشأ,mənʃaː,mnʃɒʔ,3,2,1.25,1.4166666666666665,16.0,0.5,1
178,बलूचिस्तान,شکم,bəluːt͡ʃistaːn,ʃkm,13,9,6.6875,7.416666666666666,54.75,0.9285714285714286,0
179,इमारत,सीव्यति,imaːrət,सीव्यति,7,6,5.333333333333334,6.0,43.5,1.0,0
180,ग़ोता,غوطه,ɣotaː,ɣvth,3,2,0.5625,0.6666666666666667,13.625,0.6,1
181,रूसी,غیر,ruːsiː,ɣjr,6,4,1.5416666666666665,1.875,19.0,1.0,0
182,ग़ुस्सा,غصه,ɣussaː,ɣsh,4,3,1.9375,2.166666666666667,17.625,0.6666666666666666,1
183,सियासत,زرد,sijaːsət,zrd,8,4,3.8333333333333335,4.333333333333334,32.75,1.0,0
184,जवान,جوان,d͡ʒəvaːn,d͡ʒvɒn,3,1,1.0208333333333335,1.125,8.75,0.375,1
185,ब-,با,bə-,bɒ,2,0,0.125,0.125,1.25,0.6666666666666666,1
186,पेशगी,شاهین,peʃɡiː,ʃɒhjn,6,4,0.9375,1.0416666666666667,19.75,1.0,0
187,किराया,جنگی,kiraːjaː,d͡ʒŋj,7,4,3.104166666666667,3.541666666666667,27.75,0.875,0
188,बीबी,تاج,biːbiː,tɒd͡ʒ,6,3,1.4375,1.5833333333333335,13.25,1.0,0
189,तख़्ता,تخته,təxtaː,txth,3,2,1.1458333333333335,1.2916666666666667,12.875,0.5,1
190,पायदान,شکاری,paːjdaːn,ʃkɒrj,8,5,2.1458333333333335,2.458333333333333,30.75,1.0,0
191,पर्दा,پخته,pərdaː,پxth,6,4,2.229166666666667,2.541666666666666,23.375,1.0,0
192,माह,ماه,maːɦ,mɒh,3,0,0.16666666666666666,0.16666666666666666,1.75,0.75,1
193,जलाल,جلال,d͡ʒəlaːl,d͡ʒlɒl,3,1,1.0208333333333335,1.125,8.75,0.375,1
194,जंगजू,جنگجو,d͡ʒəŋɡd͡ʒuː,d͡ʒŋd͡ʒv,4,3,2.1458333333333335,2.4166666666666665,19.875,0.36363636363636365,1
195,मुनीम,برابر,muniːm,brɒbr,6,5,1.4374999999999998,1.7916666666666667,24.5,1.0,0
196,तहसील,تحصیل,təɦsiːl,thsjl,4,2,1.0625,1.2083333333333335,10.375,0.5714285714285714,1
197,शब बख़ैर,برآمد,ʃəbə bəxæːr,brɒmd,10,7,4.458333333333334,5.083333333333333,44.125,0.9090909090909091,0
198,नुमाइंदा,نماینده,numaːindaː,nmɒjndh,6,3,1.3541666666666667,1.5416666666666667,16.75,0.6,1
199,ज़ायक़ा,ذائقه,zaːjqaː,zɒيʔɣh,6,1,0.6666666666666666,0.7083333333333333,10.875,0.8571428571428571,1
200,रोज़ाना,گشت,rozaːnaː,ɡʃt,8,5,3.166666666666667,3.583333333333333,30.625,1.0,0
201,ज़ोरदार,बदर,zordaːr,बदर,7,6,5.291666666666666,6.0,43.5,1.0,0
202,बाख़ुदा,خاقان,baːxudaː,xɒɣɒn,7,3,1.5208333333333335,1.625,16.25,0.875,0
203,निवाला,نواله,nivaːlaː,nvɒlh,5,2,1.2708333333333335,1.4166666666666667,14.375,0.625,1
204,मज़दूरी,مزدوری,məzduːriː,mzdvrj,5,3,1.375,1.5833333333333335,18.625,0.5555555555555556,1
205,शिनाख़्त,شناخت,ʃinaːxtə,ʃnɒxt,4,2,1.916666666666667,2.125,16.0,0.5,1
206,चोग़ा,چوقا,t͡ʃoɣaː,t͡ʃvɣɒ,3,1,0.4375,0.5,9.5,0.42857142857142855,1
207,हाफ़िज़,بنیاد,ɦaːfiz,bnjɒd,6,3,1.0,1.0833333333333335,20.375,1.0,0
208,नुमाइंदगी,هنگامه,numaːindɡiː,hŋɒmh,11,7,4.4375,4.875,40.75,1.0,0
209,फ़तह,शाल,fətəɦ,शाल,5,5,4.520833333333333,5.0,36.25,1.0,0
210,तीली,Urdu spelling,tiːliː,urdu spelling,11,7,6.437500000000001,7.166666666666666,52.5,0.8461538461538461,1
211,नक़्शा,همت,nəqʃaː,hmt,6,4,2.3958333333333335,2.625,23.375,1.0,0
212,बाकिरा,مردانه,baːkiraː,mrdɒnh,8,5,1.2083333333333333,1.5,21.5,1.0,0
213,सही,صحیح,səɦiː,shjh,4,2,0.5416666666666667,0.625,13.25,0.8,1
214,महज़,محض,məɦəz,mhz,3,2,1.8333333333333335,2.041666666666667,14.75,0.6,1
215,यूनान,یونان,juːnaːn,jvnɒn,4,1,0.4791666666666667,0.5416666666666667,10.0,0.5714285714285714,1
216,दारचीनी,شدت,daːrt͡ʃiːniː,ʃdt,11,6,3.979166666666667,4.458333333333334,35.25,0.9166666666666666,0
217,बेलचा,قلعه,belt͡ʃaː,ɣlʔh,7,4,1.5833333333333335,1.75,21.25,0.875,0
218,ख़ाकी,خاکی,xaːkiː,xɒkj,4,1,0.25,0.29166666666666663,4.375,0.6666666666666666,1
219,मग़ज़,مغز,məɣəz,mɣz,2,2,1.7916666666666667,2.0,14.5,0.4,1
220,जुदाई,جدایی,d͡ʒudaːiː,d͡ʒdɒjj,5,3,1.1666666666666665,1.375,18.875,0.5555555555555556,1
221,मसनद,مسند,məsnəd,msnd,2,2,1.7916666666666667,2.0,14.5,0.3333333333333333,1
222,सुर्ख़,واپسی,surxə,vɒپsj,5,4,1.4791666666666667,1.75,15.75,1.0,0
223,जारी,صندل,d͡ʒaːriː,sndl,8,4,1.0416666666666665,1.25,20.5,1.0,0
224,मलिका,ملکه,məlikaː,mlkh,4,3,2.041666666666667,2.2916666666666665,20.125,0.5714285714285714,1
225,जगह,افغانستان,d͡ʒəɡəɦ,ɒfɣɒnstɒn,9,6,4.541666666666666,4.958333333333333,39.625,1.0,0
226,क़र्ज़,قرض,qərzə,ɣrz,3,2,1.916666666666667,2.125,16.25,0.6,1
227,रुख़सार,ترکستان,ruxsaːr,trkstɒn,6,4,1.7708333333333335,2.0,23.0,0.8571428571428571,0
228,गुस्ताख़,رشوت خور,ɡustaːx,rʃvt xvr,7,6,2.229166666666667,2.666666666666667,34.125,0.875,0
229,रिश्वत,شبهه,riʃvət,ʃbhh,5,4,2.1875,2.541666666666667,24.875,0.8333333333333334,0
230,दीवानगी,خاندان,diːvaːnɡiː,xɒndɒn,9,5,2.395833333333333,2.6666666666666665,30.25,0.9,0
231,दलील,دلیل,dəliːl,dljl,3,2,1.0208333333333335,1.1666666666666667,10.125,0.5,1
232,तनहाई,تنهایی,tənɦaːiː,tnhɒjj,6,3,1.125,1.3333333333333335,19.125,0.75,1
