,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
10,All languages,পাতা,পাত,pata,pat̪,Leaves,leaves,0.25,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.9571576714515686,0.7231639623641968,0.999196231365204,0.9993677139282228,0.95112723,0.83847344,0.9997082,0.99968445,synonym
11,All languages,ফণী,ফনী,pʰɔni,ɸɔn̪i,comb,Fanny,0.6,0.0,0.0364583333333333,0.0416666666666666,0.40625,0.0364583333333333,1,0.9653584957122804,0.9141634702682496,0.9999058246612548,0.9990726709365844,0.9749547,0.92618155,0.99959636,0.9997346,hard_negative
12,All languages,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.843183696269989,0.8417081236839294,0.9988211989402772,0.998491108417511,0.90041256,0.91487455,0.9994634,0.99961835,synonym
13,All languages,মুঠি,মুদি,mutʰi,mud̪i,Fist,Grocer,0.4,0.0,0.03125,0.03125,0.1875,0.03125,1,0.9305834174156188,0.9040932059288024,0.997811496257782,0.998702108860016,0.96436054,0.92066354,0.9984157,0.9995445,hard_negative
14,All languages,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.9180389046669006,0.95912504196167,0.999320387840271,0.9997469782829284,0.92705834,0.95926774,0.99938303,0.9997151,synonym
15,All languages,গম,অগম,gɔmɔ,oɡɔmɔ,Wheat,Incomprehensible,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,1,0.9308733344078064,0.7145419120788574,0.9988340139389038,0.9987680912017822,0.94656885,0.8524053,0.9996329,0.99944973,hard_negative
16,All languages,মুহ,মাহ,muɦ,maɦ,Muh,month,0.3333333333333333,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,1,0.9517714977264404,0.8472293019294739,0.9995965361595154,0.9982008337974548,0.9706054,0.92038286,0.9985744,0.99853724,hard_negative
17,All languages,কচু,কদু,kɔsu,kɔd̪u,Kachu,Pumpkin,0.4,0.0,0.03125,0.03125,0.375,0.03125,1,0.9584205746650696,0.8983414173126221,0.9993979334831238,0.9985718131065368,0.95996994,0.92996204,0.99983734,0.9995543,hard_negative
18,All languages,অগ্নি,অগ্নিকোণ,ɔgni,oɡn̪ikon,Fire,Southeast,0.75,0.5714285714285714,0.5267857142857143,0.5833333333333334,4.214285714285714,0.5833333333333334,3,0.9377369284629822,0.8641679286956787,0.9984448552131652,0.9991738796234132,0.96308786,0.922374,0.9993259,0.99932367,synonym
19,All languages,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.843183696269989,0.8417081236839294,0.9988211989402772,0.998491108417511,0.9004127,0.91487443,0.9994633,0.99961835,synonym
20,All languages,বায়ু,পায়ু,baju,pae̯u,The wind,Anus,0.6,0.0,0.03125,0.0416666666666666,0.28125,0.03125,1,0.8817099332809448,0.9189260601997375,0.996720254421234,0.9980828166007996,0.9306596,0.85654926,0.999069,0.99957573,hard_negative
21,All languages,কৃষ্ণ,অকৃষ্ণ,kɽixnɔ,okɽiʃnɔ,Krishna,Akrishna,0.2857142857142857,0.2857142857142857,0.1488095238095238,0.1666666666666666,1.2678571428571428,0.1636904761904762,1,0.939158856868744,0.8242132663726807,0.9989521503448486,0.9985716342926024,0.9552657,0.8974098,0.9994111,0.998907,hard_negative
22,All languages,যুদ্ধ,বুদ্ধ,zuddʰɔ,bud̪d̪ʱɔ,War,Buddha,0.5,0.2,0.0541666666666666,0.0583333333333333,0.575,0.0541666666666666,1,0.8103408813476562,0.9200270771980286,0.9987014532089232,0.9992561340332032,0.87256014,0.93141824,0.9991785,0.9996006,hard_negative
23,All languages,মাছ,মা,mas,ma,Fish,Mom,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.7815860509872437,0.7472493052482605,0.9996801018714904,0.9990558624267578,0.8629376,0.803108,0.9987098,0.99926805,hard_negative
24,All languages,গু,কহা,gu,kɔɦa,Gu,Say,1.0,0.75,0.7031250000000001,0.78125,5.75,0.78125,3,0.8437486290931702,0.7384798526763916,0.9989566802978516,0.9990277290344238,0.90696144,0.86700404,0.9997227,0.9993571,random
25,All languages,গু,মু,gu,mu,Gu,Mu,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.8666781783103943,0.8673340678215027,0.9997078180313108,0.9990814924240112,0.89571667,0.890297,0.99977374,0.99935275,hard_negative
26,All languages,কল,কে,kɔlɔ,ke,Call,Who,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.7940475940704346,0.6492692828178406,0.9995995759963988,0.9989549517631532,0.8924999,0.8669937,0.999776,0.99927694,synonym
27,All languages,পুষ্প,পুষ্পক,puxpɔ,puʃpɔkɔ,Flowers,Flower,0.4285714285714285,0.4285714285714285,0.2767857142857143,0.3095238095238096,2.3035714285714284,0.3065476190476189,1,0.97080796957016,0.8741615414619446,0.9959275722503662,0.9986647963523864,0.97640026,0.9314927,0.999249,0.999535,synonym
28,All languages,হিয়া,শিয়া,ɦija,ʃie̯a,Heart,Shia,0.6,0.25,0.0572916666666666,0.0729166666666666,0.9375,0.0572916666666666,1,0.959610402584076,0.8900213837623596,0.9989230036735536,0.998831033706665,0.965063,0.9024211,0.99945545,0.99944067,hard_negative
29,All languages,অক্ষ,অক্ষি,ɔkʰjɔ,okkʰi,Axis,Eye,0.8,0.25,0.125,0.125,2.0625,0.125,1,0.8837807178497314,0.9301459789276124,0.9979283213615416,0.9988602995872498,0.9245309,0.92120135,0.9995475,0.9994565,synonym
30,All languages,মিঠা,মাঠা,miʈʰa,matʰa,sweet,Matha,0.4,0.0,0.03125,0.03125,0.375,0.03125,1,0.9486165642738342,0.9123626947402954,0.9951050281524658,0.9984014630317688,0.99143684,0.96935344,0.9998275,0.9999153,hard_negative
31,All languages,টাং,গাং,ʈaŋ,gaŋ,Tang,Gang,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.9586673974990844,0.8301198482513428,0.9948697090148926,0.9994381070137024,0.98280716,0.9657941,0.99982905,0.9997743,hard_negative
32,All languages,মা,মাতা,ma,mata,Mom,Mother,0.5,0.5,0.453125,0.5,3.625,0.5,2,0.8709033727645874,0.7909981012344359,0.999616801738739,0.9991851449012756,0.97144425,0.903126,0.99971074,0.999917,synonym
33,All languages,রাং,গাং,raŋ,gaŋ,Rang,Gang,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.94549560546875,0.8770114183425903,0.9984038472175598,0.9998828768730164,0.98127735,0.96633285,0.99991727,0.99987334,hard_negative
34,All languages,কে,কল,ke,kɔlɔ,Who,Call,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.7941252589225769,0.6492692828178406,0.9995399713516236,0.9989663362503052,0.9581642,0.90627706,0.999642,0.9999161,synonym
35,All languages,বালক,বাল,balɔkɔ,bal,Boy,Baal,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.8894115686416626,0.6674975752830505,0.999826967716217,0.9997400045394896,0.9659384,0.9478608,0.9999215,0.99987376,synonym
36,All languages,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.9180728793144226,0.95912504196167,0.999357044696808,0.9998496174812316,0.95252794,0.9472436,0.999952,0.99985385,synonym
37,All languages,পাত,পাতা,pat̪,pata,leaves,Leaves,0.25,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.9571433663368224,0.7231639623641968,0.9992907643318176,0.999434232711792,0.9673749,0.93514967,0.9997189,0.9999143,synonym
38,All languages,মকাই,ককাই,mɔkai,kɔkai,Maize,Uncle,0.2,0.2,0.0583333333333333,0.0583333333333333,0.95,0.0583333333333333,1,0.9765270948410034,0.8946250081062317,0.9991295337677002,0.9992002248764038,0.9710435,0.96496624,0.99978614,0.9998904,hard_negative
39,All languages,বোন,বন,bon̪,bɔnɔ,Sister,Forest,0.5,0.25,0.2447916666666666,0.2708333333333333,1.9375,0.2708333333333333,1,0.8617129325866699,0.7396354079246521,0.9977572560310364,0.9994393587112428,0.9876695,0.9637522,0.9998195,0.9999267,hard_negative
40,All languages,গুফা,গুহা,ɡuɸa,guɦa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.8431873321533203,0.8417081236839294,0.998809278011322,0.9984845519065856,0.9772036,0.9543132,0.99983275,0.999863,synonym
41,All languages,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.9180728793144226,0.95912504196167,0.999357044696808,0.9998496174812316,0.95252794,0.9472437,0.99995196,0.99985385,synonym
42,All languages,অক্ষি,অক্ষ,okkʰi,ɔkʰjɔ,Eye,Axis,0.8,0.25,0.125,0.125,2.0625,0.125,1,0.8837002515792847,0.9301985502243042,0.9973250031471252,0.9988718628883362,0.9843889,0.9618484,0.99986124,0.999787,synonym
43,All languages,ধুমা,ঘুমা,d̪ʱuma,gʱuma,Smoke,Sleep,0.3333333333333333,0.25,0.2291666666666666,0.25,1.8125,0.25,1,0.9581158757209778,0.8049525022506714,0.9950179457664492,0.998989462852478,0.9594945,0.94249463,0.9998106,0.9997826,hard_negative
44,All languages,বাজ,বাট,bad͡ʑ,bat,Lightning,The road,0.6,0.3333333333333333,0.0694444444444444,0.0694444444444444,0.6666666666666666,0.0694444444444444,1,0.9414497017860411,0.879669725894928,0.9995757341384888,0.9997680783271792,0.9927141,0.9780152,0.99991256,0.99993104,hard_negative
45,All languages,পুষ্পক,পুষ্প,puʃpɔkɔ,puxpɔ,Flower,Flowers,0.4285714285714285,0.4285714285714285,0.2767857142857143,0.3095238095238096,2.3035714285714284,0.3065476190476189,1,0.9708202481269836,0.8741615414619446,0.9955421686172484,0.9985083937644958,0.9767138,0.9563732,0.99989164,0.99989426,synonym
46,All languages,গুফা,গুহা,ɡuɸa,guɦa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.8431873321533203,0.8417081236839294,0.998809278011322,0.9984845519065856,0.9772036,0.9543133,0.99983275,0.99986315,synonym
47,All languages,লাউ,গাউ,lau,gau,Lau,Cow,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.8118494153022766,0.85772705078125,0.9979680180549622,0.9991794228553772,0.9728701,0.9568714,0.9997206,0.9999499,hard_negative
48,All languages,দাঁত,জাঁত,d̪ãt̪ɔ,zãtɔ,Teeth,Jat,0.5,0.0,0.03125,0.03125,0.375,0.03125,1,0.9496712684631348,0.8782757520675659,0.9994592666625975,0.998589813709259,0.9792964,0.96038675,0.9998744,0.999863,hard_negative
49,All languages,অগ্নিকোণ,অগ্নি,oɡn̪ikon,ɔgni,Southeast,Fire,0.75,0.5714285714285714,0.5267857142857143,0.5833333333333334,4.214285714285714,0.5833333333333334,3,0.9377514123916626,0.8641679286956787,0.9988941550254822,0.9991471171379088,0.9861029,0.9320061,0.9997603,0.9998147,synonym
50,All languages,পিন্ধা,বিন্ধা,pin̪d̪ʱa,bindʰa,wear,Bindha,0.5,0.0,0.0333333333333333,0.0333333333333333,0.2,0.0333333333333333,1,0.9567216038703918,0.9229412078857422,0.9976688623428344,0.9990233182907104,0.98813605,0.97402585,0.99991316,0.99992466,hard_negative
