,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
20,,সাঁকো,আঁক,ʃãko,ãkɔ,Sanko,Draw,0.5,0.3333333333333333,0.2395833333333333,0.2604166666666667,1.875,0.2604166666666667,0.9781009,0.9743019,0.9997984,0.9998885,hard_negative
21,,পাণ,বান,pan,ban,Pan,The flood,0.3333333333333333,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.9829322,0.9535822,0.99995995,0.99995077,hard_negative
22,,ওদন,ভকত,od̪ɔn̪ɔ,bʰɔkɔtɔ,Odin,The devotee,0.8571428571428571,0.5,0.2222222222222222,0.2430555555555555,2.145833333333333,0.2395833333333333,0.98778147,0.9660106,0.9997081,0.9999445,synonym
23,,সাপ,জাপ,ʃap,zap,Snake,Jump,0.3333333333333333,0.0,0.0416666666666666,0.0416666666666666,0.3333333333333333,0.0416666666666666,0.9547258,0.93823683,0.9997221,0.99994165,hard_negative
24,,পোলা,পলা,pola,pɔla,Pola,Escape,0.25,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.98345506,0.96515965,0.9997943,0.9999297,hard_negative
25,,কাতি,কাচি,kat̪i,kasi,Kati,Scissors,0.4,0.0,0.0208333333333333,0.0208333333333333,0.3125,0.0208333333333333,0.990809,0.9572984,0.99971807,0.999901,hard_negative
26,,ভাই,বাই,bʱai,bai,Brother,Bye,0.25,0.0,0.0,0.0,0.0,0.0,0.98125905,0.9655075,0.99990475,0.9998807,hard_negative
27,,হিয়া,হীৰা,ɦie̯a,ɦiɹa,Heart,Diamonds,0.4,0.0,0.0572916666666666,0.0729166666666666,0.625,0.0572916666666666,0.9809918,0.96221095,0.9997606,0.9999098,hard_negative
28,,উপত্যকা,ফটকা,upɔt̪d͡zɔka,pʰɔtɔka,Valley,Firecrackers,0.5454545454545454,0.25,0.2369791666666666,0.2604166666666667,1.875,0.2604166666666667,0.9710316,0.93119466,0.9993205,0.9992284,hard_negative
29,,কুটুম,কুহুম,kuʈum,kuɦum,Family,The cream,0.2,0.2,0.0375,0.0416666666666666,0.775,0.0375,0.98032236,0.9723666,0.9997422,0.9998668,hard_negative
30,,হাচা,হাটী,ɦat͡ɕa,ɦati,Hacha,Hati,0.5,0.25,0.0625,0.0625,0.6875,0.0625,0.985873,0.955459,0.99965024,0.99981034,hard_negative
31,,পাখনা,পখিলা,pakʰn̪a,pɔkʰila,The fins,butterfly,0.4285714285714285,0.3333333333333333,0.2048611111111111,0.2222222222222222,1.875,0.2222222222222222,0.97839236,0.9378383,0.99866796,0.99942464,synonym
32,,জল,ডল,d͡ʑɔlɔ,dɔlɔ,Water,Doll,0.3333333333333333,0.25,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,0.9761673,0.9450358,0.99973905,0.9999077,hard_negative
33,,কলা,কোলা,kɔla,kʊla,Banana,Cola,0.25,0.0,0.0104166666666666,0.0104166666666666,0.125,0.0104166666666666,0.9878646,0.9841851,0.9997432,0.99992967,hard_negative
34,,কবি,কটি,kɔbi,kɔti,Poet,Waist,0.25,0.25,0.0364583333333333,0.0416666666666666,0.34375,0.0364583333333333,0.9802303,0.92631316,0.99967086,0.99984086,hard_negative
35,,গম,কম,ɡɔmɔ,kɔmɔ,Wheat,Less,0.25,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.98069584,0.9215708,0.99974465,0.999953,hard_negative
36,,একলা,কলা,ekɔla,kɔla,Alone,Banana,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,0.9810707,0.96084857,0.999582,0.99991983,hard_negative
37,,পাখা,পাখি,pakʰa,pakʰi,Fan,Birds,0.2,0.0,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,0.9833306,0.96384627,0.99919796,0.999822,hard_negative
38,,বোন,বন,bon̪,bɔnɔ,Sister,Forest,0.5,0.25,0.2447916666666666,0.2708333333333333,1.9375,0.2708333333333333,0.9876695,0.9637522,0.9998195,0.9999267,hard_negative
39,,টেহা,অহা,ʈeɦa,ɔɦa,Teha,Come on,0.5,0.25,0.2604166666666666,0.28125,2.125,0.28125,0.98462844,0.9470632,0.99976206,0.99980974,hard_negative
40,,বাউল,বাউলা,baulɔ,baula,Bowl,Baula,0.2,0.0,0.0333333333333333,0.0333333333333333,0.35,0.0333333333333333,0.9826209,0.9687121,0.99990076,0.99993783,hard_negative
41,,পাখনা,পখিলা,pakʰn̪a,pɔkʰila,The fins,butterfly,0.4285714285714285,0.3333333333333333,0.2048611111111111,0.2222222222222222,1.875,0.2222222222222222,0.97839236,0.9378383,0.99866796,0.99942464,synonym
42,,কহা,খহা,kɔɦa,kʰɔɦa,Say,Eat,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.98682666,0.97707343,0.9998001,0.9996879,hard_negative
43,,পুস্তক,দিঠক,puʃt̪ɔkɔ,ditʰɔkɔ,Books,That's right,0.5,0.2857142857142857,0.1815476190476189,0.1964285714285714,1.5178571428571428,0.1934523809523809,0.97978,0.94013083,0.9991667,0.99966925,hard_negative
44,,মুখ,মাখ,mukʰ,makʰ,Face,Makh,0.25,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,0.98512197,0.96221584,0.9998528,0.9999526,hard_negative
45,,পাখ,পাক,pakʰ,pak,Wings,Pak,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.9824649,0.9706259,0.9997258,0.99982417,hard_negative
46,,হিয়া,জীয়া,ɦie̯a,zija,Heart,live,0.6,0.25,0.0572916666666666,0.0729166666666666,1.0,0.0572916666666666,0.9808568,0.965731,0.99976325,0.9998075,hard_negative
47,,লবণ,চাবন,lɔbɔnɔ,sabɔnɔ,Salt,Chewing,0.3333333333333333,0.1666666666666666,0.0486111111111111,0.0486111111111111,0.75,0.0486111111111111,0.97744584,0.9551256,0.99989045,0.9998147,hard_negative
48,,মাতা,মাঠা,mat̪a,matʰa,Mother,Matha,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.9907988,0.9489758,0.99986994,0.9998029,hard_negative
49,,হাল,হাঁহ,ɦalɔ,ɦãɦɔ,Hello,duck,0.5,0.25,0.046875,0.0520833333333333,0.53125,0.046875,0.9860173,0.95410323,0.9998559,0.9998726,hard_negative
50,,সাত,আট,ʃat̪,at,Seven,Eight,0.5,0.3333333333333333,0.3194444444444444,0.3472222222222222,2.5,0.3472222222222222,0.9882406,0.9747379,0.9995613,0.9999413,hard_negative
51,,তিতা,তিঁতা,t̪it̪a,tĩta,bitter,Tinta,0.5,0.25,0.03125,0.03125,0.25,0.03125,0.9833745,0.9479953,0.99980295,0.99985015,hard_negative
52,,ফল,পল,ɸɔlɔ,pɔlɔ,Fruit,Paul,0.25,0.0,0.015625,0.0208333333333333,0.28125,0.015625,0.97816145,0.9513485,0.9998025,0.99992996,hard_negative
53,,রং,লং,rɔŋ,lɔŋ,Color,Long,0.3333333333333333,0.0,0.0416666666666666,0.0694444444444444,0.5,0.0416666666666666,0.98767346,0.9632083,0.9999262,0.9998927,hard_negative
54,,কেলা,কলা,kela,kɔla,The banana,Banana,0.25,0.0,0.03125,0.03125,0.3125,0.03125,0.9826064,0.9631938,0.99980146,0.9999345,hard_negative
55,,পিতা,পিটা,pit̪a,pita,Father,Beaten,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.98243606,0.9598721,0.9998866,0.99967897,hard_negative
56,,স্বাধীনতা,আইতা,ʃad̪ʱin̪t̪a,aita,Freedom,Grandma,0.6363636363636364,0.4285714285714285,0.3988095238095238,0.4345238095238095,3.1428571428571432,0.4345238095238095,0.98706174,0.9435508,0.99980235,0.9997511,hard_negative
57,,পশু,তজু,pɔʃu,tɔzu,Animals,Taju,0.5,0.25,0.0572916666666666,0.0625,0.53125,0.0572916666666666,0.9718244,0.9606153,0.9997515,0.99978006,hard_negative
58,,কহা,কোদাল,kɔɦa,kʊdal,Say,Spade,0.6,0.4,0.2291666666666666,0.25,2.375,0.2458333333333333,0.9888433,0.97600484,0.99971455,0.99970543,random
59,,বঙ্গ,বেংক,bɔŋɡɔ,bɛŋkɔ,Bengal,bank,0.4,0.0,0.025,0.025,0.25,0.025,0.97671294,0.9382968,0.9996219,0.99986356,hard_negative
60,,বেল,বল,belɔ,bɔlɔ,Bell,Tell me,0.25,0.0,0.03125,0.03125,0.3125,0.03125,0.98297584,0.9508784,0.9996806,0.99989796,hard_negative
61,,অনুমতি,কুমটি,on̪umt̪i,kumti,Permission,Kumti,0.5,0.3333333333333333,0.2083333333333333,0.2291666666666666,2.0625,0.2256944444444444,0.9792029,0.9486362,0.9981932,0.99950624,hard_negative
62,,ভাষা,ঘাটা,bʱaʃa,gʱata,Language,Wharf,0.4,0.25,0.2552083333333333,0.28125,2.25,0.28125,0.9820757,0.9591305,0.99954003,0.99959064,hard_negative
63,,কাটা,কাঁটা,kaʈa,kãta,Cut,Thorns,0.5,0.25,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,0.99029,0.9742627,0.99993056,0.99996185,hard_negative
64,,বিজ্ঞান,বানান,bid͡ʑnan̪,banan,Science,Spell,0.5555555555555556,0.1666666666666666,0.1736111111111111,0.1875,1.4166666666666667,0.1875,0.9803593,0.9451883,0.9996402,0.9996739,hard_negative
65,,মুঠা,মূতা,muʈʰa,muta,A handful,Mutta,0.4,0.0,0.0208333333333333,0.0208333333333333,0.1875,0.0208333333333333,0.9878123,0.95794004,0.9997403,0.9999516,hard_negative
66,,বান,বাঘ,ban̪,bagʱ,The flood,Tiger,0.5,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,0.9836955,0.9646554,0.9999074,0.99976724,random
67,,ইতিহাস,ইটা,it̪iɦaʃ,ita,History,brick,0.5714285714285714,0.5,0.4583333333333333,0.5069444444444445,3.6666666666666665,0.5069444444444445,0.9661407,0.9033854,0.9973049,0.9995612,hard_negative
68,,হাত,হাট,ɦat̪,ɦat,Hand,Hat,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.9894109,0.96898544,0.99985147,0.99993944,hard_negative
69,,পাখি,বাকী,pakʰi,baki,Birds,The rest,0.4,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.98600245,0.9372463,0.99948466,0.99988073,hard_negative
70,,নীল,নীলা,n̪ilɔ,nila,Blue,Sapphire,0.4,0.0,0.0520833333333333,0.0520833333333333,0.5,0.0520833333333333,0.98029506,0.9475241,0.99980277,0.9998016,hard_negative
71,,শিক্ষা,পাখি,ʃikkʰa,pakʰi,Education,Birds,0.6666666666666666,0.4,0.25,0.275,2.375,0.2708333333333333,0.97265446,0.9739833,0.99991405,0.9998523,random
72,,টাকা,চাকা,ʈaka,saka,Money,The wheel,0.25,0.0,0.0208333333333333,0.0208333333333333,0.375,0.0208333333333333,0.98129994,0.9528458,0.99988014,0.9998421,hard_negative
73,,ভাল,বল,bʱalɔ,bɔlɔ,Good,Tell me,0.4,0.0,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,0.9915191,0.97191995,0.99983597,0.9999016,hard_negative
74,,কথা,কটা,kɔt̪ʰa,kɔta,Talk,Brown,0.3333333333333333,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.948573,0.9311513,0.9996699,0.99994177,hard_negative
75,,বাল,বালু,balɔ,balu,Baal,Sand,0.25,0.0,0.03125,0.03125,0.3125,0.03125,0.97975075,0.9584871,0.99990886,0.999865,hard_negative
76,,একতা,অটা,ekt̪a,ɔta,Unity,Ata,0.6,0.25,0.265625,0.2916666666666667,2.1875,0.2916666666666667,0.98975766,0.96878564,0.99987674,0.99993145,hard_negative
77,,পাখা,পকা,pakʰa,pɔka,Fan,ripe,0.4,0.0,0.0520833333333333,0.0520833333333333,0.5,0.0520833333333333,0.9893218,0.96936274,0.9992758,0.9998541,hard_negative
78,,মুঠি,মুচি,muʈʰi,musi,Fist,Cobbler,0.4,0.0,0.03125,0.03125,0.4375,0.03125,0.99253756,0.96863484,0.9996737,0.9999279,hard_negative
79,,ভালুক,জালুক,bʱaluk,zaluk,Bear,pepper,0.3333333333333333,0.2,0.0291666666666666,0.0333333333333333,0.425,0.0291666666666666,0.9761359,0.965166,0.99986714,0.999844,hard_negative
80,,হামি,হানা,ɦami,ɦana,Hami,Hana,0.5,0.25,0.046875,0.0520833333333333,0.53125,0.046875,0.98370606,0.9736248,0.99967676,0.99994373,hard_negative
81,,হামি,হাবি,ɦami,ɦabi,Hami,The forest,0.25,0.25,0.0208333333333333,0.0208333333333333,0.625,0.0208333333333333,0.98054886,0.9722885,0.99967223,0.99990964,hard_negative
82,,উপন্যাস,উজনি,upn̪æʃ,uzni,Novel,The south,0.6666666666666666,0.4,0.2458333333333333,0.2666666666666666,2.175,0.2625,0.9896096,0.9380538,0.99961996,0.999912,hard_negative
83,,তিমি,তিনি,t̪imi,tini,Whale,He,0.4,0.25,0.0364583333333333,0.0416666666666666,0.34375,0.0364583333333333,0.9794615,0.95607555,0.99964744,0.9996949,hard_negative
84,,ভাল,বালু,bʱalɔ,balu,Good,Sand,0.4,0.0,0.03125,0.03125,0.3125,0.03125,0.99151915,0.9719198,0.99983585,0.99990165,hard_negative
85,,পাণ,পাং,pan,paŋ,Pan,Pang,0.3333333333333333,0.0,0.0625,0.0694444444444444,0.7083333333333334,0.0625,0.9873819,0.96599156,0.99994105,0.99994385,hard_negative
86,,মিডা,মইনা,miɖa,mina,Mida,Moina,0.25,0.25,0.03125,0.03125,0.75,0.03125,0.96742094,0.94546425,0.9993371,0.9998773,hard_negative
87,,পশু,পলু,pɔʃu,pɔlu,Animals,Larvae,0.25,0.25,0.0520833333333333,0.0520833333333333,0.875,0.0520833333333333,0.9838585,0.96229076,0.9996133,0.99982995,hard_negative
88,,হগল,নকল,ɦɔɡɔlɔ,nɔkɔlɔ,Huggle,Duplicate,0.3333333333333333,0.1666666666666666,0.0381944444444444,0.0416666666666666,0.4791666666666667,0.0381944444444444,0.9839749,0.9275386,0.99986804,0.999908,hard_negative
89,,কহা,কঁহ,kɔɦa,kɔ̃ɦɔ,Say,Sigh,0.4,0.0,0.0520833333333333,0.0520833333333333,0.5625,0.0520833333333333,0.9848409,0.9647579,0.9997785,0.9997327,hard_negative
90,,কালি,খালী,kali,kʰali,yesterday,empty,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,0.9771611,0.96347964,0.99927086,0.9998372,hard_negative
91,,মূল,বল,mulɔ,bɔlɔ,Original,Tell me,0.5,0.25,0.0520833333333333,0.0520833333333333,0.9375,0.0520833333333333,0.98370236,0.9722855,0.99967444,0.9999165,hard_negative
92,,ভাজা,বাধা,bʱad͡ʑa,badʰa,Fried,Obstacles,0.4285714285714285,0.25,0.0520833333333333,0.0520833333333333,0.5,0.0520833333333333,0.9860862,0.97952986,0.999769,0.99994016,hard_negative
93,,টাং,জাং,ʈaŋ,zaŋ,Tang,Thigh,0.3333333333333333,0.0,0.0416666666666666,0.0416666666666666,0.5833333333333334,0.0416666666666666,0.9917325,0.97676086,0.99981594,0.99992627,hard_negative
94,,দাঁত,আঁট,d̪ãt̪ɔ,ãtɔ,Teeth,Tight,0.5,0.3333333333333333,0.2395833333333333,0.2604166666666667,1.875,0.2604166666666667,0.9824147,0.97093517,0.99982524,0.9999076,hard_negative
95,,ভাষা,বাছা,bʱaʃa,basa,Language,Boy,0.4,0.0,0.0208333333333333,0.0208333333333333,0.1875,0.0208333333333333,0.9859272,0.95958847,0.9995588,0.99975437,hard_negative
96,,উট,উদং,uʈɔ,udɔŋ,The camel,Naked,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0,0.2708333333333333,0.9870552,0.97003984,0.9993768,0.9998232,hard_negative
97,,হগল,অকল,ɦɔɡɔlɔ,ɔkɔlɔ,Huggle,Alone,0.3333333333333333,0.1666666666666666,0.15625,0.1736111111111111,1.25,0.1736111111111111,0.98661184,0.9522213,0.99978244,0.9998695,hard_negative
98,,স্বাধীনতা,বাসিন্দা,ʃad̪ʱin̪t̪a,baxinda,Freedom,Resident,0.6363636363636364,0.2857142857142857,0.0892857142857142,0.0952380952380952,1.0,0.0892857142857142,0.9740124,0.9648918,0.99957037,0.99982655,hard_negative
99,,তামা,টেমা,t̪ama,tɛma,Copper,Theme,0.4,0.0,0.03125,0.03125,0.25,0.03125,0.977305,0.9503795,0.9999056,0.999757,hard_negative
