,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,mbert_cos,label
15,All languages,কৃষ্ণ,অকৃষ্ণ,kɽixnɔ,okɽiʃnɔ,Krishna,Akrishna,0.2857142857142857,0.2857142857142857,0.1488095238095238,0.1666666666666666,1.2678571428571428,0.1636904761904762,1,0.939158856868744,hard_negative
16,All languages,গু,মু,gu,mu,Gu,Mu,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.8666781783103943,hard_negative
17,All languages,গলা,কলা,gɔla,kɔla,Throat,Banana,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.9370126128196716,hard_negative
18,All languages,কল,কে,kɔlɔ,ke,Call,Who,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.7940475940704346,synonym
19,All languages,কল,অকল,kɔlɔ,okɔlɔ,Call,Alone,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,0.9204339385032654,hard_negative
20,All languages,পুষ্প,পুষ্পক,puxpɔ,puʃpɔkɔ,Flowers,Flower,0.4285714285714285,0.4285714285714285,0.2767857142857143,0.3095238095238096,2.3035714285714284,0.3065476190476189,1,0.97080796957016,synonym
21,All languages,মাজ,মা,maz,ma,middle,Mom,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.9009976983070374,hard_negative
22,All languages,টাং,গাং,ʈaŋ,gaŋ,Tang,Gang,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.9586673974990844,hard_negative
23,All languages,বহুত,বহঁত,bɔɦut̪,bɔɦɔ̃tɔ,lot,A lot,0.4285714285714285,0.1666666666666666,0.1840277777777778,0.2013888888888888,1.5416666666666667,0.2013888888888888,1,0.8957966566085815,hard_negative
24,All languages,রাং,গাং,raŋ,gaŋ,Rang,Gang,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.94549560546875,hard_negative
25,All languages,কে,কল,ke,kɔlɔ,Who,Call,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.7941252589225769,synonym
26,All languages,বালক,বাল,balɔkɔ,bal,Boy,Baal,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.8894115686416626,synonym
27,All languages,অনুবাদ,অনুবাদক,on̪ubad̪,ɔnubadɔkɔ,Translation,Translator,0.5555555555555556,0.3333333333333333,0.3125,0.3472222222222222,2.5,0.3472222222222222,1,0.9023149013519288,hard_negative
28,All languages,পাত,পাতা,pat̪,pata,leaves,Leaves,0.25,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.9571433663368224,synonym
29,All languages,একলা,কলা,ekɔla,kɔla,Alone,Banana,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,0.9139318466186525,hard_negative
30,All languages,সহা,অহা,ʃɔɦa,ɔɦa,Saha,Come on,0.25,0.25,0.2291666666666666,0.25,1.8125,0.25,1,0.9107095003128052,hard_negative
31,All languages,বোন,বন,bon̪,bɔnɔ,Sister,Forest,0.5,0.25,0.2447916666666666,0.2708333333333333,1.9375,0.2708333333333333,1,0.8617129325866699,hard_negative
32,All languages,ধুমা,ঘুমা,d̪ʱuma,gʱuma,Smoke,Sleep,0.3333333333333333,0.25,0.2291666666666666,0.25,1.8125,0.25,1,0.9581158757209778,hard_negative
33,All languages,ভাই,ঘাই,bʱai,gʱai,Brother,Main,0.25,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.8408683538436891,hard_negative
34,All languages,পুষ্পক,পুষ্প,puʃpɔkɔ,puxpɔ,Flower,Flowers,0.4285714285714285,0.4285714285714285,0.2767857142857143,0.3095238095238096,2.3035714285714284,0.3065476190476189,1,0.9708202481269836,synonym
35,All languages,বা,আবা,ba,aba,Or,Dad,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.9330304265022278,hard_negative
36,All languages,বান,বাঘ,ban̪,bagʱ,The flood,Tiger,0.5,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.8605149388313293,random
37,All languages,আম্র,আম,amrɔ,am,Mango,Mango,0.5,0.5,0.4322916666666667,0.5,3.625,0.5,2,0.9160287976264954,synonym
38,All languages,তামা,ঘামা,t̪ama,gʱama,Copper,Sweat,0.4,0.25,0.2291666666666666,0.25,1.8125,0.25,1,0.8826789855957031,hard_negative
39,All languages,লাউ,গাউ,lau,gau,Lau,Cow,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.8118494153022766,hard_negative
40,All languages,বহ্নি,অগ্নি,bɔɦn̪i,ɔgni,Bohni,Fire,0.5,0.4,0.3666666666666667,0.4083333333333333,2.95,0.4083333333333333,2,0.9674139618873596,synonym
