,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
14,All_languages,जज़्बा,جذبه,d͡ʒəzbaː,d͡ʒzbh,passion,Attraction,1.1900038999999998,0.7993218898773193,0.4728259146213532,loan
15,All_languages,शब बख़ैर,شب بخیر,ʃəbə bəxæːr,ʃb bxjr,Shab bhair,Good Night,-6.980842599999999,0.866428017616272,0.6244568228721619,loan
16,All_languages,कामयाब,کامیاب,kaːmjaːb,kɒmjɒb,successful,Success,-1.6552040000000001,0.9317330718040466,0.7253506779670715,loan
17,All_languages,वर्ज़िश,ورزش,vərziʃ,vrzʃ,work,Sport,-0.16035439999999998,0.7872481942176819,0.69007408618927,loan
18,All_languages,साया,سایه,saːjaː,sɒjh,Shadow,Shadow,0.42894897,0.8422005772590637,0.5646480917930603,loan
19,All_languages,दीदार,دیدار,diːdaːr,djdɒr,seen,Meet,-4.8561225,0.845724880695343,0.7659440040588379,loan
20,All_languages,शाबाश,شاباش,ʃaːbaːʃ,ʃɒbɒʃ,Well done,Very good,-5.3572655,0.908852517604828,0.7342008352279663,loan
21,All_languages,माजूफल,مازو,maːd͡ʒuːpʰəl,mɒzv,nutmeg,مازو,-2.5093617000000004,0.9113417267799376,0.5992596745491028,loan
22,All_languages,रंजिश,رنجش,rəɲd͡ʒiʃ,rnd͡ʒʃ,enmity,رنجش,-2.4979234,0.8634879589080809,0.5614897012710571,loan
23,All_languages,बुनियाद,بنیاد,bunijaːd,bnjɒd,foundation,base on,-4.027191999999999,0.8285811543464661,0.710407018661499,loan
24,All_languages,दस्तावेज़,دستاویز,dəstaːvez,dstɒvjz,document,Document,-5.5432034,0.8629862666130066,0.6955403089523315,loan
25,All_languages,तंबाकू,تنباکو,təmbaːkuː,tnbɒkv,Tobacco,Tobacco,-0.6558016999999999,0.8272230625152588,0.4718576669692993,loan
26,All_languages,आस्तीन,آستین,aːstiːn,ɒstjn,sleeve,Sleeve,-3.059773,0.8992199897766113,0.670281708240509,loan
27,All_languages,शुतुरमुर्ग़,شترمرغ,ʃuturmurɣə,ʃtrmrɣ,ostrich,شترمرغ,-3.2185302000000005,0.8693867325782776,0.5103590488433838,loan
28,All_languages,निगाह,نگه,niɡaːɦ,ŋh,gaze,Hold,-6.848006699999999,0.8971245288848877,0.6942184567451477,loan
29,All_languages,बादाम,بادام,baːdaːm,bɒdɒm,Almond,Almond,-1.7741006999999998,0.9083071947097778,0.6934610605239868,loan
30,All_languages,फ़र्ज़,فرض,fərzə,frz,duty,Duty,-1.1193518999999998,0.4664318859577179,0.6645601987838745,loan
31,All_languages,अर्ज़ी,ارضی,arziː,ɒrzj,application,Earth,-2.511269,0.8637973666191101,0.629808783531189,loan
32,All_languages,आग़ोश,آغوش,aːɣoʃ,ɒɣvʃ,lap,Embrace,-1.0968406000000002,0.8933574557304382,0.6868050694465637,loan
33,All_languages,लाल,لال,laːl,lɒl,red,Red,-1.0420253000000002,0.8793737888336182,0.8285547494888306,loan
34,All_languages,इज़ाफ़ा,اضافه,izaːfaː,ɒzɒfh,enlargement,Added,-3.9374962,0.6329376101493835,0.5729968547821045,loan
35,All_languages,इलाहाबाद,الله‌آباد,ilaːɦaːbaːd,ɒllh‌ɒbɒd,Allahabad,Allahabad,-7.491092999999999,0.8592782616615295,0.5618786811828613,loan
36,All_languages,दामाद,داماد,daːmaːd,dɒmɒd,son in law,son in law,-2.4111675999999997,0.93788880109787,0.7429156303405762,loan
37,All_languages,ख़ुशआमदीद,خوش آمدید,xuʃəamdiːd,xvʃ ɒmdjd,happy man,welcome,-3.9530443999999996,0.8258796334266663,0.7116242051124573,loan
38,All_languages,क़ुस्तुंतुनिया,قسطنطنیه,qustuntunijaː,ɣstntnjh,Qustuntuniya,Constantinople,-17.718782,0.8520894050598145,0.6296384334564209,loan
39,All_languages,पाश,پاشیدن,paːʃ,pɒʃjdn,loop,Sprinkle,-12.903442,0.7868467569351196,0.5770703554153442,loan
40,All_languages,बर्दाश्त,برداشت,bərdaːʃtə,brdɒʃt,tolerate,Endurance,-0.3706756,0.8238709568977356,0.4967260658740997,loan
41,All_languages,बेवफ़ा,بی‌وفا,bevfaː,bj‌vfɒ,unfaithful,disloyal,-2.1065977000000005,0.8836623430252075,0.7187375426292419,loan
42,All_languages,ख़ाक,خاک,xaːk,xɒk,dry,Soil,-1.8374939,0.8224914073944092,0.6397693157196045,loan
43,All_languages,अतलस,اطلس,atləs,ɒtls,atlas,Atlas,-0.68178505,0.5494904518127441,0.601357102394104,loan
44,All_languages,pluvial,pluvial,ˈpluviəl,plyvjal,pluvial,pluvial,-2.3676612,0.9999995231628418,1.0,loan
45,All_languages,apogee,apogée,ˈæpəˌʤi,apɔʒe,apogee,apogee,-0.9902985999999999,0.8352615833282471,0.7711486220359802,loan
46,All_languages,galvanize,galvaniser,ˈgælvəˌnaɪz,ɡalvanizəʀ,galvanize,galvanize,-1.5284357,0.9116652011871338,0.8621883988380432,loan
47,All_languages,Australasia,Australasie,ˌɔstrəˈleɪʒə,ostʀalazi,Australasia,Australasia,-2.3318748,0.9599274992942809,0.8505661487579346,loan
48,All_languages,frivol,frivole,frivol*,fʀivɔl,frivolous,frivolous,-2.8253825,0.8348435759544373,0.8472705483436584,loan
49,All_languages,rob,rober,rɑb,ʀɔbəʀ,rob,rober,-2.7380588,0.9178515672683716,0.9003945589065552,loan
50,All_languages,hors d'oeuvre,hors-d'œuvre,ɔr dərv,ɔʀs-d'œvʀ,appetizers,appetizers,-2.1787784,0.914377987384796,0.6798185110092163,loan
51,All_languages,pulverise,pulvériser,pulverise*,pylveʀizəʀ,pulverise,spray,-1.5665135000000001,0.9290618896484376,0.7970817685127258,loan
52,All_languages,nature morte,nature morte,ˈneɪʧər morte*,natyʀə mɔʀt,still lifes,still lifes,-3.938098,0.9999995231628418,1.0,loan
53,All_languages,rouet,rouet volant,rouet*,ʀut vɔlɑ̃,spinning wheel,flying spinning wheel,-6.2415867,0.96163010597229,0.7723401188850403,loan
54,All_languages,witzchoura,vitchoura,witzchoura*,vitʃuʀa,witzchoura,feature,-6.680694,0.9219756126403807,0.8336201906204224,loan
55,All_languages,rocambolesque,rocambolesque,rocambolesque*,ʀɔkɑ̃bɔlɛsk,incredible,incredible,-2.1068472999999996,0.9999998807907104,1.0,loan
56,All_languages,cape,cap,keɪp,ka,cape,cap,-0.34920478,0.7789272665977478,0.637234091758728,loan
57,All_languages,Portier,Portier,ˈpɔrtiər,pɔʀsjəʀ,Porter,Porter,-3.015489,0.9999998807907104,1.0,loan
58,All_languages,Meuse,Meuse,mjuz,mœz,Meuse,Meuse,-2.771024,0.9999994039535522,1.0,loan
59,All_languages,Saïda,Saïda,saïda*,saida,Saida,Saida,-2.0775203999999996,0.9999998807907104,1.0,loan
60,All_languages,Detroit,détroit,ˈdiˌtrɔɪt,detʀwa,Detroit,strait,-0.44109929999999997,0.5111860036849976,0.5390968322753906,loan
61,All_languages,tac-au-tac,riposter du tac au tac,tac-au-tac*,ʀipɔstəʀ dy tak o tak,tac-au-tac,retaliate tit for tat,-39.18585,0.9213044047355652,0.6268824338912964,loan
62,All_languages,salut des armes,salut des armes,salut* dɪ ɑrmz,salyt dəs aʀm,gun salute,gun salute,-9.600325,0.9999997615814208,1.0,loan
63,All_languages,goitre,goitron,goitre*,ɡwatʀɔ̃,,goitron,-7.700539999999999,0.9480965137481691,0.7291903495788574,loan
64,All_languages,plein air,plein air,plin ɛr,pləin ɛʀ,plein air,plein air,-7.5567117,0.9999996423721312,1.0,loan
65,All_languages,municipality,municipalité,mˌjunɪsəˈpæləti,mynizipalite,municipality,municipality,-3.6437004,0.6928162574768066,0.8572825193405151,loan
66,All_languages,pis aller,pis-aller,pis* ˈɔlər,pis-aləʀ,bad luck,second best,-1.7523304,0.9451130628585817,0.7657577991485596,loan
67,All_languages,lithofracteur,lithofracteur,lithofracteur*,litɔfʀaktœʀ,lithographer,lithographer,-4.2635555,0.9999998807907104,1.0,loan
68,All_languages,plurisecular,pluriséculaire,plurisecular*,plyʀizekylɛʀ,plurisecular,centuries old,-14.936951,0.8953859210014343,0.8950678706169128,loan
69,All_languages,metamorphose,métamorphoser,ˌmɛtəˈmɔrfoʊz,metamɔʀfɔzəʀ,metamorphosis,metamorphose,-3.7316015,0.7686315774917603,0.6370510458946228,loan
70,All_languages,agent provocateur,agent provocateur,ˈeɪʤənt provocateur*,aʒɑ̃t pʀɔvɔkatœʀ,provocative factor,provocative factor,-2.2321935,0.9999997615814208,1.0,loan
71,All_languages,geodesy,géodésie,ʤiˈɑdəsi,ʒeɔdezi,geodesy,geodesy,-2.2398374,0.7228068113327026,0.7227963209152222,loan
72,All_languages,Payette,Payette,peɪɛt,pəɛt,Payette,Payette,-2.9074892999999995,0.9999995827674866,1.0,loan
73,All_languages,radiodiffusion,radiodiffusion,radiodiffusion*,ʀadjɔdifysjɔ̃,broadcasting,broadcasting,-2.8451395,0.9999998807907104,1.0,loan
74,All_languages,instant,instant,ˈɪnstənt,ɛ̃stɑ̃,instant,instant,-3.1404405,0.9999995231628418,1.0,loan
75,All_languages,patrol,patrouille,pəˈtroʊl,patʀujl,patrol,patrol,-1.1535753999999998,0.3727783858776093,0.8438720107078552,loan
76,All_languages,fluidity,fluidité,fluˈɪdəti,flɥidite,fluidity,fluidity,-1.5436943,0.8160927295684814,0.8205499053001404,loan
77,All_languages,anacyclic,anacyclique,anacyclic*,anaziklik,anacyclic,anacyclic,-3.6953952000000005,0.8196792006492615,0.8279051184654236,loan
78,All_languages,Boche,boche,bɑʧ,bɔʃ,Boche,Boche,-0.39722028,0.9293124079704284,0.7073395848274231,loan
79,All_languages,Matheny,Matheny,ˈmæθɪni,matəni,Matheny,Matheny,-2.8490446,0.9999992847442628,1.0,loan
80,All_languages,crêpe Suzette,crêpe Suzette,crêpe* ˌsuˈzɛt,kʀə̂pə syzɛt,Crepe suzette,Crepe suzette,-6.277557,0.9999997615814208,1.0,loan
81,All_languages,Diakite,Diakité,diakite*,djakite,Diakite,Diakity,-2.0591459999999997,0.9488782286643982,0.726154088973999,loan
82,All_languages,redoubtable,redoutable,rəˈdaʊtəbəl,ʀədutabl,redoubtable,formidable,-1.5635693000000002,0.979095458984375,0.8018417954444885,loan
83,All_languages,cerebral,cérébral,ˈsɛrəbrəl,seʀebʀal,cerebral,cerebral,0.050440777,0.8540921807289124,0.6329753398895264,loan
84,All_languages,Cayes,Cayes,keɪz,kəs,Cayes,Cayes,-1.9792821,0.9999996423721312,1.0,loan
85,All_languages,placket,plaquer,placket*,plakəʀ,placket,tackle,-7.945296000000001,0.9045895338058472,0.6881068348884583,loan
86,All_languages,Danna,D'Anna,ˈdænə,d'ɑna,Danna,From Anna,-1.0391146999999998,0.8179993033409119,0.6601536273956299,loan
87,All_languages,musculature,musculature,ˈməskjələʧər,myskylatyʀ,musculature,musculature,-5.1208873,0.9999997615814208,1.0,loan
88,All_languages,fisher cat,fiche,ˈfɪʃər kæt,fiʃ,fisher cat,form,-4.6003050000000005,0.6473190188407898,0.6348496079444885,loan
89,All_languages,immanent,immanēns,ˈɪmənənt,ɛmanə̄n,immanent,immanen,-2.3153625,0.8807182312011719,0.7712447047233582,loan
90,All_languages,Nouvelle-Aquitaine,Nouvelle-Aquitaine,nouvelle-aquitaine*,nuvɛlə-akitɛn,New Aquitaine,New Aquitaine,-5.244436299999999,0.9999997615814208,1.0,loan
91,All_languages,Couture,Couture,kuˈtʊr,kutyʀ,Couture,Couture,-2.3200933999999998,0.9999997615814208,1.0,loan
92,All_languages,anagram,anagramme,ˈænəˌgræm,anaɡʀɑm,anagram,anagram,-4.879106,0.9284234642982484,0.8994861245155334,loan
93,All_languages,etui,étui,etui*,etɥi,case,case,-1.5737731000000001,0.8860145807266235,0.6152291297912598,loan
94,All_languages,xanthein,xantheine,xanthein*,ksɑ̃təin,xanthein,xanthine,-0.8559952,0.9536059498786926,0.5878182053565979,loan
95,All_languages,quartier,quartier,quartier*,kaʀsjəʀ,piece,piece,-3.3944553999999996,0.999999701976776,1.0,loan
96,All_languages,Dnieper,Dnieper,dnieper*,dnjəpəʀ,Dnieper,Dnieper,-5.803307,0.9999998807907104,1.0,loan
97,All_languages,resume,resumer,ˈrɛzəˌmeɪ,ʀəzyməʀ,resume,resumer,-2.2572045,0.884323239326477,0.782638430595398,loan
98,All_languages,clavecin,clavecin,clavecin*,klavəzɛ̃,harpsichord,harpsichord,-2.090336,0.9999998211860656,1.0,loan
99,All_languages,historiette,historiette,historiette*,istɔʀjɛt,historiette,historiette,-4.450147599999999,0.999999701976776,1.0,loan
100,All_languages,intussusception,intussusception,intussusception*,ɛ̃tysyzɛpsjɔ̃,intussusception,intussusception,-5.331325,0.9999996423721312,1.0,loan
101,All_languages,objective,objectif,əˈbʤɛktɪv,ɔbʒɛktif,objective,goal,-3.4264762,0.7515013813972473,0.7628463506698608,loan
102,All_languages,Floch,Floc'h,floch*,flɔk',floch,Floc'h,-0.81314147,0.8427839875221252,0.6616410613059998,loan
103,All_languages,Provençal,provenceal,provençal*,pʀɔvɑ̃səal,Provençal,provenceal,-7.3900356,0.8931788206100464,0.8275958895683289,loan
104,All_languages,Berger Picard,berger picard,ˈbərgər pɪˈkɑrd,bɛʀʒəʀ pikaʀ,Berger Picard,berger picard,-2.8646974999999997,0.8893381953239441,0.7965342998504639,loan
105,All_languages,phenakistoscope,phénakistiscope,phenakistoscope*,fenakistiskɔp,phenakistoscope,phénakistiscope,-5.5113544,0.946753203868866,0.7194448709487915,loan
106,All_languages,exactitude,exactitude,ɪgˈzæktəˌtud,əɡzaktityd,exactitude,exactitude,-4.015386,0.999999701976776,1.0,loan
107,All_languages,Frechette,Fréchette,frɪˈʃɛt,fʀeʃɛt,cheeky,Fréchette,-2.5563369,0.9052850604057312,0.8576450943946838,loan
108,All_languages,en plein air,en plein air,ɛn plin ɛr,ən pləin ɛʀ,en plein air,en plein air,-3.8171136,0.9999997615814208,1.0,loan
109,All_languages,burbot,barbote,burbot*,baʀbɔt,burbot,dabbles,-6.1453323,0.9357205033302308,0.7969939708709717,loan
110,All_languages,emetic,émétique,ɪˈmɛtɪk,emetik,emetic,emetic,-1.9705069,0.8570751547813416,0.7437245845794678,loan
111,All_languages,belle sabreuse,belle,bɛl sabreuse*,bɛl,beautiful saber,belle,-5.343173,0.8547995686531067,0.6550440192222595,loan
112,All_languages,réchauffé,réchauffé,réchauffé*é,ʀeʃofe,warmed up,warmed up,-4.949617400000001,0.9999997615814208,1.0,loan
113,All_languages,accommodation,accommodation,əˌkɑməˈdeɪʃən,akkɔmɔdasjɔ̃,accommodation,accommodation,-6.955078599999999,0.9999995231628418,1.0,loan
114,All_languages,satin de laine,satin de laine,ˈsætən də leɪn,satin də lɛn,wool sateen,wool sateen,-7.0903754,0.9999998211860656,1.0,loan
115,All_languages,bacteriophage,bactériophage,bacteriophage*,bakteʀjɔfaʒ,bacteriophage,bacteriophage,-3.2793523999999996,0.96809059381485,0.8580271601676941,loan
116,All_languages,negociant,négociant,negociant*,neɡɔsjɑ̃,negotiator,merchant,-1.9143546000000002,0.9640636444091796,0.892899751663208,loan
117,All_languages,vive la différence,vive,viv lɑ différence*,viv,long live difference,vive,-15.018203,0.8147338628768921,0.6067865490913391,loan
118,All_languages,pourparler,pourparler,pourparler*,puʀpaʀləʀ,to talk,to talk,-2.6829762,0.9999997615814208,1.0,loan
119,All_languages,quatre,quatre,quatre*,katʀ,four,four,-2.4141111,0.9999998211860656,1.0,loan
120,All_languages,billet-doux,billet doux,billet-doux*,bijət du,soft ticket,soft ticket,-5.041476,0.9797210693359376,0.7959508895874023,loan
121,All_languages,compute,computer,kəmˈpjut,kɔ̃pytəʀ,compute,computer,-5.2990627,0.4652126729488373,0.7182717323303223,loan
122,All_languages,objet d'art,objet,objet* d'art*,ɔbʒɛ,art object,objet,-4.0990644,0.8418188095092773,0.6929580569267273,loan
123,All_languages,faux ami,faux-ami,foʊ ˈɑmi,foks-ami,fake friend,fake friend,-6.306443700000001,0.9681857824325562,0.8330910205841064,loan
124,All_languages,glycogen,glycogène,ˈglaɪkəʤɪn,ɡljkɔʒə̀n,glycogen,glycogen,-1.7950783,0.93165922164917,0.8669598698616028,loan
125,All_languages,pedal,pédale,ˈpɛdəl,pedal,pedal,pedal,-1.8746886999999999,0.4307858347892761,0.8019160628318787,loan
126,All_languages,Clavette,Clavette,kləˈvɛt,klavɛt,key,key,-1.9916553,0.9999996423721312,1.0,loan
127,All_languages,nationalism,nationalisme,ˈnæʃənəˌlɪzəm,nasjɔnalism,nationalism,nationalism,-1.6100572,0.8520141243934631,0.953815460205078,loan
128,All_languages,develop,développer,dɪˈvɛləp,devəlɔpəʀ,develop,to develop,-0.69229126,0.653414785861969,0.7135966420173645,loan
129,All_languages,Gallicism,gallicisme,gallicism*,ɡalizism,Gallicism,gallicism,-0.9584666,0.936359167098999,0.8038716912269592,loan
130,All_languages,aeroplane,aéroplane,aeroplane*,aeʀɔplan,aeroplane,airplane,-2.8356595,0.8885685801506042,0.8518169522285461,loan
131,All_languages,Pree,Prée,pri,pʀe,Pree,Meadow,-1.1245561000000002,0.7440634369850159,0.7974281311035156,loan
132,All_languages,chef de mission,chef de mission,ʃɛf də ˈmɪʃən,ʃəf də misjɔ̃,Head of Mission,Head of Mission,-3.8735404000000004,0.9999997615814208,1.0,loan
133,All_languages,ponce,alphonse,ˈpɑnseɪ,alfɔ̃s,ponce,alphonse,-13.040873,0.7656150460243225,0.8183241486549377,loan
134,All_languages,mortier,mortier,ˈmɔrtiər,mɔʀsjəʀ,mortar,mortar,-2.2159626,0.9999998211860656,1.0,loan
135,All_languages,feuilletonist,feuilletoniste,feuilletonist*,fœjlətɔnist,feuilletonist,columnist,-13.451673000000001,0.98638653755188,0.7428359985351562,loan
136,All_languages,inenarrable,inénarrable,inenarrable*,inenaʀʀabl,indescribable,indescribable,-5.8642535,0.8355863094329834,0.6292158961296082,loan
137,All_languages,Gobelin,Kobold,gobelin*,kɔbɔl,Goblin,Kobold,-2.5031092,0.9389008283615112,0.7853049635887146,loan
138,All_languages,nitrogen,nitrogène,ˈnaɪtrəʤən,nitʀɔʒə̀n,nitrogen,nitrogen,-6.3890224,0.7883731722831726,0.6891919374465942,loan
139,All_languages,presque vu,presque,presque* vu,pʀɛsk,almost saw,presque,-1.4941165,0.9291966557502748,0.7400998473167419,loan
140,All_languages,collaborator,collaborateur,kəˈlæbərˌeɪtər,kɔlabɔʀatœʀ,collaborator,collaborater,-2.8614832999999997,0.8419064879417419,0.8760091662406921,loan
141,All_languages,departmental,départemental,dɪˌpɑrtˈmɛnəl,depaʀtəmɑ̃tal,departmental,departmental,-5.181463,0.8125232458114624,0.6778087615966797,loan
142,All_languages,beau joueur,beau,boʊ joueur*,bo,handsome player,beau,-8.232244,0.8808033466339111,0.7931194305419922,loan
143,All_languages,lagoon,lagune,ləˈgun,laɡn,lagoon,lagoon,-3.8613824999999995,0.8151268362998962,0.7686407566070557,loan
144,All_languages,prestidigitator,prestidigitateur,ˌprɛstɪˈdɪʤəteɪtər,pʀɛstidiʒitatœʀ,prestidigitator,magician,-12.896450999999999,0.9711085557937622,0.849744975566864,loan
145,All_languages,district,district,ˈdɪstrɪkt,distʀik,district,district,-2.5527887000000002,0.9999988079071044,1.0,loan
146,All_languages,pecan,pacane,ˈpiˌkɑn,pakan,pecan,pacane,-3.4491,0.9401282668113708,0.7422659397125244,loan
147,All_languages,careen,carene,kərˈin,kaʀən,careen,fairings,-0.9162705,0.9168999791145324,0.8073141574859619,loan
148,All_languages,krumeluuri,krumelur,krumeluːri,krʉːmeːlʉːr,earwave,krumelur,-1.971748,0.9117136001586914,0.7853705286979675,loan
149,All_languages,tee,te,teː,teː,tee,te,-3.5747720999999997,0.8705242872238159,0.5543311238288879,loan
150,All_languages,kyttä,skytte,kyttæ,sɕʏteː,cop,shooter,-2.8014872000000004,0.7768268585205078,0.6605762243270874,loan
151,All_languages,veke,iväg,ʋeke,iːvɛːɡ,wick,away,-5.957106,0.8494337201118469,0.6098040342330933,loan
152,All_languages,raksi,dragsa,rɑksi,drɐɡsɑː,traction,drag,-4.5212335999999995,0.8457916378974915,0.7382685542106628,loan
153,All_languages,rekvisiitta,rekvisita,rekʋisiːttɑ,rɛkviːsiːtɑː,props,props,-12.135797,0.9610488414764404,0.6189178228378296,loan
154,All_languages,kippari,skeppare,kippɑri,sɕɛpɑːreː,skipper,skipper,-2.5593355,0.9017308950424194,0.6186960935592651,loan
155,All_languages,makki,mak,mɑkki,mɑːk,makki,mak,-0.41360405,0.8831081986427307,0.6553136110305786,loan
156,All_languages,hurtti,hurtig,hurtti,hɵrtiːɡ,dashing,fast,-2.7468320999999998,0.8654810786247253,0.8364626169204712,loan
157,All_languages,mestari,mästare,mestɑri,mɛstɑːreː,Master,Master,-4.0278945,0.7893208265304565,0.6528034806251526,loan
158,All_languages,Kumlinge,Kumlinge,kumliŋŋe,kɵmlɪnjeː,Kumlinge,Kumlinge,-2.7735790000000002,0.9999998211860656,1.0,loan
159,All_languages,-ska,-ska,-skɑ,-ɧɑː,-ska,-ska,-3.5438160000000005,0.9999998211860656,1.0,loan
160,All_languages,ankka,anka,ɑŋkkɑ,ɐnkɑː,duck,anka,-4.8294606,0.9398839473724364,0.7542106509208679,loan
161,All_languages,pitsi,spets,pitsi,spɛts,lace,tip,-1.5785278999999999,0.8123076558113098,0.7279648780822754,loan
162,All_languages,skrapa,skrapa,skrɑpɑ,ɧrɑːpɑː,Scrape,Scrape,-3.634727,0.9999998807907104,1.0,loan
163,All_languages,konsti,konst,konsti,kɔnst,wrinkle,art,-2.3241978,0.9081318378448486,0.8456206917762756,loan
164,All_languages,piippu,pipa,piːppu,piːpɑː,barrel,pipa,-4.566806,0.8883945941925049,0.7915257811546326,loan
165,All_languages,fasteri,faster,fɑsteri,fɐsteːr,fasteri,faster,-0.23690444,0.8723335862159729,0.6092016100883484,loan
166,All_languages,lankki,blank,lɑŋkki,blɐnk,bow,blank,-0.42114875,0.8423203825950623,0.709115743637085,loan
167,All_languages,limonadi,limonad,limonɑdi,liːmuːnɑːd,limonadi,lemonade,-6.128009,0.9459861516952516,0.8714886903762817,loan
168,All_languages,markkinat,marknad,mɑrkkinɑt,mɐrknɑːd,Fair,market,-4.455604599999999,0.8986866474151611,0.7641801238059998,loan
169,All_languages,Margareeta,Margareta,mɑrɡɑreːtɑ,mɐrɡɑːreːtɑː,Daisy,Margareta,-9.027231,0.8610544204711914,0.6255070567131042,loan
170,All_languages,hampuusi,hamnbuse,hɑmpuːsi,hɐmnbʉːseː,vagabond,hamnbuse,-10.201328,0.9020119905471802,0.763717770576477,loan
171,All_languages,asetti,assiett,ɑsetti,ɐsiːɛt,small plate,small plate,-3.5240002,0.7284287214279175,0.5671469569206238,loan
172,All_languages,piparkakku,pepparkaka,pipɑrkɑkku,pɛpɐrkɑːkɑː,gingerbread,gingerbread,-15.679398,0.9586844444274902,0.5924056172370911,loan
173,All_languages,kurkku,Kvarken,kurkku,kvɑːrɕeːn,cucumber,Kvarken,-6.4625363,0.8619829416275024,0.6168264746665955,loan
174,All_languages,kyökki,kök,kyøkki,ɕøːk,squat,kitchen,-3.7393222,0.9045386910438538,0.8117263317108154,loan
175,All_languages,virveli,svirvel,ʋirʋeli,svɪrveːl,rope,svirvel,-6.722557000000001,0.9083833694458008,0.7979653477668762,loan
176,All_languages,faarao,farao,fɑːrɑo,fɑːrɑːuː,pharaoh,pharaoh,-2.3357775000000003,0.9121200442314148,0.8944187760353088,loan
177,All_languages,kanslia,kansli,kɑnsliɑ,kɐnsliː,office,office,-4.464869,0.9652114510536194,0.7314554452896118,loan
178,All_languages,rontti,strunt,rontti,strɵnt,scoundrel,rubbish,-8.606902999999999,0.8540537357330322,0.6708838939666748,loan
179,All_languages,arkki,ark,ɑrkki,ɐrk,sheet,ark,-1.0774848,0.9203505516052246,0.7242791652679443,loan
180,All_languages,anjovis,ansjovis,ɑnjoʋis,ɐnɧuːviːs,anjovis,anchovies,-5.784029,0.9469328522682191,0.8321914076805115,loan
181,All_languages,duuni,dona,duːni,duːnɑː,job,dona,-6.4174213,0.9016696214675904,0.7367021441459656,loan
182,All_languages,alkoholisti,alkoholist,ɑlkoɦolisti,ɐlkuːhuːlɪst,alcoholic,alcoholic,-12.168613,0.9365860223770142,0.7838335633277893,loan
183,All_languages,klaava,klave,klɑːʋɑ,klɑːveː,clava,klave,-1.4198624,0.9019731283187866,0.7188937067985535,loan
184,All_languages,huitu,hvit,huitu,hviːt,drawing,white,-1.392508,0.8307990431785583,0.7573942542076111,loan
185,All_languages,sorvari,svarvare,sorʋɑri,svɐrvɑːreː,turner,turner,-7.168209,0.851486086845398,0.6700969934463501,loan
186,All_languages,haupitsi,haubits,hɑupitsi,hɑːʉːbɪts,howitzer,haubits,-0.30336723,0.9465782046318054,0.6584137678146362,loan
187,All_languages,jaa,ja,jɑː,jɑː,jaa,and,-2.0855134,0.836431622505188,0.7562835216522217,loan
188,All_languages,krouvi,krogher,krouʋi,krɔɡheːr,κρουβι,kroger,-4.55572,0.8802535533905029,0.6768144965171814,loan
189,All_languages,pompöösi,pompös,pompøːsi,pɔmpøːs,pompous,pompous,-2.5155540000000003,0.9231393337249756,0.8051950335502625,loan
190,All_languages,paakari,bagare,pɑːkɑri,bɑːɡɑːreː,Pakri,baker,-1.8033143,0.8182809352874756,0.7742968797683716,loan
191,All_languages,vartti,kvart,ʋɑrtti,kvɐrt,quarter,quarter,-7.45953,0.7742241621017456,0.7310175895690918,loan
