,loan_word,original_word
94,চাঁদ,চান
95,চাঁদ,চান্দ
96,চান,চন্দ্ৰ
97,চান,চাঁদ
98,চান,চান
99,চান,চান্দ
100,চাকা,চকা
101,চাকা,চকৰ
102,চাকা,চাক
103,চাকা,চাকা
104,চাকা,চাকি
105,চিন্তা,চিন্তা
106,চৈত,চ’ত
107,ছবি,ছবি
108,ছয়,ছয়
109,ছাগলী,ছাগলী
110,জন্তু,জন্তু
111,জল,জল
112,জানা,জনা
113,জানা,জানা
114,জেঠ,জেঠ
115,জ্ঞান,জ্ঞান
116,ঝিঙা,জিকা
117,টাং,টকা
118,টাং,টাকা
119,টাং,ঠেং
120,টাকা,টকা
121,টাকা,টাকা
122,টাকা,ঠেং
123,টেহা,টকা
124,টেহা,টাকা
125,টেহা,ঠেং
126,ঠেং,টকা
127,ঠেং,টাকা
128,ঠেং,ঠেং
129,ডাঁশ,ডাঁহ
130,ডাঙর,দীঘ
131,ডাঙর,দীঘল
132,ডাঙর,দীঘা
133,ডিম,ডিম
134,ডিম,ডিমা
135,ঢোল,ঢোল
136,তাই,তাই
137,তামা,তাম
138,তিতা,তিতা
139,তিমি,তিমি
140,তুমি,তুমি
141,তেল,তেল
142,দশ,দহ
143,দাঁত,দাঁত
144,দাউদাউ,দাউদাউ
145,দাড়ি,দাড়ি
146,দাম,দাম
147,দিন,দিন
148,দুঃখ,দুখ
149,দুখ,দুখ
150,দুই,দুই
151,দুগ্ধ,দুগ্ধ
152,দুধ,দুধ
153,দ্বার,দুৱাৰ
154,দ্বীপ,দ্বীপ
155,ধনিয়া,ধনিয়া
156,ধন্যবাদ,ধন্যবাদ
157,ধর্ম,ধৰ্ম
158,ধুমা,ধোঁৱা
159,ধোঁয়া,ধোঁৱা
160,নখ,নখ
161,নগর,নগৰ
162,নতুন,নতুন
163,নদী,নদী
164,নাই,নাই
165,নাও,নাও
166,নাম,নাম
167,নীল,নীল
168,নীহারিকা,নিয়ৰ
169,পদ্ম,পদুম
170,পশু,পশু
171,পাঁচ,পাঁচ
172,পাখ,পখিলা
173,পাখা,পখিলা
174,পাখি,পাখি
175,পাণ,পাণ
176,পাতা,পাতা
177,পানি,পানী
178,পানীয়,পানী
179,পায়স,পায়স
180,পিতা,পিতা
181,পিন্ধা,পিন্ধ
182,পিন্ধা,পিন্ধা
183,পুত,পুত
184,পুরুষ,পুৰুষ
185,পুষ্প,পুষ্প
186,পুস্তক,পুথি
187,পেঁচা,ফেঁচা
188,পো,পো
189,পোলা,পুলি
190,পোলা,পোনা
191,পোলা,পোৱালী
192,পোষ,পুহ
193,প্রাচীন,প্ৰাচীন
194,ফণী,ফণী
195,ফল,ফল
196,ফুল,ফুল
197,বঙ্গ,বঙালী
198,বাংলা,বঙালী
199,বাঙালি,বঙালী
200,বাঙ্গালী,বঙালী
201,বস্তু,বস্তু
202,বহুত,বহুত
203,বা,বা
204,বাঁশ,বঙহ
205,বাউল,বলিয়া
206,বাউল,বাউল
207,বাঘ,বাঘ
208,ব্যাঘ্র,বাঘ
209,বাজ,বাজ
210,বাজ,বাজে
211,বাট,বাট
212,বান,বান
213,বায়ু,বায়ু
214,বাল,বাল
215,বিছা,বিছা
216,বিছা,বৃশ্চিক
217,বিজ্ঞান,বিজ্ঞান
218,বিলাই,বিলাই
219,বিলাই,বিলৈ
220,বিষ,বিষ
221,বিষ,বিহ
222,বুদ্ধি,বুদ্ধি
223,বুধবার,বুধবাৰ
224,বেঁকা,বেঁকা
225,বেল,বেল
226,বোন,বৈনী
227,বোন,ভনী
228,ব্যবহার,ব্যৱহাৰ
229,ব্যাকরণ,ব্যাকৰণ
230,ভইষ,মৈহ
231,মহিষ,মৈহ
232,ভয়,ভয়
233,ভাই,ভাই
234,ভাজা,ভজা
235,ভাজা,ভাজা
236,ভাত,ভকত
237,ভাত,ভাত
238,ভারত,ভাৰত
239,ভাল,ভাল
240,ভালুক,ভালুক
241,ভাষা,ভাষা
242,মই,মই
243,মকাই,মাকৈ
244,মাহই,মাকৈ
245,মঙ্গলবার,মঙলবাৰ
246,ময়ূর,ময়ূৰ
247,ময়ূর,মৈৰা
248,মাংস,মঙহ
249,মাংস,মাংস
250,মাক্‌খি,মাখি
251,মাছ,মাছ
252,মাঝ,মাজ
253,মাত,মাত
254,মাতা,মাতা
255,মিছা,মিছা
256,মিঠা,মিঠা
257,মিডা,মিঠা
258,মিষ্টি,মিঠা
259,মু,মুহ
260,মুখ,মুখ
261,মুঠা,মুঠ
262,মুঠা,মুঠা
263,মুঠা,মুঠি
264,মুঠি,মুঠ
265,মুঠি,মুঠা
266,মুঠি,মুঠি
267,মুঠো,মুঠ
268,মুঠো,মুঠা
269,মুঠো,মুঠি
270,মূত্র,মূত
271,মূল,মূলা
272,মৃত্যু,মৃত্যু
273,মেঘ,মেঘ
274,মেয়ে,মাই
275,মৈ,মৈ
276,যুদ্ধ,যুদ্ধ
277,যোনি,যোনি
278,রং,ৰঙা
279,রং,ৰাং
280,রঙ,ৰঙা
281,রঙ,ৰাং
282,রাং,ৰঙা
283,রাং,ৰাং
284,রউন,লহুন
285,রসুন,লহুন
286,রচনা,ৰচনা
287,রবিবার,ৰবিবাৰ
288,রাষ্ট্র,ৰাষ্ট্ৰ
289,লবণ,লোণ
290,লাউ,লাউ
291,লাউ,লাও
292,লাখ,লাখ
293,লাজ,লাজ
294,লিপি,লিপি
295,শনিবার,শনিবাৰ
296,শব্দ,শব্দ
297,শাওন,শাওন
298,শিক্ষা,শিকোৱা
299,শিক্ষা,শিক্ষা
300,শিক্ষা,সেকা
301,শিল,শিল
302,শুখা,শুকান
303,শূন্য,শূন্য
304,শেখা,শিকা
305,শৈবাল,শেলাই
306,শ্রী,শ্রী
307,শ্রীবৃক্ষ,শ্রী
308,সকল,সকলো
309,হক্কল,সকলো
310,হগল,সকলো
311,সন্ধ্যা,সন্ধিয়া
312,সাঁঝ,সন্ধিয়া
313,সময়,সময়
314,সমান,সমান
315,সমানে,সমান
316,হমান,সমান
317,সর্প,সাপ
318,সাপ,সাপ
319,সহা,সহা
320,সাঁকো,সাঁকো
321,সাঁচা,সাঁচ
322,সাঁচা,সাঁচা
323,সাগর,সাগৰ
324,হাওর,সাগৰ
325,সাত,সাত
326,সিংহ,সিংহ
327,সোমবার,সোমবাৰ
328,স্বাধীনতা,স্বাধীনতা
329,হাচা,সঁচা
330,হাট,হাট
331,হাট,হাটী
332,হাত,হাত
333,হামি,হামি
334,হাল,হাল
335,হিংসা,হিংসা
336,হিম,হিম
337,হিয়া,হিয়া
338,হৃদয়,হিয়া
