word,synonym
অঙ্কবিদ,অঙ্কশাস্ত্রবিদ
অঙ্কবিদ,অঙ্কশাস্ত্রবেত্তা
অঙ্কবিদ,গণিতজ্ঞ
অঙ্কবিদ,গণিতবিদ
অঙ্কবিদ্যা,অঙ্কশাস্ত্র
অঙ্কবিদ্যা,গণিত
অঙ্কবিদ্যা,গণিতশাস্ত্র
অঙ্কবেত্তা,অঙ্কবিদ
অঙ্কবেত্তা,অঙ্কশাস্ত্রবিদ
অঙ্কবেত্তা,অঙ্কশাস্ত্রবেত্তা
অঙ্কবেত্তা,গণিতজ্ঞ
অঙ্কবেত্তা,গণিতবিদ
অঙ্কশাস্ত্র,অঙ্কবিদ্যা
অঙ্কশাস্ত্র,গণিত
অঙ্কশাস্ত্র,গণিতশাস্ত্র
অঙ্কশাস্ত্রবিদ,অঙ্কবিদ
অঙ্কশাস্ত্রবিদ,অঙ্কবেত্তা
অঙ্কশাস্ত্রবিদ,অঙ্কশাস্ত্রবেত্তা
অঙ্কশাস্ত্রবিদ,গণিতজ্ঞ
অঙ্কশাস্ত্রবিদ,গণিতবিদ
অঙ্কশাস্ত্রবেত্তা,অঙ্কবিদ
অঙ্কশাস্ত্রবেত্তা,অঙ্কবেত্তা
অঙ্কশাস্ত্রবেত্তা,অঙ্কশাস্ত্রবিদ
অঙ্কশাস্ত্রবেত্তা,গণিতজ্ঞ
অঙ্কশাস্ত্রবেত্তা,গণিতবিদ
অঙ্কীয়,উদরীয়
অঙ্কীয় তল,অঙ্কদেশ
অঙ্কীয় তল,অঙ্কীয়দেশ
অঙ্কীয় তল,অঙ্কীয়পৃষ্ঠ
অঙ্কীয়দেশ,অঙ্কদেশ
অঙ্কীয়দেশ,অঙ্কীয় তল
অঙ্কীয়দেশ,অঙ্কীয়পৃষ্ঠ
অঙ্কীয়পৃষ্ঠ,অঙ্কদেশ
অঙ্কীয়পৃষ্ঠ,অঙ্কীয় তল
অঙ্কীয়পৃষ্ঠ,অঙ্কীয়দেশ
অঙ্কুশ,আঁকশি
অঙ্কুশ,ডাঙ্গশ
অঙ্কুশী,আঁকশি
অজগর,ময়াল
অজগর,পাইথন
অতিমঙ্গল্য,বেলগাছ
অতিমঙ্গল্য,শ্রীফল
অতিমঙ্গল্য,বিল্ব(বৃক্ষ)
অতিমঙ্গল্য,ত্রিপত্র
অতিমঙ্গল্য,শ্রীবৃক্ষ
অতিমঙ্গল্য,কপীতন
অতিমঙ্গল্য,কর্কোটক
অতিমঙ্গল্য,মালূর
অতিমঙ্গল্য,শাণ্ডিল্য
অতিমঙ্গল্য,পূতিবাত
অতিমঙ্গল্য,মঙ্গল্য
অতিমঙ্গল্য,শিবদ্রুম
অতিমঙ্গল্য,সত্যফল
অত্যাচার,জোরাজুরি
অত্যাচার,জুলুম
অত্যাচারিত,মজলুম
অত্যাচারী,জালিম
অত্যাচারী,জুলুমকারী
অত্যাচারী,জালিম
অনুবাদ,তর্জমা
অনুমতি,ইজাজত
অন্ন,ভুক্ত
অন্ন,ভক্ষিত
অন্ন,খাওয়া
অন্ন,ভাত
অন্ন,ওদন
অপেক্ষা,এন্তেজার
অবশ্য,আলবৎ
অভদ্র,অশিষ্ট
অভদ্র,অসভ্য
অভদ্র,বেতমিজ
অভিধান,ডিকশনারি
অভিধান,ডিকশনারী
অরণ্য,বন
অরবিন্দ,পদ্ম
অর্থাৎ,মানে
অশনি,কুলিশ
অশনি,বজ্র
অশনি,বাজ
অশনি,বিদ্যুৎ
অশনি,তড়িৎ
অশনি,সৌদামিনী
অশোত,অশ্বত্থ
অশোত,পিপ্পল
অশোত,প্লক্ষ
অশোত,পিপুল
অশোত,পিপলী
অশোত,মঙ্গল্য
অশোত,শ্রীবৃক্ষ
অশ্বত্থ,পিপ্পল
অশ্বত্থ,প্লক্ষ
অশ্বত্থ,চলদল
অশ্বত্থ,পিপুল
অশ্বত্থ,অশোত
অশ্বত্থ,আশোত
অশ্বত্থ,পিপলী
অশ্বত্থ,মঙ্গল্য
অশ্বত্থ,শ্রীবৃক্ষ
অসভ্য,অভদ্র
অসভ্য,অমার্জিত
অসুস্থ,আতুর
অসুস্থ,পীড়িত
অসুস্থ,বেমার
অসুস্থ,রুগ্ন
অসুস্থ,রোগী
অসুস্থতা,ব্যাধি
অসুস্থতা,রোগ
অসুস্থতা,অস্বাস্থ্য
অসুস্থতা,পীড়া
অসুস্থতা,বিমারী
অসুস্থতা,ব্যামোহ
অসুস্থতা,বেআরামী
অস্ত্রোপচার,শল্যচিকিৎসা
অস্ত্রোপচার,অস্ত্রচিকিৎসা
অস্ত্রোপচার,সার্জারি
অস্ত্রোপচার,অপারেশন
অস্থি,হাড়
আঁঠু,জানু
আঁঠু,হাঁটু
আইজ,আজ
আইজ,আজি
আকাশ,আসমান
আগুন,অগ্নি
আগুন,অনল
আগুন,আতশ
আগুন,হুতাশন
আগুন,কৃশানু
আগুন,বহ্নি
আণ্ডা,ডীম
আণ্ডা,ডিম
আতকা,হঠাৎ
আতকা,আচমকা
আতকা,অতর্কিতে
আত্মহত্যা,আত্মঘাত
আত্মহত্যা,আত্মহনন
আত্মহত্যা,ইচ্ছামৃত্যু
আত্মহত্যা,খোদকুশি
আত্মহত্যা,গলাত দাও দেওন
আবর্জনা,জঞ্জাল
আবর্জনা,রাবিশ
আবর্জনা,নোংরা
আবর্জনা,ময়লা
আম,আম্র
আমলকী,আমলক
আমলকী,আমলাতি
আমলকী,আমলাতী
আরণ্যক,অরণ্যজাত
আর্তব,স্ত্রীরজঃ
আর্তব,মরশুমি
আর্তব,মৌসুমি
আশোত,অশ্বত্থ
আশোত,পিপ্পল
আশোত,প্লক্ষ
আশোত,পিপুল
আশোত,পিপলী
আশোত,মঙ্গল্য
আশোত,শ্রীবৃক্ষ
উত্তর,উদীচী
উত্তর,জবাব
উত্তর,উদীচ্য
উত্তর,উত্তুরে
উনান,চুলা
উনান,তন্দুর
উনান,আখা
উন্দূর,ইঁদুর
উন্দূর,ইন্দুর
উপন্যাস,নভেল
উপাচার্য,ভিসি
উপাসনা,ইবাদত
উপাসনা,প্রার্থনা
উপাসনা,নামাজ
উপাসনা,দোয়া
উপাসনা স্থান,ইবাদতখানা
উভ,উঁচু
উভ,উচ্চ
উভা,উচ্চ
উভা,উভ
উলঙ্গ,নগ্ন
উলঙ্গ,বিবস্ত্র
এঁড়ে,ষাঁড়
এঁড়ে,বলদ
এঁড়ে,মর্দা
এঁড়ে,একরোখা
এঁড়ে,একগুঁয়ে
একতা,ঐক্য
একতা,একত্ব
এবং,আর
কওয়া,বলা
কচুয়া,সবুজ
কটাহ,কড়াই
কদম,কলম্ব
কদম,কাদম্ব
কদম,নিপ
কদম,নীপ
কদম,হলিপ্রিয়
কদম,পদক্ষেপ
কদাচিৎ,কখনও
কদাচিৎ,কদাচ
কদাচিৎ,কদাচন
কদাচিৎ,কদাচ
কদাচিৎ,কদাচন
কফ,শ্লেষ্মা
কফ,কফ
কহা,বলা
কাঁকই,চিরুনি
কাঁকই,ফনী
কাক,বায়স
কাক,বলিভুক
কাক,কাগ
কাক,খঞ্জ
কাক,কাগ
কান,কর্ণ
কাহই,চিরুনি
কাহই,কাঁকই
কুঁকড়া,মোরগ
কুঁকড়া,মুরগা
কুঁকড়া,কুক্কুট
কুঞ্জলতা,কামলতা
কুঞ্জলতা,তরুলতা
কুটুম,আপন
কুটুম,এগানা
কুটুম,খেশ
কুটুম,রিশতাদার
কুম,কুসুম ফুল
কুম,কুসুম্ভ
কুশিয়ার,আখ
কুশিয়ার,ইক্ষু
কুসুম,ফুল
কুসুম,পুষ্প
কুসুম,পুষ্পক
কুসুম,বৌল
কুসুম,কুসুম ফুল
কুসুম,কুসুম্ভ
কুসুম,রজঃস্রাব
কুসুম,মাসিক
কুসুম,রজ
কুসুম,স্ত্রীধর্ম
কুসুম,স্ত্রীরজঃ
কৃষ্ণ,কানাই
কৃষ্ণ,কানু
কৃষ্ণসার,কালসার
কেউ,কেহ
কেউ,কেয়াফুল
কেওয়াড়,কপাট
কেওয়াড়,ফটক
কেওয়াড়,দরজা
কেওয়াড়,দুয়ার
কেওয়াড়,আবরণ
কেড়,কপাট
কেড়,ফটক
কেড়,দরজা
কেড়,দুয়ার
কেয়া,কেতকী
কেয়া,কেতক
কেয়া,কেওড়া
কেয়া,কি
কেয়া,কেন
কেলা,কে
কেলা,কেগা
কেলা,কেডা
কেলা,কেন
ক্যা,কেন
খন,সময়
খন,বেলা
খন,ক্ষণ
খয়ের,খদির
খাওয়া,ভক্ষণ
খাওয়া,ভক্ষিত
খিড়কি,জানালা
খিড়কি,গবাক্ষ
খিড়কি,বাতায়ন
গন্ধভাদাল,গন্ধভাদুলী
গন্ধভাদাল,গন্ধশটী
গন্ধভাদাল,কপীতন
গলা,গলদেশ
গলা,গ্রীবা
গলা,ঘাড়
গলা,গর্দান
গলা,কণ্ঠ
গলা,কণ্ঠ
গলা,টুঁটি
গলা,ওলকম
গল্প,আখ্যান
গল্প,উপকথা
গল্প,উপন্যাস
গহির,গহিরা
গহীন,গহির
গাঁ,গেরাম
গাঁও,গাঁ
গাঁও,গেরাম
গাঁড়,ফোঁড়া
গুয়া,গুবাক
গুয়া,সুপারি
গুহা,গুফা
গুহা,গুফা
গেরাম,গ্রাম
গোমূত্র,চোনা
গোষ্ঠী,খানদান
গ্রাম,গ্রাম
গ্রীষ্ম,গরমকাল
ঘর,বাড়ি
ঘর,মকান
ঘর,কোঠা
ঘর,কামরা
ঘর,গৃহ
ঘর,পরিবার
ঘর,সংসার
ঘাড়,গলদেশ
ঘাড়,গলা
ঘাড়,গ্রীবা
ঘাড়,গর্দান
ঘাড়,কণ্ঠ
চলা,কাজ করা
চলা,বাজা
চলা,রওনা হওয়া
চলা,বেরোনো
চাঁদ,চন্দ্র
চাঁদ,মাহতাব
চাঁদনি,জ্যোৎস্না
চাউল,চাল
চাউল,তণ্ডুল
চান,গোসল
চান,বুড়
চান,স্নান
চান,চন্দ্র
চান,মাহতাব
চান্নি,জ্যোৎস্না
চামচড়া,চামচিকা
চুকা,টক
চুড়ি,কাঁকন
চুড়ি,খাড়ু
চুড়ি,বাংড়ি
চৈনিক,চীনা
ছাত্র,তালিব
ছাত্র,শাগরেদ
ছিপি,কর্ক
ছুঁড়ী,মাইয়া
ছুঁড়ী,ছেমড়ী
ছুঁড়ী,ছেংড়ী
ছুঁড়ী,মাইয়া ছাওয়াল
ছুঁড়ী,মাইয়া ছোল
ছুঁড়ী,বেটী ছোল
ছেপ,থুথু
ছেপ,নিষ্ঠীবন
ছোঁড়া,ছাওয়াল
ছোঁড়া,ছোল
ছোঁড়া,মরদ
ছোঁড়া,ছেমড়া
ছোঁড়া,ছেংড়া
ছোঁড়া,ছালিয়া
ছোঁড়া,ছাইল্লা
জন্য,দরুন
জন্য,লাগি
জয়,ফতে
জরু,বিবি
জরু,বেগম
জরু,বউ
জরু,আওরত
জরু,আহলিয়া
জল,পানি
জল,বারি
জল,সলিল
জল,উদক
জল,কমল
জল,জীবন
জল,তোয়
জল,নীর
জল,পয়ঃ
জল,পানীয়
জল,উদ
জল,সার
জিগানো,জিজ্ঞাসা করা
জিগানো,পুছা
জিগানো,পুছ করা
জিগানো,প্রশ্ন করা
জিব্ভা,জবান
জিব্ভা,জিভ
জির্ভা,জবান
জির্ভা,জিভ
জির্ভা,জিহ্বা
জীবিত,জীবন্ত
জীবিত,জিন্দা
জুম্মাবার,শুক্রবার
জুলুমকারী,জালিম
জুলুমকারী,অত্যাচারী
জেঠ,জ্যৈষ্ঠ
জেঠ,জষ্টি
জ্ঞান,এলেম
ঝড়,তুফান
ঝড়,ঝঞ্ঝা
ঝড়ি,বাদল
ঝড়ি,বিষ্টি
ঝড়ি,বাদলা
ঝড়ি,মেঘ
টক,চুকা
টাকা,পয়সা
টাকা,ধন
টাকা,রুপি
টাকা,রুপিয়া
টেহা,পয়সা
টেহা,ধন
ঠাঁঁই,জায়গা
ঠাঁই,জায়গা
ডিম,আণ্ডা
ডিম,বয়দা
ঢেঁড়স,ওকড়া
তারা,আখতার
তারা,সিতারা
তিষ্টা,তৃষ্ণা
তিষ্টা,পিপাসা
তিষ্টা,পিয়াস
তিষ্ণা,পিপাসা
তিষ্ণা,পিয়াস
তীর,কিনার
তৃষ্ণা,পিপাসা
তৃষ্ণা,পিয়াস
তেঁতুল,তিন্তিড়ী
তেঁতুল,বৃক্ষাম্ল
ত্রিপত্র,বেলপাতা
ত্রিপত্র,বেলগাছ
ত্রিপত্র,শ্রীফল
ত্রিপত্র,বিল্ব(বৃক্ষ)
ত্রিপত্র,শ্রীবৃক্ষ
ত্রিপত্র,কপীতন
ত্রিপত্র,কর্কোটক
ত্রিপত্র,মালূর
ত্রিপত্র,শাণ্ডিল্য
ত্রিপত্র,অতিমঙ্গল্য
ত্রিপত্র,পূতিবাত
ত্রিপত্র,মঙ্গল্য
ত্রিপত্র,শিবদ্রুম
ত্রিপত্র,সত্যফল
ত্রিপত্র,সুভদ্রক
থন,থেকে
থন,হইতে
থন,থনে
থন,কাছে
থন,ধারে
থনে,থেকে
থনে,হইতে
থনে,কাছে
থনে,ধারে
দক্ষিণ,অবাচী
দক্ষিণ,দখিন
দক্ষিণ,ডান
দক্ষিণ,দক্ষিণা
দক্ষিণ,দক্ষিণী
দক্ষিণ,অবাচ্য
দক্ষিণ,দখনে
দাড়ি,শ্মশ্রু
দীপাবলি,দেওয়ালি
দীপাবলি,দীপালি
দীপাবলি,দীপোৎসব
দুইপর,দ্বিপ্রহর
দুর্গজয়,কেল্লাফতে
দেওয়া,আকাশ
দেওয়া,আসমান
দেওয়া,মেঘ
দেওয়া,বাদল
দেয়া,আকাশ
দেয়া,আসমান
দোলনা,ঝোলনা
দ্বীপ,জিঞ্জিরা
ধন,সম্পদ
ধন,অর্থ
ধন,দৌলত
ধন,বাড়া
ধন,শিশ্ন
ধন,পুরুষাঙ্গ
ধন,নুনু
ধন,লিঙ্গ
ধনিয়া,ধনে
ধনিয়া,ধন্যাক
ধনে,ধনিয়া
ধনে,ধন্যাক
ধন্যবাদ,জাযাকাল্লাহু খাইরান
ধন্যবাদ,শুকরিয়া
ধর্ষণ,বলাৎকার
ধর্ষণ,রেপ
ধস,ধ্বংস
ধস,বরবাদ
ধস,নষ্ট
ধস,ফানা
ধস,নষ্ট
ধস,ফানা
ধস,ধ্বংস
ধুমা,ধোঁয়া
ধুমা,ধূম
ধুমা,ধূম্র
নউগল,আঙুল
নউগল,আঙুল
নউগল,পদাঙ্গুলি
নতুন,নয়া
নষ্ট,বরবাদ
নষ্ট,খারাপ
নষ্ট,ধস
নষ্ট,ধ্বংস
নাকা,মত
নাকা,ন্যায়
নাকা,সদৃশ
নাকান,মত
নাকান,ন্যায়
নাকান,সদৃশ
নাগেশ্বর,নাগকেশর
নাগেশ্বর,কনক
নাগেশ্বর,কাঞ্চন
নিবেদন,আর্জী
নিবেদন,দরখাস্ত
নিমন্ত্রণ,দাওয়াত
নির্বাচন,ইন্তেখাব
পঁহাত,প্রভাত
পটোল,পটল
পটোল,নাগফল
পতর,শেষ রাত
পর,বাদে
পর,আলো
পর,আলোক
পর,প্রভা
পর,দীপ্তি
পরিবার,খানদান
পরিবার,গোষ্ঠী
পরিস্থিতি,অবস্থা
পরীক্ষা,ইমতেহান
পশ্চিম,প্রতীচী
পশ্চিম,পচ্চিম
পশ্চিম,মগরেব
পশ্চিম,পশ্চিমে
পশ্চিম,পাশ্চাত্য
পশ্চিম,প্রতীচ্য
পশ্চিম,মগরেবি
পসর,আলো
পসর,আলোক
পসর,প্রভা
পসর,দীপ্তি
পসরা,আলো
পসরা,আলোক
পসরা,প্রভা
পসরা,দীপ্তি
পসরা,কিরণ
পহর,আলো
পহর,আলোক
পহর,প্রভা
পহর,দীপ্তি
পাঁক,কাদা
পাঁক,কর্দম
পাখ,পাখা
পাখ,পাখনা
পাখা,পাখনা
পাখা,পাখ
পাখা,বীজনী
পাখা,বিউনী
পাতা,পত্র
পাতা,পত্রিকা
পাতা,পর্ণ
পাতা,দল
পাতা,পৃষ্ঠা
পাতা,পাত
পাতা,পেজ
পান,তামুল
পান,তাম্বূল
পানি,জল
পানি,আব
পানি,বারি
পানি,সলিল
পানি,নীর
পানিয়ালা,তালি
পানিয়ালা,তালী
পায়ু,মলদ্বার
পারদ,পারা
পালং,খাট
পালং,বিছানা
পাহাল,চুলা
পাহাল,উনান
পিতা,ওয়ালেদ
পিতা,বাপ
পিতা,আবু
পিতা,বাবা
পিতা,আব্বা
পিতা,আব্বু
পিপুল,অশ্বত্থ
পিপুল,প্লক্ষ
পিপুল,অশোত
পিপুল,আশোত
পিপুল,মঙ্গল্য
পিপুল,শ্রীবৃক্ষ
পিপ্পল,অশ্বত্থ
পিপ্পল,প্লক্ষ
পিপ্পল,অশোত
পিপ্পল,আশোত
পিপ্পল,মঙ্গল্য
পিপ্পল,শ্রীবৃক্ষ
পুছ,জিজ্ঞাসা
পুড়ি,মাইয়া
পুড়ি,চাকরানী
পুত,পুত্র
পুরস্কার,ইনাম
পুরানো,পুরাতন
পুরানো,প্রাচীন
পুরুষত্ব,মরদামি
পুষ্প,ফুল
পুষ্প,কুসুম
পুষ্প,পুষ্পক
পুষ্প,বৌল
পুস্তক,বই
পুস্তক,গ্রন্থ
পুস্তক,কিতাব
পূতিবাত,বেলগাছ
পূতিবাত,শ্রীফল
পূতিবাত,বিল্ব(বৃক্ষ)
পূতিবাত,ত্রিপত্র
পূতিবাত,শ্রীবৃক্ষ
পূতিবাত,কপীতন
পূতিবাত,কর্কোটক
পূতিবাত,মালূর
পূতিবাত,শাণ্ডিল্য
পূতিবাত,অতিমঙ্গল্য
পূতিবাত,মঙ্গল্য
পূতিবাত,শিবদ্রুম
পূতিবাত,সত্যফল
পূর্ব,প্রাচী
পূর্ব,পুব
পূর্ব,প্রাচ্য
পূর্ব,পৌর্ব
পূর্ব,পুবে
পেঁক,কাদা
পেঁক,কর্দম
পেঁচা,কুৎসিত
পেচ্ছাপ,মুত
পোয়াত,প্রভাত
প্রতি,হর
প্রতি,কুল
প্রতি,তামাম
প্রসব,জনন
প্রসব,গর্ভমোচন
প্রসব,জন্ম
প্রসব,উৎপত্তি
প্রসব,জাতি
প্রসব,ভূতি
প্রসব,আওলাদ
প্রসব,ফরজন্দ
প্রসব,সন্তান
প্রসব,প্রজা
প্রসব,সন্ততি
প্রসব,বংশ
প্রসব,ফল
প্রসব,ফল
প্রসব,পুষ্প
প্রসব,ফুল
প্রসব,কুসুম
প্রসব,নিমিত্ত
প্রসব,হেতু
প্রস্রাব,মূত্র
প্রাক্তন,সাবেক
প্রাক্তন,ভূতপূর্ব
প্রাক্তন,পূর্বতন
প্রাচীন,পুরোনো
প্রাচীন,কদীম
প্রাতরাশ,ছোট হাজরি
প্রাতরাশ,নাশ্তা
প্রাতরাশ,নাস্তা
প্রাতরাশ,নাশতা
প্রার্থনা,ইবাদত
প্রার্থনা,উপাসনা
প্রার্থনা,নামাজ
প্রার্থনা,দোয়া
প্রেমিক,প্রণয়ী
প্রেমিক,প্রেমী
প্রেমিক,অনুরাগী
প্রেমিকা,প্রণয়িণী
প্রেমিকা,প্রেয়সী
প্রেমিকা,অনুরাগিণী
বঁইচ,বেঙচ
বঁইচ,বিকঙ্কত
বঁইচ,বৈকঙ্কত
বই,কিতাব
বই,গ্রন্থ
বই,পুস্তক
বইন,আপা
বইন,বুবু
বকনা,মাদি বাছুর
বকরি,ছাগি
বকরি,ছাগল
বকুল,মধুপুষ্প
বকুল,কেশর
বকুল,ধন্বী
বকুল,গূঢ়পুষ্পক
বছর,সাল
বছর,সন
বজ্র,বাজ
বজ্র,অশনি
বজ্র,কুলিশ
বজ্র,বিদ্যুৎ
বজ্র,তড়িৎ
বজ্র,সৌদামিনী
বন্যা,সয়লাব
বন্যা,বান
বন্যা,প্লবন
বয়ঃসন্ধি,বয়ঃসন্ধিকাল
বহুত,অনেক
বহুত,খুব
বাঁদর,বানর
বাঁশ,বাঁহ
বাইরা,বর্ষা
বাইরা,বর্ষাকাল
বাইরা,বাইরা মাস
বাঘ,ব্যাঘ্র
বাঘ,শার্দূল
বাজ,বজ্র
বাত,হাওয়া
বাত,বাও
বাত,বাতাস
বাত,বায়ু
বাত,বা
বাতি,দীপ
বাতি,প্রদীপ
বাত্তি,দীপ
বাত্তি,প্রদীপ
বাদল,বৃষ্টি
বাদল,মেঘ
বাদল,বাদলা
বাদল,ঝড়ি
বাদলা,বৃষ্টি
বাদলা,মেঘ
বাদলা,বাদল
বাদলা,ঝড়ি
বান,বন্যা
বান,প্লবন
বানর,বাঁদর
বারি,পানি
বারি,জল
বারি,সলিল
বারি,নীর
বারি,উদক
বারি,কমল
বারি,জীবন
বারি,তোয়
বারি,পয়ঃ
বারি,পানীয়
বারি,উদ
বারি,সার
বাল,বালক
বাল,ছেলে
বাল,বাল্য
বিকাল,বৈকাল
বিচইন,হাতপাখা
বিচইন,পাখা
বিচইন,বীজনী
বিচইন,বিউনী
বিছা,বৃশ্চিক
বিজ্ঞাপন,ইস্তাহার
বিজ্ঞাপন,সংবাদ
বিজ্ঞাপন,প্রচার
বিয়াল,বৈকাল
বিলাই,বিড়াল
বিলাই,মেকুর
বিলাই,বিল্লি
বিলাই,মার্জার
বিল্ব,বেল
বিল্ব,শ্রীফল
বিল্ব,বেলগাছ
বিল্ব,কপীতন
বিল্ব,কর্কোটক
বিল্ব,মালূর
বিল্ব,শাণ্ডিল্য
বিশেষজ্ঞ,দক্ষ
বিশেষজ্ঞ,বিজ্ঞ
বিশেষজ্ঞ,ওস্তাদ
বিষ্যুদবার,বৃহস্পতিবার
বুড়,ডুব
বুড়,গোসল
বুড়,স্নান
বুভুক্ষা,ক্ষুধা
বৃক্ষ,গাছ
বৃক্ষ,তরু
বৃক্ষ,দ্রুম
বৃক্ষ,মহীরুহ
বৃহস্পতিবার,গুরুবার
বৃহস্পতিবার,বিষ্যুদবার
বেগুন,দুষ্প্রধর্ষিণী
বেগুন,বার্ত্তাকু
বেগুন,বার্ত্তাকি
বেগুন,ভণ্টাকী
বেগুন,মহতী
বেটা,ছেলে
বেটা,ওলদ
বেটা,পুরুষ
বেটা,ছোকরা
বেটি,কন্যা
বেটি,মেয়ে
বেডা,পোলা
বেডা,পুত
বেডা,ছাওয়াল
বেডা,পুরুষ
বেডা,মানুষ
বেডা,লোক
বেডি,মাইয়া
বেডি,পুড়ি
বেডি,মহিলা
বেডি,নারী
বেডি,স্ত্রীলোক
বেল,শ্রীফল
বেল,বিল্ব
বেল,বিল্বফল
বেল,মালূর
বেল,কর্কোটক
বেল,ঘণ্টা
বেল,জামিন
বেল,লতা
বৈঁচি,বিকঙ্কত
বৈঁচি,বৈকঙ্কত
বৈঁচি,বেঙচ
বৈকঙ্কত,বঁইচ
বৈকঙ্কত,বঁইচি
বৈকঙ্কত,বৈঁচি
বৈকঙ্কত,বিকঙ্কত
বৈকঙ্কত,বেঙচ
বোকা,নাদান
বোকা,বেকুব
বোকা,আহাম্মক
ব্যাঘ্র,বাঘ
ব্যাঘ্র,শার্দূল
ব্যাঘ্র,প্রধান
ব্যাঘ্র,শ্রেষ্ঠ
ব্যাধি,অসুস্থতা
ব্যাধি,রোগ
ব্যাধি,অস্বাস্থ্য
ব্যাধি,পীড়া
ব্যাধি,বিমারী
ব্যাধি,ব্যামোহ
ব্যাধি,বেআরামী
ভইড়,পা
ভইড়,ঠেং
ভইড়,পায়ের পাতা
ভইষ,মহিষ
ভড়,পা
ভড়,ঠেং
ভড়,পায়ের পাতা
ভাই,বেরাদর
ভাড়া,কেরায়া
ভাড়া,ভাটক
ভাত,অন্ন
ভাত,ওদন
ভাষা,জবান
মই,খালা
মই,মাসি
মউল,মহুয়া
মউল,মউআ
মউল,মৌল
মউল,মধুদ্রুম
মউল,মধুপুষ্প
মউল,মধুক
মউল,মুকুল
মউল,বউল
মকাই,ভুট্টা
মঙ্গলবার,কুজবার
মঙ্গলবার,ভৌমবার
মতি,বুদ্ধি
মতি,মেধা
মতি,জ্ঞান
মতি,মগজ
মরা,ওফাত
মরা,মৌত
মরা,মৃত্যু
মরা,মরণ
মরিচ,লঙ্কা
মহঙ্গা,দামী
মহঙ্গা,দুর্মূল্য
মহঙ্গা,মূল্যবান
মহিষ,ভইষ
মাংস,গোশত
মাকড়সা,উর্ণনাভ
মাকড়সা,ঊর্ণনাভ
মাকড়সা,লূতা
মাকড়সা,মাকড়
মাঙ্গা,দামী
মাঙ্গা,দুর্মূল্য
মাঙ্গা,মূল্যবান
মাত,কথা
মাত,শব্দ
মাত,রা
মাতা,ওয়ালেদা
মাতা,মা
মাতা,আম্মা
মাতা,আম্মু
মাতা,মাত করা
মাতা,কথা কওয়া
মাতা,কথা বলা
মাতৃভাষা,প্রথম ভাষা
মাদান,মধ্যাহ্ন
মালূর,বেল
মালূর,শ্রীফল
মালূর,বিল্ব
মালূর,বেলগাছ
