,loan_word,original_word
144,টাকা,ধন
145,ঠেং,ধন
146,টকা,রুপি
147,টাকা,রুপি
148,ঠেং,রুপি
149,টকা,রুপিয়া
150,টাকা,রুপিয়া
151,ঠেং,রুপিয়া
152,টকা,পয়সা
153,টাকা,পয়সা
154,ঠেং,পয়সা
155,টকা,ধন
156,টাকা,ধন
157,ঠেং,ধন
158,ডিম,আণ্ডা
159,ডিমা,আণ্ডা
160,ডিম,বয়দা
161,ডিমা,বয়দা
162,দাড়ি,শ্মশ্রু
163,দ্বীপ,জিঞ্জিরা
164,ধনিয়া,ধনে
165,ধনিয়া,ধন্যাক
166,ধন্যবাদ,জাযাকাল্লাহু খাইরান
167,ধন্যবাদ,শুকরিয়া
168,ধোঁৱা,ধোঁয়া
169,ধোঁৱা,ধূম
170,ধোঁৱা,ধূম্র
171,নতুন,নয়া
172,পখিলা,পাখা
173,পখিলা,পাখনা
174,পখিলা,পাখনা
175,পখিলা,পাখ
176,পখিলা,বীজনী
177,পখিলা,বিউনী
178,পাতা,পত্র
179,পাতা,পত্রিকা
180,পাতা,পর্ণ
181,পাতা,দল
182,পাতা,পৃষ্ঠা
183,পাতা,পাত
184,পাতা,পেজ
185,পানী,জল
186,পানী,আব
187,পানী,বারি
188,পানী,সলিল
189,পানী,নীর
190,পিতা,ওয়ালেদ
191,পিতা,বাপ
192,পিতা,আবু
193,পিতা,বাবা
194,পিতা,আব্বা
195,পিতা,আব্বু
196,পুত,পুত্র
197,পুষ্প,ফুল
198,পুষ্প,কুসুম
199,পুষ্প,পুষ্পক
200,পুষ্প,বৌল
201,পুথি,বই
202,পুথি,গ্রন্থ
203,পুথি,কিতাব
204,ফেঁচা,কুৎসিত
205,প্ৰাচীন,পুরোনো
206,প্ৰাচীন,কদীম
207,বহুত,অনেক
208,বহুত,খুব
209,বঙহ,বাঁহ
210,বাঘ,ব্যাঘ্র
211,বাঘ,শার্দূল
212,বাজ,বজ্র
213,বাজে,বজ্র
214,বান,বন্যা
215,বান,প্লবন
216,বাল,বালক
217,বাল,ছেলে
218,বাল,বাল্য
219,বিছা,বৃশ্চিক
220,বৃশ্চিক,বৃশ্চিক
221,বিলাই,বিড়াল
222,বিলৈ,বিড়াল
223,বিলাই,মেকুর
224,বিলৈ,মেকুর
225,বিলাই,বিল্লি
226,বিলৈ,বিল্লি
227,বিলাই,মার্জার
228,বিলৈ,মার্জার
229,বেল,শ্রীফল
230,বেল,বিল্ব
231,বেল,বিল্বফল
232,বেল,মালূর
233,বেল,কর্কোটক
234,বেল,ঘণ্টা
235,বেল,জামিন
236,বেল,লতা
237,বাঘ,বাঘ
238,বাঘ,শার্দূল
239,বাঘ,প্রধান
240,বাঘ,শ্রেষ্ঠ
241,মৈহ,মহিষ
242,ভাই,বেরাদর
243,ভকত,অন্ন
244,ভাত,অন্ন
245,ভকত,ওদন
246,ভাত,ওদন
247,ভাষা,জবান
248,মই,খালা
249,মই,মাসি
250,মাকৈ,ভুট্টা
251,মঙলবাৰ,কুজবার
252,মঙলবাৰ,ভৌমবার
253,মৈহ,ভইষ
254,মঙহ,গোশত
255,মাংস,গোশত
256,মাত,কথা
257,মাত,শব্দ
258,মাত,রা
259,মাতা,ওয়ালেদা
260,মাতা,মা
261,মাতা,আম্মা
262,মাতা,আম্মু
263,মাতা,মাত করা
264,মাতা,কথা কওয়া
265,মাতা,কথা বলা
266,মাকৈ,ভুট্টা
267,মিছা,ভুয়া
268,মিছা,মিথ্যা
269,মিছা,অনর্থক
270,মিছা,অসত্য
271,মিছা,নিষ্ফল
272,মিঠা,মিষ্টি
273,মিঠা,মিষ্টি
274,মিঠা,মিঠা
275,মূত,প্রস্রাব
276,মৃত্যু,ওফাত
277,মৃত্যু,ইন্তেকাল
278,মৃত্যু,মরা
279,মেঘ,আবর
280,মেঘ,বাদল
281,মেঘ,বৃষ্টি
282,মেঘ,ঝড়ি
283,মেঘ,বাদল
284,মৈ,খালা
285,মৈ,মাসি
286,ৰচনা,সৃজন
287,ৰচনা,সৃষ্টি
288,ৰচনা,নির্মাণ
289,ৰচনা,গঠন
290,ৰাষ্ট্ৰ,দেশ
291,ৰাষ্ট্ৰ,প্রকাশ
292,ৰাষ্ট্ৰ,প্রচার
293,ৰাষ্ট্ৰ,সংক্রামক রোগ
294,ৰাষ্ট্ৰ,মহামারী
295,ৰাষ্ট্ৰ,প্রসিদ্ধ
296,ৰাষ্ট্ৰ,খ্যাত
297,ৰাষ্ট্ৰ,সুপ্রকাশ
298,লোণ,নুন
299,লাউ,কদু
300,লাও,কদু
301,লাজ,শরম
302,লাজ,লজ্জা
303,লাজ,হায়া
304,লাজ,লেহাজ
305,শব্দ,লফজ
306,শব্দ,আওয়াজ
307,শব্দ,কথা
308,শ্রী,বেলগাছ
309,শ্রী,শ্রীফল
310,শ্রী,বিল্ব(বৃক্ষ)
311,শ্রী,ত্রিপত্র
312,শ্রী,কপীতন
313,শ্রী,কর্কোটক
314,শ্রী,মালূর
315,শ্রী,শাণ্ডিল্য
316,শ্রী,অতিমঙ্গল্য
317,শ্রী,পূতিবাত
318,শ্রী,মঙ্গল্য
319,শ্রী,শিবদ্রুম
320,শ্রী,সত্যফল
321,শ্রী,অশ্বত্থ
322,শ্রী,পিপ্পল
323,শ্রী,প্লক্ষ
324,শ্রী,অশোত
325,শ্রী,আশোত
326,শ্রী,পিপলী
327,শ্রী,মঙ্গল্য
328,সন্ধিয়া,সাঁঝ
329,সাঁচ,আসল
330,সাঁচা,আসল
331,সাঁচ,সত্য
332,সাঁচা,সত্য
333,সাঁচ,হক
334,সাঁচা,হক
335,সাঁচ,বাস্তব
336,সাঁচা,বাস্তব
337,সাঁচ,হকীকৎ
338,সাঁচা,হকীকৎ
339,সাঁচ,সত্য
340,সাঁচা,সত্য
341,সাঁচ,বাস্তব
342,সাঁচা,বাস্তব
343,সাঁচ,হকীকৎ
344,সাঁচা,হকীকৎ
345,সন্ধিয়া,সন্ধ্যা
346,সাগৰ,সমুদ্র
347,সাগৰ,অর্ণব
348,সাগৰ,জলনিধি
349,সাগৰ,বারিধি
350,সাগৰ,রত্নাকর
351,সাগৰ,সিন্ধু
352,সাগৰ,সরিৎপতি
353,সিংহ,শের
354,সিংহ,হায়দর
355,স্বাধীনতা,আজাদি
356,স্বাধীনতা,স্বাতন্ত্র্য
357,স্বাধীনতা,মুক্তি
358,স্বাধীনতা,নাজাত
359,সকলো,সব
360,সকলো,বেবাক
361,সঁচা,সত্য
362,সঁচা,সত্যি
363,হাত,দস্ত
364,হাল,অবস্থা
365,হিয়া,হৃৎপিন্ড
366,হিয়া,হৃদয়
367,হিয়া,হার্ট
368,হিয়া,কলব
369,হিয়া,হৃৎপিন্ড
370,হিয়া,হিয়া
371,হিয়া,হার্ট
