word,ipas
कलमकारी,"['/kə.ləm.kɑː.ɾiː/', '[kə.l̪ə̃m.käː.ɾiː]']"
कश,"['/kəʃ/', '/kɐ́.ɕɐ/', '/ˈkɐ.ɕɐ/']"
कश्ती,['/kəʃ.t̪iː/']
क़तार,[]
क़त्ल,"['/kət̪l/', '[kət̪l̪]', '/qət̪l/', '[qət̪l̪]']"
क़द,"['/kəd̪/', '/qəd̪/']"
क़द्र,"['/kəd̪.ɾᵊ/', '/qəd̪.ɾᵊ/']"
क़बूल,"['/kə.buːl/', '[kə.buːl̪]', '/qə.buːl/', '[qə.buːl̪]']"
क़ब्ज़ा,"['/kəb.d͡ʒɑː/', '[kəb.d͡ʒäː]', '/qəb.zɑː/', '[qəb.zäː]']"
क़ब्रिस्तान,"['/kəb.ɾɪs.t̪ɑːn/', '[kəb.ɾɪs̪.t̪ä̃ːn̪]', '/qəb.ɾɪs.t̪ɑːn/', '[qəb.ɾɪs̪.t̪ä̃ːn̪]']"
क़रार,"['/kə.ɾɑːɾ/', '[kə.ɾäːɾ]', '/qə.ɾɑːɾ/', '[qə.ɾäːɾ]']"
क़र्ज़,"['/kəɾd͡ʒ/', '/qəɾz/']"
क़ल्ब,[]
क़व्वाल,"['/kəʋ.ʋɑːl/', '[kəʋ.ʋäːl̪]', '/qəʋ.ʋɑːl/', '[qəʋ.ʋäːl̪]']"
क़सम,"['/kə.səm/', '[kə.s̪ə̃m]', '/qə.səm/', '[qə.s̪ə̃m]']"
क़सीदा,"['/kə.siː.d̪ɑː/', '[kə.s̪iː.d̪äː]', '/qə.siː.d̪ɑː/', '[qə.s̪iː.d̪äː]']"
क़हवा,"['/kəɦ.ʋɑː/', '[kɛɦ.ʋäː]', '/qəɦ.ʋɑː/', '[qɛɦ.ʋäː]']"
क़ाज़ी,"['/kɑː.d͡ʒiː/', '[käː.d͡ʒiː]', '/qɑː.ziː/', '[qäː.ziː]']"
क़ानून,"['/kɑː.nuːn/', '[käː.n̪ũːn̪]', '/qɑː.nuːn/', '[qäː.n̪ũːn̪]']"
क़ानूनी,[]
क़ाफ़िला,"['/kɑː.pʰɪ.lɑː/', '[käː.pʰɪ.l̪äː]', '/qɑː.fɪ.lɑː/', '[qäː.fɪ.l̪äː]']"
क़ाबिल,"['/kɑː.bɪl/', '[käː.bɪl̪]', '/qɑː.bɪl/', '[qäː.bɪl̪]']"
क़ायदा,"['/kɑːj.d̪ɑː/', '[käːj.d̪äː]', '/qɑːj.d̪ɑː/', '[qäːj.d̪äː]']"
क़ालीन,"['/kɑː.liːn/', '[käː.l̪ĩːn̪]', '/qɑː.liːn/', '[qäː.l̪ĩːn̪]']"
क़िरमिज़,[]
क़िला,"['/kɪ.lɑː/', '[kɪ.l̪äː]', '/qɪ.lɑː/', '[qɪ.l̪äː]']"
क़िल्लत,"['/kɪl.lət̪/', '[kɪl̪.l̪ət̪]', '/qɪl.lət̪/', '[qɪl̪.l̪ət̪]']"
क़िस्मत,"['/kɪs.mət̪/', '[kɪs̪.mət̪]', '/qɪs.mət̪/', '[qɪs̪.mət̪]']"
क़ीमत,[]
क़ीमती,[]
क़ीमा,"['/kiː.mɑː/', '[kiː.mäː]', '/qiː.mɑː/', '[qiː.mäː]']"
क़ुव्वत,"['/kʊʋ.ʋət̪/', '/qʊʋ.ʋət̪/']"
क़ुस्तुंतुनिया,[]
क़ैंची,"['/kɛːn.t͡ʃiː/', '[kɛ̃ːn̪.t͡ʃiː]', '/qɛːn.t͡ʃiː/', '[qɛ̃ːn̪.t͡ʃiː]']"
क़ैद,[]
क़ैदख़ाना,"['/kɛːd̪.kʰɑː.nɑː/', '[kɛːd̪.kʰäː.n̪äː]', '/qɛːd̪.xɑː.nɑː/', '[qɛːd̪.xäː.n̪äː]']"
क़ैदी,"['/kɛː.d̪iː/', '/qɛː.d̪iː/']"
कागद,"['/kɑː.ɡəd̪/', '[käː.ɡəd̪]']"
काग़ज़,"['/kɑː.ɡəd͡ʒ/', '[käː.ɡəd͡ʒ]', '/kɑː.ɣəz/', '[käː.ɣəz]']"
काग़ज़ात,"['/kɑːɡ.d͡ʒɑːt̪/', '[käːɡ.d͡ʒäːt̪]', '/kɑːɣ.zɑːt̪/', '[käːɣ.zäːt̪]']"
काफ़िर,[]
काफ़ी,"['/kɑː.pʰiː/', '[käː.pʰiː]', '/kɑː.fiː/', '[käː.fiː]']"
काबीना,"['/kɑː.biː.nɑː/', '[käː.biː.n̪äː]']"
कामयाब,"['/kɑːm.jɑːb/', '[kä̃ːm.jäːb]']"
-कार,"['/kɑː.ɾɐ/', '/ˈkɑː.ɾɐ/']"
कार,"['/kɑːɾ/', '[käːɾ]', '[kär]', '/kɑː.ɾɐ/', '/ˈkɑː.ɾɐ/']"
कारख़ाना,"['/kɑːɾ.kʰɑː.nɑː/', '[käːɾ.kʰäː.n̪äː]', '/kɑːɾ.xɑː.nɑː/', '[käːɾ.xäː.n̪äː]']"
कारगर,"['/kɑːɾ.ɡəɾ/', '[käːɾ.ɡəɾ]']"
कारवाँ,"['/kɑːɾ.ʋɑ̃ː/', '[käːɾ.ʋä̃ː]']"
-कारी,"['/kɑː.ɾiː/', '[käː.ɾiː]']"
कारीगर,"['/kɑː.ɾiː.ɡəɾ/', '[käː.ɾiː.ɡəɾ]']"
कारोबार,[]
काश,[]
कासा,"['/kɑː.sɑː/', '[käː.s̪äː]', '[kasa]']"
कि,"['/kɪ/', '[ki]']"
किफ़ायत,"['/kɪ.pʰɑː.jət̪/', '[kɪ.pʰäː.jət̪]', '/kɪ.fɑː.jət̪/', '[kɪ.fäː.jət̪]']"
किफ़ायती,"['/kɪ.pʰɑː.jə.t̪iː/', '[kɪ.pʰäː.jə.t̪iː]', '/kɪ.fɑː.jə.t̪iː/', '[kɪ.fäː.jə.t̪iː]']"
किराया,"['/kɪ.ɾɑː.jɑː/', '[kɪ.ɾäː.jäː]']"
किरायेदार,"['/kɪ.ɾɑː.jeː.d̪ɑːɾ/', '[kɪ.ɾäː.jeː.d̪äːɾ]']"
किशमिश,['/kɪʃ.mɪʃ/']
किशवर,[]
कीमिया,"['/kiː.mɪ.jɑː/', '[kiː.mi.jäː]']"
कुंद,"['/kʊnd̪/', '[kʊ̃n̪d̪]']"
कुदरत,['/kʊd̪.ɾət̪/']
कुमक,['/kʊ.mək/']
कुरता,"['/kʊɾ.t̪ɑː/', '[kʊɾ.t̪äː]']"
कुश्ती,['/kʊʃ.t̪iː/']
कूच,"['/kuːt͡ʃ/', '/kuː.t͡ɕɐ/', '/ˈkuː.t͡ɕɐ/']"
कूर,['/kuːɾ/']
कोफ़्ता,[]
कोर,[]
कोशिश,"['/koː.ʃɪʃ/', '[kosis]']"
कोह,['/koːɦ/']
कोहेनूर,"['/koː.ɦeː.nuːɾ/', '[koː.ɦeː.n̪uːɾ]']"
ख़ंजर,"['/kʰən.d͡ʒəɾ/', '[kʰə̃n̪.d͡ʒəɾ]', '/xən.d͡ʒəɾ/', '[xə̃n̪.d͡ʒəɾ]']"
ख़ज़ाना,"['/kʰə.d͡ʒɑː.nɑː/', '[kʰə.d͡ʒäː.n̪äː]', '/xə.zɑː.nɑː/', '[xə.zäː.n̪äː]']"
ख़त,[]
ख़तना,[]
ख़तरनाक,[]
ख़फ़ा,"['/kʰə.pʰɑː/', '[kʰə.pʰäː]', '/xə.fɑː/', '[xə.fäː]']"
ख़बर,"['/kʰə.bəɾ/', '/xə.bəɾ/']"
ख़बरनवीस,"['/kʰə.bəɾ.nə.ʋiːs/', '[kʰə.bəɾ.n̪ə.ʋiːs̪]', '/xə.bəɾ.nə.ʋiːs/', '[xə.bəɾ.n̪ə.ʋiːs̪]']"
ख़म,"['/kʰəm/', '[kʰə̃m]', '/xəm/', '[xə̃m]']"
ख़मीर,"['/kʰə.miːɾ/', '/xə.miːɾ/']"
ख़याल,"['/kʰə.jɑːl/', '[kʰə.jäːl̪]', '/xə.jɑːl/', '[xə.jäːl̪]']"
ख़रगोश,"['/kʰəɾ.ɡoːʃ/', '/xəɾ.ɡoːʃ/']"
ख़राब,"['/kʰə.ɾɑːb/', '[kʰə.ɾäːb]', '/xə.ɾɑːb/', '[xə.ɾäːb]']"
ख़राश,"['/kʰə.ɾɑːʃ/', '[kʰə.ɾäːʃ]', '/xə.ɾɑːʃ/', '[xə.ɾäːʃ]']"
ख़रीद,"['/kʰə.ɾiːd̪/', '/xə.ɾiːd̪/']"
ख़रीदना,"['/kʰə.ɾiːd̪.nɑː/', '[kʰə.ɾiːd̪̚.n̪äː]', '/xə.ɾiːd̪.nɑː/', '[xə.ɾiːd̪̚.n̪äː]']"
ख़रीदार,"['/kʰə.ɾiː.d̪ɑːɾ/', '[kʰə.ɾiː.d̪äːɾ]', '/xə.ɾiː.d̪ɑːɾ/', '[xə.ɾiː.d̪äːɾ]']"
ख़र्च,"['/kʰəɾt͡ʃ/', '/xəɾt͡ʃ/']"
ख़र्चा,"['/kʰəɾ.t͡ʃɑː/', '[kʰəɾ.t͡ʃäː]', '/xəɾ.t͡ʃɑː/', '[xəɾ.t͡ʃäː]']"
ख़लक़,"['/kʰəlk/', '[kʰəl̪k]', '/xəlq/', '[xəl̪q]']"
ख़सरा,"['/kʰəs.ɾɑː/', '[kʰəs̪.ɾäː]', '/xəs.ɾɑː/', '[xəs̪.ɾäː]']"
ख़ाक,"['/kʰɑːk/', '[kʰäːk]', '/xɑːk/', '[xäːk]']"
ख़ाक़ान,"['/kʰɑː.kɑːn/', '[kʰäː.kä̃ːn̪]', '/xɑː.qɑːn/', '[xäː.qä̃ːn̪]']"
ख़ाका,"['/kʰɑː.kɑː/', '[kʰäː.käː]', '/xɑː.kɑː/', '[xäː.käː]']"
ख़ाकी,[]
ख़ातिर,"['/kʰɑː.t̪ɪɾ/', '[kʰäː.t̪ɪɾ]', '/xɑː.t̪ɪɾ/', '[xäː.t̪ɪɾ]']"
ख़ातून,"['/kʰɑː.t̪uːn/', '[kʰäː.t̪ũːn̪]', '/xɑː.t̪uːn/', '[xäː.t̪ũːn̪]']"
ख़ान,"['/kʰɑːn/', '[kʰä̃ːn̪]', '/xɑːn/', '[xä̃ːn̪]']"
ख़ानगी,"['/kʰɑːn.ɡiː/', '[kʰä̃ːn̪.ɡiː]', '/xɑːn.ɡiː/', '[xä̃ːn̪.ɡiː]']"
ख़ानदान,"['/kʰɑːn.d̪ɑːn/', '[kʰä̃ːn̪.d̪ä̃ːn̪]', '/xɑːn.d̪ɑːn/', '[xä̃ːn̪.d̪ä̃ːn̪]']"
ख़ानदानी,"['/kʰɑːn.d̪ɑː.niː/', '[kʰä̃ːn̪.d̪äː.n̪iː]', '/xɑːn.d̪ɑː.niː/', '[xä̃ːn̪.d̪äː.n̪iː]']"
ख़ाना,"['/kʰɑː.nɑː/', '[kʰäː.n̪äː]', '/xɑː.nɑː/', '[xäː.n̪äː]']"
ख़ानाबदोश,"['/kʰɑː.nɑː.bə.d̪oːʃ/', '[kʰäː.n̪äː.bə.d̪oːʃ]', '/xɑː.nɑː.bə.d̪oːʃ/', '[xäː.n̪äː.bə.d̪oːʃ]']"
ख़ामी,"['/kʰɑː.miː/', '[kʰäː.miː]', '/xɑː.miː/', '[xäː.miː]']"
ख़ामोश,[]
ख़ामोशी,[]
ख़ाला,"['/kʰɑː.lɑː/', '[kʰäː.l̪äː]', '/xɑː.lɑː/', '[xäː.l̪äː]']"
ख़ालिक़,"['/kʰɑː.lɪk/', '[kʰäː.l̪ɪk]', '/xɑː.lɪq/', '[xäː.l̪ɪq]']"
ख़ाली,"['/kʰɑː.liː/', '[kʰäː.l̪iː]', '/xɑː.liː/', '[xäː.l̪iː]']"
ख़िदमतगार,"['/kʰɪd̪.mət̪.ɡɑːɾ/', '[kʰɪd̪.mət̪.ɡäːɾ]', '/xɪd̪.mət̪.ɡɑːɾ/', '[xɪd̪.mət̪.ɡäːɾ]']"
ख़िलाफ़त,[]
ख़ुद,"['/kʰʊd̪/', '/xʊd̪/']"
ख़ुदकुशी,"['/kʰʊd̪.kʊ.ʃiː/', '/xʊd̪.kʊ.ʃiː/']"
ख़ुदा,"['/kʰʊ.d̪ɑː/', '[kʰʊ.d̪äː]', '/xʊ.d̪ɑː/', '[xʊ.d̪äː]']"
ख़ुदा हाफ़िज़,"['/kʰʊ.d̪ɑː‿ɦɑː.pʰɪd͡ʒ/', '[kʰʊ.d̪äː‿ɦäː.pʰɪd͡ʒ]', '/xʊ.d̪ɑː‿ɦɑː.fɪz/', '[xʊ.d̪äː‿ɦäː.fɪz]']"
ख़ुर्दबीन,[]
ख़ुश,"['/kʰʊʃ/', '/xʊʃ/']"
