,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,DNN_logits,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
10,All languages,গুহা,গুহা,guɦa,ɡuɦa,Cave,Cave,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,-8.714045,0.9999997615814208,1.0,0.9999130964279176,0.9999554753303528,0.9894759,0.97291845,0.9999126,0.9998861,loan
11,All languages,পানী,পানীয়,pani,pan̪ie̯,water,Drinks,0.4285714285714285,0.2,0.1875,0.2083333333333333,1.5,0.2083333333333333,-2.9705155,0.8847489953041077,0.7102280855178833,0.9993327856063844,0.999554455280304,0.932996,0.81398153,0.9997388,0.99966455,loan
12,All languages,চকা,চাকা,sɔka,t͡ɕaka,wheel,The wheel,0.6666666666666666,0.25,0.09375,0.09375,1.125,0.09375,3.1594915,0.9170917868614196,0.6538639664649963,0.9960665106773376,0.9975738525390624,0.96530724,0.95549166,0.9994187,0.99913603,loan
13,All languages,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,0.04319349,0.9120674729347228,0.7410076856613159,0.9957842230796814,0.9984537363052368,0.9356372,0.8051347,0.9967142,0.99907583,loan
14,All languages,টকা,টেহা,tɔka,ʈeɦa,Money,Teha,0.75,0.25,0.09375,0.09375,1.5,0.09375,3.839324,0.9032002687454224,0.6383771896362305,0.9996742010116576,0.9978294968605042,0.91591376,0.8372875,0.9997661,0.99922186,loan
15,All languages,কাছু,কাছ,kasu,kat͡ɕʰ,Something,Near,0.6666666666666666,0.5,0.2864583333333333,0.3125,2.5625,0.3125,3.6092148,0.8760320544242859,0.5198234915733337,0.9974092841148376,0.998073399066925,0.95022464,0.86025584,0.99793226,0.9996647,loan
16,All languages,উত্তৰ,উত্তর,uttɔɹɔ,ut̪t̪ɔrɔ,answer,The answer,0.375,0.0,0.0416666666666666,0.0555555555555555,0.6666666666666666,0.0416666666666666,-10.67318,0.6989218592643738,0.7647960782051086,0.9989320635795592,0.9997406601905824,0.79059875,0.8328084,0.99948007,0.999758,loan
17,All languages,মঙলবাৰ,মঙ্গলবার,mɔŋɔlɔbaɹ,mɔŋɡɔlɔbar,It's Tuesday,Tuesday,0.2,0.1,0.10625,0.125,1.075,0.1166666666666666,-26.669405,0.9409530758857728,0.7156404852867126,0.9988726973533628,0.9936495423316956,0.9473357,0.7908156,0.9995698,0.996911,loan
18,All languages,দুৱাৰ,দ্বার,duwaɹ,d̪ar,The door,The door,0.6,0.4,0.4,0.4583333333333333,3.65,0.4416666666666667,-10.351538,0.8241453766822815,0.6474062204360962,0.9945068955421448,0.9995301365852356,0.86967784,0.82245815,0.9949902,0.9997317,loan
19,All languages,শিকোৱা,শিক্ষা,xikʊwa,ʃikkʰa,teaching,Education,0.5,0.5,0.2222222222222222,0.2430555555555555,2.5625,0.2395833333333333,-6.1701155,0.62889564037323,0.8629765510559082,0.9993137121200562,0.9969102144241332,0.7069138,0.88446623,0.9992436,0.99822557,loan
20,All languages,পোনা,পোলা,pʊna,pola,Pona,Pola,0.5,0.25,0.0520833333333333,0.0520833333333333,0.6875,0.0520833333333333,-2.2207596,0.8651359677314758,0.8859043121337891,0.9993057250976562,0.9992123246192932,0.8495796,0.879773,0.9998063,0.99946314,loan
21,All languages,আমি,আঁই,ami,ãi,I,I am,0.6666666666666666,0.6666666666666666,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,-8.13896,0.6824624538421631,0.6302908062934875,0.9985576868057252,0.99941086769104,0.8666801,0.8486177,0.9996959,0.99958885,loan
22,All languages,ভজা,ভাজা,bʰɔza,bʱad͡ʑa,Fried,Fried,0.7142857142857143,0.25,0.1041666666666666,0.1041666666666666,1.1875,0.1041666666666666,-1.343847,0.9257422685623168,0.8524996042251587,0.9997416138648988,0.99863463640213,0.9862386,0.97412884,0.9996843,0.99983114,loan
23,All languages,অশোক,অশোক,ɔxʊk,oʃok,Ashoka,Ashoka,0.75,0.25,0.0677083333333333,0.0729166666666666,0.65625,0.0677083333333333,-5.1880074,1.0,1.0,0.999761164188385,0.9999209046363832,0.98707336,0.9550174,0.9995426,0.9994924,loan
24,All languages,বঙালী,বাঙালি,bɔŋali,baŋali,Bengali,Bengali,0.1666666666666666,0.0,0.0277777777777777,0.0277777777777777,0.2916666666666667,0.0277777777777777,4.081622,0.3752039968967438,0.6175673604011536,0.9999210238456726,0.9995261430740356,0.60051167,0.73857415,0.9997366,0.9995976,loan
25,All languages,শেলাই,শৈবাল,xɛlai,ʃojbalɔ,Seams,Algae,0.8571428571428571,0.4285714285714285,0.3541666666666666,0.3869047619047618,3.321428571428572,0.3809523809523809,-15.956443,0.8861422538757324,0.7273820638656616,0.9999330639839172,0.9984180927276612,0.94105077,0.90666616,0.99952894,0.99938756,loan
26,All languages,ভনী,বোন,bʰɔni,bon̪,Sister,Sister,0.6,0.25,0.2552083333333333,0.28125,2.0,0.28125,-2.0455518,0.8794052004814148,0.6391738057136536,0.9977146983146667,0.9982019066810608,0.9016901,0.77613044,0.998742,0.99875915,loan
27,All languages,দুগ্ধ,দুগ্ধ,dugdʰɔ,d̪uɡɔd̪ʱɔ,Milk,Milk,0.5555555555555556,0.3333333333333333,0.3194444444444445,0.3541666666666667,2.5416666666666665,0.3541666666666667,-8.620332000000001,0.9999997615814208,0.9999996423721312,0.9992708563804626,0.9999096393585204,0.98699135,0.9601484,0.9995718,0.9998495,loan
28,All languages,অগ্নি,আগুন,ɔgni,aɡun̪,Fire,Fire,0.8,0.5,0.3697916666666666,0.3958333333333333,3.78125,0.390625,-0.0887388,0.8255609273910522,0.5275846719741821,0.9998780488967896,0.9993711113929749,0.8614722,0.63428575,0.9998816,0.9994244,loan
29,All languages,ঠেং,টেহা,tʰɛŋ,ʈeɦa,The tail,Teha,1.0,0.5,0.296875,0.3229166666666666,2.6875,0.3229166666666666,-1.3832355,0.8998979926109314,0.7721473574638367,0.9995874762535096,0.9979287385940552,0.9286847,0.83867115,0.9997224,0.9993489,loan
30,All languages,চ’ত,চৈত,sɔ’tɔ,t͡ɕojt̪,Four,Chait,0.8571428571428571,0.75,0.2395833333333333,0.2604166666666666,4.4375,0.2395833333333333,-11.745882,0.8170848488807678,0.7070775628089905,0.9974842071533204,0.9972412586212158,0.87294304,0.776955,0.99898005,0.99830824,loan
31,All languages,মাকৈ,মাহই,makɔɪ,maɦi,corn,Mahi,0.6,0.4,0.2291666666666666,0.25,2.35,0.25,-10.578133,0.9283744692802428,0.7995784282684326,0.9952290654182434,0.9989675283432008,0.9555882,0.89448905,0.9984567,0.9994397,loan
32,All languages,পুলি,পোলা,puli,pola,Seedlings,Pola,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,-2.5442386000000003,0.8478764295578003,0.8341131210327148,0.9975156784057616,0.9993168115615844,0.8743069,0.88446563,0.99906325,0.99953616,loan
33,All languages,টাকা,টাং,taka,ʈaŋ,Money,Tang,0.75,0.5,0.265625,0.2916666666666667,2.625,0.2916666666666667,1.9228033,0.8574819564819336,0.6593776941299438,0.9945701956748962,0.9988079667091372,0.9076501,0.8071812,0.9975003,0.99937654,loan
34,All languages,মূলা,মূল,mula,mulɔ,Radish,Original,0.25,0.0,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,0.052645832,0.8856847882270813,0.7643348574638367,0.996026575565338,0.9989297389984132,0.92193055,0.85973257,0.9994047,0.99958014,loan
35,All languages,পানী,পানি,pani,pan̪i,water,Water,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,-2.9071984,0.874058187007904,0.5155227184295654,0.9997437000274658,0.999796450138092,0.9119921,0.835449,0.9997915,0.999622,loan
36,All languages,মাখি,মাক্‌খি,makʰi,mak‌kʰi,Flies,Makkhi,0.2857142857142857,0.2,0.1791666666666666,0.2,1.45,0.2,-4.5059013,0.9201051592826844,0.6954079270362854,0.995045840740204,0.9991146326065063,0.9382574,0.8433295,0.99874973,0.99893844,loan
37,All languages,ঠেং,টাং,tʰɛŋ,ʈaŋ,The tail,Tang,0.75,0.0,0.0555555555555555,0.0555555555555555,0.5,0.0555555555555555,0.027109131,0.923363208770752,0.7595398426055908,0.9943366050720216,0.9986478090286256,0.94467914,0.84380275,0.99727553,0.999369,loan
38,All languages,অনুবাদ,অনুবাদ,ɔnubad,on̪ubad̪,Translation,Translation,0.375,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,-11.690084,0.9999997615814208,1.0,0.9998332262039183,0.9999424815177916,0.9879496,0.971251,0.99983263,0.99983734,loan
39,All languages,ভাৰত,ভারত,bʰaɹɔtɔ,bʱarɔt̪ɔ,India,India,0.375,0.0,0.0416666666666666,0.0555555555555555,0.6666666666666666,0.0416666666666666,3.3645947,0.5586695075035095,0.6012166738510132,0.9992306232452391,0.9996228218078612,0.67327505,0.68377525,0.99947983,0.99960035,loan
40,All languages,দহ,দশ,dɔɦɔ,d̪ɔʃɔ,ten,Ten,0.4,0.25,0.046875,0.0520833333333333,0.78125,0.046875,0.11867499,0.7505300045013428,0.7146177291870117,0.9970834851264954,0.9997316598892212,0.86626005,0.8420783,0.9987042,0.9996889,loan
41,All languages,ধোঁৱা,ধুমা,dʰʊ̃wa,d̪ʱuma,smoke,Smoke,0.6666666666666666,0.25,0.125,0.125,1.8125,0.125,2.9307394,0.8574726581573486,0.6209644079208374,0.9959573149681092,0.9967851042747498,0.8992922,0.76364946,0.99885535,0.997406,loan
42,All languages,আক,এক,ak,ek,Let's go,One,0.5,0.0,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,4.030744,0.8890814781188965,0.5527715682983398,0.998489499092102,0.9987487196922302,0.9376875,0.78547454,0.9985929,0.9995189,loan
43,All languages,ৰঙা,রঙ,ɹɔŋa,rɔŋɔ,red,Color,0.5,0.0,0.0833333333333333,0.1041666666666666,1.3125,0.0833333333333333,4.278036,0.8864849805831909,0.5028936266899109,0.9999226927757264,0.9995223879814148,0.9146151,0.732854,0.9999243,0.99969685,loan
44,All languages,টাকা,ঠেং,ʈaka,tʰɛŋ,Money,The tail,1.0,0.5,0.296875,0.3229166666666666,2.875,0.3229166666666666,-3.4757295,0.8406712412834167,0.7046963572502136,0.9998712539672852,0.99971342086792,0.97228813,0.9477304,0.9998745,0.999786,loan
45,All languages,ধুমা,ধোঁৱা,d̪ʱuma,dʰʊ̃wa,Smoke,smoke,0.6666666666666666,0.25,0.125,0.125,1.8125,0.125,3.650461,0.8575562238693237,0.6209644079208374,0.9957779049873352,0.9967819452285768,0.9607683,0.95785916,0.99985147,0.99983424,loan
46,All languages,জল,জল,d͡ʑɔlɔ,zɔlɔ,Water,Water,0.5,0.25,0.0520833333333333,0.0520833333333333,0.6875,0.0520833333333333,-6.286775,0.9999998807907104,1.0,0.9998061656951904,1.0,0.9790062,0.9484127,0.9996625,0.9998674,loan
47,All languages,হৃদয়,হিয়া,ɦɽid̪e̯ɔ,ɦija,Heart,Heart,0.75,0.3333333333333333,0.3333333333333333,0.3819444444444444,2.8541666666666665,0.375,-5.677862999999999,0.906637728214264,0.7157903909683228,0.997828483581543,0.9984011650085448,0.98331344,0.96701616,0.99974036,0.99988174,loan
48,All languages,শনিবার,শনিবাৰ,ʃɔn̪ibar,xɔnibaɹ,Saturday,Saturday,0.375,0.1428571428571428,0.0505952380952379,0.0654761904761904,0.7678571428571429,0.0505952380952379,-1.0335306999999998,0.9038005471229552,0.7697734236717224,0.9991546869277954,0.9988214373588562,0.9822785,0.93485034,0.99983144,0.99986035,loan
49,All languages,আঁই,আমি,ãi,ami,I am,I,0.6666666666666666,0.6666666666666666,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,4.026661,0.6826938390731812,0.6302908062934875,0.9957574605941772,0.9994022846221924,0.98752296,0.9530316,0.9998707,0.9999376,loan
50,All languages,বাঙালি,বঙালী,baŋali,bɔŋali,Bengali,Bengali,0.1666666666666666,0.0,0.0277777777777777,0.0277777777777777,0.2916666666666667,0.0277777777777777,5.676974,0.3751540184020996,0.6175673604011536,0.9975508451461792,0.9996511340141296,0.951408,0.9432467,0.9998131,0.99981636,loan
51,All languages,কথা,কথা,kɔt̪ʰa,kɔtʰa,Talk,Talk,0.1666666666666666,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,-7.6436977,0.9999998211860656,1.0,0.999846577644348,1.0,0.9646166,0.93895835,0.99948865,0.9999001,loan
52,All languages,ক্রিয়া,ক্ৰিয়া,krie̯a,kɹija,Verbs,Action,0.5,0.0,0.05,0.075,0.875,0.05,-3.0516949,0.8471569418907166,0.8596051931381226,0.9990290403366088,0.9997227191925048,0.9664011,0.95330065,0.9998602,0.99992776,loan
53,All languages,ধোঁয়া,ধোঁৱা,d̪ʱõe̯a,dʰʊ̃wa,Smoke,smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,-0.71205425,0.9282607436180116,0.8177294135093689,0.9990584254264832,0.996139109134674,0.9444096,0.9416976,0.9998976,0.9996865,loan
54,All languages,ঘামা,ঘমা,gʱama,gʱɔma,Sweat,Sweat,0.2,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,-5.0002937,0.956143081188202,0.7797563076019287,0.9953811764717102,0.9992560148239136,0.99029255,0.98027796,0.99983585,0.9999393,loan
55,All languages,সকল,সকলো,ʃɔkɔlɔ,xɔkɔlʊ,All,everything,0.3333333333333333,0.1666666666666666,0.03125,0.0347222222222222,0.3541666666666667,0.03125,-3.3763843,0.8591930270195007,0.6129505038261414,0.9986029863357544,0.9997997879981996,0.97315043,0.92844653,0.9991051,0.99984646,loan
56,All languages,আঁডু,আঁঠু,ãɖu,ãtʰu,Andu,knee,0.5,0.0,0.0416666666666666,0.0416666666666666,0.3333333333333333,0.0416666666666666,-8.687225999999999,0.9511480927467346,0.8969002366065979,0.9997328519821168,0.9992398023605348,0.9883479,0.9622775,0.9998642,0.9998798,loan
57,All languages,ক্যা,কি,kæ,ki,Kya,What?,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,-2.2941628,0.9082298874855042,0.5702677965164185,0.9985992312431335,0.9986684918403624,0.97880834,0.9349066,0.9999476,0.9999566,loan
58,All languages,গোসাঁই,গোসাঞি,ɡoʃãi,gʊxani,Gosain,Gosani,0.8333333333333334,0.4,0.225,0.2666666666666666,3.475,0.225,-6.3052974000000015,0.8479737639427185,0.8325374126434326,0.9970019459724426,0.9974125623703004,0.98773813,0.95473933,0.9998379,0.9998004,loan
59,All languages,বোন,ভনী,bon̪,bʰɔni,Sister,Sister,0.6,0.25,0.2552083333333333,0.28125,2.0,0.28125,-2.7458262,0.8794268369674683,0.6391738057136536,0.9987924098968506,0.998830497264862,0.97779924,0.962495,0.9998154,0.9999111,loan
60,All languages,চাকা,চকা,t͡ɕaka,sɔka,The wheel,wheel,0.6666666666666666,0.25,0.09375,0.09375,1.125,0.09375,1.1863425,0.9170738458633424,0.6538639664649963,0.9940504431724548,0.9986380338668824,0.98153967,0.9579461,0.99965274,0.9999249,loan
61,All languages,সাঁঝ,সন্ধিয়া,ʃãd͡ʑʱɔ,xɔndʰija,Evening,evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,-18.264954,0.8823370337486267,0.6917768120765686,0.9995204210281372,0.99788236618042,0.9728295,0.9317777,0.9998522,0.9998682,loan
62,All languages,কর্ণ,কাণ,kɔrnɔ,kan,Ears,ear,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,-2.6550589,0.8981475830078125,0.6354708671569824,0.9983383417129515,0.9998177289962769,0.9821212,0.9616471,0.99984074,0.99991816,loan
63,All languages,বিষ,বিহ,biʃ,biɦ,Poison,poison,0.3333333333333333,0.3333333333333333,0.0486111111111111,0.0555555555555555,0.9583333333333334,0.0486111111111111,4.10883,0.5553889870643616,0.698030948638916,0.9983131289482116,0.9989370703697203,0.9758796,0.946327,0.9997753,0.99994427,loan
64,All languages,বাজ,বাজে,bad͡ʑ,bazɛ,Lightning,Bad,0.6,0.5,0.2760416666666667,0.3020833333333333,2.5,0.3020833333333333,-5.1805973,0.8737124800682068,0.8998785614967346,0.9998317360877992,0.9998945593833924,0.9866672,0.9631295,0.9998845,0.99984396,loan
65,All languages,ফল,ফল,ɸɔlɔ,pʰɔlɔ,Fruit,Fruit,0.4,0.0,0.0260416666666666,0.03125,0.34375,0.0260416666666666,-5.985816000000002,0.9999997615814208,1.0,0.9996737837791444,1.0,0.9837526,0.9467832,0.999868,0.9999408,loan
66,All languages,কলা,কালি,kɔla,kali,Banana,yesterday,0.5,0.0,0.0625,0.0625,0.6875,0.0625,2.5453978,0.903418242931366,0.6169573664665222,0.9983595609664916,0.9997470378875732,0.9878646,0.9841851,0.9997432,0.99992967,loan
67,All languages,ঘড়ি,ঘড়ী,gʱɔɽi,gʱɔɹi,The clock,clock,0.2,0.0,0.0694444444444444,0.0972222222222222,1.3333333333333333,0.0694444444444444,-5.22599,0.8858524560928345,0.8825657963752747,0.9984705448150636,0.9981032609939576,0.9779983,0.9458313,0.9999424,0.9998817,loan
68,All languages,অস্থি,অস্থি,oʃt̪ʰi,ɔxtʰi,Bones,Bones,0.5,0.25,0.0572916666666666,0.0624999999999999,0.53125,0.0572916666666666,-11.437914,0.9999998807907104,0.9999997615814208,0.9998864531517028,1.0,0.98225707,0.96772146,0.9997641,0.99988765,loan
69,All languages,বাঁশ,বঙহ,bãʃɔ,bɔŋɔɦɔ,Bamboo,বংহ,0.6666666666666666,0.6666666666666666,0.3576388888888889,0.3958333333333332,3.270833333333333,0.3923611111111111,-4.1755276,0.7762205600738525,0.6661988496780396,0.9946889877319336,0.997875452041626,0.9765856,0.94040966,0.9997519,0.99990845,loan
70,All languages,বাউল,বাউল,baulɔ,baul,Bowl,Bowl,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,-11.803389,0.9999997615814208,1.0,0.9999327063560486,1.0,0.982621,0.9687119,0.99990094,0.9999379,loan
71,All languages,ধনিয়া,ধনিয়া,d̪ʱɔn̪ie̯a,dʰɔnija,Coriander,Coriander,0.5,0.0,0.0347222222222222,0.0416666666666666,0.2708333333333333,0.0347222222222222,-7.233242999999999,0.9999998211860656,0.9999983906745912,0.9998818039894104,1.0,0.97106916,0.96286845,0.99979687,0.99981487,loan
72,All languages,আঁঠু,আঁঠু,ãʈʰu,ãtʰu,knee,knee,0.25,0.0,0.0138888888888888,0.0138888888888888,0.1666666666666666,0.0138888888888888,-8.687104,0.9999998211860656,1.0,0.9998902678489684,1.0,0.98465216,0.9615201,0.9997923,0.9998782,loan
73,All languages,পানি,পানী,pan̪i,pani,Water,water,0.2,0.0,0.0104166666666666,0.0104166666666666,0.0625,0.0104166666666666,3.382163,0.8740530014038086,0.5155227184295654,0.9997966885566713,0.9998727440834044,0.9825695,0.9739739,0.9998846,0.99992275,loan
74,All languages,ব্যবহার,ব্যৱহাৰ,bd͡zɔbɔɦar,bzɔwɔɦaɹ,Use,use,0.4,0.25,0.0677083333333333,0.078125,1.5,0.0677083333333333,-17.870770999999994,0.7761343121528625,0.7378839254379272,0.999733567237854,0.9999045729637146,0.9628345,0.9326439,0.99976647,0.9997539,loan
75,All languages,রাং,ৰাং,raŋ,ɹaŋ,Rang,Rang,0.3333333333333333,0.0,0.0555555555555555,0.0833333333333333,1.1666666666666667,0.0555555555555555,0.15780234,0.7888166308403015,0.7213094830513,0.9967042207717896,0.9998509287834167,0.980216,0.9676497,0.99990594,0.99992853,loan
76,All languages,গম,গম,ɡɔmɔ,gɔmɔ,Wheat,Wheat,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,-8.213887,0.9999998807907104,1.0,0.9999574422836304,1.0,0.9870994,0.96443844,0.99970186,0.99994814,loan
77,All languages,কাছ,কাছু,kat͡ɕʰ,kasu,Near,Something,0.6666666666666666,0.5,0.2864583333333333,0.3125,2.5625,0.3125,0.18463111,0.8759958148002625,0.5198234915733337,0.997450351715088,0.9989177584648132,0.98547876,0.9316603,0.99975884,0.99993825,loan
78,All languages,চাঁদ,চান্দ,t͡ɕãd̪ɔ,sandɔ,The moon,Chand,0.7142857142857143,0.6,0.2416666666666666,0.2583333333333333,2.15,0.2583333333333333,0.61965156,0.6702802181243896,0.7093121409416199,0.9992340207099916,0.9977596402168274,0.98869437,0.966671,0.99993813,0.9999251,loan
79,All languages,তামা,তাম,t̪ama,tam,Copper,copper,0.4,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,-3.015912,0.9699056148529052,0.8104977011680603,0.9991320371627808,0.9987984895706176,0.97468513,0.9746678,0.99987566,0.99983704,loan
80,All languages,টেহা,টকা,ʈeɦa,tɔka,Teha,Money,0.75,0.25,0.09375,0.09375,1.5,0.09375,4.620752,0.9031912684440612,0.6383771896362305,0.9997416734695436,0.9976639747619628,0.9871285,0.94565916,0.99984837,0.99987674,loan
81,All languages,ভারত,ভাৰত,bʱarɔt̪ɔ,bʰaɹɔtɔ,India,India,0.375,0.0,0.0416666666666666,0.0555555555555555,0.6666666666666666,0.0416666666666666,4.7676373,0.5586551427841187,0.6012166738510132,0.999372124671936,0.9994016885757446,0.9617039,0.9409225,0.9998694,0.9998768,loan
82,All languages,জানা,জনা,d͡ʑan̪a,zɔna,To know,know,0.7142857142857143,0.25,0.1041666666666666,0.1041666666666666,1.1875,0.1041666666666666,3.6560159,0.9250870943069458,0.5298526287078857,0.9995942115783693,0.9999394416809082,0.9881869,0.97367406,0.9999026,0.999958,loan
83,All languages,আষ্ট,আঠ,aʃʈɔ,atʰ,Eight,eight,0.75,0.5,0.4739583333333333,0.5208333333333333,3.8125,0.5208333333333333,-10.169884,0.9084500074386596,0.7435644865036011,0.9991809725761414,0.9986575841903688,0.9776908,0.9691881,0.99991906,0.9999109,loan
84,All languages,খাদ্য,খানা,kʰad̪d͡zɔ,kʰana,Food,Food,0.6666666666666666,0.4,0.2416666666666666,0.2583333333333333,2.35,0.2583333333333333,4.4913588,0.5379807353019714,0.5878589153289795,0.9985358119010924,0.9997410178184508,0.98948896,0.9743581,0.99992216,0.9999384,loan
85,All languages,সন্ধ্যা,সন্ধিয়া,ʃɔn̪d̪ʱæ,xɔndʰija,Evening,evening,0.75,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.4107142857142856,0.3244047619047618,-19.995968,0.9170891642570496,0.8175247311592102,0.9987610578536988,0.9997618198394777,0.9857687,0.95603776,0.9998528,0.9997602,loan
