loan_word,original_word
konkrét,konkret
konkurens,Konkurrent
kontakt,Kontakt
kontrapunkt,Kontrapunkt
kontrollőr,Kontrolleur
konvencionális,konventionell
koreográfus,Choreograph
korrupt,korrupt
korund,Korund
koszinusz,Kosinus
kozmetikum,Kosmetikum
Köln,Köln
krajcár,Kreuzer
krém,Creme
kritizál,kritisieren
krizantém,Chrysantheme
krizopráz,Chrysopras
krumpli,Grundbirne
kubista,Kubist
kugli,Kugel
kujon,Kujon
kultusz,Kultus
kumisz,Kumys
kuncsaft,Kundschaft
kupleráj,Kupplerei
kuplung,Kupplung
kurkuma,Kurkuma
kurzív,kursiv
kvarc,Quarz
kvartett,Quartett
kvirt,Geviert
labor,Labor
láda,Lade
lakmusz,Lackmus
láma,Lama
lárifári,Larifari
lat,*lattō
lavina,Lawine
léc,liccia
létra,Leiter
lett,Lette
lexéma,Lexem
liberalizáció,Liberalisation
likőr,Likör
lucerna,Luzerne
lump,*limpaną
machináció,Machination
malter,*maltą
mandarin,mandarim
mángorol,mangeln
manzárd,Mansarde
marcipán,Marzipan
margarin,Margarine
marionett,Marionette
masszázs,Massage
maszk,Maske
matrica,Matrize
matróz,Matrose
mechanikus,mechanisch
metaforikus,metaphorisch
metán,Methan
migrén,Migräne
milliom,Million
mitikus,mythisch
mizantróp,Misanthrop
modern,modern
módi,Mode
mokka,Mokka
mól,Mol
moll,Moll
montázs,Montage
morál,Moral
mozaik,Mosaik
muníció,Munition
muszáj,muss
Müller,mulināri
müzli,Müsli
náci,Nazi
nacionalista,Nationalist
nárcisz,Narzisse
néger,Neger
négus,Negus
nihilista,Nihilist
nikkel,Nickel
nímand,niemand
nitrit,Nitrit
obeliszk,Obelisk
objektivitás,Objektivität
obszidián,Obsidian
odaliszk,Odaliske
okarina,Okarina
ostrom,Sturm
oxid,Oxid
oxidáció,Oxydation
önológia,Önologie
ösztrogén,Östrogen
pacsuli,Patschuli
paleontológia,Paläontologie
paletta,Palette
palimpszeszt,Palimpsest
páncél,Panzer
papagáj,Papagei
papír,Papier
paradox,paradox
parfüm,Parfüm
párkány,párkány
parlamentáris,parlamentarisch
parti,Partie
passzivitás,Passivität
passzol,passen
patologikus,pathologisch
pedál,Pedal
pedikűr,Pediküre
perec,Brezel
perjel,prior
peron,Perron
perspektivikus,perspektivisch
pikk,Pik
pingvin,Pinguin
pintér,Binder
placc,Platz
plasztikus,plastisch
platform,Plattform
pléh,blëch
plüss,Plüsch
polemikus,polemisch
poliéder,Polyeder
poligon,Polygon
pont,Punkt
portéka,parteke
potenciál,Potential
precíz,präzise
príma,prima
princ,Prinz
problematikus,problematisch
profit,Profit
protokoll,Protokoll
prüdéria,Prüderie
pszichoanalitikus,psychoanalytisch
publikáció,Publikation
puccs,Putsch
pult,Pult
puma,Puma
pumpa,Pumpe
puncs,Punsch
püré,Püree
rabol,rauben
radioaktivitás,Radioaktivität
rakéta,Rakete
randevú,Rendezvous
ráspoly,Raspel
razzia,Razzia
realisztikus,realistisch
reklám,Reklame
rekonstrukció,Rekonstruktion
rén,Ren
reprodukció,Reproduktion
ribizli,Ribisel
rizikó,Risiko
roller,Roller
román,romanisch
rost,feminine
rubin,Rubin
rúd,Rute
rulett,Roulette
rum,Rum
sakál,Schakal
sakk,Schach
sakk-matt,Schachmatt
sál,Saal
sámán,Schamane
sampinyon,Champignon
sematikus,schematisch
Semmelweis,Semmelweis
serpenyő,*scherpene pfanne
sezlon,Chaiselongue
sí,Schi
sifonér,Chiffonniere
sing,*singwan
sitt,Schiet
skaláris,skalar
slicc,Schlitz
slussz,Schluss
smink,Schminke
snitt,Schnitt
sóder,Schotter
sofőr,Chauffeur
sparhelt,Sparherd
spekuláció,Spekulation
spicli,Spitzel
srég,schräg
stand,*standaną
sterilizátor,Sterilisator
stramm,stram
strici,Strizzi
suli,Schule
suszter,Schuster
svindler,Schwindler
szabotázs,Sabotage
szabotőr,Saboteur
szaft,Saft
szalon,Salon
szecesszió,Sezession
szekció,Sektion
szekularizáció,Säkularisation
szekund,Sekunde
szemeszter,Semester
szenzáció,Sensation
szerpentin,Serpentine
szimbolikus,symbolisch
szimfonikus,symphonisch
szimmetrikus,symmetrisch
szimpatikus,sympathisch
szintetikus,synthetisch
szinusz,Sinus
szisztematikus,systematisch
szkeptikus,skeptisch
szodómia,Sodomie
szoliter,Solitär
szósz,Sauce
sztereotípia,Stereotypie
szulfát,Sulfat
szulfid,Sulfid
szulfit,Sulfit
tabulátor,Tabulator
tallér,Taler
tánc,Tanz
tangó,Tango
tarsoly,Täschel
technika,Technik
telefon,Telephon
tematikus,thematisch
tendencia,Tendenz
terc,Terz
tik-tak,ticktack
tipikus,typisch
topáz,Topas
torony,Turm
totalitarizmus,Totalitarismus
tragikomikus,tragikomisch
traktor,Traktor
transzformáció,Transformation
tranzakció,Transaktion
trióda,Triode
triolett,Triolett
trófea,Trophäe
tromf,Trumpf
trón,Thron
tulipán,Tulipan
turmalin,Turmalin
unka,Unke
urán,Uran
urbanizáció,Urbanisation
vagon,Waggon
vakol,wacken
vaku,Vakuumblitz
vánkos,Wangenkissen
vegetáció,Vegetation
vekker,Wecker
verbunk,Werbung
verzál,Versal
vicc,Witz
vignetta,Vignette
vinil,Vinyl
virtigli,wirklich
vurstli,Wurstelprater
werkfotó,Werkfoto
xilofon,Xylophon
zeke,sagum
zokni,Socken
zóna,Zone
zsákmány,sachman
zseni,Genie
zsenialitás,Genialität
zsindely,schindel
zsold,Sold
