loan_word,original_word,other_etymology,other_meaning
palatine,palatin,middle english,Having local authority and possessing royal privileges that elsewhere belongs only to a sovereign
panda,पंडा,hindi,"A brahmin who acts as the hereditary superintendent of a particular ghat or temple, and is regarded as knowledgeable in matters of genealogy and ritual"
par,pār,latin,Equal value
pastel,pastel,spanish,"A traditional dish in various Latin American countries, resembling a tamale, pasty, or calzone"
pate,pate,middle english,"The head, particularly the top or crown"
pique,pica,late latin,Synonym of pica
piscine,piscis,latin,"Of, pertaining to, or characteristic of fish"
Pompey,Pompey,middle english,a military and political leader of the late Roman Republic
pool,pool,middle english,"A small and rather deep area of fresh water, as one supplied by a spring, or occurring in the course of a stream or river"
post,post,old english,A long dowel or plank protruding from the ground
post,post,latin,After
pounce,pounce,middle english,A sudden leaping attack
primate,primate,middle english,"In the Catholic Church, a rare title conferred to or claimed by the sees of certain archbishops, or the highest-ranking bishop of a present or historical, usually political circumscription"
punt,pontō,old english,A pontoon
punt,punt,irish,"The Irish pound, used as the unit of currency of Ireland until it was replaced by the euro in 2002"
puree,पूरी,hindi,A type of unleavened bread from South Asia
quadrat,quadrātum,latin,"An area of land, marked for studying its plants, animals, soil, natural processes, etc"
quarter,quarter,middle english,A fourth part of something
rail,rail,middle english,A horizontal bar extending between supports and used for support or as a barrier
rail,rail,middle english,An item of clothing
rail,raier,anglo-norman,"To gush, flow"
ravine,ravene,middle english,Alternative form of raven
resume,resumer,anglo-norman,To take back possession of
rob,robben,middle english,"To steal from, especially using force or violence"
rocket,rocchetta,italian,A rocket engine
Romulus,Rōmulus,latin,The legendary founder of Rome and the twin brother of Remus
sally,saly,middle english,A willow
sap,sap,middle english,"The juice of plants of any kind, especially the ascending and descending juices or circulating fluid essential to nutrition"
season,sesoun,middle english,Each of the four divisions of a year
sell,sellen,middle english,To transfer goods or provide services in exchange for money
sell,zeel,dutch,A rope
shako,蝦蛄,japanese,The squilla or mantis shrimp
shingle,scincle,middle english,"A small, thin piece of building material, often with one end thicker than the other, for laying in overlapping rows as a covering for the roof or sides of a building"
shingle,singel,norwegian bokmål,"Small, smooth pebbles, as found on a beach"
soul,soule,middle english,The spirit or essence of a person usually thought to consist of one's thoughts and personality
talus,tālus,latin,The bone of the ankle
tan,tannen,middle english,To change to a tan colour due to exposure to the sun
tan,թան,armenian,An Armenian drink made of yoghurt and water similar to airan and doogh
tan,擔,cantonese,"Synonym of picul, particularly in Cantonese contexts"
tan,*tan,middle english,A twig or small switch
tarse,tarse,middle english,The penis
tartan,tartaryn,middle english,"A kind of woven woollen cloth with a distinctive pattern of coloured stripes intersecting at right angles, associated with Scottish Highlanders, different clans and some Scottish families and institutions having their own distinctive patterns"
tole,*tyll,old english,To entice
tutu,tutu,maori,Any of the genus Coriaria of shrubs and trees found in New Zealand
tutu,tutū,maori,to fiddle or mess around with something
vaunt,vaunten,middle english,To speak boastfully
venal,vēna,latin,Venous
vent,venta,spanish,A baiting place
